jaccard	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.438	0.480	0.428	0.496	0.400	0.478	0.513	0.480	0.441	0.427	0.448	0.457	0.469	0.458	0.466	0.474	0.435
KO2	0.438	0	0.530	0.508	0.607	0.472	0.482	0.480	0.494	0.488	0.435	0.468	0.445	0.496	0.439	0.448	0.491	0.454
KO3	0.480	0.530	0	0.481	0.497	0.480	0.586	0.563	0.521	0.525	0.513	0.566	0.539	0.525	0.539	0.517	0.514	0.491
KO4	0.428	0.508	0.481	0	0.490	0.419	0.556	0.562	0.515	0.499	0.478	0.539	0.489	0.487	0.510	0.508	0.485	0.489
KO5	0.496	0.607	0.497	0.490	0	0.492	0.638	0.614	0.591	0.554	0.548	0.629	0.553	0.523	0.576	0.575	0.517	0.541
KO6	0.400	0.472	0.480	0.419	0.492	0	0.542	0.561	0.512	0.485	0.468	0.508	0.501	0.504	0.505	0.495	0.489	0.494
OE1	0.478	0.482	0.586	0.556	0.638	0.542	0	0.446	0.478	0.456	0.417	0.375	0.500	0.532	0.408	0.483	0.532	0.433
OE2	0.513	0.480	0.563	0.562	0.614	0.561	0.446	0	0.458	0.447	0.424	0.456	0.457	0.534	0.433	0.491	0.501	0.416
OE3	0.480	0.494	0.521	0.515	0.591	0.512	0.478	0.458	0	0.392	0.436	0.464	0.430	0.476	0.439	0.457	0.470	0.419
OE4	0.441	0.488	0.525	0.499	0.554	0.485	0.456	0.447	0.392	0	0.398	0.436	0.418	0.441	0.409	0.427	0.446	0.408
OE5	0.427	0.435	0.513	0.478	0.548	0.468	0.417	0.424	0.436	0.398	0	0.403	0.415	0.450	0.366	0.406	0.409	0.365
OE6	0.448	0.468	0.566	0.539	0.629	0.508	0.375	0.456	0.464	0.436	0.403	0	0.488	0.535	0.430	0.470	0.515	0.437
WT1	0.457	0.445	0.539	0.489	0.553	0.501	0.500	0.457	0.430	0.418	0.415	0.488	0	0.392	0.412	0.434	0.415	0.393
WT2	0.469	0.496	0.525	0.487	0.523	0.504	0.532	0.534	0.476	0.441	0.450	0.535	0.392	0	0.445	0.418	0.429	0.446
WT3	0.458	0.439	0.539	0.510	0.576	0.505	0.408	0.433	0.439	0.409	0.366	0.430	0.412	0.445	0	0.400	0.457	0.366
WT4	0.466	0.448	0.517	0.508	0.575	0.495	0.483	0.491	0.457	0.427	0.406	0.470	0.434	0.418	0.400	0	0.463	0.420
WT5	0.474	0.491	0.514	0.485	0.517	0.489	0.532	0.501	0.470	0.446	0.409	0.515	0.415	0.429	0.457	0.463	0	0.413
WT6	0.435	0.454	0.491	0.489	0.541	0.494	0.433	0.416	0.419	0.408	0.365	0.437	0.393	0.446	0.366	0.420	0.413	0
