euclidean	KO1	OE1	OE6	OE2	OE5	OE3	WT3	OE4	WT6	KO2	WT4	WT1	WT5	KO6	WT2	KO4	KO3	KO5
KO1	0	24.4	23.8	24.5	24.8	25.2	24.3	24.7	24.1	24.7	25.8	26.1	26.7	26.2	27.5	27.9	29.0	29.7
OE1	24.4	0	21.0	22.0	22.4	23.2	23.0	23.6	24.0	25.1	24.5	25.1	26.5	27.0	27.0	28.7	29.9	31.1
OE6	23.8	21.0	0	22.1	22.2	22.7	23.2	23.0	23.4	23.9	24.0	24.5	26.3	26.8	26.8	28.2	28.9	30.6
OE2	24.5	22.0	22.1	0	23.0	23.9	23.1	24.0	24.1	23.9	24.5	25.2	26.4	26.6	27.0	28.3	29.5	30.5
OE5	24.8	22.4	22.2	23.0	0	24.0	23.1	24.4	24.0	24.3	24.2	24.6	25.4	26.2	27.2	28.2	28.8	29.2
OE3	25.2	23.2	22.7	23.9	24.0	0	24.2	24.4	24.5	25.2	25.5	25.2	26.7	27.4	26.9	28.3	29.4	30.4
WT3	24.3	23.0	23.2	23.1	23.1	24.2	0	24.4	23.9	24.7	24.4	24.9	25.7	26.3	26.8	28.3	29.0	29.4
OE4	24.7	23.6	23.0	24.0	24.4	24.4	24.4	0	24.9	25.6	24.6	25.0	26.6	26.8	26.5	28.0	29.3	30.1
WT6	24.1	24.0	23.4	24.1	24.0	24.5	23.9	24.9	0	24.8	24.7	25.8	25.8	26.3	26.9	27.7	28.1	28.7
KO2	24.7	25.1	23.9	23.9	24.3	25.2	24.7	25.6	24.8	0	26.2	25.9	26.9	25.8	27.6	27.9	28.4	29.7
WT4	25.8	24.5	24.0	24.5	24.2	25.5	24.4	24.6	24.7	26.2	0	25.7	26.2	26.9	26.9	28.4	29.0	29.6
WT1	26.1	25.1	24.5	25.2	24.6	25.2	24.9	25.0	25.8	25.9	25.7	0	26.4	27.1	26.6	28.1	29.1	30.1
WT5	26.7	26.5	26.3	26.4	25.4	26.7	25.7	26.6	25.8	26.9	26.2	26.4	0	27.9	27.5	28.0	29.1	29.3
KO6	26.2	27.0	26.8	26.6	26.2	27.4	26.3	26.8	26.3	25.8	26.9	27.1	27.9	0	28.3	27.2	28.1	28.2
WT2	27.5	27.0	26.8	27.0	27.2	26.9	26.8	26.5	26.9	27.6	26.9	26.6	27.5	28.3	0	28.0	28.9	29.0
KO4	27.9	28.7	28.2	28.3	28.2	28.3	28.3	28.0	27.7	27.9	28.4	28.1	28.0	27.2	28.0	0	28.3	28.5
KO3	29.0	29.9	28.9	29.5	28.8	29.4	29.0	29.3	28.1	28.4	29.0	29.1	29.1	28.1	28.9	28.3	0	28.3
KO5	29.7	31.1	30.6	30.5	29.2	30.4	29.4	30.1	28.7	29.7	29.6	30.1	29.3	28.2	29.0	28.5	28.3	0
