sample	Group	sample_new
C1	C	C1
C2	C	C2
C3	C	C3
C4	C	C4
C5	C	C5
C6	C	C6
C7	C	C7
C8	C	C8
C9	C	C9
C10	C	C10
E1	E	E1
E2	E	E2
E3	E	E3
E4	E	E4
E5	E	E5
E6	E	E6
E7	E	E7
E8	E	E8
E9	E	E9
E10	E	E10
Y1	Y	Y1
Y2	Y	Y2
Y3	Y	Y3
Y4	Y	Y4
Y5	Y	Y5
Y6	Y	Y6
Y7	Y	Y7
Y8	Y	Y8
Y9	Y	Y9
Y10	Y	Y10
