Species	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10
Species01	2	32	12	23	24	22	9	8	52	42	5	61	52	2	11	50	46	15	29	23	8	10	21	14	4	8	22	38	16	36
Species02	11	38	84	20	44	8	9	27	45	7	11	18	15	8	24	11	22	33	59	23	14	59	15	26	3	15	24	45	19	11
Species03	17	85	94	27	18	23	8	46	89	8	220	33	58	18	32	62	45	72	91	145	32	304	2	73	12	66	80	130	54	64
Species04	14	60	123	19	176	90	25	64	32	280	27	81	24	11	17	54	43	28	31	10	18	8	18	25	24	10	11	5	32	49
Species05	12	24	29	23	16	21	14	60	23	23	22	16	28	19	13	104	29	35	99	109	5	15	19	17	1	59	31	107	23	125
Species06	3	28	37	10	22	17	13	6	26	7	9	22	14	3	16	10	17	2	3	17	10	25	0	53	1	9	6	2	9	4
Species07	8	49	71	52	107	99	20	39	39	135	65	33	16	6	18	31	42	44	40	24	26	28	26	44	60	48	21	38	31	69
Species08	15	14	13	26	23	39	14	7	25	9	8	61	16	3	15	46	36	23	20	0	7	0	4	21	0	17	9	0	9	62
Species09	161	520	629	144	743	628	379	524	242	432	965	1587	63	81	77	298	642	1046	450	2321	214	3598	28	1035	107	1783	268	2692	252	1008
Species10	0	0	0	0	0	0	0	0	7	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species11	4	3	10	4	41	6	6	6	8	0	4	13	2	7	2	7	4	0	6	28	2	0	1	4	0	0	6	0	17	0
Species12	0	0	0	10	0	0	0	0	17	0	9	0	0	0	0	0	0	0	14	0	0	0	0	0	0	66	0	0	0	0
Species13	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species14	9	115	0	7	0	0	4	25	45	13	6	0	24	64	15	35	26	15	16	11	7	33	11	22	1	7	12	231	20	39
Species15	13	15	16	8	2	11	4	35	36	0	7	6	10	10	4	27	11	10	61	40	6	9	4	13	1	6	14	18	39	35
Species16	0	20	13	12	1	7	1	41	32	0	5	8	31	52	16	17	12	16	38	20	6	16	1	11	1	13	9	15	8	12
Species17	1000	2775	2332	11552	6779	3882	733	1789	1597	5680	2727	4334	785	876	772	3084	4800	2005	1756	525	994	1440	691	1258	2041	1394	1025	425	922	4905
Species18	62	212	239	413	305	140	60	73	104	389	81	219	108	26	36	186	218	214	73	267	73	130	37	80	31	133	130	285	135	244
Species19	7	62	54	25	68	14	13	63	42	23	29	72	15	7	14	35	16	50	46	57	8	41	3	30	5	41	24	45	16	22
Species20	8	19	19	16	20	12	6	25	27	12	13	18	20	11	0	33	18	42	24	17	6	17	5	11	1	22	32	27	9	15
Species21	1	64	35	7	42	11	5	21	10	26	25	33	8	2	6	35	12	13	37	39	5	24	4	18	4	21	14	7	22	58
Species22	8	0	0	4	21	3	1	0	11	35	0	0	0	1	13	1	3	4	12	15	4	0	2	4	0	0	2	3	4	0
Species23	53	136	306	85	33	96	64	150	265	24	99	48	176	80	145	125	132	109	142	281	129	173	120	206	59	90	193	250	185	34
Species24	17	38	107	30	5	7	9	56	99	0	28	16	92	32	44	50	48	29	32	59	53	52	15	51	12	28	60	50	89	6
Species25	6	31	12	16	17	8	28	8	34	7	14	79	12	1	3	16	19	9	9	8	4	3	10	36	1	39	16	45	5	11
Species26	34	182	235	57	309	197	21	104	66	175	117	169	39	11	33	188	126	71	67	76	40	162	18	56	18	42	31	16	52	193
Species27	23	114	50	29	71	55	55	107	60	73	88	145	17	77	23	55	66	64	40	85	26	170	9	101	27	131	44	83	25	81
Species28	27	37	37	31	56	141	14	65	101	99	30	114	37	22	46	69	49	89	94	38	15	30	22	53	42	12	29	31	39	88
Species29	9	49	26	41	41	17	20	41	14	105	37	53	9	10	11	45	28	25	184	3	24	78	18	37	5	17	31	6	16	83
Species30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species31	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species32	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Species35	6	63	52	46	77	47	23	31	31	145	51	94	32	8	27	49	47	41	43	25	27	29	5	35	29	69	16	9	53	154
Species36	10	86	33	53	31	6	5	52	69	35	81	33	40	14	28	44	39	44	48	39	23	69	4	51	3	27	31	47	52	21
Species37	45	26	33	53	29	41	51	19	24	32	18	14	38	83	43	50	37	35	22	16	52	10	64	19	62	11	51	16	46	14
Species38	5	53	7	20	57	37	1	26	30	31	32	20	16	9	6	33	26	20	44	6	17	16	4	25	17	8	18	20	26	57
Species39	4	14	38	11	43	0	22	29	28	40	9	15	7	0	13	4	19	9	18	30	5	12	12	20	0	5	9	3	17	3
Species40	1	32	6	9	23	9	5	38	53	5	11	8	22	9	28	14	16	6	19	6	6	10	4	19	0	6	10	5	8	2
Species41	15	52	47	22	37	13	8	36	41	25	235	27	36	11	17	106	42	58	60	46	20	69	7	27	3	15	59	35	44	103
Species42	74	79	127	86	187	146	82	53	69	152	117	147	136	28	76	120	65	74	115	64	70	23	72	65	72	32	114	52	65	383
Species43	17	203	214	63	26	11	34	102	287	0	158	69	168	23	62	209	138	95	190	184	81	415	16	186	6	110	123	31	130	22
Species44	3	38	59	15	26	32	12	37	39	34	25	26	15	6	7	26	22	36	42	15	15	5	5	31	3	6	18	8	21	48
Species45	6	36	106	20	25	61	7	49	172	28	15	17	65	24	23	22	25	15	48	51	40	32	5	44	14	15	27	121	53	7
Species46	5	13	14	8	10	7	0	18	31	2	11	5	28	58	6	24	9	7	12	9	9	17	2	13	8	72	22	2	18	44
Species47	8	29	88	11	23	10	4	35	41	13	26	28	21	3	13	35	26	21	29	24	9	1	2	26	9	26	15	7	14	17
Species48	4	22	10	4	76	9	20	11	17	24	12	49	13	1	4	35	25	56	10	11	4	10	5	33	1	23	9	18	6	12
Species49	1	30	19	6	5	6	6	7	25	14	2	4	15	6	7	20	15	6	12	28	5	35	4	12	0	8	8	9	16	8
Species50	5	25	13	9	31	5	0	31	21	8	6	25	12	9	2	10	13	8	27	13	6	17	10	26	7	20	12	16	18	15
Species51	0	7	3	7	24	0	3	5	16	4	2	7	1	3	11	6	2	9	8	20	4	4	2	18	0	42	2	13	10	6
Species52	5	15	26	5	15	5	2	4	13	9	4	14	3	8	7	30	17	34	53	100	4	14	12	17	7	42	8	116	8	5
Species53	4	45	19	21	12	7	7	8	40	5	18	8	16	8	19	22	33	12	23	88	14	20	4	18	5	15	37	18	38	14
Species54	0	11	21	9	2	5	1	4	25	6	20	3	0	5	3	9	11	10	16	15	3	3	6	3	0	4	2	3	5	81
Species55	5	22	4	5	5	0	5	15	29	2	6	4	1	2	15	7	15	4	20	21	3	19	2	23	1	32	11	23	19	1
Species56	3	29	20	32	11	11	4	38	57	56	5	18	85	25	29	27	50	11	38	36	17	131	5	32	8	91	23	39	32	8
Species57	2	0	0	10	0	8	2	0	3	0	1	0	5	4	7	7	10	3	13	0	1	0	2	2	4	0	8	0	1	3
Species58	91	246	133	54	9	31	36	101	241	4	9	12	19	32	174	103	133	98	221	236	31	157	48	163	2	160	96	132	178	5
Species59	10	48	16	12	23	4	8	44	45	2	4	5	40	4	32	18	27	23	27	26	16	22	11	25	8	21	25	20	27	0
Species60	2	17	7	18	6	6	7	4	26	11	16	7	25	46	16	22	19	15	18	13	4	9	9	25	8	40	16	7	18	15
Species61	0	10	11	3	0	0	0	9	18	0	6	2	4	3	3	9	11	6	7	11	5	9	3	8	1	0	12	4	12	0
Species62	12	44	17	6	3	0	10	16	29	0	0	0	9	4	21	16	14	18	53	22	6	55	3	18	2	20	21	19	19	0
