sample	stage	tillage	tilstag
CPT1	T	CPT	CPTT
CPT2	T	CPT	CPTT
CPT3	T	CPT	CPTT
CPT4	J	CPT	CPTJ
CPT5	J	CPT	CPTJ
CPT6	J	CPT	CPTJ
CPT7	F	CPT	CPTF
CPT8	F	CPT	CPTF
CPT9	F	CPT	CPTF
PT1	T	PT	PTT
PT2	T	PT	PTT
PT3	T	PT	PTT
PT4	J	PT	PTJ
PT5	J	PT	PTJ
PT6	J	PT	PTJ
PT7	F	PT	PTF
PT8	F	PT	PTF
PT9	F	PT	PTF
ZT1	T	ZT	ZTT
ZT2	T	ZT	ZTT
ZT3	T	ZT	ZTT
ZT4	J	ZT	ZTJ
ZT5	J	ZT	ZTJ
ZT6	J	ZT	ZTJ
ZT7	F	ZT	ZTF
ZT8	F	ZT	ZTF
ZT9	F	ZT	ZTF
