Gene_family	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Healthy11	Healthy12	Healthy13	Healthy14	Healthy15	Healthy16	Healthy17	Healthy18	Healthy19	Healthy20	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10	Patients11	Patients12	Patients13	Patients14	Patients15	Patients16	Patients17	Patients18	Patients19	Patients20
K00001	0	0	0	10.58710298	0	0	0	0	0	0	0	0	0	54.86823426	23.90998948	21.45091994	11.40250855	5.701254276	0	0	43.33894969	52.93551492	0	0	0	543.3096421	0	12.5120308	9.624639076	145.588416	0	0	178.3578165	0	31.90035884	45.61003421	0	0	21.22905028	0
K00002	0	10.55099648	0	12.89566237	41.03165299	0	9.23952241	0	0	57.35490212	5.861664713	73.79946964	19.912156	292.6350475	69.16764361	0	15.80752709	223.4556415	21.10062021	36.37630116	0	23.4452861	223.8693852	0	22.27432591	69.16764361	0	75.77184111	0	0	23.33236762	0	31.65298945	0	21.10199297	0	320.6287381	0	0	311.0452822
K00003	265.0219726	32.00184727	135.3478993	123.2835732	152.9002119	47.19408351	189.084324	196.2289869	69.76540259	109.3376038	221.1470541	407.9599421	1228.362517	672.5027987	286.423174	58.25779992	273.2847573	2617.822174	272.9926846	94.8976936	933.3382607	70.53998529	465.4725486	172.6085409	166.9811321	256.9142892	159.9218151	69.71006553	130.7974536	153.5119233	216.239608	45.40309125	392.5026558	51.80286416	360.5658423	32.97349888	377.2305639	133.915026	176.1705104	619.6172447
K00004	0	0	0	0	0	0	19.26132406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199.7362021	0	0	0	0	0	0	37.36011097	0	0	0
K00005	92.7013995	16.95543058	49.53575985	614.9448075	60.44233603	126.7701921	63.50271329	79.9736696	77.99101373	95.6212651	56.06983666	354.7137149	1003.713543	319.8860885	215.6280995	115.101932	84.71214987	343.5958172	344.7182307	258.4364325	162.0095034	1123.159995	747.9576043	189.2725629	352.2712387	664.9585784	88.79094054	221.4025608	1217.163811	69.15397482	105.4680359	1361.246367	916.1454683	196.0673599	192.4435461	35.31720649	344.0501115	8.273009307	91.45998618	214.1290561
K00006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.807045637	0	0	0	0	0	0	0	0	0	0	0	0	0	28.29426031	0	0	0	0	0	0	0	0	0	0	0
K00008	46.98740056	7.909844189	26.02345652	311.3508209	13.50427227	55.49263873	20.22396764	0	63.08073082	0	0	35.07037519	4.530011325	561.0841141	9.988901221	27.02169353	59.01837761	43.01743196	6.795016988	12.22980208	71.64096682	826.1023544	330.470167	0	241.7101916	0	0	13.42843989	10.19252548	69.96582574	0	0	0	252.2507919	18.1200453	16.98754247	176.9858122	11.17709508	0	96.73808013
K00009	85.10565367	24.99567348	95.50923387	25.15438951	25.22931797	12.05449041	31.21763165	10.43726173	8.072653885	11.09989909	16.06687907	49.2659083	14.18955101	436.6082792	566.533801	16.77687442	185.910906	117.8128217	20.47881652	38.92357049	53.80153812	182.9746589	154.363708	0	79.84571906	377.300504	290.7818366	17.956994	3701.494202	899.7671741	39.32343599	1637.512823	908.9546351	166.3894907	124.6909609	463.5924019	121.8800371	113.7888724	207.7975335	98.81781732
K00010	179.3878624	11.17738154	97.45524197	21.88940092	42.49183917	0	34.06850025	13.50705294	20.43305489	72.70359776	89.39490014	137.4189049	57.09270221	433.0552715	297.7839428	0	167.1842442	96.21862667	37.32230166	0	95.54550939	77.52565432	236.6231667	163.6594384	200.7946849	467.836081	67.33905804	42.65597767	232.2512664	326.6745685	274.9883168	47.83322513	394.2573903	40.59913922	149.2167641	121.6829391	108.5057517	49.56900081	119.6362841	132.6034806
K00011	1195.115256	1224.341268	245.2587127	420.2736939	848.9301157	1137.325395	81.61197094	100.033637	2091.561097	813.0284131	1009.66236	422.4119686	272.1752589	651.3951176	135.6061436	657.4526971	1008.608794	261.7748738	1499.304642	1284.170934	1138.235371	354.6413845	530.9598083	951.6729246	653.7272466	317.5845843	994.2840807	78.79580993	393.3308923	10.28028305	281.8322828	193.8121483	269.2288162	1443.539309	825.0747603	41.32435956	162.2236473	1196.101379	576.4863647	389.0648193
K00012	1157.313756	1455.529563	340.1290762	598.1971249	1117.229848	1227.419327	235.678338	248.0184354	1777.147985	901.6343268	1119.750831	760.9426719	1542.162305	1214.862717	307.2967208	913.5202311	1681.29911	2335.159735	1505.613663	1622.549123	2446.436853	844.7454672	542.0658941	1094.628551	994.1937151	1341.665452	2281.64853	227.9262962	2098.569133	209.2800753	443.8862076	1767.456491	1192.324094	2132.039375	670.7011779	199.1892329	610.5272816	1657.754754	1017.706859	1198.668154
K00013	2852.65615	3341.426888	997.2256192	1794.732628	1887.067731	2051.162189	544.7080239	404.7193048	2518.207808	1807.875335	1696.660946	862.9011265	3639.345736	1509.370294	747.0679644	797.6885329	1816.835332	1426.897737	2432.404897	1723.510847	3100.02897	1389.39976	894.5347827	2365.351444	1601.604626	840.8255184	1915.344794	1902.201096	1377.554519	311.4463397	1947.384808	1053.069956	1661.322626	2789.333431	1653.676042	799.7562921	5249.496197	2873.387363	1000.88174	793.5307584
K00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.04118644	0	0	0	0	0	0	0	0	0	0	0	0
K00015	69.94344843	4.95049505	15.13945191	123.7046233	19.39640021	11.95808513	34.07311465	8.747952314	11.83781726	79.10757103	23.49508727	82.1755381	148.7954996	468.3652739	302.4992278	51.68982137	35.33903531	2079.672219	158.4051361	30.53289252	211.3410567	63.11881188	61.53289966	22.11302211	55.57279554	1343.26174	8.353221957	932.7001651	233.1384587	679.3455892	0	0	917.7069036	781.9309448	36.40958355	5.437173838	27.02598937	0	118.7852021	445.1184163
