"","Num.of.remove.nodes","Natural.connectivity","Group"
"1",1,0.00464279873600095,"KO"
"2",2,0.00466110265522987,"KO"
"3",3,0.00467308821622802,"KO"
"4",4,0.00469159574877753,"KO"
"5",5,0.00470876422983792,"KO"
"6",6,0.00467705350752622,"KO"
"7",7,0.00472712005333179,"KO"
"8",8,0.00444411181319428,"KO"
"9",9,0.0046994360090843,"KO"
"10",10,0.00462200839738362,"KO"
"11",11,0.00436377545373771,"KO"
"12",12,0.00452317543894735,"KO"
"13",13,0.0047329102915708,"KO"
"14",14,0.00473440327198845,"KO"
"15",15,0.00470814267385432,"KO"
"16",16,0.00465973079352813,"KO"
"17",17,0.00453665580296171,"KO"
"18",18,0.00481690442655901,"KO"
"19",19,0.0044869225406537,"KO"
"20",20,0.00396392192754884,"KO"
"21",21,0.00424691801933732,"KO"
"22",22,0.00402494183918449,"KO"
"23",23,0.00442413232556915,"KO"
"24",24,0.00418908477269764,"KO"
"25",25,0.00427928008697009,"KO"
"26",26,0.00445406747077201,"KO"
"27",27,0.00494145666730788,"KO"
"28",28,0.00392306843884185,"KO"
"29",29,0.00440462981144034,"KO"
"30",30,0.00489930905667074,"KO"
"31",31,0.00454389074104082,"KO"
"32",32,0.00461895754667102,"KO"
"33",33,0.00396805933406682,"KO"
"34",34,0.00437995585558164,"KO"
"35",35,0.00413321748891226,"KO"
"36",36,0.00431420228908329,"KO"
"37",37,0.00472699396225363,"KO"
"38",38,0.00433093792243257,"KO"
"39",39,0.00419040946624207,"KO"
"40",40,0.00494749484720105,"KO"
"41",41,0.00476420277129703,"KO"
"42",42,0.00463285220403689,"KO"
"43",43,0.00475917019913805,"KO"
"44",44,0.00442223401023233,"KO"
"45",45,0.0043380401561293,"KO"
"46",46,0.00391932410238126,"KO"
"47",47,0.0041971253415012,"KO"
"48",48,0.00351404273162653,"KO"
"49",49,0.00436326161340022,"KO"
"50",50,0.00471509041706088,"KO"
"51",51,0.00447040966407464,"KO"
"52",52,0.0038002848289143,"KO"
"53",53,0.00456924002649065,"KO"
"54",54,0.00502690276245132,"KO"
"55",55,0.00499889528742558,"KO"
"56",56,0.00449592264569697,"KO"
"57",57,0.00475852866828653,"KO"
"58",58,0.00427421125463352,"KO"
"59",59,0.00382691801998408,"KO"
"60",60,0.00512261370361303,"KO"
"61",61,0.00450440612633437,"KO"
"62",62,0.00469414850722676,"KO"
"63",63,0.00442402068821112,"KO"
"64",64,0.00490014140730943,"KO"
"65",65,0.00536726983697649,"KO"
"66",66,0.00449947287016895,"KO"
"67",67,0.00475501230373309,"KO"
"68",68,0.00426627536897475,"KO"
"69",69,0.00396897238602037,"KO"
"70",70,0.00460628774473528,"KO"
"71",71,0.00386821143461223,"KO"
"72",72,0.00467548456949994,"KO"
"73",73,0.00471767089977082,"KO"
"74",74,0.00445629763726303,"KO"
"75",75,0.00395976058955241,"KO"
"76",76,0.00432335842584316,"KO"
"77",77,0.0040987714746722,"KO"
"78",78,0.00424955593030176,"KO"
"79",79,0.00477234732884743,"KO"
"80",80,0.00523067222915898,"KO"
"81",81,0.00418583115300818,"KO"
"82",82,0.00353841261561133,"KO"
"83",83,0.00490768146150631,"KO"
"84",84,0.00431329619125895,"KO"
"85",85,0.0043972149702362,"KO"
"86",86,0.00422456175662696,"KO"
"87",87,0.00405877418880518,"KO"
"88",88,0.00443371405030264,"KO"
"89",89,0.00457316286623866,"KO"
"90",90,0.00402079181765256,"KO"
"91",91,0.0041732278825295,"KO"
"92",92,0.00451529712897716,"KO"
"93",93,0.00377895649928981,"KO"
"94",94,0.0037635463008668,"KO"
"95",95,0.0047143328298073,"KO"
"96",96,0.00408254058709251,"KO"
"97",97,0.00321168988701078,"KO"
"98",98,0.00388643932893539,"KO"
"99",99,0.0047655334933586,"KO"
"100",100,0.00369851129956859,"KO"
"101",101,0.00515219673752558,"KO"
"102",102,0.0043496434953542,"KO"
"103",103,0.00354890819473644,"KO"
"104",104,0.00312814431044321,"KO"
"105",105,0.00353425664140474,"KO"
"106",106,0.00495667460907157,"KO"
"107",107,0.00444707094467353,"KO"
"108",108,0.00486011449346872,"KO"
"109",109,0.00480352182359936,"KO"
"110",110,0.00517457876968718,"KO"
"111",111,0.00381314143594172,"KO"
"112",112,0.00429425692311728,"KO"
"113",113,0.00336246087779361,"KO"
"114",114,0.00474047499755366,"KO"
"115",115,0.00325368717123622,"KO"
"116",116,0.00400604283754633,"KO"
"117",117,0.0046742464281516,"KO"
"118",118,0.00447454463310554,"KO"
"119",119,0.00346054903394554,"KO"
"120",120,0.00343301296752766,"KO"
"121",121,0.0031505413561117,"KO"
"122",122,0.00421323044980683,"KO"
"123",123,0.00332231901304619,"KO"
"124",124,0.00428745281696075,"KO"
"125",125,0.0031713423981415,"KO"
"126",126,0.00373354194174736,"KO"
"127",127,0.00426274160769155,"KO"
"128",128,0.00308028510145919,"KO"
"129",129,0.00417342644411227,"KO"
