Sample	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15
OTU_1	30442	21213	204	17719	2303	229	49	170	55	64	38	60	51	39	63
OTU_2	16848	9780	94	9951	1244	118	30	46	41	31	13	31	27	28	30
OTU_3	10434	6400	54	5589	691	90	13	26	19	15	14	27	10	17	22
OTU_5	8	523	519	892	800	771	848	1520	842	1366	1300	509	647	756	1368
OTU_8	5268	2441	28	2423	329	32	9	15	4	16	12	11	5	7	4
OTU_20	0	0	0	0	2	90	87	108	278	0	1893	900	1970	1588	1117
OTU_54	2	0	6	0	0	870	1165	568	3443	229	54	18	4	19	1
OTU_12	2689	1556	17	1285	196	19	4	12	11	3	4	4	8	4	8
OTU_14	0	183	12	27	4020	160	263	376	89	336	0	6	7	0	0
OTU_22	115	334	25	980	2298	23	48	131	100	758	0	1	0	0	0
OTU_23	0	0	0	0	0	26	5	13	12	0	1393	272	349	946	1654
OTU_27	38	169	449	125	182	292	405	631	506	305	285	257	297	325	68
OTU_43	0	0	58	0	0	179	143	73	432	0	891	281	869	780	497
OTU_35	0	0	0	0	0	1	13	6	0	0	1259	416	838	1044	232
OTU_57	60	35	504	2	1029	710	119	116	394	178	78	90	111	112	80
OTU_28	1629	790	1	1054	61	2	0	0	0	0	4	2	0	0	0
OTU_46	0	0	37	9	362	319	592	446	845	209	131	162	101	269	7
OTU_26	21	15	77	34	612	67	38	73	113	64	681	301	259	363	635
OTU_59	0	0	24	0	0	579	171	127	2	0	475	407	584	540	224
OTU_81	0	167	192	58	26	443	491	551	389	303	40	106	119	70	29
OTU_119	0	427	4	373	573	52	108	209	258	815	0	0	0	0	0
OTU_49	0	0	0	0	3	32	188	199	5	0	460	393	475	671	370
OTU_13	4	120	101	161	517	27	69	1064	34	629	1	0	0	0	0
OTU_42	0	97	272	30	84	261	288	350	196	223	101	306	131	205	154
OTU_96	0	149	318	145	144	276	413	407	256	226	7	203	51	30	5
OTU_109	0	33	130	45	144	87	161	126	309	211	155	253	261	286	330
OTU_37	33	367	154	237	1194	10	63	49	16	90	58	47	37	72	37
OTU_58	0	0	0	0	12	75	88	80	94	14	422	359	396	366	494
OTU_31	159	11	3	50	1956	24	15	120	0	2	0	0	0	0	0
OTU_296	0	0	0	15	0	32	78	52	1147	1007	0	0	0	0	0
OTU_16	66	2167	4	23	0	0	5	2	1	0	21	2	10	4	15
OTU_193	0	0	36	0	59	826	468	638	80	0	57	15	26	18	11
OTU_90	0	0	0	0	0	96	73	63	21	2	347	137	731	419	193
OTU_32	39	39	0	0	1863	0	4	10	7	28	0	0	1	0	0
OTU_107	0	0	5	0	12	331	207	396	205	7	109	202	201	180	95
OTU_47	0	1	10	13	19	44	65	42	82	9	697	144	259	218	345
OTU_105	1	13	597	34	107	31	40	53	152	35	130	172	109	247	226
OTU_73	0	5	102	76	4	147	327	275	317	182	55	182	140	86	14
OTU_56	0	13	96	45	10	125	114	46	109	27	139	216	291	341	268
