"","Kingdom","Phylum","Class","Order","Famiy","Genus","N Patients","N Control","","BC-OA in Patients","BC-OA in Control","Beta","SE","P","FDR","FC","FC lower","FC upper","NA"
"k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068|g__GGB9760","Bacteria","Firmicutes","CFGB3068","OFGB3068","FGB3068","GGB9760",5,3,"",0.00344638669717453,0.000355661321533886,-9.05546063060624,2.01372181933281,6.89586446341396e-06,0.00157956969452015,0.000116751754860142,2.25501170012283e-06,0.00604474569341709,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9699","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9699",5,4,"",0.00307922408387818,0.0010233940338735,-8.12839935049625,1.8608773790322,1.25362674168266e-05,0.00157956969452015,0.000295040078805135,7.68900621667332e-06,0.011321183212543,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9708","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9708",3,4,"",0.000383034766515717,0.000631955444855256,-7.10727580032909,1.66286564952277,1.91899642562293e-05,0.00161195699752326,0.00081912341112473,3.14694767682134e-05,0.0213210778048378,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB1663","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","GGB1663",3,2,"",0.00034245655649568,0.000236999475016873,-7.24894966209441,1.91820104928091,0.00015743704624499,0.00991853391343436,0.000710920703795562,1.65582892801036e-05,0.030522974839706,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",6,0,"",0.00838925428167107,2.7091970264003e-05,-6.09450214153121,1.68297948695048,0.000293174496276932,0.0125456603599272,0.00225523264793942,8.32933423334173e-05,0.0610621948147146,""
"k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989|g__GGB9712","Bacteria","Firmicutes","CFGB9989","OFGB9989","FGB9989","GGB9712",2,2,"",0.000157571993121122,0.000209140293533134,-7.09372596822354,1.96153295984298,0.000298706199045885,0.0125456603599272,0.000830297931287505,1.77641074906205e-05,0.0388082911040879,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3746","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3746",2,6,"",0.000107947067902909,0.026991623777925,9.88592407824743,2.78555860951765,0.000386709431179846,0.0139215395224744,19651.7972898575,83.6155245820662,4618677.43642049,""
"k__Bacteria|p__Firmicutes|c__CFGB76046|o__OFGB76046|f__FGB76046|g__GGB55957","Bacteria","Firmicutes","CFGB76046","OFGB76046","FGB76046","GGB55957",0,4,"",1.5579749128273e-05,0.000649148866054404,7.0192677145391,2.0565634764416,0.000642271186975788,0.0202315423897373,1117.96764646944,19.8539563717972,62952.2718367538,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9635",2,3,"",0.000188091390822746,0.000663419067587825,-7.47434102016094,2.25079850870248,0.000897756472865708,0.0240723078011733,0.000567459588882999,6.88678570870849e-06,0.0467577181337403,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia",9,7,"",0.628878812760887,0.0255971132025999,-9.1795062575352,2.77881789805285,0.000955250309570369,0.0240723078011733,0.000103131440952852,4.44645128166486e-07,0.0239204107708772,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB33469","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB33469",2,3,"",0.000134901690901885,0.000465211508728353,-6.08764128448938,1.89531995700518,0.0013184498190871,0.0274032555142085,0.00227075867676254,5.53148914863408e-05,0.0932180255540342,""
