Samples,Bacillus firmus,Bacillus megaterium,Bacillus thuringiensis,Bacillus subtilis,Bacillus subterraneus,Bacillus asahii,Bacillus pumilus,Candidimonas bauzanensis,Fictibacillus phosphorivorans,Aspergillus niger ,Fusarium oxysporum,Chaetomium globosum ,Gymnascella hyalinospora,Penicillium chrysogenum ,Fusarium solani ,Trichocladium asperum,Aspergillus ustus,Aspergillus terreus ,Pseudallescheria boydii
CK1,0.333333333,0.031007752,0.11627907,0,0.007751938,0.162790698,0,0,0.054263566,0.339393939,0.139393939,0.139393939,0.272727273,0.006060606,0.006060606,0,0,0,0
CK2,0.32,0.08,0.07,0,0.03,0.15,0,0,0.03,0.129770992,0.152671756,0.221374046,0.167938931,0.038167939,0,0,0,0,0
CK3,0.358208955,0.089552239,0.029850746,0,0,0.059701493,0,0,0.074626866,0.028037383,0.130841121,0.177570093,0.308411215,0.009345794,0.009345794,0,0,0,0
LGA1,0.179487179,0.017094017,0.136752137,0.008547009,0,0.128205128,0.008547009,0.162393162,0.05982906,0.158730159,0.03968254,0.063492063,0.253968254,0,0.166666667,0.174603175,0.007936508,0,0
LGA2,0.090163934,0.008196721,0.180327869,0.024590164,0,0.081967213,0.008196721,0.221311475,0.040983607,0.025641026,0.076923077,0.076923077,0.222222222,0.068376068,0.102564103,0.05982906,0.034188034,0,0
LGA3,0.064516129,0.053763441,0.150537634,0.032258065,0,0.129032258,0.010752688,0.279569892,0.043010753,0.352941176,0.100840336,0.050420168,0.084033613,0.042016807,0.092436975,0.084033613,0.016806723,0,0
MGA1,0.3125,0.125,0.145833333,0,0.0625,0.125,0,0,0.041666667,0.022058824,0.029411765,0.205882353,0.279411765,0,0.080882353,0.198529412,0,0,0
MGA2,0.348837209,0.069767442,0.093023256,0.023255814,0.023255814,0.209302326,0,0,0.023255814,0.019230769,0.048076923,0.211538462,0.144230769,0,0.038461538,0.144230769,0,0,0
MGA3,0.105882353,0.011764706,0.023529412,0.482352941,0.035294118,0.094117647,0,0,0.023529412,0.047619048,0.007936508,0.174603175,0.150793651,0,0.023809524,0.388888889,0,0,0
HGA1,0.023809524,0.015873016,0.055555556,0.015873016,0,0,0.547619048,0,0,0,0.096491228,0.157894737,0.271929825,0.026315789,0,0.026315789,0,0.157894737,0.070175439
HGA2,0.092783505,0.010309278,0.06185567,0.020618557,0,0.020618557,0.06185567,0,0,0.05982906,0.042735043,0.222222222,0.11965812,0.179487179,0,0.017094017,0,0.153846154,0.076923077
HGA3,0,0,0.057692308,0,0,0.009615385,0.355769231,0,0,0.028846154,0.048076923,0.153846154,0.25,0.028846154,0,0.048076923,0,0.067307692,0.153846154
LGB1,0.058139535,0.011627907,0,0.01744186,0,0.162790698,0.011627907,0.203488372,0.023255814,0.00729927,0.065693431,0.255474453,0.02919708,0.03649635,0,0.03649635,0.00729927,0.03649635,0.131386861
LGB2,0.111111111,0.015873016,0,0.047619048,0.007936508,0.134920635,0.007936508,0.158730159,0.03968254,0.03649635,0.094890511,0.306569343,0.102189781,0.01459854,0,0.072992701,0.00729927,0.01459854,0.138686131
LGB3,0.038461538,0.006410256,0,0.025641026,0.006410256,0.108974359,0.153846154,0.205128205,0.012820513,0.025641026,0.128205128,0.333333333,0.085470085,0.017094017,0,0.170940171,0.017094017,0.008547009,0.017094017
MGB1,0.223300971,0.087378641,0,0.077669903,0.058252427,0,0.009708738,0.174757282,0.009708738,0.007042254,0.049295775,0.408450704,0,0.063380282,0.035211268,0.035211268,0.014084507,0.014084507,0.161971831
MGB2,0.205882353,0.039215686,0,0.039215686,0.029411765,0,0.019607843,0.274509804,0.088235294,0.021126761,0.028169014,0.408450704,0,0.084507042,0.028169014,0.035211268,0.007042254,0.042253521,0.147887324
MGB3,0.181818182,0.022727273,0,0.011363636,0,0,0.022727273,0.204545455,0.011363636,0.016949153,0.033898305,0.457627119,0,0.084745763,0.016949153,0.016949153,0.016949153,0.016949153,0.194915254
HGB1,0.182608696,0.043478261,0,0.008695652,0.017391304,0,0,0.165217391,0.008695652,0.082417582,0.065934066,0.131868132,0,0.038461538,0.005494505,0.087912088,0.010989011,0.10989011,0.065934066
HGB2,0.126126126,0.045045045,0.027027027,0.027027027,0.036036036,0,0.009009009,0.18018018,0.009009009,0.08988764,0.039325843,0.08988764,0,0.073033708,0.011235955,0.033707865,0.016853933,0.235955056,0.106741573
HGB3,0.155963303,0.091743119,0.018348624,0,0.036697248,0,0.018348624,0.082568807,0,0.083916084,0.097902098,0.202797203,0,0.048951049,0,0.055944056,0.027972028,0.118881119,0.062937063
