Samples,pH,AK,AP,OM,NH4,NO3,Wc,Pb,Salt,Bacillus firmus,Bacillus megaterium,Bacillus thuringiensis,Bacillus subtilis,Bacillus subterraneus,Bacillus asahii,Bacillus pumilus,Candidimonas bauzanensis,Fictibacillus phosphorivorans,Aspergillus niger ,Fusarium oxysporum,Chaetomium globosum ,Gymnascella hyalinospora,Penicillium chrysogenum ,Fusarium solani ,Trichocladium asperum,Aspergillus ustus,Aspergillus terreus ,Pseudallescheria boydii
CK1,7.97,830.25,334.6,25.79347138,5.897659532,0.405140951,26.88964196,0.970094943,0.312420618,0.333333333,0.031007752,0.11627907,0,0.007751938,0.162790698,0,0,0.054263566,0.339393939,0.139393939,0.139393939,0.272727273,0.006060606,0.006060606,0,0,0,0
CK2,8.3,626.75,317.05,24.88432909,5.879453569,0.457644829,25.92508898,0.960420207,0.310917903,0.32,0.08,0.07,0,0.03,0.15,0,0,0.03,0.129770992,0.152671756,0.221374046,0.167938931,0.038167939,0,0,0,0,0
CK3,8.42,503,230.95,24.35713469,6.048387612,0.423901208,28.80416607,0.871936083,0.316762827,0.358208955,0.089552239,0.029850746,0,0,0.059701493,0,0,0.074626866,0.028037383,0.130841121,0.177570093,0.308411215,0.009345794,0.009345794,0,0,0,0
LGA1,8.03,818.5,277.4,22.82746094,5.847511602,0.59299779,26.27291242,1.010747258,0.304649413,0.179487179,0.017094017,0.136752137,0.008547009,0,0.128205128,0.008547009,0.162393162,0.05982906,0.158730159,0.03968254,0.063492063,0.253968254,0,0.166666667,0.174603175,0.007936508,0,0
LGA2,7.87,993.75,286.45,23.00774989,6.309646576,0.575587808,27.58706934,0.908030889,0.292128373,0.090163934,0.008196721,0.180327869,0.024590164,0,0.081967213,0.008196721,0.221311475,0.040983607,0.025641026,0.076923077,0.076923077,0.222222222,0.068376068,0.102564103,0.05982906,0.034188034,0,0
LGA3,7.87,832.5,257.3,24.99311001,5.999263951,0.708517421,28.24453075,0.894291549,0.300377642,0.064516129,0.053763441,0.150537634,0.032258065,0,0.129032258,0.010752688,0.279569892,0.043010753,0.352941176,0.100840336,0.050420168,0.084033613,0.042016807,0.092436975,0.084033613,0.016806723,0,0
MGA1,8.35,824.25,266.35,30.3284812,6.28447888,0.331245484,30.3235784,0.913349691,0.257573556,0.3125,0.125,0.145833333,0,0.0625,0.125,0,0,0.041666667,0.022058824,0.029411765,0.205882353,0.279411765,0,0.080882353,0.198529412,0,0,0
MGA2,8.19,829,275.4,33.11634969,6.22154249,0.704775139,30.33238933,0.80396746,0.25514695,0.348837209,0.069767442,0.093023256,0.023255814,0.023255814,0.209302326,0,0,0.023255814,0.019230769,0.048076923,0.211538462,0.144230769,0,0.038461538,0.144230769,0,0,0
MGA3,8.02,874.25,323.55,33.84155758,6.470551804,0.808855782,32.0768903,0.826109698,0.254519235,0.105882353,0.011764706,0.023529412,0.482352941,0.035294118,0.094117647,0,0,0.023529412,0.047619048,0.007936508,0.174603175,0.150793651,0,0.023809524,0.388888889,0,0,0
HGA1,8.05,917.75,280.75,31.89023991,5.924645184,0.524699759,25.59554432,0.916529329,0.177381372,0.023809524,0.015873016,0.055555556,0.015873016,0,0,0.547619048,0,0,0,0.096491228,0.157894737,0.271929825,0.026315789,0,0.026315789,0,0.157894737,0.070175439
HGA2,8.04,943.5,277.1,31.83705447,6.210411218,0.586272793,29.41852245,0.834030539,0.177826227,0.092783505,0.010309278,0.06185567,0.020618557,0,0.020618557,0.06185567,0,0,0.05982906,0.042735043,0.222222222,0.11965812,0.179487179,0,0.017094017,0,0.153846154,0.076923077
HGA3,8.05,860.25,262.45,30.52832736,6.317854472,0.55952439,30.83411434,0.792193997,0.178368207,0,0,0.057692308,0,0,0.009615385,0.355769231,0,0,0.028846154,0.048076923,0.153846154,0.25,0.028846154,0,0.048076923,0,0.067307692,0.153846154
LGB1,8.09,1142,414.65,36.12551327,6.105338625,0.428449656,27.50606851,0.92757938,0.357716284,0.058139535,0.011627907,0,0.01744186,0,0.162790698,0.011627907,0.203488372,0.023255814,0.00729927,0.065693431,0.255474453,0.02919708,0.03649635,0,0.03649635,0.00729927,0.03649635,0.131386861
LGB2,8.02,1027.75,400.8,32.65194222,6.121887889,0.653132244,28.68213076,0.679659246,0.361407403,0.111111111,0.015873016,0,0.047619048,0.007936508,0.134920635,0.007936508,0.158730159,0.03968254,0.03649635,0.094890511,0.306569343,0.102189781,0.01459854,0,0.072992701,0.00729927,0.01459854,0.138686131
LGB3,7.97,991.25,365.4,35.85223525,6.60085403,0.532278571,33.30559985,0.820453155,0.362570989,0.038461538,0.006410256,0,0.025641026,0.006410256,0.108974359,0.153846154,0.205128205,0.012820513,0.025641026,0.128205128,0.333333333,0.085470085,0.017094017,0,0.170940171,0.017094017,0.008547009,0.017094017
MGB1,7.68,1321.5,550.25,35.84673007,6.063159765,1.034334486,27.33491825,0.838489563,0.228666589,0.223300971,0.087378641,0,0.077669903,0.058252427,0,0.009708738,0.174757282,0.009708738,0.007042254,0.049295775,0.408450704,0,0.063380282,0.035211268,0.035211268,0.014084507,0.014084507,0.161971831
MGB2,7.58,1199,492.5,34.21910678,6.33059758,0.944384937,31.02388922,0.762799827,0.223951672,0.205882353,0.039215686,0,0.039215686,0.029411765,0,0.019607843,0.274509804,0.088235294,0.021126761,0.028169014,0.408450704,0,0.084507042,0.028169014,0.035211268,0.007042254,0.042253521,0.147887324
MGB3,7.38,1226.5,567.35,38.86175037,6.275242806,0.83506223,30.75965131,0.959546762,0.223534379,0.181818182,0.022727273,0,0.011363636,0,0,0.022727273,0.204545455,0.011363636,0.016949153,0.033898305,0.457627119,0,0.084745763,0.016949153,0.016949153,0.016949153,0.016949153,0.194915254
HGB1,8.08,1027.25,393.3,37.93766328,6.228395915,0.240833204,29.66086197,1.037668561,0.35459784,0.182608696,0.043478261,0,0.008695652,0.017391304,0,0,0.165217391,0.008695652,0.082417582,0.065934066,0.131868132,0,0.038461538,0.005494505,0.087912088,0.010989011,0.10989011,0.065934066
HGB2,8.27,880.25,352.1,35.09363607,6.398893685,0.190051607,31.91323041,0.946508547,0.344458902,0.126126126,0.045045045,0.027027027,0.027027027,0.036036036,0,0.009009009,0.18018018,0.009009009,0.08988764,0.039325843,0.08988764,0,0.073033708,0.011235955,0.033707865,0.016853933,0.235955056,0.106741573
HGB3,8.32,778.75,297.65,27.10206603,6.29238903,0.131265355,30.52241399,0.956004384,0.354306959,0.155963303,0.091743119,0.018348624,0,0.036697248,0,0.018348624,0.082568807,0,0.083916084,0.097902098,0.202797203,0,0.048951049,0,0.055944056,0.027972028,0.118881119,0.062937063
