"","one"
"num.edges",241
"num.pos.edges",0
"num.neg.edges",0
"num.vertices",126
"connectance",0.0306031746031746
"average.degree",3.82539682539683
"average.path.length",3.83081155433287
"diameter",8
"edge.connectivity",0
"clustering.coefficient",0
"no.clusters",2
"centralization.degree",0.273396825396825
"centralization.betweenness",0.405400604078408
"centralization.closeness",1.44578267963194
