"","one","Means","SD"
"num.edges",241,241,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",126,126,0
"connectance",0.0306031746031746,0.0306031746031746,0
"average.degree",3.82539682539683,3.82539682539683,0
"average.path.length",3.83081155433287,3.67687794358337,0.0527776190755342
"diameter",8,7.79,0.700576962801433
"edge.connectivity",0,0.04,0.196946385566932
"clustering.coefficient",0,0.0299799518231885,0.0102450473003652
"no.clusters",2,3.55,1.48647097502641
"centralization.degree",0.273396825396825,0.0460368253968254,0.0103079061546431
"centralization.betweenness",0.405400604078408,0.0781610883139499,0.0209461802948878
"centralization.closeness",1.44578267963194,NA,NA
