"source","target","correlation","direct","cor"
"NO3.N","bac_ASV_165",0.777089783281734,"undirected","+"
"TG","bac_ASV_165",0.760577915376677,"undirected","+"
"RGR","bac_ASV_165",0.64499484004128,"undirected","+"
"LRL2","bac_ASV_165",-0.711042311661507,"undirected","-"
"Height","bac_ASV_367",-0.663570691434468,"undirected","-"
"TG","bac_ASV_367",-0.640866873065016,"undirected","-"
"RGR","bac_ASV_367",-0.768833849329205,"undirected","-"
"LRL2","bac_ASV_367",0.78328173374613,"undirected","+"
"FRB","bac_ASV_46",-0.754385964912281,"undirected","-"
"LRW2","bac_ASV_46",-0.742002063983488,"undirected","-"
"MaxO","bac_ASV_46",-0.661506707946336,"undirected","-"
"NO3.N","bac_ASV_142",0.729618163054696,"undirected","+"
"TG","bac_ASV_142",0.667698658410733,"undirected","+"
"FRB","bac_ASV_417",-0.671826625386997,"undirected","-"
"LRW2","bac_ASV_417",-0.70485036119711,"undirected","-"
"NO3.N","bac_ASV_70",0.675954592363261,"undirected","+"
"MaxO","bac_ASV_70",0.737874097007224,"undirected","+"
"FRB","bac_ASV_94",0.65531475748194,"undirected","+"
"MaxO","bac_ASV_94",0.649122807017544,"undirected","+"
"RGR","bac_ASV_180",0.725490196078431,"undirected","+"
"LRL2","bac_ASV_180",-0.708978328173375,"undirected","-"
"NO3.N","bac_ASV_76",-0.692466460268318,"undirected","-"
"RGR","bac_ASV_76",-0.64499484004128,"undirected","-"
"Height","bac_ASV_134",0.671826625386997,"undirected","+"
"MaxO","bac_ASV_134",-0.669762641898865,"undirected","-"
"LB","bac_ASV_725",-0.64523689493491,"undirected","-"
"MaxO","bac_ASV_725",-0.724076129685799,"undirected","-"
"LA","bac_ASV_136",-0.731682146542828,"undirected","-"
"LA","bac_ASV_5",-0.69453044375645,"undirected","-"
"NO3.N","bac_ASV_162",-0.665634674922601,"undirected","-"
"LA","bac_ASV_842",-0.791108207045646,"undirected","-"
"LB","bac_ASV_336",-0.684210526315789,"undirected","-"
"LB","bac_ASV_72",-0.696594427244582,"undirected","-"
"RGR","bac_ASV_54",0.651186790505676,"undirected","+"
"NO3.N","bac_ASV_298",-0.632610939112487,"undirected","-"
"LRN1","bac_ASV_114",-0.725490196078431,"undirected","-"
"TG","bac_ASV_40",0.630546955624355,"undirected","+"
"TG","bac_ASV_78",0.713106295149639,"undirected","+"
"MaxO","bac_ASV_185",-0.663570691434468,"undirected","-"
"LB","bac_ASV_35",-0.79360165118679,"undirected","-"
"CN","bac_ASV_196",-0.632610939112487,"undirected","-"
"LRL2","bac_ASV_87",0.657378740970072,"undirected","+"
"NO3.N","bac_ASV_218",0.717234262125903,"undirected","+"
"LRN1","bac_ASV_149",0.698658410732714,"undirected","+"
"NO3.N","bac_ASV_299",0.692466460268318,"undirected","+"
"AP","bac_ASV_67",0.690402476780186,"undirected","+"
"LB","bac_ASV_60",-0.690402476780186,"undirected","-"
"LB","bac_ASV_55",-0.669762641898865,"undirected","-"
"MaxO","bac_ASV_50",0.737874097007224,"undirected","+"
"TG","bac_ASV_83",0.686274509803922,"undirected","+"
"NO3.N","bac_ASV_64",0.661506707946336,"undirected","+"
"RGR","bac_ASV_228",-0.630546955624355,"undirected","-"
"AP","bac_ASV_95",0.706914344685243,"undirected","+"
"LA","bac_ASV_16",-0.665634674922601,"undirected","-"
"MaxO","bac_ASV_19",-0.719298245614035,"undirected","-"
"MaxO","bac_ASV_59",-0.671826625386997,"undirected","-"
"MaxO","bac_ASV_278",-0.791537667698658,"undirected","-"
"SOC","bac_ASV_143",0.725490196078431,"undirected","+"
"TN","bac_ASV_143",0.634674922600619,"undirected","+"
"AK","bac_ASV_143",-0.665634674922601,"undirected","-"
"Height","bac_ASV_143",-0.77296181630547,"undirected","-"
"RGR","bac_ASV_143",-0.671826625386997,"undirected","-"
"LRN2","bac_ASV_143",0.69453044375645,"undirected","+"
"SOC","bac_ASV_229",0.688338493292054,"undirected","+"
"AK","bac_ASV_229",-0.663570691434468,"undirected","-"
"Height","bac_ASV_229",-0.661506707946336,"undirected","-"
"LRN2","bac_ASV_229",0.634674922600619,"undirected","+"
"LRL1","bac_ASV_229",0.634674922600619,"undirected","+"
"SOC","bac_ASV_113",0.632610939112487,"undirected","+"
"TN","bac_ASV_113",0.653250773993808,"undirected","+"
"LRN2","bac_ASV_113",0.634674922600619,"undirected","+"
"BI","bac_ASV_113",0.690402476780186,"undirected","+"
"AK","bac_ASV_232",-0.742002063983488,"undirected","-"
"Height","bac_ASV_232",-0.731682146542828,"undirected","-"
"LRN2","bac_ASV_232",0.628482972136223,"undirected","+"
"BI","bac_ASV_232",0.682146542827657,"undirected","+"
"AK","bac_ASV_48",0.760577915376677,"undirected","+"
"Height","bac_ASV_48",0.739938080495356,"undirected","+"
"RGR","bac_ASV_48",0.702786377708978,"undirected","+"
"LRN2","bac_ASV_48",-0.673890608875129,"undirected","-"
"AK","bac_ASV_227",-0.628482972136223,"undirected","-"
"Height","bac_ASV_227",-0.721362229102167,"undirected","-"
"LRN2","bac_ASV_227",0.636738906088751,"undirected","+"
"AK","bac_ASV_244",-0.657378740970072,"undirected","-"
"Height","bac_ASV_244",-0.756449948400413,"undirected","-"
"LRN2","bac_ASV_244",0.632610939112487,"undirected","+"
"AK","bac_ASV_400",0.634674922600619,"undirected","+"
"Height","bac_ASV_400",0.752321981424149,"undirected","+"
"BI","bac_ASV_400",-0.678018575851393,"undirected","-"
"AK","bac_ASV_286",-0.659442724458204,"undirected","-"
"Height","bac_ASV_286",-0.667698658410733,"undirected","-"
"RGR","bac_ASV_286",-0.665634674922601,"undirected","-"
"AK","bac_ASV_77",0.634674922600619,"undirected","+"
"Height","bac_ASV_77",0.752321981424149,"undirected","+"
"RGR","bac_ASV_77",0.803921568627451,"undirected","+"
"Height","bac_ASV_290",-0.803921568627451,"undirected","-"
"RGR","bac_ASV_290",-0.756449948400413,"undirected","-"
"LRN2","bac_ASV_290",0.640866873065016,"undirected","+"
"AK","bac_ASV_92",-0.729618163054696,"undirected","-"
"Height","bac_ASV_92",-0.808049535603715,"undirected","-"
"RGR","bac_ASV_92",-0.638802889576883,"undirected","-"
"Height","bac_ASV_133",-0.74406604747162,"undirected","-"
"RGR","bac_ASV_133",-0.628482972136223,"undirected","-"
"AK","bac_ASV_39",-0.663570691434468,"undirected","-"
"Height","bac_ASV_39",-0.653250773993808,"undirected","-"
"AK","bac_ASV_359",0.692466460268318,"undirected","+"
"SB","bac_ASV_359",0.64499484004128,"undirected","+"
"Height","bac_ASV_122",-0.756449948400413,"undirected","-"
"RGR","bac_ASV_122",-0.700722394220846,"undirected","-"
"AK","bac_ASV_130",-0.70485036119711,"undirected","-"
"MaxO","bac_ASV_130",0.632610939112487,"undirected","+"
"AK","bac_ASV_178",-0.669762641898865,"undirected","-"
"Height","bac_ASV_178",-0.797729618163055,"undirected","-"
"Height","bac_ASV_135",-0.770897832817337,"undirected","-"
"LRN2","bac_ASV_135",0.628482972136223,"undirected","+"
"AK","bac_ASV_75",-0.640866873065016,"undirected","-"
"Height","bac_ASV_75",-0.752321981424149,"undirected","-"
"AK","bac_ASV_206",-0.713106295149639,"undirected","-"
"Height","bac_ASV_206",-0.750257997936017,"undirected","-"
"Height","bac_ASV_874",-0.668043455055666,"undirected","-"
"BI","bac_ASV_34",-0.702786377708978,"undirected","-"
"AK","bac_ASV_312",0.65531475748194,"undirected","+"
"Height","bac_ASV_62",-0.651186790505676,"undirected","-"
"LRN2","bac_ASV_79",0.725490196078431,"undirected","+"
"BI","bac_ASV_99",0.659442724458204,"undirected","+"
"AK","bac_ASV_148",0.634674922600619,"undirected","+"
"AK","bac_ASV_3",0.69453044375645,"undirected","+"
"Height","bac_ASV_386",0.735810113519092,"undirected","+"
"Height","bac_ASV_707",-0.781217750257998,"undirected","-"
"LRN2","bac_ASV_342",0.698658410732714,"undirected","+"
"Height","bac_ASV_82",-0.746130030959752,"undirected","-"
"BI","bac_ASV_36",0.642930856553148,"undirected","+"
"Height","bac_ASV_28",-0.810113519091847,"undirected","-"
"Height","bac_ASV_334",-0.638802889576883,"undirected","-"
"Height","bac_ASV_451",-0.644295387874398,"undirected","-"
"AK","bac_ASV_44",-0.632610939112487,"undirected","-"
"AK","bac_ASV_88",-0.667698658410733,"undirected","-"
"AK","bac_ASV_324",-0.661506707946336,"undirected","-"
