	A	B	C	D	Taxonomy
Ustilago	1	1	1	0	Taxonomy3
Vanrija	1	1	1	1	Taxonomy4
Verticillium	1	0	0	0	Taxonomy1
Sawadaea	0	0	0	1	Taxonomy2
Tomentella	0	0	0	1	Taxonomy3
Trichaptum	1	0	0	1	Taxonomy4
Phellinus	1	0	0	0	Taxonomy1
Fusicolla	1	1	1	1	Taxonomy2
Geastrum	0	0	1	1	Taxonomy3
Geotrichum	0	0	0	1	Taxonomy4
Fibroporia	0	0	1	0	Taxonomy1
Dothidea	1	1	1	0	Taxonomy2
Entomocorticium	1	1	1	1	Taxonomy3
Eutypella	0	0	1	0	Taxonomy4
Guehomyces	1	1	1	1	Taxonomy1
Irpex	1	0	0	1	Taxonomy2
Lacrymaria	0	1	1	0	Taxonomy3
Lepidosphaeria	0	0	1	1	Taxonomy4
Hyphodontia	1	0	1	0	Taxonomy1
Hyalorbilia	1	1	0	0	Taxonomy2
Hymenochaete	0	1	0	0	Taxonomy3
Hyphodermella	1	0	1	1	Taxonomy4
Dictyophora	1	0	1	1	Taxonomy1
Ascobolus	1	1	1	1	Taxonomy2
Boletus	1	1	1	1	Taxonomy3
Bulleromyces	1	1	1	1	Taxonomy4
Artomyces	1	0	0	1	Taxonomy1
Agrocybe	1	0	0	0	Taxonomy2
Amphinema	0	0	1	0	Taxonomy3
Arachnomyces	0	1	1	0	Taxonomy4
Byssomerulius	0	0	1	0	Taxonomy1
Clonostachys	1	1	0	1	Taxonomy2
Daedaleopsis	1	1	0	0	Taxonomy3
Datronia	1	0	1	1	Taxonomy4
Cinereomyces	0	1	1	0	Taxonomy1
Ceratocystis	0	0	1	0	Taxonomy2
Cercospora	1	1	1	1	Taxonomy3
Ceriporia	1	0	0	0	Taxonomy4
Meira	1	1	0	0	Taxonomy1
Monascus	1	1	1	1	Taxonomy2
Mycoacia	0	0	1	0	Taxonomy3
Perenniporia	1	0	0	0	Taxonomy4
Paracamarosporium	1	1	1	1	Taxonomy1
Microascus	1	1	1	1	Taxonomy2
Oxyporus	0	1	0	1	Taxonomy3
Merulius	1	0	0	1	Taxonomy4
Melanconiella	0	0	1	1	Taxonomy1
Melanohalea	1	0	1	0	Taxonomy2
Madurella	1	1	1	1	Taxonomy3
Ochroconis	1	0	0	0	Taxonomy4
Macrophomina	1	0	1	0	Taxonomy1
Massarina	1	1	1	0	Taxonomy2
Phaeophlebiopsis	0	1	1	1	Taxonomy3
Lodderomyces	1	1	1	1	Taxonomy4
Calloria	0	1	0	0	Taxonomy1
Pleurotus	1	0	0	0	Taxonomy2
Calycina	0	0	0	1	Taxonomy3
Tumularia	0	1	0	0	Taxonomy4
Ophiocordyceps	0	0	1	1	Taxonomy1
Ceratobasidium	1	0	0	0	Taxonomy2
Phallus	1	1	1	0	Taxonomy3
Amyloxenasma	0	0	0	1	Taxonomy4
Actinomucor	0	1	0	0	Taxonomy1
Phialemoniopsis	0	1	0	0	Taxonomy2
Antrodiella	0	1	0	0	Taxonomy3
Pilatoporus	1	1	1	0	Taxonomy4
Ulocladium	1	0	1	1	Taxonomy1
Phyllosticta	1	0	0	0	Taxonomy2
Botryosphaeria	1	1	0	0	Taxonomy3
Rhodosporidium	0	1	0	0	Taxonomy4
Megacollybia	1	1	1	1	Taxonomy1
Hanseniaspora	1	1	0	0	Taxonomy2
Gloeophyllum	0	0	0	1	Taxonomy3
Rhizophlyctis	1	1	1	0	Taxonomy4
Scutellinia	1	1	0	0	Taxonomy1
Schizothecium	1	1	1	0	Taxonomy2
Serpula	0	1	0	0	Taxonomy3
Saccharomyces	1	1	1	1	Taxonomy4
Kluyveromyces	1	0	0	1	Taxonomy1
Corticium	0	1	1	0	Taxonomy2
Cryptodiaporthe	1	0	0	0	Taxonomy3
Powellomyces	1	1	0	0	Taxonomy4
Myrothecium	1	1	0	0	Taxonomy1
Clitocybe	0	1	0	0	Taxonomy2
Microdochium	1	1	0	0	Taxonomy3
Remersonia	1	1	0	0	Taxonomy4
Didymella	1	1	1	1	Taxonomy1
Cylindrobasidium	1	0	0	1	Taxonomy2
Pseudotaeniolina	0	0	0	1	Taxonomy3
