,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28,Species29,Species30,Species31,Species32,Species33,Species34,Species35,Species36,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00529,0,0,0,0,0,0,0,0,0,6.7528,0.00707,0,0,0,1.50447,0,0.3664,0,0,0.01078,8.511577453,1.945910149,8.575839387,6.796823718,6.510258341,2.397895273,1.945910149,4.49980967,5.241747015,2.833213344,3.33220451,1.609437912,2.944438979,1.945910149,2.63905733,1.098612289,1.098612289,1.098612289,0,2.63905733,1.791759469,3.295836866,2.48490665,2.63905733,3.044522438,2.302585093,1.386294361,1.609437912,0,1.791759469,1.945910149,1.098612289,0.693147181,0,0,1.386294361,0,1.098612289,0,0,0,0
12,0.21895,0.89058,0.07734,1.25514,0,0,0.13663,0,0.45707,0,0,0.23042,5.00191,0.19673,0.53518,2.50962,0,0,0,0,3.01381,0.12094,0,0,0.00627,0.88874,0.0369,0,0.03427,5.63582,4.49157,0,0.06707,0,0,1.8217,9.616671771,7.800982071,7.732369222,7.150701458,5.129898715,5.170483995,5.159055299,4.574710979,2.564949357,5.84932478,3.850147602,2.944438979,3.828641396,3.688879454,0,3.17805383,3.891820298,4.394449155,2.63905733,3.761200116,1.386294361,0,3.871201011,4.553876892,2.564949357,3.713572067,3.663561646,0,2.48490665,0.693147181,3.713572067,3.433987204,2.564949357,3.33220451,0.693147181,0,0,0,0,0,2.197224577,3.135494216
13,0.16754,0.02706,0.32394,1.79949,0,0,0,0,0,0,0.08056,0,0,0.22078,0,0.77312,0.03897,0,0,0.02162,0,0,0,0,0,5.91667,0,0.07807,0.01828,0,0.02991,0.02318,0.66987,0,0,0,8.558527055,0,6.753437919,3.828641396,7.077498054,3.044522438,2.890371758,3.970291914,2.708050201,3.713572067,3.663561646,1.386294361,2.833213344,3.135494216,1.098612289,3.135494216,3.36729583,2.63905733,1.791759469,3.135494216,1.098612289,3.496507561,3.526360525,2.708050201,2.995732274,3.091042453,0.693147181,1.098612289,0,0.693147181,1.791759469,1.791759469,2.079441542,2.63905733,1.386294361,1.386294361,1.791759469,0,0,0,0,0.693147181
14,0,0.1725,0,0,0,0,0,0,0,0,0.01623,0,0,0,0,0.34019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3641,0,0,0.00112,9.727048659,3.135494216,6.452048954,6.152732695,3.610917913,3.258096538,4.127134385,4.043051268,3.135494216,4.043051268,4.007333185,2.197224577,2.397895273,2.48490665,2.079441542,2.772588722,1.945910149,3.465735903,2.708050201,1.945910149,0,1.945910149,2.302585093,1.386294361,0,2.772588722,0.693147181,1.098612289,0,1.945910149,2.564949357,3.295836866,0,0,0,0,0,0,0,0,0,0
15,0,0,0.00131,0.3612,0,0,0,0,0,0,0.08742,0,0,0,0,4.55863,0,0,0,0,0,0.11442,0,0,0,0,0,0,0,0,0,0.02343,0,0,0,0,10.54605171,3.737669618,8.776012719,6.536691598,5.455321115,3.761200116,2.833213344,3.988984047,3.555348061,3.465735903,3.36729583,3.33220451,3.401197382,2.48490665,3.36729583,2.995732274,3.433987204,3.295836866,3.258096538,2.079441542,2.48490665,1.945910149,3.17805383,2.995732274,2.944438979,3.218875825,3.526360525,3.761200116,0,2.63905733,2.079441542,2.302585093,1.098612289,1.791759469,2.564949357,1.609437912,2.397895273,0,0,0,0,0.693147181
16,0.06818,0.13359,0.10822,0.39044,0,0,2.91051,0,0,0,0.05089,0.33557,0,0.3024,0.24567,1.0759,0.07434,0,0,0.38105,0.16097,0.0029,2.9967,2.47123,0,0,0.0474,0,0,0,1.01676,0,0.44051,0,0.12571,0.58255,9.42577428,5.123963979,7.626082758,6.419994928,6.37502482,4.394449155,6.338594078,3.36729583,3.044522438,2.995732274,3.295836866,3.688879454,3.044522438,3.295836866,2.708050201,2.772588722,2.944438979,2.708050201,2.302585093,2.302585093,2.708050201,1.386294361,2.944438979,2.890371758,3.850147602,3.17805383,2.708050201,1.791759469,0,1.098612289,0.693147181,0.693147181,0,1.098612289,0.693147181,1.791759469,1.945910149,0,0,0,2.079441542,0
17,0,0.18595,0.00538,0.14258,0.02684,0,0.01308,0,0.00357,0,0,0.11939,0,0.00649,0.03102,0.23516,0.0243,0,0,0,0,0.01033,0.12255,5.93703,0,0.09285,0.00165,0.09164,0,0,0.01704,0.02488,0.07545,0,0,0.35489,9.236300474,4.007333185,6.208590026,2.63905733,4.727387819,3.295836866,4.406719247,4.276666119,4.709530201,3.555348061,2.890371758,3.555348061,2.772588722,2.63905733,2.708050201,1.386294361,2.197224577,2.48490665,1.945910149,3.091042453,2.079441542,1.791759469,2.397895273,0,1.791759469,1.791759469,2.079441542,1.791759469,1.098612289,0.693147181,1.098612289,1.386294361,1.098612289,2.197224577,2.397895273,1.098612289,0,2.079441542,0,2.772588722,0,0
18,0,0.07584,0.16127,0.99297,0,0,0.26599,0,0.21845,1.3196,0.04647,0.24964,0,0.04035,0.17422,0.18473,0.02039,0,0.14391,0.08328,0,0,1.423,3.46525,0.00068,1.81094,0,1.67733,0.15804,0,0.97305,2.72245,0,0,0,0.0092,10.5148551,5.717027701,8.350902452,7.518607217,5.159055299,5.099866428,3.496507561,4.17438727,3.135494216,4.812184355,4.94875989,3.044522438,4.382026635,4.644390899,3.044522438,3.988984047,3.931825633,4.127134385,3.555348061,3.091042453,4.007333185,0,3.80666249,3.465735903,3.091042453,4.262679877,4.17438727,3.583518938,1.098612289,3.761200116,2.833213344,3.17805383,3.784189634,2.772588722,2.564949357,3.912023005,3.36729583,0.693147181,0,0.693147181,0,1.098612289
19,0,0,0.10506,0.20439,0,0,0,0,0.21435,0,0,0.01303,0,0,0,2.59636,0,0,0,0,0,0,0.016,0,0,4.81181,0,0,0,0,0,0,0,0,0,0,8.921591064,4.077537444,8.031385331,4.077537444,4.442651256,4.127134385,0,6.308098442,4.574710979,2.772588722,3.258096538,1.386294361,3.63758616,2.708050201,4.406719247,2.079441542,2.63905733,1.386294361,3.63758616,1.098612289,2.995732274,2.302585093,2.708050201,2.079441542,1.386294361,0,3.496507561,0,0,0.693147181,1.098612289,0,1.098612289,1.098612289,0,2.197224577,1.386294361,2.302585093,0,0,0,0
20,0.67397,1.08373,0.02629,0.81886,0,0,0.11871,0,0.16542,0.26878,0.1324,0,0,0.19558,0.20663,0,0.05595,0.02821,0.09974,0.06197,5.32395,0.03132,2.285,0,0,0,0.03021,0.04468,0,0,1.17876,0,0.29652,0,0.00514,1.01471,9.833923089,11.48511224,6.148468296,6.380122537,6.470799504,6.538139824,4.718498871,4.304065093,4.094344562,2.890371758,3.044522438,3.044522438,2.63905733,2.63905733,3.218875825,2.302585093,2.197224577,1.386294361,2.48490665,2.48490665,4.077537444,1.609437912,2.564949357,2.397895273,2.564949357,1.098612289,2.302585093,0,5.010635294,1.098612289,2.48490665,2.197224577,2.197224577,0,2.197224577,1.098612289,0,1.791759469,1.609437912,2.708050201,0.693147181,0
