"","S1","S2","S3","S4","S5","S6","S7","S9","S10","S11","S12","S13","S15","S16","S17","S18","S19","S20","S22","S23","S24","S25","S26","S27","S28","S30","S34","S35","S36","S37","S61","S62","S63","S65","S85","S86","S87","S88","S89","S112","S113","S114","S161","S162","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S179","S182","S187","S188","S191","S194","S196","S197","S198","S201","S202","S203","S204","S205","S206","S207","S208","S209","S210","S213","S214","S215","S216","S217","S218","S219","S220","S221","S222","S223","S224","S225"
"OTU_6052",2,0,0,0,0,12,4,1,11,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
"OTU_3872",1,0,1,0,0,0,0,0,1,1,0,0,3,15,0,22,8,4,0,0,0,1,13,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,10,0,2,0,0,0,1,1,2,1,1,9,5,2,7,6,48,3,14,2,3,4,6,12,2
"OTU_2074",5,1,1,0,1,0,2,0,0,0,0,0,3,2,1,7,3,5,4,5,0,4,2,1,3,0,2,2,0,5,1,2,1,4,2,2,4,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0
"OTU_613",1,0,0,0,2,1,2,0,1,0,1,1,1,1,2,1,1,0,0,0,0,2,0,0,4,3,41,5,1,26,1,1,1,1,1,1,0,2,2,1,3,5,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,0,0
"OTU_9409",6,16,0,3,5,0,2,18,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,2,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,7,6,8,0,1,0,0,0,1,0,0,7,1,2,3,4,9,2,1,2,0,2,4,7,2
"OTU_1440",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"OTU_7866",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_6081",0,1,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,1,1,8,0,1,1,3,5,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_4669",0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,6,15,3,9,3,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,1,0,0,0,8
"OTU_6799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,2,0,1,1,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,2,2,0
"OTU_5162",2,3,0,1,0,1,0,3,0,0,2,0,6,0,6,9,13,7,0,0,0,0,7,6,3,0,3,3,0,25,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,2,1,1,0,1,1,2,0,2,1,1,0,1,0,2,1,2,1,0,3,7,17,8,1,1,3,3,11,1,3,12,16,4,22,16,51,6,14,13,7,5,5,15,16
"OTU_2107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_14086",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,3,3,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_11764",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_3009",0,0,0,0,0,0,0,0,0,0,0,0,10,3,7,1,2,2,1,0,0,0,0,0,48,0,0,0,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_7573",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"OTU_10384",0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,2,1,3,1,0,0,1,0,3,45,2,0,0,11,6,1,2,0,2,3,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
"OTU_1635",7,5,3,3,57,37,55,8,24,58,22,83,2,1,1,1,0,0,8,4,4,2,1,2,2,0,0,0,1,1,0,0,0,2,0,1,1,0,1,2,1,1,0,0,0,0,0,0,0,1,1,2,0,3,0,1,1,2,1,0,1,1,0,0,1,0,3,5,1,3,0,2,0,0,0,0,0,0,2,0,1,1,1,0,0,2,1,1,0,1
"OTU_6354",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2861",0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"OTU_155",1,2,2,1,2,2,3,1,2,2,0,0,3,1,2,4,2,2,1,1,1,2,0,2,1,0,2,1,1,4,3,5,22,267,1,2,3,3,0,83,188,240,30,54,6,125,35,6,5,16,91,94,106,19,13,17,19,7,1,3,4,1,0,1,6,2,2,2,1,2,3,2,1,2,0,5,2,2,1,1,0,2,4,1,1,1,2,0,1,4
"OTU_13115",0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,3,2,1,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0,0,0,0,2,8,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0,0,1,3
"OTU_2258",2,2,0,0,0,2,1,2,0,0,0,2,0,0,1,0,0,0,3,8,5,1,5,0,0,1,0,1,0,1,2,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2313",1,0,0,1,0,1,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_321",5,5,2,5,6,4,5,3,2,2,2,1,17,26,6,6,4,9,5,4,4,6,38,11,21,33,4,1,8,13,0,5,2,3,7,3,1,1,4,5,2,2,1,0,0,0,1,20,0,97,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,7,4,0,0,3,1,0,1,0,0,2,1,0,0,0,0,0,2,0,1,1,1,0,0
"OTU_1721",0,0,0,0,0,0,1,0,0,0,0,0,2,2,3,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,9,7,3,10,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_12015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_6295",1,1,0,0,1,0,0,0,2,0,1,0,5,0,3,7,2,6,0,0,1,1,12,2,10,25,2,1,4,5,4,7,2,2,1,1,1,0,1,1,1,3,3,2,4,0,0,2,4,2,0,0,0,0,0,0,6,1,1,2,0,0,0,0,0,2,3,1,0,0,3,0,0,0,1,1,0,2,1,1,0,2,4,1,0,1,2,0,3,0
"OTU_4530",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,6,4,2,9,41,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_4226",0,2,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,6,13,0,3,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,3,1,0,1,1,0
"OTU_2389",2,3,0,0,2,3,0,1,0,0,1,0,2,3,6,2,13,0,1,0,1,0,15,1,4,1,2,3,7,10,0,1,1,2,2,2,2,1,1,4,3,3,5,6,1,6,1,1,4,2,1,3,0,1,0,1,1,0,1,2,2,0,0,0,1,4,10,8,22,4,15,3,1,1,1,1,16,1,1,4,1,6,8,3,2,7,9,4,1,6
"OTU_5334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_2837",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_5825",1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_14305",1,3,5,1,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_2416",0,1,0,1,2,0,0,0,0,1,0,1,0,6,1,10,2,5,3,1,1,0,11,6,2,4,0,0,1,1,1,1,3,0,1,8,0,1,1,1,0,0,2,1,0,1,1,6,1,15,2,0,1,2,1,0,0,0,2,8,4,1,0,0,0,0,0,1,0,1,1,0,0,2,1,0,1,0,0,0,1,2,1,2,6,2,0,1,4,0
"OTU_5370",1,1,0,0,0,1,0,0,0,1,0,0,11,2,9,1,0,0,0,0,0,3,0,1,1,0,0,1,0,1,1,0,0,0,3,2,6,0,5,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,4,1,15,4,0,1,0,1,0,0,0,2,0,1,1,0,0,0
"OTU_453",0,2,1,0,0,1,0,0,0,1,0,1,1,0,2,0,0,4,0,0,0,1,1,1,2,0,2,1,0,1,1,3,11,6,2,0,0,0,0,326,50,304,10,2,0,1,2,6,68,15,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"OTU_754",0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,12,0,0,8,0,0,1,0,2,1,0,1,0,3,0,1,0,0,2,0,0,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_2365",6,4,5,21,20,1,33,6,5,4,2,3,0,0,0,0,1,0,10,15,12,3,0,0,1,1,1,0,0,3,0,0,1,0,0,0,1,1,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
"OTU_4599",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,1,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_3554",2,4,1,2,0,1,7,3,2,3,1,0,0,0,1,1,0,0,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_9922",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,3,7,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,3,3,0,0,0,0,0,1,0,0,1,3,17,0,0,0,4,1,0,0,0,0,1,0
"OTU_5959",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_4919",20,7,4,1,1,1,0,3,2,0,0,0,5,2,0,3,1,1,1,2,1,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,1,0,0,1,1
"OTU_9102",0,0,0,0,1,0,0,1,0,2,0,0,8,0,2,19,1,40,0,0,0,0,1,1,1,1,1,0,0,5,5,7,10,0,1,0,0,0,0,11,12,36,0,1,2,1,1,1,1,1,2,0,1,2,1,4,0,2,0,0,1,1,0,29,111,2,1,0,1,0,0,4,9,22,2,7,1,4,1,2,1,6,5,1,0,1,1,2,0,1
"OTU_11713",0,0,2,0,0,0,0,2,1,0,0,0,1,0,1,3,3,1,0,0,0,0,13,5,0,0,15,15,0,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,0,0,0,0,1,2,2,4,0,0,5,1,2,1,1,0,0,1,0,0,1
"OTU_9380",26,4,1,0,4,1,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,6,0,1,3,0,0,1,1,0,0,0,0,0,1
"OTU_5330",0,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,3,2,0,3,0,0,1,4,0,1,5,0,0,1,1,2,0,1,0,2,0,2,1,2,1,2,1,0,0,0,0,1,0,0,0,0,9,12,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
"OTU_5904",10,21,4,5,34,14,10,52,98,7,14,13,0,0,0,0,1,1,0,2,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,1,0,1,1,1,1,0,1,5,1,1,0,1,1,0,0,0
"OTU_191",6,2,2,1,2,1,3,1,1,0,0,1,4,1,2,4,1,1,1,3,2,3,22,5,1,0,2,1,2,1,0,2,2,4,1,0,1,1,3,3,3,6,0,1,1,1,0,0,1,1,1,2,1,0,1,0,1,1,0,1,2,0,0,0,1,1,1,0,2,1,1,0,0,0,0,0,4,37,1,0,0,0,0,1,3,1,2,2,5,1
"OTU_9060",1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,7,0,1,1,0,0,1,1,1,3,1,2,28,2,28,2,3,2,2,1,5,0,1,1,0,7,2,4,0,5
"OTU_5996",0,3,1,0,2,0,0,0,0,0,0,1,0,0,0,2,0,1,4,2,0,1,0,1,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_5237",1,1,1,1,0,0,0,0,0,0,0,0,0,7,0,3,1,1,0,0,0,0,3,0,2,2,30,60,6,12,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,11,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4,1,0,1,0,0,0,0
"OTU_3592",4,0,1,0,3,3,0,2,0,0,1,1,5,2,5,5,0,2,2,1,1,2,27,12,5,37,17,4,0,61,0,2,2,2,4,1,3,2,0,2,5,2,0,2,2,2,4,0,2,3,1,2,0,0,0,2,1,1,2,0,0,0,1,0,1,110,112,8,1,0,0,1,1,2,0,0,6,20,2,2,2,35,18,12,3,7,8,1,3,2
"OTU_6302",2,10,7,3,1,0,0,9,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
"OTU_6477",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_7103",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,5,0,0,0,0,0,0,1,0,1,0,1,0,2,1,2,1,1,0,3,0,1,0,1,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_3491",1,0,0,1,0,0,1,1,2,2,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0,0,3,2,24,64,19,52,58,1,0,0,0,1,0,2,2,0,1,1,1,1,1,1,1,1,0,0,0,0,18,18,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"OTU_2298",1,0,0,0,0,0,0,0,0,1,2,0,13,6,17,0,0,1,0,0,0,1,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_10118",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,6,1,0,0,0,1,0,0,0,0,6,0,1,0,0,0,4,6,0,3,5,1,0,1
"OTU_11785",2,3,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,4,1,0,1,0,4,1,8,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,1,2,0,1,0,1,0
"OTU_3080",0,0,0,0,0,0,1,1,0,0,0,0,11,0,10,1,0,3,1,1,1,0,1,0,14,3,1,0,10,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_7434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,1,0,2,1,1,3,0,0,0,0
"OTU_2497",11,3,1,1,3,2,2,0,4,1,0,1,0,1,1,0,3,2,1,1,1,2,1,1,2,1,2,0,1,0,2,1,2,2,1,4,1,0,3,0,1,0,0,4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,5,3,5,1,1,0,0,0,0,5,28,1,1,0,0,0,2,0,0,1,0,1,0,0,1,0,3,2,0,0,2,0
"OTU_8393",9,2,0,0,16,14,19,4,17,24,8,23,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,2,0,0,2,1,0,0,2,0,3,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,2,7,14,0,3,0,0,0,0,1,1,0,6,0,0,1,2,0,1,3,3,1,1,3
"OTU_1586",0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,2,2,3,0,2,0,0,0,4,1,2,3,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_898",0,1,1,0,1,0,1,0,0,0,0,1,23,8,19,4,1,5,3,0,0,0,0,1,2,0,0,2,0,2,0,1,3,2,0,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,0,0,0,0,6,10,1,2,9,6,11,0,0,2,18,1,7,4,0,27,25,8,6,21,8,8,8,9,3,11,16,1,17
"OTU_4411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"OTU_4185",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,1,4,2,0,1,2,0,0,0,1,0,0,0,1,1,1,1,3,16,52,3,0,0,1,2,1,0,0,9,0,1,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,1,0
"OTU_8993",12,3,1,0,0,4,7,9,13,16,4,6,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,1,4,0,0,0,0,1,0,0,14
"OTU_222",3,3,0,1,0,2,3,1,1,1,1,0,518,230,90,28,19,32,4,1,0,2,2,1,177,6,3,1,0,1,1,0,2,0,3,0,2,1,0,4,0,1,3,0,0,4,0,3,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,5,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"OTU_3370",0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,3,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
