"","S1","S2","S3","S4","S5","S6","S7","S9","S10","S11","S12","S13","S15","S16","S17","S18","S19","S20","S22","S23","S24","S25","S26","S27","S28","S30","S34","S35","S36","S37","S61","S62","S63","S65","S85","S86","S87","S88","S89","S112","S113","S114","S161","S162","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S179","S182","S187","S188","S191","S194","S196","S197","S198","S201","S202","S203","S204","S205","S206","S207","S208","S209","S210","S213","S214","S215","S216","S217","S218","S219","S220","S221","S222","S223","S224","S225"
"OTU_11016",0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_13742",1,1,1,0,1,1,0,1,1,0,0,0,15,3,15,15,15,8,4,2,1,3,10,2,22,1,0,0,0,6,9,1,0,10,7,3,0,6,1,2,1,2,0,0,0,0,3,3,1,0,2,2,1,0,1,0,0,0,1,0,2,0,2,2,8,4,7,2,7,9,3,4,3,4,1,16,8,22,5,0,1,0,3,1,2,1,4,5,1,2
"OTU_4502",1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,28,1,3,1,0,0,1,0,0,0,2,0,2,0,0,1,0,1,0,2,0,0,0,0,0,5,1,0,0,1,3
"OTU_5248",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"OTU_408",6,2,2,2,2,3,2,6,4,1,1,6,4,3,1,5,1,3,2,1,0,2,6,2,6,9,4,1,4,1,2,8,59,101,19,14,7,6,2,22,8,16,1,3,5,5,4,3,5,15,3,5,5,3,0,0,4,3,11,15,19,14,2,2,3,10,7,10,12,58,12,45,18,50,16,32,46,5,5,2,1,10,26,19,5,37,14,22,24,19
"OTU_4558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"OTU_4474",0,0,2,1,0,4,4,1,0,1,3,0,1,0,1,0,0,0,0,2,0,6,0,0,0,0,2,0,0,0,1,0,0,2,1,0,0,0,2,1,1,1,0,2,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,3,2,0,0,2,3,3,3
"OTU_4716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,5,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0
"OTU_5004",0,0,2,0,3,3,0,0,2,1,1,2,0,1,0,0,0,0,1,0,0,4,2,1,0,0,1,0,0,2,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,4,1,0,0,1,1,0,0,1,3
"OTU_6426",3,5,2,3,0,5,0,5,2,1,1,6,9,3,14,5,3,4,2,5,3,9,5,5,4,2,2,1,1,7,21,32,90,49,14,20,9,5,3,19,7,6,19,45,20,78,31,90,82,31,5,15,13,8,5,5,31,30,58,44,29,15,24,1,6,2,2,6,22,47,12,2,8,3,2,2,6,4,9,7,0,3,6,1,1,9,9,5,5,17
