	Site	Sitetre	Treatment	Soiltype	ComTreament	Compartments	SiteCom	Maize.variety	Growing.day
LYYCK4	YY	YYCK	CK	FS	LYYCK	P	YYL	JD20	66d
LYYCK5	YY	YYCK	CK	FS	LYYCK	P	YYL	JD20	66d
LYYCK6	YY	YYCK	CK	FS	LYYCK	P	YYL	JD20	66d
LYYCK7	YY	YYCK	CK	FS	LYYCK	P	YYL	JD20	66d
LYYCK8	YY	YYCK	CK	FS	LYYCK	P	YYL	JD20	66d
LYYCK9	YY	YYCK	CK	FS	LYYCK	P	YYL	JD20	66d
LYYNPK1	YY	YYNPK	NPK	FS	LYYNPK	P	YYL	JD20	66d
LYYNPK3	YY	YYNPK	NPK	FS	LYYNPK	P	YYL	JD20	66d
LYYNPK4	YY	YYNPK	NPK	FS	LYYNPK	P	YYL	JD20	66d
LYYNPK5	YY	YYNPK	NPK	FS	LYYNPK	P	YYL	JD20	66d
LYYNPK6	YY	YYNPK	NPK	FS	LYYNPK	P	YYL	JD20	66d
LYYNPK7	YY	YYNPK	NPK	FS	LYYNPK	P	YYL	JD20	66d
LYYNPK8	YY	YYNPK	NPK	FS	LYYNPK	P	YYL	JD20	66d
LYYNPK9	YY	YYNPK	NPK	FS	LYYNPK	P	YYL	JD20	66d
LYYNPKM1	YY	YYNPKM	NPKM	FS	LYYNPKM	P	YYL	JD20	66d
LYYNPKM2	YY	YYNPKM	NPKM	FS	LYYNPKM	P	YYL	JD20	66d
LYYNPKM3	YY	YYNPKM	NPKM	FS	LYYNPKM	P	YYL	JD20	66d
LYYNPKM4	YY	YYNPKM	NPKM	FS	LYYNPKM	P	YYL	JD20	66d
LYYNPKM5	YY	YYNPKM	NPKM	FS	LYYNPKM	P	YYL	JD20	66d
LYYNPKM6	YY	YYNPKM	NPKM	FS	LYYNPKM	P	YYL	JD20	66d
LYYNPKM7	YY	YYNPKM	NPKM	FS	LYYNPKM	P	YYL	JD20	66d
LYYNPKM8	YY	YYNPKM	NPKM	FS	LYYNPKM	P	YYL	JD20	66d
LYYNPKM9	YY	YYNPKM	NPKM	FS	LYYNPKM	P	YYL	JD20	66d
LCCCK1	CC	CCCK	CK	BS	LCCCK	P	CCL	LY66	115d
LCCCK2	CC	CCCK	CK	BS	LCCCK	P	CCL	LY66	115d
LCCCK3	CC	CCCK	CK	BS	LCCCK	P	CCL	LY66	115d
LCCCK4	CC	CCCK	CK	BS	LCCCK	P	CCL	LY66	115d
LCCCK5	CC	CCCK	CK	BS	LCCCK	P	CCL	LY66	115d
LCCCK6	CC	CCCK	CK	BS	LCCCK	P	CCL	LY66	115d
LCCCK7	CC	CCCK	CK	BS	LCCCK	P	CCL	LY66	115d
LCCCK8	CC	CCCK	CK	BS	LCCCK	P	CCL	LY66	115d
LCCCK9	CC	CCCK	CK	BS	LCCCK	P	CCL	LY66	115d
LCCNPK1	CC	CCNPK	NPK	BS	LCCNPK	P	CCL	LY66	115d
LCCNPK2	CC	CCNPK	NPK	BS	LCCNPK	P	CCL	LY66	115d
LCCNPK3	CC	CCNPK	NPK	BS	LCCNPK	P	CCL	LY66	115d
LCCNPK4	CC	CCNPK	NPK	BS	LCCNPK	P	CCL	LY66	115d
LCCNPK5	CC	CCNPK	NPK	BS	LCCNPK	P	CCL	LY66	115d
LCCNPK6	CC	CCNPK	NPK	BS	LCCNPK	P	CCL	LY66	115d
LCCNPK7	CC	CCNPK	NPK	BS	LCCNPK	P	CCL	LY66	115d
LCCNPK8	CC	CCNPK	NPK	BS	LCCNPK	P	CCL	LY66	115d
LCCNPK9	CC	CCNPK	NPK	BS	LCCNPK	P	CCL	LY66	115d
LCCNPKM1	CC	CCNPKM	NPKM	BS	LCCNPKM	P	CCL	LY66	115d
LCCNPKM2	CC	CCNPKM	NPKM	BS	LCCNPKM	P	CCL	LY66	115d
LCCNPKM3	CC	CCNPKM	NPKM	BS	LCCNPKM	P	CCL	LY66	115d
LCCNPKM4	CC	CCNPKM	NPKM	BS	LCCNPKM	P	CCL	LY66	115d
LCCNPKM5	CC	CCNPKM	NPKM	BS	LCCNPKM	P	CCL	LY66	115d
LCCNPKM6	CC	CCNPKM	NPKM	BS	LCCNPKM	P	CCL	LY66	115d
LCCNPKM7	CC	CCNPKM	NPKM	BS	LCCNPKM	P	CCL	LY66	115d
LCCNPKM8	CC	CCNPKM	NPKM	BS	LCCNPKM	P	CCL	LY66	115d
LCCNPKM9	CC	CCNPKM	NPKM	BS	LCCNPKM	P	CCL	LY66	115d
LEQYCK1	QY	QYCK	CK	RS	LEQYCK	LE	QYLE	YD13	116d
LEQYCK2	QY	QYCK	CK	RS	LEQYCK	LE	QYLE	YD13	116d
LEQYCK3	QY	QYCK	CK	RS	LEQYCK	LE	QYLE	YD13	116d
LEQYCK4	QY	QYCK	CK	RS	LEQYCK	LE	QYLE	YD13	116d
LEQYCK6	QY	QYCK	CK	RS	LEQYCK	LE	QYLE	YD13	116d
LEQYCK7	QY	QYCK	CK	RS	LEQYCK	LE	QYLE	YD13	116d
LEQYCK8	QY	QYCK	CK	RS	LEQYCK	LE	QYLE	YD13	116d
LEQYNPK1	QY	QYNPK	NPK	RS	LEQYNPK	LE	QYLE	YD13	116d
LEQYNPK2	QY	QYNPK	NPK	RS	LEQYNPK	LE	QYLE	YD13	116d
LEQYNPK3	QY	QYNPK	NPK	RS	LEQYNPK	LE	QYLE	YD13	116d
LEQYNPK4	QY	QYNPK	NPK	RS	LEQYNPK	LE	QYLE	YD13	116d
LEQYNPK5	QY	QYNPK	NPK	RS	LEQYNPK	LE	QYLE	YD13	116d
LEQYNPK6	QY	QYNPK	NPK	RS	LEQYNPK	LE	QYLE	YD13	116d
LEQYNPK7	QY	QYNPK	NPK	RS	LEQYNPK	LE	QYLE	YD13	116d
LEQYNPK8	QY	QYNPK	NPK	RS	LEQYNPK	LE	QYLE	YD13	116d
LEQYNPKM1	QY	QYNPKM	NPKM	RS	LEQYNPKM	LE	QYLE	YD13	116d
LEQYNPKM2	QY	QYNPKM	NPKM	RS	LEQYNPKM	LE	QYLE	YD13	116d
LEQYNPKM3	QY	QYNPKM	NPKM	RS	LEQYNPKM	LE	QYLE	YD13	116d
LEQYNPKM4	QY	QYNPKM	NPKM	RS	LEQYNPKM	LE	QYLE	YD13	116d
LEQYNPKM5	QY	QYNPKM	NPKM	RS	LEQYNPKM	LE	QYLE	YD13	116d
LEQYNPKM6	QY	QYNPKM	NPKM	RS	LEQYNPKM	LE	QYLE	YD13	116d
LEQYNPKM7	QY	QYNPKM	NPKM	RS	LEQYNPKM	LE	QYLE	YD13	116d
LEQYNPKM8	QY	QYNPKM	NPKM	RS	LEQYNPKM	LE	QYLE	YD13	116d
LEQYNPKM9	QY	QYNPKM	NPKM	RS	LEQYNPKM	LE	QYLE	YD13	116d
LEYCCK1	YC	YCCK	CK	FS	LEYCCK	LE	YCLE	ZD958	68d
LEYCCK2	YC	YCCK	CK	FS	LEYCCK	LE	YCLE	ZD958	68d
LEYCCK3	YC	YCCK	CK	FS	LEYCCK	LE	YCLE	ZD958	68d
LEYCCK4	YC	YCCK	CK	FS	LEYCCK	LE	YCLE	ZD958	68d
LEYCCK5	YC	YCCK	CK	FS	LEYCCK	LE	YCLE	ZD958	68d
LEYCCK6	YC	YCCK	CK	FS	LEYCCK	LE	YCLE	ZD958	68d
LEYCCK7	YC	YCCK	CK	FS	LEYCCK	LE	YCLE	ZD958	68d
LEYCCK8	YC	YCCK	CK	FS	LEYCCK	LE	YCLE	ZD958	68d
LEYCCK9	YC	YCCK	CK	FS	LEYCCK	LE	YCLE	ZD958	68d
LEYCNPK1	YC	YCNPK	NPK	FS	LEYCNPK	LE	YCLE	ZD958	68d
LEYCNPK2	YC	YCNPK	NPK	FS	LEYCNPK	LE	YCLE	ZD958	68d
LEYCNPK3	YC	YCNPK	NPK	FS	LEYCNPK	LE	YCLE	ZD958	68d
LEYCNPK4	YC	YCNPK	NPK	FS	LEYCNPK	LE	YCLE	ZD958	68d
LEYCNPK5	YC	YCNPK	NPK	FS	LEYCNPK	LE	YCLE	ZD958	68d
LEYCNPK6	YC	YCNPK	NPK	FS	LEYCNPK	LE	YCLE	ZD958	68d
LEYCNPK7	YC	YCNPK	NPK	FS	LEYCNPK	LE	YCLE	ZD958	68d
LEYCNPK8	YC	YCNPK	NPK	FS	LEYCNPK	LE	YCLE	ZD958	68d
LEYCNPK9	YC	YCNPK	NPK	FS	LEYCNPK	LE	YCLE	ZD958	68d
LEYCNPKM1	YC	YCNPKM	NPKM	FS	LEYCNPKM	LE	YCLE	ZD958	68d
LEYCNPKM2	YC	YCNPKM	NPKM	FS	LEYCNPKM	LE	YCLE	ZD958	68d
LEYCNPKM3	YC	YCNPKM	NPKM	FS	LEYCNPKM	LE	YCLE	ZD958	68d
LEYCNPKM4	YC	YCNPKM	NPKM	FS	LEYCNPKM	LE	YCLE	ZD958	68d
LEYCNPKM5	YC	YCNPKM	NPKM	FS	LEYCNPKM	LE	YCLE	ZD958	68d
LEYCNPKM6	YC	YCNPKM	NPKM	FS	LEYCNPKM	LE	YCLE	ZD958	68d
LEYCNPKM7	YC	YCNPKM	NPKM	FS	LEYCNPKM	LE	YCLE	ZD958	68d
LEYCNPKM8	YC	YCNPKM	NPKM	FS	LEYCNPKM	LE	YCLE	ZD958	68d
LEYCNPKM9	YC	YCNPKM	NPKM	FS	LEYCNPKM	LE	YCLE	ZD958	68d
LEYYCK1	YY	YYCK	CK	FS	LEYYCK	LE	YYLE	JD20	66d
LEYYCK2	YY	YYCK	CK	FS	LEYYCK	LE	YYLE	JD20	66d
LEYYCK3	YY	YYCK	CK	FS	LEYYCK	LE	YYLE	JD20	66d
LEYYCK4	YY	YYCK	CK	FS	LEYYCK	LE	YYLE	JD20	66d
LEYYCK5	YY	YYCK	CK	FS	LEYYCK	LE	YYLE	JD20	66d
LEYYCK6	YY	YYCK	CK	FS	LEYYCK	LE	YYLE	JD20	66d
LEYYCK7	YY	YYCK	CK	FS	LEYYCK	LE	YYLE	JD20	66d
LEYYCK8	YY	YYCK	CK	FS	LEYYCK	LE	YYLE	JD20	66d
LEYYCK9	YY	YYCK	CK	FS	LEYYCK	LE	YYLE	JD20	66d
LEYYNPK1	YY	YYNPK	NPK	FS	LEYYNPK	LE	YYLE	JD20	66d
LEYYNPK2	YY	YYNPK	NPK	FS	LEYYNPK	LE	YYLE	JD20	66d
LEYYNPK3	YY	YYNPK	NPK	FS	LEYYNPK	LE	YYLE	JD20	66d
LEYYNPK4	YY	YYNPK	NPK	FS	LEYYNPK	LE	YYLE	JD20	66d
LEYYNPK5	YY	YYNPK	NPK	FS	LEYYNPK	LE	YYLE	JD20	66d
LEYYNPK6	YY	YYNPK	NPK	FS	LEYYNPK	LE	YYLE	JD20	66d
LEYYNPK7	YY	YYNPK	NPK	FS	LEYYNPK	LE	YYLE	JD20	66d
LEYYNPK8	YY	YYNPK	NPK	FS	LEYYNPK	LE	YYLE	JD20	66d
LEYYNPK9	YY	YYNPK	NPK	FS	LEYYNPK	LE	YYLE	JD20	66d
LEYYNPKM1	YY	YYNPKM	NPKM	FS	LEYYNPKM	LE	YYLE	JD20	66d
LEYYNPKM2	YY	YYNPKM	NPKM	FS	LEYYNPKM	LE	YYLE	JD20	66d
LEYYNPKM3	YY	YYNPKM	NPKM	FS	LEYYNPKM	LE	YYLE	JD20	66d
LEYYNPKM4	YY	YYNPKM	NPKM	FS	LEYYNPKM	LE	YYLE	JD20	66d
LEYYNPKM5	YY	YYNPKM	NPKM	FS	LEYYNPKM	LE	YYLE	JD20	66d
LEYYNPKM6	YY	YYNPKM	NPKM	FS	LEYYNPKM	LE	YYLE	JD20	66d
LEYYNPKM7	YY	YYNPKM	NPKM	FS	LEYYNPKM	LE	YYLE	JD20	66d
LEYYNPKM8	YY	YYNPKM	NPKM	FS	LEYYNPKM	LE	YYLE	JD20	66d
LEYYNPKM9	YY	YYNPKM	NPKM	FS	LEYYNPKM	LE	YYLE	JD20	66d
LECCCK1	CC	CCCK	CK	BS	LECCCK	LE	CCLE	LY66	115d
LECCCK2	CC	CCCK	CK	BS	LECCCK	LE	CCLE	LY66	115d
LECCCK3	CC	CCCK	CK	BS	LECCCK	LE	CCLE	LY66	115d
LECCCK4	CC	CCCK	CK	BS	LECCCK	LE	CCLE	LY66	115d
LECCCK5	CC	CCCK	CK	BS	LECCCK	LE	CCLE	LY66	115d
LECCCK6	CC	CCCK	CK	BS	LECCCK	LE	CCLE	LY66	115d
LECCCK7	CC	CCCK	CK	BS	LECCCK	LE	CCLE	LY66	115d
LECCCK8	CC	CCCK	CK	BS	LECCCK	LE	CCLE	LY66	115d
LECCCK9	CC	CCCK	CK	BS	LECCCK	LE	CCLE	LY66	115d
LECCNPK1	CC	CCNPK	NPK	BS	LECCNPK	LE	CCLE	LY66	115d
LECCNPK2	CC	CCNPK	NPK	BS	LECCNPK	LE	CCLE	LY66	115d
LECCNPK3	CC	CCNPK	NPK	BS	LECCNPK	LE	CCLE	LY66	115d
LECCNPK4	CC	CCNPK	NPK	BS	LECCNPK	LE	CCLE	LY66	115d
LECCNPK5	CC	CCNPK	NPK	BS	LECCNPK	LE	CCLE	LY66	115d
LECCNPK6	CC	CCNPK	NPK	BS	LECCNPK	LE	CCLE	LY66	115d
LECCNPK7	CC	CCNPK	NPK	BS	LECCNPK	LE	CCLE	LY66	115d
LECCNPK8	CC	CCNPK	NPK	BS	LECCNPK	LE	CCLE	LY66	115d
LECCNPK9	CC	CCNPK	NPK	BS	LECCNPK	LE	CCLE	LY66	115d
LECCNPKM1	CC	CCNPKM	NPKM	BS	LECCNPKM	LE	CCLE	LY66	115d
LECCNPKM2	CC	CCNPKM	NPKM	BS	LECCNPKM	LE	CCLE	LY66	115d
LECCNPKM3	CC	CCNPKM	NPKM	BS	LECCNPKM	LE	CCLE	LY66	115d
LECCNPKM4	CC	CCNPKM	NPKM	BS	LECCNPKM	LE	CCLE	LY66	115d
LECCNPKM5	CC	CCNPKM	NPKM	BS	LECCNPKM	LE	CCLE	LY66	115d
LECCNPKM6	CC	CCNPKM	NPKM	BS	LECCNPKM	LE	CCLE	LY66	115d
LECCNPKM7	CC	CCNPKM	NPKM	BS	LECCNPKM	LE	CCLE	LY66	115d
LECCNPKM8	CC	CCNPKM	NPKM	BS	LECCNPKM	LE	CCLE	LY66	115d
LECCNPKM9	CC	CCNPKM	NPKM	BS	LECCNPKM	LE	CCLE	LY66	115d
XEQYCK1	QY	QYCK	CK	RS	XEQYCK	VE	QYXE	YD13	116d
XEQYCK4	QY	QYCK	CK	RS	XEQYCK	VE	QYXE	YD13	116d
XEQYCK5	QY	QYCK	CK	RS	XEQYCK	VE	QYXE	YD13	116d
XEQYCK6	QY	QYCK	CK	RS	XEQYCK	VE	QYXE	YD13	116d
XEQYCK7	QY	QYCK	CK	RS	XEQYCK	VE	QYXE	YD13	116d
XEQYCK8	QY	QYCK	CK	RS	XEQYCK	VE	QYXE	YD13	116d
XEQYCK9	QY	QYCK	CK	RS	XEQYCK	VE	QYXE	YD13	116d
XEQYNPK1	QY	QYNPK	NPK	RS	XEQYNPK	VE	QYXE	YD13	116d
XEQYNPK2	QY	QYNPK	NPK	RS	XEQYNPK	VE	QYXE	YD13	116d
XEQYNPK4	QY	QYNPK	NPK	RS	XEQYNPK	VE	QYXE	YD13	116d
XEQYNPK6	QY	QYNPK	NPK	RS	XEQYNPK	VE	QYXE	YD13	116d
XEQYNPK7	QY	QYNPK	NPK	RS	XEQYNPK	VE	QYXE	YD13	116d
XEQYNPK8	QY	QYNPK	NPK	RS	XEQYNPK	VE	QYXE	YD13	116d
XEQYNPK9	QY	QYNPK	NPK	RS	XEQYNPK	VE	QYXE	YD13	116d
XEQYNPKM1	QY	QYNPKM	NPKM	RS	XEQYNPKM	VE	QYXE	YD13	116d
XEQYNPKM2	QY	QYNPKM	NPKM	RS	XEQYNPKM	VE	QYXE	YD13	116d
XEQYNPKM3	QY	QYNPKM	NPKM	RS	XEQYNPKM	VE	QYXE	YD13	116d
XEQYNPKM4	QY	QYNPKM	NPKM	RS	XEQYNPKM	VE	QYXE	YD13	116d
XEQYNPKM5	QY	QYNPKM	NPKM	RS	XEQYNPKM	VE	QYXE	YD13	116d
XEQYNPKM6	QY	QYNPKM	NPKM	RS	XEQYNPKM	VE	QYXE	YD13	116d
XEQYNPKM7	QY	QYNPKM	NPKM	RS	XEQYNPKM	VE	QYXE	YD13	116d
XEQYNPKM8	QY	QYNPKM	NPKM	RS	XEQYNPKM	VE	QYXE	YD13	116d
XEQYNPKM9	QY	QYNPKM	NPKM	RS	XEQYNPKM	VE	QYXE	YD13	116d
XEYCCK1	YC	YCCK	CK	FS	XEYCCK	VE	YCXE	ZD958	68d
XEYCCK2	YC	YCCK	CK	FS	XEYCCK	VE	YCXE	ZD958	68d
XEYCCK3	YC	YCCK	CK	FS	XEYCCK	VE	YCXE	ZD958	68d
XEYCCK4	YC	YCCK	CK	FS	XEYCCK	VE	YCXE	ZD958	68d
XEYCCK5	YC	YCCK	CK	FS	XEYCCK	VE	YCXE	ZD958	68d
XEYCCK6	YC	YCCK	CK	FS	XEYCCK	VE	YCXE	ZD958	68d
XEYCCK7	YC	YCCK	CK	FS	XEYCCK	VE	YCXE	ZD958	68d
XEYCCK8	YC	YCCK	CK	FS	XEYCCK	VE	YCXE	ZD958	68d
XEYCCK9	YC	YCCK	CK	FS	XEYCCK	VE	YCXE	ZD958	68d
XEYCNPK1	YC	YCNPK	NPK	FS	XEYCNPK	VE	YCXE	ZD958	68d
XEYCNPK2	YC	YCNPK	NPK	FS	XEYCNPK	VE	YCXE	ZD958	68d
XEYCNPK3	YC	YCNPK	NPK	FS	XEYCNPK	VE	YCXE	ZD958	68d
XEYCNPK4	YC	YCNPK	NPK	FS	XEYCNPK	VE	YCXE	ZD958	68d
XEYCNPK5	YC	YCNPK	NPK	FS	XEYCNPK	VE	YCXE	ZD958	68d
XEYCNPK6	YC	YCNPK	NPK	FS	XEYCNPK	VE	YCXE	ZD958	68d
XEYCNPK7	YC	YCNPK	NPK	FS	XEYCNPK	VE	YCXE	ZD958	68d
XEYCNPK8	YC	YCNPK	NPK	FS	XEYCNPK	VE	YCXE	ZD958	68d
XEYCNPK9	YC	YCNPK	NPK	FS	XEYCNPK	VE	YCXE	ZD958	68d
XEYCNPKM1	YC	YCNPKM	NPKM	FS	XEYCNPKM	VE	YCXE	ZD958	68d
XEYCNPKM2	YC	YCNPKM	NPKM	FS	XEYCNPKM	VE	YCXE	ZD958	68d
XEYCNPKM3	YC	YCNPKM	NPKM	FS	XEYCNPKM	VE	YCXE	ZD958	68d
XEYCNPKM4	YC	YCNPKM	NPKM	FS	XEYCNPKM	VE	YCXE	ZD958	68d
XEYCNPKM5	YC	YCNPKM	NPKM	FS	XEYCNPKM	VE	YCXE	ZD958	68d
XEYCNPKM6	YC	YCNPKM	NPKM	FS	XEYCNPKM	VE	YCXE	ZD958	68d
XEYCNPKM7	YC	YCNPKM	NPKM	FS	XEYCNPKM	VE	YCXE	ZD958	68d
XEYCNPKM8	YC	YCNPKM	NPKM	FS	XEYCNPKM	VE	YCXE	ZD958	68d
XEYCNPKM9	YC	YCNPKM	NPKM	FS	XEYCNPKM	VE	YCXE	ZD958	68d
XEYYCK1	YY	YYCK	CK	FS	XEYYCK	VE	YYXE	JD20	66d
XEYYCK2	YY	YYCK	CK	FS	XEYYCK	VE	YYXE	JD20	66d
XEYYCK4	YY	YYCK	CK	FS	XEYYCK	VE	YYXE	JD20	66d
XEYYCK5	YY	YYCK	CK	FS	XEYYCK	VE	YYXE	JD20	66d
XEYYCK6	YY	YYCK	CK	FS	XEYYCK	VE	YYXE	JD20	66d
XEYYCK7	YY	YYCK	CK	FS	XEYYCK	VE	YYXE	JD20	66d
XEYYCK8	YY	YYCK	CK	FS	XEYYCK	VE	YYXE	JD20	66d
XEYYCK9	YY	YYCK	CK	FS	XEYYCK	VE	YYXE	JD20	66d
XEYYNPK1	YY	YYNPK	NPK	FS	XEYYNPK	VE	YYXE	JD20	66d
XEYYNPK2	YY	YYNPK	NPK	FS	XEYYNPK	VE	YYXE	JD20	66d
XEYYNPK3	YY	YYNPK	NPK	FS	XEYYNPK	VE	YYXE	JD20	66d
XEYYNPK4	YY	YYNPK	NPK	FS	XEYYNPK	VE	YYXE	JD20	66d
XEYYNPK5	YY	YYNPK	NPK	FS	XEYYNPK	VE	YYXE	JD20	66d
XEYYNPK6	YY	YYNPK	NPK	FS	XEYYNPK	VE	YYXE	JD20	66d
XEYYNPK8	YY	YYNPK	NPK	FS	XEYYNPK	VE	YYXE	JD20	66d
XEYYNPK9	YY	YYNPK	NPK	FS	XEYYNPK	VE	YYXE	JD20	66d
XEYYNPKM1	YY	YYNPKM	NPKM	FS	XEYYNPKM	VE	YYXE	JD20	66d
XEYYNPKM2	YY	YYNPKM	NPKM	FS	XEYYNPKM	VE	YYXE	JD20	66d
XEYYNPKM3	YY	YYNPKM	NPKM	FS	XEYYNPKM	VE	YYXE	JD20	66d
XEYYNPKM4	YY	YYNPKM	NPKM	FS	XEYYNPKM	VE	YYXE	JD20	66d
XEYYNPKM5	YY	YYNPKM	NPKM	FS	XEYYNPKM	VE	YYXE	JD20	66d
XEYYNPKM6	YY	YYNPKM	NPKM	FS	XEYYNPKM	VE	YYXE	JD20	66d
XEYYNPKM7	YY	YYNPKM	NPKM	FS	XEYYNPKM	VE	YYXE	JD20	66d
XEYYNPKM8	YY	YYNPKM	NPKM	FS	XEYYNPKM	VE	YYXE	JD20	66d
XEYYNPKM9	YY	YYNPKM	NPKM	FS	XEYYNPKM	VE	YYXE	JD20	66d
XECCCK1	CC	CCCK	CK	BS	XECCCK	VE	CCXE	LY66	115d
XECCCK2	CC	CCCK	CK	BS	XECCCK	VE	CCXE	LY66	115d
XECCCK3	CC	CCCK	CK	BS	XECCCK	VE	CCXE	LY66	115d
XECCNPK1	CC	CCNPK	NPK	BS	XECCNPK	VE	CCXE	LY66	115d
XECCNPK2	CC	CCNPK	NPK	BS	XECCNPK	VE	CCXE	LY66	115d
XECCNPK3	CC	CCNPK	NPK	BS	XECCNPK	VE	CCXE	LY66	115d
XECCNPKM1	CC	CCNPKM	NPKM	BS	XECCNPKM	VE	CCXE	LY66	115d
XECCNPKM2	CC	CCNPKM	NPKM	BS	XECCNPKM	VE	CCXE	LY66	115d
XECCNPKM3	CC	CCNPKM	NPKM	BS	XECCNPKM	VE	CCXE	LY66	115d
SEQYCK1	QY	QYCK	CK	RS	SEQYCK	SE	QYSE	YD13	116d
SEQYCK2	QY	QYCK	CK	RS	SEQYCK	SE	QYSE	YD13	116d
SEQYCK3	QY	QYCK	CK	RS	SEQYCK	SE	QYSE	YD13	116d
SEQYCK4	QY	QYCK	CK	RS	SEQYCK	SE	QYSE	YD13	116d
SEQYCK5	QY	QYCK	CK	RS	SEQYCK	SE	QYSE	YD13	116d
SEQYCK6	QY	QYCK	CK	RS	SEQYCK	SE	QYSE	YD13	116d
SEQYCK7	QY	QYCK	CK	RS	SEQYCK	SE	QYSE	YD13	116d
SEQYCK9	QY	QYCK	CK	RS	SEQYCK	SE	QYSE	YD13	116d
SEQYNPK1	QY	QYNPK	NPK	RS	SEQYNPK	SE	QYSE	YD13	116d
SEQYNPK2	QY	QYNPK	NPK	RS	SEQYNPK	SE	QYSE	YD13	116d
SEQYNPK3	QY	QYNPK	NPK	RS	SEQYNPK	SE	QYSE	YD13	116d
SEQYNPK4	QY	QYNPK	NPK	RS	SEQYNPK	SE	QYSE	YD13	116d
SEQYNPK5	QY	QYNPK	NPK	RS	SEQYNPK	SE	QYSE	YD13	116d
SEQYNPK6	QY	QYNPK	NPK	RS	SEQYNPK	SE	QYSE	YD13	116d
SEQYNPK7	QY	QYNPK	NPK	RS	SEQYNPK	SE	QYSE	YD13	116d
SEQYNPK8	QY	QYNPK	NPK	RS	SEQYNPK	SE	QYSE	YD13	116d
SEQYNPK9	QY	QYNPK	NPK	RS	SEQYNPK	SE	QYSE	YD13	116d
SEQYNPKM1	QY	QYNPKM	NPKM	RS	SEQYNPKM	SE	QYSE	YD13	116d
SEQYNPKM2	QY	QYNPKM	NPKM	RS	SEQYNPKM	SE	QYSE	YD13	116d
SEQYNPKM3	QY	QYNPKM	NPKM	RS	SEQYNPKM	SE	QYSE	YD13	116d
SEQYNPKM4	QY	QYNPKM	NPKM	RS	SEQYNPKM	SE	QYSE	YD13	116d
SEQYNPKM5	QY	QYNPKM	NPKM	RS	SEQYNPKM	SE	QYSE	YD13	116d
SEQYNPKM6	QY	QYNPKM	NPKM	RS	SEQYNPKM	SE	QYSE	YD13	116d
SEQYNPKM7	QY	QYNPKM	NPKM	RS	SEQYNPKM	SE	QYSE	YD13	116d
SEQYNPKM8	QY	QYNPKM	NPKM	RS	SEQYNPKM	SE	QYSE	YD13	116d
SEQYNPKM9	QY	QYNPKM	NPKM	RS	SEQYNPKM	SE	QYSE	YD13	116d
SEYCCK1	YC	YCCK	CK	FS	SEYCCK	SE	YCSE	ZD958	68d
SEYCCK2	YC	YCCK	CK	FS	SEYCCK	SE	YCSE	ZD958	68d
SEYCCK3	YC	YCCK	CK	FS	SEYCCK	SE	YCSE	ZD958	68d
SEYCCK4	YC	YCCK	CK	FS	SEYCCK	SE	YCSE	ZD958	68d
SEYCCK5	YC	YCCK	CK	FS	SEYCCK	SE	YCSE	ZD958	68d
SEYCCK6	YC	YCCK	CK	FS	SEYCCK	SE	YCSE	ZD958	68d
SEYCCK7	YC	YCCK	CK	FS	SEYCCK	SE	YCSE	ZD958	68d
SEYCCK8	YC	YCCK	CK	FS	SEYCCK	SE	YCSE	ZD958	68d
SEYCCK9	YC	YCCK	CK	FS	SEYCCK	SE	YCSE	ZD958	68d
SEYCNPK2	YC	YCNPK	NPK	FS	SEYCNPK	SE	YCSE	ZD958	68d
SEYCNPK3	YC	YCNPK	NPK	FS	SEYCNPK	SE	YCSE	ZD958	68d
SEYCNPK4	YC	YCNPK	NPK	FS	SEYCNPK	SE	YCSE	ZD958	68d
SEYCNPK5	YC	YCNPK	NPK	FS	SEYCNPK	SE	YCSE	ZD958	68d
SEYCNPK6	YC	YCNPK	NPK	FS	SEYCNPK	SE	YCSE	ZD958	68d
SEYCNPK7	YC	YCNPK	NPK	FS	SEYCNPK	SE	YCSE	ZD958	68d
SEYCNPK8	YC	YCNPK	NPK	FS	SEYCNPK	SE	YCSE	ZD958	68d
SEYCNPK9	YC	YCNPK	NPK	FS	SEYCNPK	SE	YCSE	ZD958	68d
SEYCNPKM1	YC	YCNPKM	NPKM	FS	SEYCNPKM	SE	YCSE	ZD958	68d
SEYCNPKM2	YC	YCNPKM	NPKM	FS	SEYCNPKM	SE	YCSE	ZD958	68d
SEYCNPKM3	YC	YCNPKM	NPKM	FS	SEYCNPKM	SE	YCSE	ZD958	68d
SEYCNPKM4	YC	YCNPKM	NPKM	FS	SEYCNPKM	SE	YCSE	ZD958	68d
SEYCNPKM5	YC	YCNPKM	NPKM	FS	SEYCNPKM	SE	YCSE	ZD958	68d
SEYCNPKM6	YC	YCNPKM	NPKM	FS	SEYCNPKM	SE	YCSE	ZD958	68d
SEYCNPKM7	YC	YCNPKM	NPKM	FS	SEYCNPKM	SE	YCSE	ZD958	68d
SEYCNPKM8	YC	YCNPKM	NPKM	FS	SEYCNPKM	SE	YCSE	ZD958	68d
SEYCNPKM9	YC	YCNPKM	NPKM	FS	SEYCNPKM	SE	YCSE	ZD958	68d
SEYYCK1	YY	YYCK	CK	FS	SEYYCK	SE	YYSE	JD20	66d
SEYYCK2	YY	YYCK	CK	FS	SEYYCK	SE	YYSE	JD20	66d
SEYYCK3	YY	YYCK	CK	FS	SEYYCK	SE	YYSE	JD20	66d
