"","SampleID","Group","Type","Saline"
"S1","S1","IW","NE","Non-saline soil"
"S2","S2","IW","NE","Non-saline soil"
"S3","S3","IW","NE","Non-saline soil"
"S4","S4","IW","NE","Non-saline soil"
"S5","S5","IW","NE","Non-saline soil"
"S6","S6","IW","NE","Non-saline soil"
"S7","S7","IW","NE","Non-saline soil"
"S9","S9","IW","NE","Non-saline soil"
"S10","S10","IW","NE","Non-saline soil"
"S11","S11","IW","NE","Non-saline soil"
"S12","S12","IW","NE","Non-saline soil"
"S13","S13","IW","NE","Non-saline soil"
"S15","S15","IW","NW","Non-saline soil"
"S16","S16","IW","NW","Non-saline soil"
"S17","S17","IW","NW","Non-saline soil"
"S18","S18","IW","NW","Non-saline soil"
"S19","S19","IW","NW","Non-saline soil"
"S20","S20","IW","NW","Non-saline soil"
"S22","S22","IW","NE","Non-saline soil"
"S23","S23","IW","NE","Non-saline soil"
"S24","S24","IW","NE","Non-saline soil"
"S25","S25","IW","NE","Non-saline soil"
"S26","S26","IW","NE","Non-saline soil"
"S27","S27","IW","NE","Non-saline soil"
"S28","S28","IW","NE","Non-saline soil"
"S30","S30","IW","NE","Non-saline soil"
"S34","S34","IW","NE","Non-saline soil"
"S35","S35","IW","NE","Non-saline soil"
"S36","S36","IW","NE","Non-saline soil"
"S37","S37","IW","NE","Non-saline soil"
"S61","S61","CW","NC","Saline soil"
"S62","S62","CW","NC","Saline soil"
"S63","S63","CW","NC","Saline soil"
"S65","S65","CW","NC","Saline soil"
"S85","S85","CW","NC","Saline soil"
"S86","S86","CW","NC","Saline soil"
"S87","S87","CW","NC","Saline soil"
"S88","S88","CW","NC","Saline soil"
"S89","S89","CW","NC","Saline soil"
"S112","S112","CW","YML","Saline soil"
"S113","S113","CW","YML","Saline soil"
"S114","S114","CW","YML","Saline soil"
"S161","S161","CW","SC","Saline soil"
"S162","S162","CW","SC","Saline soil"
"S164","S164","CW","SC","Saline soil"
"S165","S165","CW","SC","Saline soil"
"S166","S166","CW","SC","Saline soil"
"S167","S167","CW","SC","Saline soil"
"S168","S168","CW","SC","Saline soil"
"S169","S169","CW","SC","Saline soil"
"S170","S170","CW","SC","Saline soil"
"S171","S171","CW","SC","Saline soil"
"S172","S172","CW","SC","Saline soil"
"S173","S173","CW","SC","Saline soil"
"S174","S174","CW","SC","Saline soil"
"S175","S175","CW","SC","Saline soil"
"S176","S176","CW","SC","Saline soil"
"S177","S177","CW","SC","Saline soil"
"S179","S179","CW","SC","Saline soil"
"S182","S182","CW","SC","Saline soil"
"S187","S187","TW","QTP","Saline soil"
"S188","S188","TW","QTP","Saline soil"
"S191","S191","TW","QTP","Saline soil"
"S194","S194","TW","QTP","Saline soil"
"S196","S196","TW","QTP","Saline soil"
"S197","S197","TW","QTP","Saline soil"
"S198","S198","TW","QTP","Saline soil"
"S201","S201","TW","QTP","Saline soil"
"S202","S202","TW","QTP","Saline soil"
"S203","S203","TW","QTP","Saline soil"
"S204","S204","TW","QTP","Saline soil"
"S205","S205","TW","QTP","Saline soil"
"S206","S206","TW","QTP","Saline soil"
"S207","S207","TW","QTP","Saline soil"
"S208","S208","TW","QTP","Saline soil"
"S209","S209","TW","QTP","Saline soil"
"S210","S210","TW","QTP","Saline soil"
"S213","S213","TW","QTP","Saline soil"
"S214","S214","TW","QTP","Saline soil"
"S215","S215","TW","QTP","Saline soil"
"S216","S216","TW","QTP","Saline soil"
"S217","S217","TW","QTP","Saline soil"
"S218","S218","TW","QTP","Saline soil"
"S219","S219","TW","QTP","Saline soil"
"S220","S220","TW","QTP","Saline soil"
"S221","S221","TW","QTP","Saline soil"
"S222","S222","TW","QTP","Saline soil"
"S223","S223","TW","QTP","Saline soil"
"S224","S224","TW","QTP","Saline soil"
"S225","S225","TW","QTP","Saline soil"
