"","x"
"Sample-1",1
"Sample-2",3
"Sample-3",2
"Sample-4",3
"Sample-5",4
"Sample-6",4
"Sample-7",3
"Sample-8",2
"Sample-9",3
"Sample-10",2
"Sample-11",2
"Sample-12",2
"Sample-13",3
"Sample-14",3
"Sample-15",4
"Sample-16",3
"Sample-17",2
"Sample-18",3
"Sample-19",3
"Sample-20",2
"Sample-21",3
"Sample-22",3
"Sample-23",2
"Sample-24",3
"Sample-25",3
"Sample-26",3
"Sample-27",3
"Sample-28",2
"Sample-29",3
"Sample-30",3
"Sample-31",4
"Sample-32",1
"Sample-33",1
"Sample-34",3
"Sample-35",2
"Sample-36",1
"Sample-37",1
"Sample-38",2
"Sample-39",3
"Sample-40",3
"Sample-41",1
"Sample-42",1
"Sample-43",2
"Sample-44",4
"Sample-45",1
"Sample-46",2
"Sample-47",2
"Sample-48",1
"Sample-49",2
"Sample-50",4
"Sample-51",2
"Sample-52",4
"Sample-53",2
"Sample-54",2
"Sample-55",4
"Sample-56",2
"Sample-57",4
"Sample-58",2
"Sample-59",2
"Sample-60",2
"Sample-61",4
"Sample-62",3
"Sample-63",2
"Sample-64",2
"Sample-65",3
"Sample-66",2
"Sample-67",2
"Sample-68",1
"Sample-69",4
"Sample-70",1
"Sample-71",1
"Sample-72",1
"Sample-73",1
"Sample-74",2
"Sample-75",3
"Sample-76",3
"Sample-77",2
"Sample-78",2
"Sample-79",2
"Sample-80",3
"Sample-81",4
"Sample-82",2
"Sample-83",3
"Sample-84",3
"Sample-85",3
"Sample-86",2
"Sample-87",3
"Sample-88",4
"Sample-89",4
"Sample-90",2
"Sample-91",2
"Sample-92",2
"Sample-93",4
"Sample-94",4
"Sample-95",4
"Sample-96",2
"Sample-97",2
"Sample-98",2
"Sample-99",4
"Sample-100",3
"Sample-101",2
"Sample-102",2
"Sample-103",4
"Sample-104",4
"Sample-105",3
"Sample-106",4
"Sample-107",4
"Sample-108",2
"Sample-109",1
"Sample-110",1
"Sample-111",3
"Sample-112",2
"Sample-113",1
"Sample-114",1
"Sample-115",3
"Sample-116",1
"Sample-117",1
"Sample-118",2
"Sample-119",1
"Sample-120",1
"Sample-121",3
"Sample-122",1
"Sample-123",2
"Sample-124",1
"Sample-125",4
"Sample-126",3
"Sample-127",1
"Sample-128",1
"Sample-129",3
"Sample-130",1
"Sample-131",1
"Sample-132",2
"Sample-133",2
"Sample-134",1
"Sample-135",1
"Sample-136",3
"Sample-137",2
"Sample-138",1
"Sample-139",1
"Sample-140",1
"Sample-141",1
"Sample-142",3
"Sample-143",2
"Sample-144",1
"Sample-145",1
"Sample-146",3
"Sample-147",3
"Sample-148",1
"Sample-149",2
"Sample-150",1
"Sample-151",1
"Sample-152",1
"Sample-153",1
"Sample-154",1
"Sample-155",1
"Sample-156",3
"Sample-157",1
"Sample-158",1
"Sample-159",4
"Sample-160",1
"Sample-161",4
"Sample-162",3
"Sample-163",2
"Sample-164",1
"Sample-165",3
"Sample-166",1
"Sample-167",1
"Sample-168",4
"Sample-169",3
"Sample-170",1
"Sample-171",1
"Sample-172",1
"Sample-173",1
"Sample-174",3
"Sample-175",1
"Sample-176",1
"Sample-177",1
"Sample-178",3
"Sample-179",1
"Sample-180",1
"Sample-181",2
"Sample-182",4
"Sample-183",2
"Sample-184",3
"Sample-185",1
"Sample-186",1
"Sample-187",4
"Sample-188",1
"Sample-189",4
"Sample-190",4
"Sample-191",1
"Sample-192",2
"Sample-193",2
"Sample-194",1
"Sample-195",1
"Sample-196",1
"Sample-197",1
"Sample-198",2
"Sample-199",1
"Sample-200",4
"Sample-201",1
"Sample-202",2
"Sample-203",1
"Sample-204",1
"Sample-205",1
"Sample-206",4
"Sample-207",4
"Sample-208",4
"Sample-209",4
"Sample-210",4
"Sample-211",1
"Sample-212",4
"Sample-213",2
"Sample-214",4
"Sample-215",3
"Sample-216",3
"Sample-217",2
"Sample-218",3
"Sample-219",2
"Sample-220",4
"Sample-221",3
"Sample-222",3
