"","Proteobacteria","Actinobacteria","Bacteroidetes","Firmicutes","Chloroflexi","Unassigned","Acidobacteria","Verrucomicrobia","Planctomycetes","Spirochaetes"
"KO1",0.65873064260456,0.25469454944519,0.0294476283380076,0.0163394707962444,0.0164004389708572,0.0153944640897452,0.00368857456407755,0.00201194976222412,0.000670649920741373,0.000701134008047799
"KO2",0.499972032665846,0.405134802550621,0.0262053921020248,0.0200246112540553,0.0214229779617407,0.0167804004922251,0.00349591676921356,0.00206958272737443,0.00246112540552635,0.000447477346459336
"KO3",0.608307372793354,0.281100726895119,0.0745586708203531,0.0150830737279335,0.00623052959501558,0.00659397715472482,0.00244029075804777,0.0014797507788162,0.00173935617860851,0.00116822429906542
"KO4",0.620561639839834,0.282384450160431,0.0304685635490971,0.0323247858714964,0.0181909787595131,0.0107926069316645,0.00190925724589642,0.00100766354644533,0.000397761926228421,0.00092811116119965
"KO5",0.73801387594491,0.171714818266542,0.050869835352594,0.00732629180905043,0.0143937040488765,0.0110282696489593,0.00178626902764834,0.000983742363052708,0.000724862793828311,0.00144972558765662
"KO6",0.693994749507766,0.235807263180923,0.023326405600525,0.0157241303872238,0.0110752570553489,0.0111026033690658,0.00366440603806607,0.00194158827390068,0.000902428352658062,0.000683657842922774
"OE1",0.567302281963113,0.283213504220069,0.0389184120037512,0.0514223194748359,0.0148796498905908,0.0188809002813379,0.0100343857455455,0.00568927789934354,0.00547045951859956,0.00131291028446389
"OE2",0.4749755859375,0.347747802734375,0.080078125,0.02716064453125,0.02880859375,0.019561767578125,0.005279541015625,0.003265380859375,0.009002685546875,0.001129150390625
"OE3",0.511208662569505,0.329206906643254,0.0878548434299093,0.0247878255779924,0.0131987123207492,0.0142522680714077,0.00673105062920691,0.00424348844015218,0.0045068773778168,0.00155106818846942
"OE4",0.568498845265589,0.274241724403387,0.0754426481909161,0.0327944572748268,0.0186297151655119,0.015796766743649,0.00347959969207082,0.00323325635103926,0.00237105465742879,0.00209391839876828
"OE5",0.589890203473342,0.299583320660604,0.0378965296998084,0.0183095592931659,0.0197694577085678,0.0157243225158916,0.00708659022476353,0.00462301164877277,0.00334560053529609,0.00158155661668542
"OE6",0.562687842070296,0.290866525356702,0.0328387484577177,0.0493846689234079,0.0170521054130153,0.0191084817615236,0.0106931570122433,0.00727640861779873,0.00645385807839539,0.00129709892752064
"WT1",0.511846548696474,0.349101715520735,0.0539511009050385,0.00913143320275564,0.0452249088207483,0.0164798054842631,0.0051330541672295,0.00340402539511009,0.00275563960556531,0.0011887072808321
"WT2",0.604927513269429,0.294409675460139,0.0616863397501915,0.00456838046951332,0.010641949879849,0.0118566637619161,0.00311600517573741,0.00345929388153899,0.00187488447014709,0.00208613905833267
"WT3",0.559624126843331,0.319159552056769,0.0493125623683335,0.0111985807739217,0.0187382193147799,0.0167978711608826,0.0103115644749972,0.00546069409025391,0.00376981927042909,0.00224526000665262
"WT4",0.560107861211237,0.339707784167515,0.0424565941171615,0.0104834493575104,0.0170321657540654,0.0135376826348953,0.0051179044107531,0.00327435819827752,0.00220124920892607,0.00209118674847976
"WT5",0.572852345358033,0.33300834145813,0.0465550861228469,0.00622901094139313,0.0207453147004658,0.0125121871953201,0.00211244718882028,0.00227494312642184,0.00148954609468097,0.000704149062940093
"WT6",0.568963163212365,0.311324103656372,0.059774446355916,0.0118784304087818,0.0194150897026296,0.0150460118511237,0.00390486332978346,0.00281259386690697,0.00193877829660577,0.00172032440403047
