OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1244	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Turicibacter	Turicibacter_sanguinis	1	4	4	1	3	1	5	3	4	2	5	10	4	3	5	1	1	2
ASV_1346	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	1	2	6	5	3	10	5	5	4	0	1	1	5	4	3	4	0
ASV_1436	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Microvirga	Microvirga_aerilata	5	9	0	4	2	0	5	3	0	1	3	6	5	2	3	4	4	3
ASV_1577	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	Unassigned	5	5	1	2	1	2	3	3	5	10	3	3	1	1	3	2	5	4
ASV_1611	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Dactylosporangium	Unassigned	3	1	4	1	0	3	10	8	10	4	1	4	3	0	2	1	0	4
ASV_1740	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	8	4	1	3	2	5	9	1	3	1	5	6	3	1	2	0	1	4
ASV_1853	Bacteria	Firmicutes	Bacilli	Bacillales	Alicyclobacillaceae	Tumebacillus	Tumebacillus_ginsengisoli	5	0	1	1	0	10	3	3	1	6	11	1	1	0	1	14	0	1
ASV_1985	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Unassigned	0	18	1	21	0	9	0	0	2	0	0	3	1	0	3	0	0	1
ASV_2097	Bacteria	Bacteroidetes	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	4	2	2	3	0	1	6	1	0	4	7	4	5	3	5	3	6	3
ASV_949	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio_bacteriovorus	4	1	5	2	10	6	3	3	1	5	2	1	1	2	2	4	3	4
ASV_1080	Bacteria	Chloroflexi	Chloroflexia	Unassigned	Unassigned	Unassigned	Unassigned	0	2	0	0	0	0	2	16	8	1	1	3	8	1	4	5	5	2
ASV_1135	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned	2	0	0	0	1	1	5	5	2	4	5	3	2	1	3	2	13	9
ASV_1157	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Unassigned	2	2	3	2	6	4	4	2	9	2	5	4	2	2	2	1	0	6
ASV_1164	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	Turneriella	Turneriella_parva	0	1	3	2	7	1	2	3	2	4	7	4	2	5	6	6	0	3
ASV_1203	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	6	2	1	4	3	6	3	3	1	5	2	3	4	0	3	2	7	3
ASV_1210	Bacteria	Proteobacteria	Deltaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	2	3	1	1	0	2	9	2	2	5	2	7	1	5	5	2	6	3
ASV_1225	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Unassigned	0	1	0	0	0	2	0	1	27	0	4	1	2	0	13	4	0	3
