Sample	Group	EF	CNER	PNER
sample1	group1	150	0	0
sample2	group1	580	0	0
sample3	group1	54	0	0
sample4	group1	31	0	0
sample5	group1	2600	0	0
sample6	group1	280	0	0
sample7	group1	150	0	0
sample8	group1	70	0	0
sample9	group2	42	0	0
sample10	group2	8100	0	30
sample11	group3	0.01	0	0
sample12	group3	5.5	0	0
sample13	group3	58	0	0
sample14	group3	1.7	0	0
sample15	group3	3.6	0	0
sample16	group3	1.7	0	0
sample17	group3	0.2	0	0
sample18	group3	0	28	0
sample19	group4	230	0	29
sample20	group4	540	0	9.7
sample21	group4	560	0	0
sample22	group4	120	0	0
sample23	group4	310	0	0
sample24	group4	0	0	0.75
sample25	group4	2.8	0	0
sample26	group4	9.9	0	0
sample27	group4	15	0	0
sample28	group4	8.3	0	0
sample29	group4	0.47	0	0
sample30	group4	2.4	0	0
sample31	group4	4.2	0	0
sample32	group4	13	0	0
sample33	group4	0.56	0	0
sample34	group4	1.6	0	0
sample35	group4	4.7	0	0
sample36	group4	0.16	0	0
sample37	group4	0.12	0	0
sample38	group4	89	0	0
sample39	group4	16	0	0
sample40	group4	0.24	0	0
sample41	group4	3.3	0	0
sample42	group4	30	0	0
sample43	group4	12	0	0
sample44	group4	0	15	0
sample45	group4	75	840	0
sample46	group4	19	430	0
sample47	group4	0	58	0
sample48	group4	0	33	0
sample49	group4	0	31	0
sample50	group4	0	22	0
sample51	group4	10	0	0
sample52	group4	9.7	0	0
sample53	group4	0	0	0.01
sample54	group4	0	0	0.01
sample55	group4	12.5	0	0
sample56	group4	1500	0	0
sample57	group4	880	0	69
sample58	group4	270	0	0
sample59	group4	530	0	0
sample60	group4	3.4	0	0
sample61	group4	2.2	0	0
sample62	group4	3.4	0	24
sample63	group4	22	0	0
sample64	group4	8.7	0	0
sample65	group4	17	0	0
sample66	group4	5.9	25	0
sample67	group4	0	19	0
sample68	group4	0	160	0
sample69	group4	0	0	1200
sample70	group4	0	0	9.4
sample71	group4	0	160	0
sample72	group4	0.14	0	0
sample73	group4	36	0	0
sample74	group4	12	0	0
sample75	group4	0.56	0	30
sample76	group4	0.01	0	0
sample77	group4	39	0	77
sample78	group4	0	81	0
sample79	group4	1.7	0	0
sample80	group4	7.9	0	0
sample81	group4	380	0	0
sample82	group4	0	700	0
sample83	group5	0	0	4600
sample84	group5	150	0	0
sample85	group5	70	0	0
sample86	group5	76	0	0
sample87	group5	2.9	0	0
sample88	group5	0.94	0	0
sample89	group5	0.35	0	0
sample90	group5	0.01	0	0
sample91	group5	0.81	0	0
sample92	group5	46	0	0
sample93	group5	100	0	6.9
sample94	group5	24	0	6.6
sample95	group5	30	0	15
sample96	group5	200	0	71
sample97	group5	89	0	260
sample98	group5	0.22	0	92
sample99	group5	0.12	0	0
sample100	group5	850	0	40
sample101	group5	290	0	57
sample102	group5	35	0	0
sample103	group5	950	0	0
sample104	group5	220	0	0
sample105	group5	26	0	0
sample106	group5	100	0	0
sample107	group5	30	180	0
sample108	group5	180	0	0
sample109	group5	180	0	0
sample110	group5	760	0	330
sample111	group5	6800	0	0
sample112	group5	1400	0	0
sample113	group5	38	0	0
sample114	group5	7.9	0	0
sample115	group5	19	0	0
sample116	group5	24	0	0
sample117	group5	0	0	28
sample118	group5	730	0	0
sample119	group5	7	0	0
sample120	group5	1.8	0	0
sample121	group5	22	0	0
sample122	group5	3.5	0	0
sample123	group5	24	0	0
sample124	group5	110	0	0
sample125	group5	49	0	0
sample126	group5	22	0	0
sample127	group5	41	0	0
sample128	group5	24	0	0
sample129	group5	77	0	28
sample130	group5	310	0	560
sample131	group5	1.6	0	0
sample132	group5	0	0	38
sample133	group5	740	0	0
sample134	group5	44	0	0
sample135	group5	21	0	0
sample136	group5	0	250	0
sample137	group5	32	0	0
sample138	group5	14	0	0
sample139	group5	0	0	250
