"","from","to","r","FDR","linecolor","linesize"
"66","Species66","Species01",0,1,"negative",0
"67","Species67","Species01",0,1,"negative",0
"68","Species68","Species01",0,1,"negative",0
"69","Species69","Species01",0.517582417582418,0.311594999254935,"positive",0.517582417582418
"70","Species70","Species01",0,1,"negative",0
"71","Species71","Species01",NA,NA,NA,NA
"72","Species72","Species01",0,1,"negative",0
"73","Species73","Species01",0,1,"negative",0
"74","Species74","Species01",0.606923076923077,0.127909593290514,"positive",0.606923076923077
"75","Species75","Species01",0,0.558080458402749,"negative",0
"76","Species76","Species01",0.745384615384616,0.0107020760278189,"positive",0.745384615384616
"77","Species77","Species01",0,1,"negative",0
"78","Species78","Species01",0,1,"negative",0
"79","Species79","Species01",0,0.558080458402749,"negative",0
"80","Species80","Species01",0,1,"negative",0
"81","Species81","Species01",0,1,"negative",0
"82","Species82","Species01",0,1,"negative",0
"83","Species83","Species01",0,0.898974184459748,"negative",0
"84","Species84","Species01",0.596499947872745,0.14794558957584,"positive",0.596499947872745
"85","Species85","Species01",NA,NA,NA,NA
"86","Species86","Species01",0,0.738329216823369,"negative",0
"87","Species87","Species01",0,1,"negative",0
"88","Species88","Species01",0,1,"negative",0
"89","Species89","Species01",0.507449007787478,0.338757734537183,"positive",0.507449007787478
"90","Species90","Species01",0,1,"negative",0
"91","Species91","Species01",0,1,"negative",0
"92","Species92","Species01",0,1,"negative",0
"93","Species93","Species01",0,1,"negative",0
"94","Species94","Species01",0,1,"negative",0
"95","Species95","Species01",0,1,"negative",0
"96","Species96","Species01",0,0.832691334449482,"negative",0
"97","Species97","Species01",0.516152537173686,0.314821880725352,"positive",0.516152537173686
"98","Species98","Species01",0,0.634591802098333,"negative",0
"99","Species99","Species01",0.448086156037614,0.504644726199881,"positive",0.448086156037614
"100","Species100","Species01",0,0.831203856855145,"negative",0
"101","Species101","Species01",0,1,"negative",0
"102","Species102","Species01",0,1,"negative",0
"103","Species103","Species01",0,0.933687539711555,"negative",0
"104","Species104","Species01",0,1,"negative",0
"105","Species105","Species01",0,1,"negative",0
"106","Species106","Species01",0,1,"negative",0
"107","Species107","Species01",0,1,"negative",0
"108","Species108","Species01",0,1,"negative",0
"109","Species109","Species01",0,0.932501899293907,"negative",0
"110","Species110","Species01",NA,NA,NA,NA
"111","Species111","Species01",0,1,"negative",0
"112","Species112","Species01",0,1,"negative",0
"113","Species113","Species01",0,1,"negative",0
"114","Species114","Species01",0,1,"negative",0
"115","Species115","Species01",0,0.896416745827857,"negative",0
"116","Species116","Species01",0,1,"negative",0
"117","Species117","Species01",0,0.731427383785599,"negative",0
"118","Species118","Species01",0,1,"negative",0
"119","Species119","Species01",0,1,"negative",0
"120","Species120","Species01",0,1,"negative",0
"121","K00001","Species01",0,1,"negative",0
"122","K00002","Species01",0,1,"negative",0
"123","K00003","Species01",0,1,"negative",0
"124","K00004","Species01",0,0.870724309444452,"negative",0
"125","K00005","Species01",0,1,"negative",0
"126","K00006","Species01",0,1,"negative",0
"127","K00007","Species01",0,1,"negative",0
"128","K00008","Species01",0,1,"negative",0
"129","K00009","Species01",0,1,"negative",0
"130","K00010","Species01",0,1,"negative",0
"131","K00011","Species01",0,0.966892327442198,"negative",0
"132","K00012","Species01",0,1,"negative",0
"133","K00013","Species01",0.501379702025146,0.350668273234833,"positive",0.501379702025146
"134","K00014","Species01",0,1,"negative",0
"135","K00015","Species01",0,1,"negative",0
"136","K00016","Species01",0,1,"negative",0
"137","K00017","Species01",0,0.707008963595544,"negative",0
"138","K00018","Species01",0,1,"negative",0
"139","K00019","Species01",0,1,"negative",0
"140","K00020","Species01",0,1,"negative",0
"141","K00021","Species01",0,1,"negative",0
"142","K00022","Species01",0,0.785850792588064,"negative",0
"143","K00023","Species01",0,0.916901846930536,"negative",0
"144","K00024","Species01",0,0.8511376809513,"negative",0
"145","K00025","Species01",0,1,"negative",0
"146","K00026","Species01",0,1,"negative",0
"147","K00027","Species01",0,1,"negative",0
"148","K00028","Species01",0,1,"negative",0
"149","K00029","Species01",0.551596620092489,0.238887693862241,"positive",0.551596620092489
"150","K00030","Species01",0,0.659638747391486,"negative",0
"151","K00031","Species01",0,1,"negative",0
"152","K00032","Species01",0,0.520454641876511,"negative",0
"153","K00033","Species01",0,1,"negative",0
"154","K00034","Species01",0,1,"negative",0
"155","K00035","Species01",0,1,"negative",0
"156","K00036","Species01",0.581318681318681,0.177101838120731,"positive",0.581318681318681
"157","K00037","Species01",0,0.984817140679965,"negative",0
"158","K00038","Species01",0,0.868547138711052,"negative",0
"159","K00039","Species01",0,1,"negative",0
"160","Species01","Species02",0,1,"negative",0
"161","Species02","Species02",1,0,"positive",1
"162","Species03","Species02",0.612209404472504,0.122701041272777,"positive",0.612209404472504
"163","Species04","Species02",0,1,"negative",0
"164","Species05","Species02",0.451345755693582,0.495253830744809,"positive",0.451345755693582
"165","Species06","Species02",0,0.83361736015502,"negative",0
"166","Species07","Species02",0,0.926717889933446,"negative",0
"167","Species08","Species02",-0.515692962097237,0.315729900905933,"negative",0.515692962097237
"168","Species09","Species02",0,0.525899106215994,"negative",0
"169","Species10","Species02",0,1,"negative",0
"170","Species11","Species02",0,1,"negative",0
"171","Species12","Species02",0,1,"negative",0
"172","Species13","Species02",0,1,"negative",0
"173","Species14","Species02",-0.641689709527039,0.0821445843131802,"negative",0.641689709527039
"174","Species15","Species02",0,0.947954097472687,"negative",0
"175","Species16","Species02",0,0.883035954494323,"negative",0
"176","Species17","Species02",0,0.558506027084873,"negative",0
"177","Species18","Species02",0,1,"negative",0
"178","Species19","Species02",0,1,"negative",0
"179","Species20","Species02",0,1,"negative",0
"180","Species21","Species02",0,0.910258721694876,"negative",0
"181","Species22","Species02",0,0.957146952715672,"negative",0
"182","Species23","Species02",0,1,"negative",0
"183","Species24","Species02",0,1,"negative",0
"184","Species25","Species02",0,1,"negative",0
"185","Species26","Species02",0,0.651422576879464,"negative",0
"186","Species27","Species02",0,1,"negative",0
"187","Species28","Species02",0,1,"negative",0
"188","Species29","Species02",0,1,"negative",0
"189","Species30","Species02",0,1,"negative",0
"190","Species31","Species02",NA,NA,NA,NA
"191","Species32","Species02",0,1,"negative",0
"192","Species33","Species02",0,1,"negative",0
"193","Species34","Species02",0,1,"negative",0
"194","Species35","Species02",0,1,"negative",0
"195","Species36","Species02",0,0.731427383785599,"negative",0
"196","Species37","Species02",0,0.926717889933446,"negative",0
"197","Species38","Species02",0,1,"negative",0
"198","Species39","Species02",NA,NA,NA,NA
"199","Species40","Species02",0,1,"negative",0
"200","Species41","Species02",0,1,"negative",0
"201","Species42","Species02",0,1,"negative",0
"202","Species43","Species02",0,1,"negative",0
"203","Species44","Species02",0,0.970838059990961,"negative",0
"204","Species45","Species02",0,1,"negative",0
"205","Species46","Species02",NA,NA,NA,NA
"206","Species47","Species02",0,0.571001211799818,"negative",0
"207","Species48","Species02",0,0.587057023069931,"negative",0
"208","Species49","Species02",0,1,"negative",0
"209","Species50","Species02",0,1,"negative",0
"210","Species51","Species02",0,0.563803227296406,"negative",0
"211","Species52","Species02",0,1,"negative",0
"212","Species53","Species02",-0.71221231161192,0.0233083758749695,"negative",0.71221231161192
"213","Species54","Species02",-0.708621040019708,0.0252630308363552,"negative",0.708621040019708
"214","Species55","Species02",0,0.589339840671049,"negative",0
"215","Species56","Species02",0,1,"negative",0
"216","Species57","Species02",-0.659851964677625,0.0622804274416202,"negative",0.659851964677625
"217","Species58","Species02",0,0.947951755372108,"negative",0
"218","Species59","Species02",-0.456832192576129,0.478111393686012,"negative",0.456832192576129
"219","Species60","Species02",0,1,"negative",0
"220","Species61","Species02",0,1,"negative",0
"221","Species62","Species02",NA,NA,NA,NA
"222","Species63","Species02",0,1,"negative",0
"223","Species64","Species02",0,0.715293561179166,"negative",0
"224","Species65","Species02",0,1,"negative",0
"225","Species66","Species02",0,1,"negative",0
"226","Species67","Species02",0,1,"negative",0
"227","Species68","Species02",0,1,"negative",0
"228","Species69","Species02",0,1,"negative",0
"229","Species70","Species02",0,0.904537108713928,"negative",0
"230","Species71","Species02",NA,NA,NA,NA
"231","Species72","Species02",0,1,"negative",0
"232","Species73","Species02",0,1,"negative",0
"233","Species74","Species02",0,1,"negative",0
"234","Species75","Species02",0,1,"negative",0
"235","Species76","Species02",0,1,"negative",0
"236","Species77","Species02",0,1,"negative",0
"237","Species78","Species02",0,0.894637548611695,"negative",0
"238","Species79","Species02",0,1,"negative",0
"239","Species80","Species02",0,1,"negative",0
"240","Species81","Species02",0,0.802883838019707,"negative",0
"241","Species82","Species02",0,1,"negative",0
"242","Species83","Species02",0,0.982153464825761,"negative",0
"243","Species84","Species02",0,1,"negative",0
"244","Species85","Species02",NA,NA,NA,NA
"245","Species86","Species02",0,1,"negative",0
"246","Species87","Species02",0,0.638651521656318,"negative",0
"247","Species88","Species02",0,1,"negative",0
"248","Species89","Species02",0,1,"negative",0
"249","Species90","Species02",0,1,"negative",0
"250","Species91","Species02",0,1,"negative",0
"251","Species92","Species02",0,1,"negative",0
"252","Species93","Species02",0,1,"negative",0
"253","Species94","Species02",0,0.935606694784709,"negative",0
"254","Species95","Species02",0,1,"negative",0
"255","Species96","Species02",0.602933504404739,0.134748441712578,"positive",0.602933504404739
"256","Species97","Species02",0,1,"negative",0
"257","Species98","Species02",0,1,"negative",0
"258","Species99","Species02",0,1,"negative",0
"259","Species100","Species02",0,1,"negative",0
"260","Species101","Species02",0,1,"negative",0
"261","Species102","Species02",0,0.947951755372108,"negative",0
"262","Species103","Species02",0,1,"negative",0
"263","Species104","Species02",0.696615145566807,0.0317474382850114,"positive",0.696615145566807
"264","Species105","Species02",0,1,"negative",0
"265","Species106","Species02",0,0.589696238173368,"negative",0
"266","Species107","Species02",0,0.904537108713928,"negative",0
"267","Species108","Species02",0,1,"negative",0
"268","Species109","Species02",0,1,"negative",0
"269","Species110","Species02",NA,NA,NA,NA
"270","Species111","Species02",0,1,"negative",0
"271","Species112","Species02",-0.449941231237746,0.49861699635925,"negative",0.449941231237746
"272","Species113","Species02",0.517743151586279,0.311101155940966,"positive",0.517743151586279
"273","Species114","Species02",0,1,"negative",0
"274","Species115","Species02",0.5333642538965,0.276400153424182,"positive",0.5333642538965
"275","Species116","Species02",0,1,"negative",0
"276","Species117","Species02",0.566530043958933,0.206869811210445,"positive",0.566530043958933
"277","Species118","Species02",0,0.802883838019707,"negative",0
"278","Species119","Species02",0.672679540686734,0.0494312138585167,"positive",0.672679540686734
"279","Species120","Species02",0.480816911156905,0.402558758643882,"positive",0.480816911156905
"280","K00001","Species02",0,1,"negative",0
"281","K00002","Species02",0,1,"negative",0
"282","K00003","Species02",0,0.704256599392193,"negative",0
"283","K00004","Species02",0,0.709601289638773,"negative",0
"284","K00005","Species02",0.469875135453059,0.437614353353529,"positive",0.469875135453059
"285","K00006","Species02",0,1,"negative",0
"286","K00007","Species02",0,0.738503576337958,"negative",0
"287","K00008","Species02",0,1,"negative",0
"288","K00009","Species02",0,1,"negative",0
"289","K00010","Species02",0,1,"negative",0
"290","K00011","Species02",0,1,"negative",0
"291","K00012","Species02",0,1,"negative",0
"292","K00013","Species02",0,0.553455859726479,"negative",0
"293","K00014","Species02",0,1,"negative",0
"294","K00015","Species02",0,1,"negative",0
"295","K00016","Species02",0,1,"negative",0
"296","K00017","Species02",0,1,"negative",0
"297","K00018","Species02",0,1,"negative",0
"298","K00019","Species02",0,1,"negative",0
"299","K00020","Species02",0,0.827597821077241,"negative",0
"300","K00021","Species02",0,1,"negative",0
"301","K00022","Species02",0,0.933687539711555,"negative",0
"302","K00023","Species02",0,1,"negative",0
"303","K00024","Species02",0.463154790130746,0.456636978438131,"positive",0.463154790130746
"304","K00025","Species02",0,0.866200895277004,"negative",0
"305","K00026","Species02",0,0.962833343197868,"negative",0
"306","K00027","Species02",0,0.894045511186989,"negative",0
"307","K00028","Species02",0,1,"negative",0
"308","K00029","Species02",0,0.904537108713928,"negative",0
"309","K00030","Species02",0.485962059863889,0.389746759182031,"positive",0.485962059863889
"310","K00031","Species02",0,1,"negative",0
"311","K00032","Species02",0,0.589339840671049,"negative",0
"312","K00033","Species02",0,0.838504999277344,"negative",0
"313","K00034","Species02",0,1,"negative",0
"314","K00035","Species02",0,1,"negative",0
"315","K00036","Species02",0,1,"negative",0
"316","K00037","Species02",0,0.74552570566456,"negative",0
"317","K00038","Species02",0,1,"negative",0
"318","K00039","Species02",0,1,"negative",0
"319","Species01","Species03",0,1,"negative",0
"320","Species02","Species03",0,0.674827092443613,"negative",0
"321","Species03","Species03",1,0,"positive",1
"322","Species04","Species03",0.4673264996815,0.444959362221047,"positive",0.4673264996815
"323","Species05","Species03",0.633080179624976,0.0916758368683677,"positive",0.633080179624976
"324","Species06","Species03",0,0.687202914310692,"negative",0
"325","Species07","Species03",0,1,"negative",0
"326","Species08","Species03",0,1,"negative",0
"327","Species09","Species03",0,1,"negative",0
"328","Species10","Species03",0,0.94384394835099,"negative",0
"329","Species11","Species03",0,1,"negative",0
"330","Species12","Species03",0,1,"negative",0
"331","Species13","Species03",0,1,"negative",0
"332","Species14","Species03",0,0.872149947149172,"negative",0
"333","Species15","Species03",0,1,"negative",0
"334","Species16","Species03",0,1,"negative",0
"335","Species17","Species03",0.550649350649351,0.241388641414649,"positive",0.550649350649351
"336","Species18","Species03",0,1,"negative",0
"337","Species19","Species03",0,0.972732085323374,"negative",0
"338","Species20","Species03",0,1,"negative",0
"339","Species21","Species03",0,1,"negative",0
"340","Species22","Species03",0,0.936623281092347,"negative",0
"341","Species23","Species03",0,1,"negative",0
"342","Species24","Species03",0,1,"negative",0
"343","Species25","Species03",0,1,"negative",0
"344","Species26","Species03",0.48389959524777,0.394302716320077,"positive",0.48389959524777
"345","Species27","Species03",0,1,"negative",0
"346","Species28","Species03",0,1,"negative",0
"347","Species29","Species03",0,1,"negative",0
"348","Species30","Species03",0,1,"negative",0
"349","Species31","Species03",NA,NA,NA,NA
"350","Species32","Species03",0,1,"negative",0
"351","Species33","Species03",0,1,"negative",0
"352","Species34","Species03",0,1,"negative",0
"353","Species35","Species03",0,1,"negative",0
"354","Species36","Species03",0.464130347762889,0.454401798290581,"positive",0.464130347762889
"355","Species37","Species03",0,1,"negative",0
"356","Species38","Species03",0,0.966892327442198,"negative",0
"357","Species39","Species03",NA,NA,NA,NA
