"","from","to","r","FDR","linecolor","linesize"
"2110","Species43","Species14",0,0.982636652978753,"negative",0
"2111","Species44","Species14",0,1,"negative",0
"2112","Species45","Species14",0,1,"negative",0
"2113","Species46","Species14",NA,NA,NA,NA
"2114","Species47","Species14",0.449859921049591,0.49861699635925,"positive",0.449859921049591
"2115","Species48","Species14",0,0.982636652978753,"negative",0
"2116","Species49","Species14",0,1,"negative",0
"2117","Species50","Species14",0,1,"negative",0
"2118","Species51","Species14",0,0.794318161301631,"negative",0
"2119","Species52","Species14",0,1,"negative",0
"2120","Species53","Species14",0.701215399498356,0.0287159307974317,"positive",0.701215399498356
"2121","Species54","Species14",0.640278696349057,0.0838163176441181,"positive",0.640278696349057
"2122","Species55","Species14",0,0.824954025980992,"negative",0
"2123","Species56","Species14",0,0.933407677815799,"negative",0
"2124","Species57","Species14",0.456499919884271,0.478413597759659,"positive",0.456499919884271
"2125","Species58","Species14",0,1,"negative",0
"2126","Species59","Species14",0,0.597105387006052,"negative",0
"2127","Species60","Species14",0,1,"negative",0
"2128","Species61","Species14",0,0.926717889933446,"negative",0
"2129","Species62","Species14",NA,NA,NA,NA
"2130","Species63","Species14",0,1,"negative",0
"2131","Species64","Species14",0,1,"negative",0
"2132","Species65","Species14",0,1,"negative",0
"2133","Species66","Species14",0,1,"negative",0
"2134","Species67","Species14",0,1,"negative",0
"2135","Species68","Species14",0,1,"negative",0
"2136","Species69","Species14",0,1,"negative",0
"2137","Species70","Species14",0,1,"negative",0
"2138","Species71","Species14",NA,NA,NA,NA
"2139","Species72","Species14",0,1,"negative",0
"2140","Species73","Species14",0,1,"negative",0
"2141","Species74","Species14",0,1,"negative",0
"2142","Species75","Species14",0,1,"negative",0
"2143","Species76","Species14",0,1,"negative",0
"2144","Species77","Species14",0,0.933407677815799,"negative",0
"2145","Species78","Species14",0,1,"negative",0
"2146","Species79","Species14",0,1,"negative",0
"2147","Species80","Species14",0,1,"negative",0
"2148","Species81","Species14",0,0.762988359634328,"negative",0
"2149","Species82","Species14",0,1,"negative",0
"2150","Species83","Species14",0,1,"negative",0
"2151","Species84","Species14",0,0.991699343488052,"negative",0
"2152","Species85","Species14",NA,NA,NA,NA
"2153","Species86","Species14",0,1,"negative",0
"2154","Species87","Species14",0,0.742234030905553,"negative",0
"2155","Species88","Species14",0,1,"negative",0
"2156","Species89","Species14",0,1,"negative",0
"2157","Species90","Species14",0,1,"negative",0
"2158","Species91","Species14",0,1,"negative",0
"2159","Species92","Species14",0,1,"negative",0
"2160","Species93","Species14",0,1,"negative",0
"2161","Species94","Species14",0,1,"negative",0
"2162","Species95","Species14",0,1,"negative",0
"2163","Species96","Species14",-0.49004600565368,0.378850657125925,"negative",0.49004600565368
"2164","Species97","Species14",0,1,"negative",0
"2165","Species98","Species14",0,1,"negative",0
"2166","Species99","Species14",0,1,"negative",0
"2167","Species100","Species14",0,1,"negative",0
"2168","Species101","Species14",0,0.966892327442198,"negative",0
"2169","Species102","Species14",0,0.716613836822938,"negative",0
"2170","Species103","Species14",0,1,"negative",0
"2171","Species104","Species14",0,0.760847160138991,"negative",0
"2172","Species105","Species14",0.452099568075868,0.493873979288757,"positive",0.452099568075868
"2173","Species106","Species14",0.526115154559742,0.290588044273062,"positive",0.526115154559742
"2174","Species107","Species14",0,1,"negative",0
"2175","Species108","Species14",0,1,"negative",0
"2176","Species109","Species14",0,1,"negative",0
"2177","Species110","Species14",NA,NA,NA,NA
"2178","Species111","Species14",0,1,"negative",0
"2179","Species112","Species14",0,1,"negative",0
"2180","Species113","Species14",0,1,"negative",0
"2181","Species114","Species14",0,1,"negative",0
"2182","Species115","Species14",0,1,"negative",0
"2183","Species116","Species14",0,1,"negative",0
"2184","Species117","Species14",0,1,"negative",0
"2185","Species118","Species14",0,0.762988359634328,"negative",0
"2186","Species119","Species14",-0.449843987420604,0.49861699635925,"negative",0.449843987420604
"2187","Species120","Species14",0,1,"negative",0
"2188","K00001","Species14",0,1,"negative",0
"2189","K00002","Species14",0,1,"negative",0
"2190","K00003","Species14",0,1,"negative",0
"2191","K00004","Species14",0,0.599932360846326,"negative",0
"2192","K00005","Species14",0,1,"negative",0
"2193","K00006","Species14",0,0.65864045835994,"negative",0
"2194","K00007","Species14",0,0.679241633505571,"negative",0
"2195","K00008","Species14",0,0.894637548611695,"negative",0
"2196","K00009","Species14",0,0.998067035484862,"negative",0
"2197","K00010","Species14",0,1,"negative",0
"2198","K00011","Species14",0,1,"negative",0
"2199","K00012","Species14",0,1,"negative",0
"2200","K00013","Species14",0,1,"negative",0
"2201","K00014","Species14",0,0.881865891241918,"negative",0
"2202","K00015","Species14",0,1,"negative",0
"2203","K00016","Species14",0,1,"negative",0
"2204","K00017","Species14",0,0.682564440345494,"negative",0
"2205","K00018","Species14",0,1,"negative",0
"2206","K00019","Species14",0,1,"negative",0
"2207","K00020","Species14",0,1,"negative",0
"2208","K00021","Species14",0,1,"negative",0
"2209","K00022","Species14",0,1,"negative",0
"2210","K00023","Species14",0,1,"negative",0
"2211","K00024","Species14",0,0.636131443390303,"negative",0
"2212","K00025","Species14",0,0.517939928336717,"negative",0
"2213","K00026","Species14",0,1,"negative",0
"2214","K00027","Species14",-0.508766711360577,0.334409267568102,"negative",0.508766711360577
"2215","K00028","Species14",0,1,"negative",0
"2216","K00029","Species14",0,1,"negative",0
"2217","K00030","Species14",0,0.545233245477565,"negative",0
"2218","K00031","Species14",0,1,"negative",0
"2219","K00032","Species14",0,0.938651868412071,"negative",0
"2220","K00033","Species14",0,1,"negative",0
"2221","K00034","Species14",0,1,"negative",0
"2222","K00035","Species14",0,0.918217152600513,"negative",0
"2223","K00036","Species14",0,0.961142774561987,"negative",0
"2224","K00037","Species14",0,1,"negative",0
"2225","K00038","Species14",0,1,"negative",0
"2226","K00039","Species14",0,0.947048378943676,"negative",0
"2227","Species01","Species15",0,1,"negative",0
"2228","Species02","Species15",0,1,"negative",0
"2229","Species03","Species15",0,1,"negative",0
"2230","Species04","Species15",0,1,"negative",0
"2231","Species05","Species15",0,1,"negative",0
"2232","Species06","Species15",0,1,"negative",0
"2233","Species07","Species15",0,1,"negative",0
"2234","Species08","Species15",0,1,"negative",0
"2235","Species09","Species15",0,1,"negative",0
"2236","Species10","Species15",0,1,"negative",0
"2237","Species11","Species15",0,0.933687539711555,"negative",0
"2238","Species12","Species15",0,1,"negative",0
"2239","Species13","Species15",0,1,"negative",0
"2240","Species14","Species15",0,1,"negative",0
"2241","Species15","Species15",1,0,"positive",1
"2242","Species16","Species15",0,0.793398785020415,"negative",0
"2243","Species17","Species15",0,1,"negative",0
"2244","Species18","Species15",0,1,"negative",0
"2245","Species19","Species15",0,0.755413080816395,"negative",0
"2246","Species20","Species15",-0.45045123351896,0.497575030045326,"negative",0.45045123351896
"2247","Species21","Species15",0,0.977069113209497,"negative",0
"2248","Species22","Species15",0,0.515127866339161,"negative",0
"2249","Species23","Species15",0,1,"negative",0
"2250","Species24","Species15",-0.47899197465746,0.406990854758901,"negative",0.47899197465746
"2251","Species25","Species15",0,0.849406332483892,"negative",0
"2252","Species26","Species15",0,0.832691334449482,"negative",0
"2253","Species27","Species15",0,1,"negative",0
"2254","Species28","Species15",0,0.541762620597639,"negative",0
"2255","Species29","Species15",0,1,"negative",0
"2256","Species30","Species15",0,1,"negative",0
"2257","Species31","Species15",NA,NA,NA,NA
"2258","Species32","Species15",-0.510563661407136,0.329462467145434,"negative",0.510563661407136
"2259","Species33","Species15",-0.532106431930644,0.279286399948608,"negative",0.532106431930644
"2260","Species34","Species15",-0.50052388943301,0.353017025064955,"negative",0.50052388943301
"2261","Species35","Species15",0,0.649116622288481,"negative",0
"2262","Species36","Species15",0,0.617212775042387,"negative",0
"2263","Species37","Species15",0,1,"negative",0
"2264","Species38","Species15",0,0.674784415268247,"negative",0
"2265","Species39","Species15",NA,NA,NA,NA
"2266","Species40","Species15",0,1,"negative",0
"2267","Species41","Species15",0,1,"negative",0
"2268","Species42","Species15",0,0.787251597735188,"negative",0
"2269","Species43","Species15",0,0.854406905559831,"negative",0
"2270","Species44","Species15",0,0.908212733829387,"negative",0
"2271","Species45","Species15",0,1,"negative",0
"2272","Species46","Species15",NA,NA,NA,NA
"2273","Species47","Species15",0,1,"negative",0
"2274","Species48","Species15",0,1,"negative",0
"2275","Species49","Species15",0,0.659638747391486,"negative",0
"2276","Species50","Species15",0,0.583617651572505,"negative",0
"2277","Species51","Species15",-0.48390443393574,0.394302716320077,"negative",0.48390443393574
"2278","Species52","Species15",0,0.818157337775264,"negative",0
"2279","Species53","Species15",0,1,"negative",0
"2280","Species54","Species15",0.494720965309201,0.365890008271803,"positive",0.494720965309201
"2281","Species55","Species15",0,1,"negative",0
"2282","Species56","Species15",0,0.659638747391486,"negative",0
"2283","Species57","Species15",0,0.628342259597181,"negative",0
"2284","Species58","Species15",0,1,"negative",0
"2285","Species59","Species15",0,1,"negative",0
"2286","Species60","Species15",0,0.982788521911533,"negative",0
"2287","Species61","Species15",-0.615564066605248,0.117881764146467,"negative",0.615564066605248
"2288","Species62","Species15",NA,NA,NA,NA
"2289","Species63","Species15",0,1,"negative",0
"2290","Species64","Species15",0,1,"negative",0
"2291","Species65","Species15",0,1,"negative",0
"2292","Species66","Species15",0,1,"negative",0
"2293","Species67","Species15",0,0.604413293033693,"negative",0
"2294","Species68","Species15",0,1,"negative",0
"2295","Species69","Species15",0,0.771601518283908,"negative",0
"2296","Species70","Species15",0,1,"negative",0
"2297","Species71","Species15",NA,NA,NA,NA
"2298","Species72","Species15",0,0.749657027358348,"negative",0
"2299","Species73","Species15",0,1,"negative",0
"2300","Species74","Species15",0,1,"negative",0
"2301","Species75","Species15",0,1,"negative",0
"2302","Species76","Species15",-0.523489323721241,0.297069516415648,"negative",0.523489323721241
"2303","Species77","Species15",0,1,"negative",0
"2304","Species78","Species15",0,1,"negative",0
"2305","Species79","Species15",0,1,"negative",0
"2306","Species80","Species15",0,0.796607231687125,"negative",0
"2307","Species81","Species15",0,1,"negative",0
"2308","Species82","Species15",-0.467785874224742,0.443863618369203,"negative",0.467785874224742
"2309","Species83","Species15",0,1,"negative",0
"2310","Species84","Species15",0,0.56513602627908,"negative",0
"2311","Species85","Species15",NA,NA,NA,NA
"2312","Species86","Species15",0,0.947221786701746,"negative",0
"2313","Species87","Species15",0,0.738329216823369,"negative",0
"2314","Species88","Species15",0,1,"negative",0
"2315","Species89","Species15",0,1,"negative",0
"2316","Species90","Species15",0,1,"negative",0
"2317","Species91","Species15",0,0.789203453329366,"negative",0
"2318","Species92","Species15",0,0.731699926766178,"negative",0
"2319","Species93","Species15",0,1,"negative",0
"2320","Species94","Species15",0,1,"negative",0
"2321","Species95","Species15",0,0.537876628031685,"negative",0
"2322","Species96","Species15",0,0.557538005368754,"negative",0
"2323","Species97","Species15",0,0.716613836822938,"negative",0
"2324","Species98","Species15",-0.591990145652374,0.154950865089507,"negative",0.591990145652374
"2325","Species99","Species15",0,1,"negative",0
"2326","Species100","Species15",0,0.922427321525176,"negative",0
"2327","Species101","Species15",0,1,"negative",0
"2328","Species102","Species15",0,1,"negative",0
"2329","Species103","Species15",0,0.877410318441048,"negative",0
"2330","Species104","Species15",0,1,"negative",0
"2331","Species105","Species15",0,0.870724309444452,"negative",0
"2332","Species106","Species15",0,1,"negative",0
"2333","Species107","Species15",0,1,"negative",0
"2334","Species108","Species15",0,0.731699926766178,"negative",0
"2335","Species109","Species15",0,1,"negative",0
"2336","Species110","Species15",NA,NA,NA,NA
"2337","Species111","Species15",0,0.884420142335539,"negative",0
"2338","Species112","Species15",0,1,"negative",0
"2339","Species113","Species15",0,1,"negative",0
"2340","Species114","Species15",0,0.67211555601811,"negative",0
"2341","Species115","Species15",0,1,"negative",0
"2342","Species116","Species15",0,0.62289917282986,"negative",0
"2343","Species117","Species15",0,0.925327000858656,"negative",0
"2344","Species118","Species15",0,1,"negative",0
"2345","Species119","Species15",0,0.8963331793942,"negative",0
"2346","Species120","Species15",0,1,"negative",0
"2347","K00001","Species15",0,1,"negative",0
"2348","K00002","Species15",0,1,"negative",0
"2349","K00003","Species15",0,1,"negative",0
"2350","K00004","Species15",0,1,"negative",0
"2351","K00005","Species15",0,1,"negative",0
"2352","K00006","Species15",0,1,"negative",0
"2353","K00007","Species15",0,1,"negative",0
"2354","K00008","Species15",0,0.792022781307559,"negative",0
"2355","K00009","Species15",0,0.834938105863077,"negative",0
"2356","K00010","Species15",0,1,"negative",0
"2357","K00011","Species15",0,1,"negative",0
"2358","K00012","Species15",0,1,"negative",0
"2359","K00013","Species15",0,0.805071982816158,"negative",0
"2360","K00014","Species15",0,0.941560780486693,"negative",0
"2361","K00015","Species15",0,1,"negative",0
"2362","K00016","Species15",0,1,"negative",0
"2363","K00017","Species15",0,0.982600545430411,"negative",0
"2364","K00018","Species15",0,1,"negative",0
"2365","K00019","Species15",0,1,"negative",0
"2366","K00020","Species15",0,1,"negative",0
"2367","K00021","Species15",0,1,"negative",0
"2368","K00022","Species15",-0.487789875425142,0.385607994643271,"negative",0.487789875425142
"2369","K00023","Species15",0,1,"negative",0
"2370","K00024","Species15",0,1,"negative",0
"2371","K00025","Species15",0,0.83636892228452,"negative",0
"2372","K00026","Species15",0,1,"negative",0
"2373","K00027","Species15",0,0.772325470540716,"negative",0
"2374","K00028","Species15",0,0.976429610802253,"negative",0
"2375","K00029","Species15",0,0.891492150751592,"negative",0
"2376","K00030","Species15",0,0.978376584683199,"negative",0
"2377","K00031","Species15",0,0.982636652978753,"negative",0
"2378","K00032","Species15",0,0.703767297485547,"negative",0
"2379","K00033","Species15",0,1,"negative",0
"2380","K00034","Species15",0,0.933687539711555,"negative",0
"2381","K00035","Species15",0,1,"negative",0
"2382","K00036","Species15",0,1,"negative",0
"2383","K00037","Species15",0,1,"negative",0
"2384","K00038","Species15",0,1,"negative",0
"2385","K00039","Species15",0,0.8963331793942,"negative",0
"2386","Species01","Species16",0,1,"negative",0
"2387","Species02","Species16",0,1,"negative",0
"2388","Species03","Species16",0,1,"negative",0
"2389","Species04","Species16",0,1,"negative",0
"2390","Species05","Species16",0,1,"negative",0
"2391","Species06","Species16",0,1,"negative",0
"2392","Species07","Species16",0,1,"negative",0
"2393","Species08","Species16",0,1,"negative",0
"2394","Species09","Species16",0,1,"negative",0
"2395","Species10","Species16",0,1,"negative",0
"2396","Species11","Species16",0,1,"negative",0
"2397","Species12","Species16",0,1,"negative",0
"2398","Species13","Species16",0,1,"negative",0
"2399","Species14","Species16",0,0.787987637332922,"negative",0
"2400","Species15","Species16",0,1,"negative",0
"2401","Species16","Species16",1,0,"positive",1
"2402","Species17","Species16",0,1,"negative",0
"2403","Species18","Species16",0,1,"negative",0
"2404","Species19","Species16",0,0.906553609782179,"negative",0
"2405","Species20","Species16",0,0.538333722903814,"negative",0
"2406","Species21","Species16",0,0.91045816477531,"negative",0
"2407","Species22","Species16",0,0.947951755372108,"negative",0
"2408","Species23","Species16",0,0.896416745827857,"negative",0
"2409","Species24","Species16",-0.483055057022401,0.396147903586128,"negative",0.483055057022401
"2410","Species25","Species16",0,0.812055101993406,"negative",0
"2411","Species26","Species16",0,1,"negative",0
"2412","Species27","Species16",0,1,"negative",0
"2413","Species28","Species16",0,1,"negative",0
"2414","Species29","Species16",-0.510970856440501,0.328694772137174,"negative",0.510970856440501
"2415","Species30","Species16",0,1,"negative",0
"2416","Species31","Species16",NA,NA,NA,NA
"2417","Species32","Species16",0,1,"negative",0
"2418","Species33","Species16",0,1,"negative",0
"2419","Species34","Species16",0,0.898654252553063,"negative",0
"2420","Species35","Species16",0,1,"negative",0
"2421","Species36","Species16",0,1,"negative",0
"2422","Species37","Species16",0,1,"negative",0
"2423","Species38","Species16",-0.484046956523474,0.394302716320077,"negative",0.484046956523474
"2424","Species39","Species16",NA,NA,NA,NA
"2425","Species40","Species16",0,1,"negative",0
"2426","Species41","Species16",0,1,"negative",0
"2427","Species42","Species16",0,0.657226156326738,"negative",0
"2428","Species43","Species16",0,0.933407677815799,"negative",0
"2429","Species44","Species16",0,1,"negative",0
"2430","Species45","Species16",-0.473473941626531,0.424589493848908,"negative",0.473473941626531
"2431","Species46","Species16",NA,NA,NA,NA
"2432","Species47","Species16",0,1,"negative",0
"2433","Species48","Species16",0,1,"negative",0
"2434","Species49","Species16",0,1,"negative",0
"2435","Species50","Species16",0,1,"negative",0
"2436","Species51","Species16",0,1,"negative",0
"2437","Species52","Species16",0,1,"negative",0
"2438","Species53","Species16",0,0.556254407901434,"negative",0
"2439","Species54","Species16",0.55933628307393,0.220866922148719,"positive",0.55933628307393
"2440","Species55","Species16",0,1,"negative",0
"2441","Species56","Species16",0,0.85078971152298,"negative",0
"2442","Species57","Species16",0,0.85425241309306,"negative",0
"2443","Species58","Species16",0.448851212688161,0.502303165610534,"positive",0.448851212688161
"2444","Species59","Species16",0,0.518779385947958,"negative",0
"2445","Species60","Species16",0,1,"negative",0
"2446","Species61","Species16",0,0.801555247812683,"negative",0
"2447","Species62","Species16",NA,NA,NA,NA
"2448","Species63","Species16",0,1,"negative",0
"2449","Species64","Species16",0,1,"negative",0
"2450","Species65","Species16",0,1,"negative",0
"2451","Species66","Species16",0,1,"negative",0
"2452","Species67","Species16",0,1,"negative",0
"2453","Species68","Species16",0,0.980224984252354,"negative",0
"2454","Species69","Species16",0,1,"negative",0
"2455","Species70","Species16",0,0.544238715708389,"negative",0
"2456","Species71","Species16",NA,NA,NA,NA
"2457","Species72","Species16",0,1,"negative",0
"2458","Species73","Species16",-0.462547619896688,0.45956585985503,"negative",0.462547619896688
"2459","Species74","Species16",0,0.738329216823369,"negative",0
"2460","Species75","Species16",0,0.812288958259442,"negative",0
"2461","Species76","Species16",0,1,"negative",0
"2462","Species77","Species16",0,1,"negative",0
"2463","Species78","Species16",0,1,"negative",0
"2464","Species79","Species16",0,0.812288958259442,"negative",0
"2465","Species80","Species16",0.561808102499637,0.216820561936965,"positive",0.561808102499637
"2466","Species81","Species16",0,1,"negative",0
"2467","Species82","Species16",0,1,"negative",0
"2468","Species83","Species16",0,0.69641288280674,"negative",0
"2469","Species84","Species16",0,1,"negative",0
"2470","Species85","Species16",NA,NA,NA,NA
"2471","Species86","Species16",0,1,"negative",0
"2472","Species87","Species16",0,1,"negative",0
"2473","Species88","Species16",0,1,"negative",0
"2474","Species89","Species16",0,0.7604057490016,"negative",0
"2475","Species90","Species16",0,1,"negative",0
"2476","Species91","Species16",0,1,"negative",0
"2477","Species92","Species16",0,1,"negative",0
"2478","Species93","Species16",0,0.908952942374881,"negative",0
"2479","Species94","Species16",0,0.674784415268247,"negative",0
"2480","Species95","Species16",0,1,"negative",0
"2481","Species96","Species16",0,0.866200895277004,"negative",0
"2482","Species97","Species16",0,0.875990570221602,"negative",0
"2483","Species98","Species16",0,1,"negative",0
"2484","Species99","Species16",0,0.933687539711555,"negative",0
"2485","Species100","Species16",0,0.746062676466394,"negative",0
"2486","Species101","Species16",0,1,"negative",0
"2487","Species102","Species16",0,1,"negative",0
"2488","Species103","Species16",0,1,"negative",0
"2489","Species104","Species16",0,1,"negative",0
"2490","Species105","Species16",0,1,"negative",0
"2491","Species106","Species16",0,0.896416745827857,"negative",0
"2492","Species107","Species16",0,0.78487245494022,"negative",0
"2493","Species108","Species16",0,1,"negative",0
"2494","Species109","Species16",0,1,"negative",0
"2495","Species110","Species16",NA,NA,NA,NA
"2496","Species111","Species16",0,1,"negative",0
"2497","Species112","Species16",0,0.826310427019745,"negative",0
"2498","Species113","Species16",0,1,"negative",0
"2499","Species114","Species16",0,0.673796729968489,"negative",0
"2500","Species115","Species16",0,1,"negative",0
"2501","Species116","Species16",0,1,"negative",0
"2502","Species117","Species16",0,1,"negative",0
"2503","Species118","Species16",0,1,"negative",0
"2504","Species119","Species16",0,1,"negative",0
"2505","Species120","Species16",0,1,"negative",0
"2506","K00001","Species16",0,1,"negative",0
"2507","K00002","Species16",0,1,"negative",0
"2508","K00003","Species16",0,1,"negative",0
"2509","K00004","Species16",0,1,"negative",0
"2510","K00005","Species16",0,1,"negative",0
"2511","K00006","Species16",0,0.832691334449482,"negative",0
"2512","K00007","Species16",0,1,"negative",0
"2513","K00008","Species16",0,0.834938105863077,"negative",0
"2514","K00009","Species16",0,0.993085468442896,"negative",0
"2515","K00010","Species16",0,1,"negative",0
"2516","K00011","Species16",0,1,"negative",0
"2517","K00012","Species16",0,1,"negative",0
"2518","K00013","Species16",0,1,"negative",0
"2519","K00014","Species16",0,0.889952737896356,"negative",0
"2520","K00015","Species16",0,1,"negative",0
"2521","K00016","Species16",0,1,"negative",0
"2522","K00017","Species16",0.47527643126526,0.418604215680498,"positive",0.47527643126526
"2523","K00018","Species16",0,1,"negative",0
"2524","K00019","Species16",0,1,"negative",0
"2525","K00020","Species16",0,0.985843898861649,"negative",0
"2526","K00021","Species16",0,0.913730869191286,"negative",0
"2527","K00022","Species16",0,0.986846473072553,"negative",0
"2528","K00023","Species16",0,1,"negative",0
"2529","K00024","Species16",0,1,"negative",0
"2530","K00025","Species16",-0.479851377445906,0.405336737055391,"negative",0.479851377445906
"2531","K00026","Species16",0,1,"negative",0
"2532","K00027","Species16",0,1,"negative",0
"2533","K00028","Species16",0,1,"negative",0
"2534","K00029","Species16",0,1,"negative",0
"2535","K00030","Species16",0,1,"negative",0
"2536","K00031","Species16",0,1,"negative",0
"2537","K00032","Species16",0,1,"negative",0
"2538","K00033","Species16",0,0.871808262925635,"negative",0
"2539","K00034","Species16",0,1,"negative",0
"2540","K00035","Species16",-0.451906068428448,0.494414955588704,"negative",0.451906068428448
"2541","K00036","Species16",0,1,"negative",0
"2542","K00037","Species16",0,0.967216330705065,"negative",0
"2543","K00038","Species16",0,1,"negative",0
"2544","K00039","Species16",0,1,"negative",0
"2545","Species01","Species17",0,1,"negative",0
"2546","Species02","Species17",0,1,"negative",0
"2547","Species03","Species17",0,0.861361790426727,"negative",0
"2548","Species04","Species17",0,1,"negative",0
"2549","Species05","Species17",0,1,"negative",0
"2550","Species06","Species17",0,1,"negative",0
"2551","Species07","Species17",0,1,"negative",0
"2552","Species08","Species17",0,1,"negative",0
"2553","Species09","Species17",0,1,"negative",0
"2554","Species10","Species17",0,1,"negative",0
"2555","Species11","Species17",0,1,"negative",0
"2556","Species12","Species17",0,1,"negative",0
"2557","Species13","Species17",0,1,"negative",0
"2558","Species14","Species17",0,1,"negative",0
"2559","Species15","Species17",0,1,"negative",0
"2560","Species16","Species17",0,1,"negative",0
"2561","Species17","Species17",1,0,"positive",1
"2562","Species18","Species17",0,1,"negative",0
"2563","Species19","Species17",0,1,"negative",0
"2564","Species20","Species17",0,1,"negative",0
"2565","Species21","Species17",0,1,"negative",0
"2566","Species22","Species17",0,1,"negative",0
"2567","Species23","Species17",0,1,"negative",0
"2568","Species24","Species17",0,1,"negative",0
"2569","Species25","Species17",0,1,"negative",0
"2570","Species26","Species17",0,1,"negative",0
"2571","Species27","Species17",0,1,"negative",0
"2572","Species28","Species17",0,0.731384864159848,"negative",0
"2573","Species29","Species17",0,1,"negative",0
"2574","Species30","Species17",0,1,"negative",0
"2575","Species31","Species17",NA,NA,NA,NA
"2576","Species32","Species17",0,0.894045511186989,"negative",0
"2577","Species33","Species17",0,1,"negative",0
"2578","Species34","Species17",0,1,"negative",0
"2579","Species35","Species17",0,1,"negative",0
"2580","Species36","Species17",0,1,"negative",0
"2581","Species37","Species17",0,1,"negative",0
"2582","Species38","Species17",0,1,"negative",0
"2583","Species39","Species17",NA,NA,NA,NA
"2584","Species40","Species17",0,1,"negative",0
"2585","Species41","Species17",0,1,"negative",0
"2586","Species42","Species17",0,1,"negative",0
"2587","Species43","Species17",0,1,"negative",0
"2588","Species44","Species17",0,1,"negative",0
"2589","Species45","Species17",0,1,"negative",0
"2590","Species46","Species17",NA,NA,NA,NA
"2591","Species47","Species17",0,1,"negative",0
"2592","Species48","Species17",0,1,"negative",0
"2593","Species49","Species17",0,1,"negative",0
"2594","Species50","Species17",0,1,"negative",0
"2595","Species51","Species17",0,1,"negative",0
"2596","Species52","Species17",0,1,"negative",0
"2597","Species53","Species17",0,0.891492150751592,"negative",0
"2598","Species54","Species17",0,0.560144483193592,"negative",0
"2599","Species55","Species17",0,1,"negative",0
"2600","Species56","Species17",0,1,"negative",0
"2601","Species57","Species17",0,1,"negative",0
"2602","Species58","Species17",0,1,"negative",0
"2603","Species59","Species17",0,0.738329216823369,"negative",0
"2604","Species60","Species17",0,1,"negative",0
"2605","Species61","Species17",0,1,"negative",0
"2606","Species62","Species17",NA,NA,NA,NA
"2607","Species63","Species17",0,1,"negative",0
"2608","Species64","Species17",0,1,"negative",0
"2609","Species65","Species17",0,0.854406905559831,"negative",0
"2610","Species66","Species17",0,1,"negative",0
"2611","Species67","Species17",0,1,"negative",0
"2612","Species68","Species17",0,0.936570335940724,"negative",0
"2613","Species69","Species17",0,1,"negative",0
"2614","Species70","Species17",0,1,"negative",0
"2615","Species71","Species17",NA,NA,NA,NA
"2616","Species72","Species17",0,1,"negative",0
"2617","Species73","Species17",0,1,"negative",0
"2618","Species74","Species17",0,1,"negative",0
"2619","Species75","Species17",0,0.926717889933446,"negative",0
"2620","Species76","Species17",0,1,"negative",0
"2621","Species77","Species17",0,1,"negative",0
"2622","Species78","Species17",0,1,"negative",0
"2623","Species79","Species17",0,0.926717889933446,"negative",0
"2624","Species80","Species17",0,1,"negative",0
"2625","Species81","Species17",0,1,"negative",0
"2626","Species82","Species17",0,1,"negative",0
"2627","Species83","Species17",0,1,"negative",0
"2628","Species84","Species17",0,1,"negative",0
"2629","Species85","Species17",NA,NA,NA,NA
"2630","Species86","Species17",0,1,"negative",0
"2631","Species87","Species17",0,1,"negative",0
"2632","Species88","Species17",0,1,"negative",0
"2633","Species89","Species17",0,1,"negative",0
"2634","Species90","Species17",0,1,"negative",0
"2635","Species91","Species17",0,1,"negative",0
"2636","Species92","Species17",0,0.947146333106622,"negative",0
"2637","Species93","Species17",0,0.634591802098333,"negative",0
"2638","Species94","Species17",0,1,"negative",0
"2639","Species95","Species17",0,1,"negative",0
"2640","Species96","Species17",0,1,"negative",0
"2641","Species97","Species17",0,1,"negative",0
"2642","Species98","Species17",0,0.947951755372108,"negative",0
"2643","Species99","Species17",0,1,"negative",0
"2644","Species100","Species17",0,1,"negative",0
"2645","Species101","Species17",0,1,"negative",0
"2646","Species102","Species17",0,1,"negative",0
"2647","Species103","Species17",0,1,"negative",0
"2648","Species104","Species17",0.570145150332323,0.199989099691965,"positive",0.570145150332323
"2649","Species105","Species17",0,1,"negative",0
"2650","Species106","Species17",0,1,"negative",0
"2651","Species107","Species17",0,1,"negative",0
"2652","Species108","Species17",0,0.947146333106622,"negative",0
"2653","Species109","Species17",0,0.925755927475585,"negative",0
"2654","Species110","Species17",NA,NA,NA,NA
"2655","Species111","Species17",0,1,"negative",0
"2656","Species112","Species17",0,1,"negative",0
"2657","Species113","Species17",0.631074120412607,0.0945033781485866,"positive",0.631074120412607
"2658","Species114","Species17",0,1,"negative",0
"2659","Species115","Species17",0,0.960024666551002,"negative",0
"2660","Species116","Species17",0,1,"negative",0
"2661","Species117","Species17",0.4708976612004,0.434360386227388,"positive",0.4708976612004
"2662","Species118","Species17",0,1,"negative",0
"2663","Species119","Species17",0,1,"negative",0
"2664","Species120","Species17",0.613462031698511,0.121069121363021,"positive",0.613462031698511
"2665","K00001","Species17",0,1,"negative",0
"2666","K00002","Species17",0,0.986174318054471,"negative",0
"2667","K00003","Species17",0,1,"negative",0
"2668","K00004","Species17",0,1,"negative",0
"2669","K00005","Species17",0,1,"negative",0
"2670","K00006","Species17",0,1,"negative",0
"2671","K00007","Species17",0,1,"negative",0
"2672","K00008","Species17",0,0.894637548611695,"negative",0
