"","from","to","r","linecolor","linesize"
"139","KO0004","Species06",0.31399093721207,"positive",0.31399093721207
"140","KO0005","Species06",0.331195655162453,"positive",0.331195655162453
"154","KO0024","Species06",0.38753891806217,"positive",0.38753891806217
"171","KO0014","Species07",-0.32051948628677,"negative",0.32051948628677
"225","KO0014","Species09",-0.303552440484842,"negative",0.303552440484842
"227","KO0016","Species09",-0.33961467354627,"negative",0.33961467354627
"289","KO0024","Species11",0.398714586557961,"positive",0.398714586557961
"322","KO0037","Species12",0.306487351285116,"positive",0.306487351285116
"327","KO0003","Species13",0.336734528546447,"positive",0.336734528546447
"328","KO0004","Species13",0.350237105896222,"positive",0.350237105896222
"329","KO0005","Species13",0.583322132193074,"positive",0.583322132193074
"332","KO0013","Species13",0.323823494731067,"positive",0.323823494731067
"343","KO0024","Species13",0.372421738965717,"positive",0.372421738965717
"348","KO0036","Species13",0.413208340630053,"positive",0.413208340630053
"349","KO0037","Species13",0.623470837970577,"positive",0.623470837970577
"363","KO0017","Species14",0.372571956897496,"positive",0.372571956897496
"373","KO0027","Species14",-0.30019290498667,"negative",0.30019290498667
"417","KO0017","Species16",0.330972346968692,"positive",0.330972346968692
"462","KO0003","Species18",0.309219918474299,"positive",0.309219918474299
"464","KO0005","Species18",0.458731806504666,"positive",0.458731806504666
"467","KO0013","Species18",0.492352945913389,"positive",0.492352945913389
"476","KO0022","Species18",0.346188909963718,"positive",0.346188909963718
"478","KO0024","Species18",0.543944935006989,"positive",0.543944935006989
"483","KO0036","Species18",0.303622489417601,"positive",0.303622489417601
"484","KO0037","Species18",0.376098566491094,"positive",0.376098566491094
"505","KO0024","Species19",0.399767913676546,"positive",0.399767913676546
"517","KO0004","Species20",0.387056928621973,"positive",0.387056928621973
"518","KO0005","Species20",0.396562672973484,"positive",0.396562672973484
"527","KO0019","Species20",-0.314312588295443,"negative",0.314312588295443
"530","KO0022","Species20",0.315908957182046,"positive",0.315908957182046
"531","KO0023","Species20",-0.325069313379763,"negative",0.325069313379763
"532","KO0024","Species20",0.415902410152219,"positive",0.415902410152219
"537","KO0036","Species20",0.451775325611818,"positive",0.451775325611818
"538","KO0037","Species20",0.444352028166026,"positive",0.444352028166026
"540","KO0039","Species20",-0.31344535408706,"negative",0.31344535408706
"545","KO0005","Species21",0.401509198889548,"positive",0.401509198889548
"548","KO0013","Species21",0.3079848078649,"positive",0.3079848078649
"551","KO0016","Species21",-0.328092746635443,"negative",0.328092746635443
"559","KO0024","Species21",0.488510325894487,"positive",0.488510325894487
"565","KO0037","Species21",0.410404690314056,"positive",0.410404690314056
"679","KO0004","Species26",0.385878380085438,"positive",0.385878380085438
"680","KO0005","Species26",0.409537680809693,"positive",0.409537680809693
"694","KO0024","Species26",0.445397108479919,"positive",0.445397108479919
"700","KO0037","Species26",0.458830789144888,"positive",0.458830789144888
"899","KO0013","Species34",0.380551520010779,"positive",0.380551520010779
"910","KO0024","Species34",0.309750812738536,"positive",0.309750812738536
"953","KO0013","Species36",0.460711908021937,"positive",0.460711908021937
"1007","KO0013","Species38",0.320884981300247,"positive",0.320884981300247
"1171","KO0015","Species44",-0.314254973824868,"negative",0.314254973824868
"1172","KO0016","Species44",-0.302546886938068,"negative",0.302546886938068
"1199","KO0016","Species45",-0.312877269672286,"negative",0.312877269672286
"1206","KO0023","Species45",-0.324953234807145,"negative",0.324953234807145
"1207","KO0024","Species45",0.308551074178202,"positive",0.308551074178202
