ERR525698	ERR525693	ERR525688	ERR525699	ERR525910	ERR525909	ERR525908	ERR525911	ERR525954	ERR525949
taxa_1	0	15	0	4	0	0	0	0	0	0
taxa_2	5	5	13	5	0	0	0	0	0	0
taxa_3	0	0	200	0	0	0	0	0	0	0
taxa_4	20	0	0	20	0	0	0	0	0	0
taxa_5	0	0	0	0	0	0	0	0	0	0
taxa_6	0	0	0	0	0	0	0	0	0	0
taxa_7	0	0	0	0	0	0	0	0	0	0
taxa_8	0	0	0	0	0	0	0	0	0	0
taxa_9	0	0	0	0	0	0	0	0	0	0
taxa_10	0	0	0	0	0	0	0	0	0	0
taxa_11	0	0	0	0	0	0	0	0	0	0
taxa_12	0	0	0	0	0	0	0	0	0	0
taxa_13	0	0	0	0	0	0	0	0	0	0
taxa_14	0	0	0	0	0	0	0	0	0	0
taxa_15	0	0	0	0	0	0	0	0	0	0
taxa_16	0	0	0	0	0	0	0	0	0	0
taxa_17	0	0	0	0	0	0	0	0	0	0
taxa_18	0	0	0	1	0	0	1	1	0	1
taxa_19	0	0	0	0	0	0	0	0	0	0
taxa_20	0	0	0	5	0	0	0	0	0	1
taxa_21	0	0	0	0	0	0	0	0	0	0
taxa_22	0	0	0	0	0	0	0	0	0	0
taxa_23	0	0	0	0	0	0	0	0	0	0
taxa_24	0	0	0	0	0	0	0	0	0	0
taxa_25	0	0	0	0	0	0	0	0	0	0
taxa_26	0	0	0	0	0	0	0	0	0	0
taxa_27	0	0	0	0	0	0	0	0	0	0
taxa_28	0	0	0	0	0	0	0	0	0	0
taxa_29	0	0	0	0	0	0	0	0	0	0
taxa_30	0	0	0	0	0	0	0	0	0	0
taxa_31	0	0	0	0	0	0	0	0	0	2
taxa_32	0	0	0	0	0	0	0	0	0	0
taxa_33	0	0	0	2	0	0	0	0	0	0
taxa_34	0	0	0	0	0	0	0	0	0	0
taxa_35	0	0	0	0	0	0	0	0	0	0
taxa_36	0	0	2	0	0	0	0	0	0	0
taxa_37	0	0	1	0	0	0	0	0	0	3
taxa_38	0	0	0	0	0	0	0	0	0	0
taxa_39	0	1	0	0	0	0	0	0	0	0
taxa_40	0	0	0	0	0	0	0	0	0	0
taxa_41	0	0	0	0	0	0	0	0	0	0
taxa_42	0	0	0	0	0	0	0	0	0	0
taxa_43	0	0	0	0	0	0	0	1	0	0
taxa_44	0	0	0	0	0	0	0	0	0	0
taxa_45	0	0	0	0	0	0	0	0	0	0
taxa_46	0	0	0	0	0	0	0	0	0	0
taxa_47	0	0	0	0	0	0	0	0	0	0
taxa_48	0	0	0	0	0	0	0	0	0	0
taxa_49	0	0	0	0	0	0	0	0	0	0
taxa_50	0	0	0	0	0	0	0	1	0	0
taxa_51	0	0	0	0	0	0	1	0	0	0
taxa_52	0	0	0	0	0	0	0	0	0	0
taxa_53	0	24	8	6	4	12	66	2	46	32
taxa_54	0	0	0	0	0	0	0	0	0	0
taxa_55	0	0	0	0	0	0	1	0	0	0
taxa_56	0	0	0	0	1	1	0	0	0	0
taxa_57	0	71	7	11	0	34	210	13	40	7
taxa_58	0	0	0	0	0	0	0	0	0	0
taxa_59	0	0	0	0	0	0	0	0	0	0
taxa_60	0	0	0	0	0	0	4	0	0	0
taxa_61	0	0	0	0	0	0	0	0	0	0
taxa_62	0	0	0	0	0	0	0	0	0	0
taxa_63	0	1	0	0	0	0	0	0	1	0
taxa_64	0	0	0	0	0	0	0	0	0	0
taxa_65	0	4	0	0	0	0	0	0	0	6
taxa_66	0	0	0	0	0	0	0	0	0	0
taxa_67	0	0	0	0	0	0	0	0	0	3
taxa_68	0	0	0	0	0	0	0	0	0	0
taxa_69	0	0	0	0	0	0	0	0	0	0
taxa_70	0	0	0	0	0	0	0	0	0	0
taxa_71	0	0	0	0	0	0	0	0	0	0
taxa_72	0	0	0	0	0	0	0	0	0	0
taxa_73	0	0	0	0	0	0	0	0	0	0
taxa_74	0	0	0	0	0	0	0	0	0	0
taxa_75	0	0	2	1	2	0	0	4	0	0
taxa_76	0	0	0	0	0	0	0	0	0	0
taxa_77	0	0	0	0	0	0	0	0	0	0
taxa_78	0	0	0	0	0	0	0	0	0	0
taxa_79	0	1	0	0	0	0	0	0	0	0
taxa_80	0	0	0	0	0	0	2	1	0	1
taxa_81	0	0	0	0	0	0	0	0	0	0
taxa_82	0	0	0	0	0	0	0	0	0	0
taxa_83	0	0	0	0	0	0	0	0	0	0
taxa_84	0	0	0	0	0	0	0	0	0	0
taxa_85	2	127	48	26	17	50	360	11	264	125
taxa_86	0	0	0	0	0	0	0	0	0	0
taxa_87	0	0	0	0	0	0	0	0	0	0
taxa_88	0	0	0	0	0	0	0	0	0	0
taxa_89	0	0	0	0	0	0	0	0	0	0
taxa_90	0	0	0	0	0	0	0	0	0	0
taxa_91	0	0	0	0	0	0	0	0	0	0
