WWTP_id	Continent	Country	Latitude	Longitude	Sampling_date	Temp_degC	Temp_range_f	Temp_range	Climate	ClimateZone	Process_type	Plant_type	ind_merged	ind_text	City
1	DYN-AAU-WWTP-10			NA	NA	29/01/2002	NA							0		NA
2	DYN-AAU-WWTP-19			NA	NA	29/09/2003	NA							0		NA
3	DYN-AAU-WWTP-20			NA	NA	29/09/2003	NA							0		NA
4	DYN-AAU-WWTP-21			NA	NA	29/09/2003	NA							0		NA
5	DYN-AAU-WWTP-22			NA	NA	29/09/2003	NA							0		NA
6	DYN-AAU-WWTP-23			NA	NA	29/09/2003	NA							0		NA
7	DYN-BIO-WWTP-01			NA	NA	05/11/2001	NA							0		NA
8	DYN-BIO-WWTP-02			NA	NA	05/11/2001	NA							0		NA
9	DYN-BIO-WWTP-03			NA	NA	05/11/2001	NA							0		NA
10	DYN-BIO-WWTP-04			NA	NA	05/11/2001	NA							0		NA
11	DYN-BIO-WWTP-05			NA	NA	05/11/2001	NA							0		NA
12	DYN-BIO-WWTP-06			NA	NA	16/04/2002	NA							0		NA
13	DYN-BIO-WWTP-07			NA	NA	16/04/2002	NA							0		NA
14	DYN-BIO-WWTP-08			NA	NA	16/04/2002	NA							0		NA
15	DYN-BIO-WWTP-10			NA	NA	16/04/2002	NA							0		NA
16	US1-111	North America	United States	NA	NA		NA					None		0		NA
17	US1-112	North America	United States	NA	NA	10/12/2018	NA					C,N,DN	Activated sludge	0	none	NA
18	DYN-BIO-WWTP-13			NA	NA	13/05/2002	NA							0		NA
19	DYN-BIO-WWTP-14			NA	NA	13/05/2002	NA							0		NA
20	DYN-BIO-WWTP-15			NA	NA	13/05/2002	NA							0		NA
21	DYN-BIO-WWTP-16			NA	NA	13/05/2002	NA							0		NA
22	DYN-BIO-WWTP-17			NA	NA	13/05/2002	NA							0		NA
23	DYN-BIO-WWTP-18			NA	NA	13/05/2002	NA							0		NA
24	DYN-BIO-WWTP-19			NA	NA	13/05/2002	NA							0		NA
25	DYN-BIO-WWTP-20			NA	NA	13/05/2002	NA							0		NA
26	DYN-BIO-WWTP-21			NA	NA	13/05/2002	NA							0		NA
27	DYN-BIO-WWTP-23			NA	NA	02/09/2002	NA							0		NA
28	DYN-BIO-WWTP-24			NA	NA	02/09/2002	NA							0		NA
29	DYN-BIO-WWTP-25			NA	NA	02/09/2002	NA							0		NA
30	DYN-BIO-WWTP-26			NA	NA	02/09/2002	NA							0		NA
31	DYN-AAU-WWTP-01			NA	NA	29/01/2002	NA							0		NA
32	DYN-AAU-WWTP-02			NA	NA	29/01/2002	NA							0		NA
33	DYN-AAU-WWTP-03			NA	NA	29/01/2002	NA							0		NA
34	DYN-AAU-WWTP-04			NA	NA	29/01/2002	NA							0		NA
35	DYN-AAU-WWTP-05			NA	NA	29/01/2002	NA							0		NA
36	DYN-AAU-WWTP-06			NA	NA	29/01/2002	NA							0		NA
37	DYN-AAU-WWTP-07			NA	NA	29/01/2002	NA							0		NA
38	DYN-AAU-WWTP-08			NA	NA	29/01/2002	NA							0		NA
39	DYN-AAU-WWTP-09			NA	NA	29/01/2002	NA							0		NA
40	DYN-TNO-WWTP-07			NA	NA	05/11/2001	NA							0		NA
41	DYN-TNO-WWTP-08			NA	NA	05/11/2001	NA							0		NA
42	DYN-TNO-WWTP-09			NA	NA	05/11/2001	NA							0		NA
43	DYN-TNO-WWTP-10			NA	NA	05/11/2001	NA							0		NA
44	DYN-TNO-WWTP-11			NA	NA	25/11/2002	NA							0		NA
45	DYN-TNO-WWTP-12			NA	NA	25/11/2002	NA							0		NA
46	DYN-TNO-WWTP-13			NA	NA	25/11/2002	NA							0		NA
47	DYN-TNO-WWTP-14			NA	NA	25/11/2002	NA							0		NA
48	DYN-TNO-WWTP-15			NA	NA	25/11/2002	NA							0		NA
49	DYN-TNO-WWTP-16			NA	NA	25/11/2002	NA							0		NA
50	DYN-TNO-WWTP-17			NA	NA	25/11/2002	NA							0		NA
51	DYN-TNO-WWTP-18			NA	NA	25/11/2002	NA							0		NA
52	DYN-TNO-WWTP-19			NA	NA	25/11/2002	NA							0		NA
53	DYN-TNO-WWTP-20			NA	NA	25/11/2002	NA							0		NA
54	DYN-BIO-WWTP-09			NA	NA	16/04/2002	NA							0		NA
55	DYN-TNO-WWTP-22			NA	NA	25/11/2002	NA							0		NA
56	DYN-BIO-WWTP-11			NA	NA	16/04/2002	NA							0		NA
