bray_curtis	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10
Healthy01	0	0.559117296	0.893818526	0.7051869	0.645215284	0.735222582	0.8607619	0.875727625	0.605004796	0.691711112	0.600873654	0.842548876	0.838120148	0.576282065	0.804441035	0.822377837	0.629314579	0.906478896	0.950286796	0.964567308
Healthy02	0.559117296	0	0.895602325	0.751987361	0.636186681	0.73349686	0.89567549	0.916766108	0.569512004	0.73814059	0.649554135	0.81117526	0.905590634	0.644442513	0.872299516	0.90525011	0.625462943	0.950332788	0.949422793	0.974909204
Healthy03	0.893818526	0.895602325	0	0.816168122	0.838001555	0.7153781	0.857664502	0.95836141	0.826883086	0.820910826	0.80332191	0.789598087	0.871278151	0.864665896	0.834502449	0.927658129	0.82074883	0.817334383	0.839679189	0.954223311
Healthy04	0.7051869	0.751987361	0.816168122	0	0.840832717	0.656428536	0.868044385	0.95882101	0.730372316	0.799034881	0.757090451	0.684267139	0.824124146	0.781818132	0.79600771	0.936354024	0.806068171	0.853635155	0.921547775	0.933066307
Healthy05	0.645215284	0.636186681	0.838001555	0.840832717	0	0.747747581	0.832715019	0.888470721	0.643244191	0.678047048	0.646254021	0.865052906	0.829767289	0.6803692	0.825828371	0.861398972	0.634628565	0.881023837	0.888988422	0.980457609
Healthy06	0.735222582	0.73349686	0.7153781	0.656428536	0.747747581	0	0.820653115	0.927194616	0.551737209	0.681622545	0.630449327	0.65374299	0.878642664	0.626615954	0.814161952	0.940650431	0.677240643	0.854800379	0.908403404	0.942855713
Healthy07	0.8607619	0.89567549	0.857664502	0.868044385	0.832715019	0.820653115	0	0.826620798	0.890747371	0.804229187	0.838883062	0.907265689	0.836317832	0.857592577	0.814148891	0.791595356	0.844573185	0.810870265	0.920781385	0.986835701
Healthy08	0.875727625	0.916766108	0.95836141	0.95882101	0.888470721	0.927194616	0.826620798	0	0.935014903	0.911452515	0.909479809	0.952833702	0.929566027	0.914696504	0.781432311	0.854072355	0.854381431	0.768227203	0.961961101	0.983694806
Healthy09	0.605004796	0.569512004	0.826883086	0.730372316	0.643244191	0.551737209	0.890747371	0.935014903	0	0.717756382	0.614537485	0.74757352	0.874639696	0.679471461	0.832215391	0.942570099	0.666596013	0.898657752	0.916401972	0.950383
Healthy10	0.691711112	0.73814059	0.820910826	0.799034881	0.678047048	0.681622545	0.804229187	0.911452515	0.717756382	0	0.684832486	0.835994082	0.807191759	0.735922247	0.849828934	0.904288844	0.724232879	0.835704569	0.937498789	0.975825405
Patients01	0.600873654	0.649554135	0.80332191	0.757090451	0.646254021	0.630449327	0.838883062	0.909479809	0.614537485	0.684832486	0	0.801261229	0.733340723	0.677386365	0.744774217	0.834955334	0.649832725	0.830314081	0.854867951	0.960249098
Patients02	0.842548876	0.81117526	0.789598087	0.684267139	0.865052906	0.65374299	0.907265689	0.952833702	0.74757352	0.835994082	0.801261229	0	0.891160421	0.673221821	0.789698911	0.929773935	0.814627868	0.857186141	0.858015356	0.933726109
Patients03	0.838120148	0.905590634	0.871278151	0.824124146	0.829767289	0.878642664	0.836317832	0.929566027	0.874639696	0.807191759	0.733340723	0.891160421	0	0.894211719	0.751935271	0.814500105	0.813956836	0.77589508	0.880474566	0.973405015
Patients04	0.576282065	0.644442513	0.864665896	0.781818132	0.6803692	0.626615954	0.857592577	0.914696504	0.679471461	0.735922247	0.677386365	0.673221821	0.894211719	0	0.814884608	0.863413826	0.638399101	0.948678078	0.94648678	0.972993303
Patients05	0.804441035	0.872299516	0.834502449	0.79600771	0.825828371	0.814161952	0.814148891	0.781432311	0.832215391	0.849828934	0.744774217	0.789698911	0.751935271	0.814884608	0	0.811415188	0.738124128	0.620700795	0.848847166	0.936265322
Patients06	0.822377837	0.90525011	0.927658129	0.936354024	0.861398972	0.940650431	0.791595356	0.854072355	0.942570099	0.904288844	0.834955334	0.929773935	0.814500105	0.863413826	0.811415188	0	0.825270709	0.821221761	0.865207261	0.962610824
Patients07	0.629314579	0.625462943	0.82074883	0.806068171	0.634628565	0.677240643	0.844573185	0.854381431	0.666596013	0.724232879	0.649832725	0.814627868	0.813956836	0.638399101	0.738124128	0.825270709	0	0.863143983	0.849845685	0.949205304
Patients08	0.906478896	0.950332788	0.817334383	0.853635155	0.881023837	0.854800379	0.810870265	0.768227203	0.898657752	0.835704569	0.830314081	0.857186141	0.77589508	0.948678078	0.620700795	0.821221761	0.863143983	0	0.766458503	0.974207496
Patients09	0.950286796	0.949422793	0.839679189	0.921547775	0.888988422	0.908403404	0.920781385	0.961961101	0.916401972	0.937498789	0.854867951	0.858015356	0.880474566	0.94648678	0.848847166	0.865207261	0.849845685	0.766458503	0	0.938522587
Patients10	0.964567308	0.974909204	0.954223311	0.933066307	0.980457609	0.942855713	0.986835701	0.983694806	0.950383	0.975825405	0.960249098	0.933726109	0.973405015	0.972993303	0.936265322	0.962610824	0.949205304	0.974207496	0.938522587	0
