"","Kingdom","Phylum","Class","Order","Famiy","Genus","N Patients","N Control","","BC-OA in Patients","BC-OA in Control","Beta","SE","P","FDR","FC","FC lower","FC upper","NA"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia",9,7,"",0.0565031,0.00100832,-8.1269419095801,2.07387575801727,0.00122452076178528,0.285052924759158,0.00357722874754049,0.00021375734357686,0.0598649164426434,""
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Amedibacillus2","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus",1,3,"",1.985e-05,0.00048436,2.46061589070437,0.693407040698728,0.00267447661995005,0.285052924759158,5.50451666519851,2.14583342922879,14.1202496450704,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB96352","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9635",2,3,"",0.00304319,0.00577452,-6.8807054667564,2.19669870109079,0.00642963181265547,0.285052924759158,0.00848596552702225,0.000429148649596217,0.167801089421032,""
"k__Bacteria|p__Firmicutes|c__CFGB76046|o__OFGB76046|f__FGB76046|g__GGB559572","Bacteria","Firmicutes","CFGB76046","OFGB76046","FGB76046","GGB55957",0,4,"",0,6.161e-05,2.27683089638608,0.727789168294548,0.0064820583140646,0.285052924759158,4.84612257650417,1.8029559217532,13.0257782473499,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB334692","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB33469",2,3,"",0.00060328,0.00046265,-3.80004637884241,1.25177971797514,0.00787024852644064,0.285052924759158,0.0717913392479135,0.0131068551127168,0.393229065758756,""
"k__Bacteria|p__Firmicutes|c__CFGB3068|o__OFGB3068|f__FGB3068|g__GGB97602","Bacteria","Firmicutes","CFGB3068","OFGB3068","FGB3068","GGB9760",5,3,"",0.00169748,0.00019906,-5.10985468436661,1.7046630170255,0.00852250586785135,0.285052924759158,0.0289587936651903,0.00285757247056435,0.293469978165573,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB97082","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9708",3,4,"",0.00062041,0.00017548,-6.04480857386399,2.01916271724325,0.00859129021224002,0.285052924759158,0.015147163080127,0.000974961250030894,0.235328890628927,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB37462","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB3746",2,6,"",0.00055217,0.00498141,6.37588264145884,2.14762949966296,0.00904929919870344,0.285052924759158,83.0485250823856,4.48941922418458,1536.29170588594,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB96992","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9699",5,4,"",0.00121723,0.00026978,-4.65951043685826,1.6896246755171,0.0140099134949233,0.392277577857852,0.0395683183695688,0.00398508220249216,0.392878173909798,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB38282","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","GGB3828",0,4,"",0,0.00030417,2.90268954619037,1.11062699603325,0.0188151026923788,0.404021421826195,7.47819217531206,1.65388696174711,33.8132892418615,""
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella2","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella",7,5,"",0.02760682,0.00047519,-7.46233083712622,2.86405743323869,0.0191255014509338,0.404021421826195,0.00567041154967521,0.000115815550255275,0.277627374491755,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB799162","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","GGB79916",0,2,"",0,0.00055883,0.746974025353257,0.287461885476428,0.0193992290009115,0.404021421826195,1.67826905796009,1.13567397420434,2.480101767657,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB97072","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9707",1,5,"",0.00026195,0.00019607,-2.58828558324982,1.00981591225169,0.0208423749354783,0.404021421826195,0.166283210911792,0.0421733439557031,0.655629922544861,""
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__GGB16632","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","GGB1663",3,2,"",0.00106507,0.00060191,-2.20862187044867,0.910570700713247,0.0274842772507815,0.477112391527535,0.216340868034722,0.0627891701846367,0.745405155767913,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB339282","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB33928",1,3,"",0.00107681,0.00038852,-2.76566678843066,1.19499372730682,0.0342622939954383,0.477112391527535,0.147045364647252,0.0289989707445341,0.745624369041407,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Anaerofilum2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerofilum",3,0,"",2.439e-05,0,-2.02619985423326,0.880956079226733,0.0352454357762749,0.477112391527535,0.245500887615399,0.0741775398301006,0.812519341541863,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Allochristensenella2","Bacteria","Firmicutes","Clostridia","Clostridia unclassified","Clostridia unclassified","Candidatus Allochristensenella",2,1,"",5.53e-06,2.39e-06,-1.23466663129959,0.540077106998289,0.0362215339489393,0.477112391527535,0.424940680787524,0.20401996435146,0.885082902362891,""
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Megamonas2","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Megamonas",6,6,"",0.00510234,0.03031255,8.48836612979388,3.72975777827258,0.036956572045492,0.477112391527535,359.130937508571,2.26269304699816,57000.67468139,""
"k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989|g__GGB97122","Bacteria","Firmicutes","CFGB9989","OFGB9989","FGB9989","GGB9712",2,2,"",0.00301913,0.00028266,-2.12324254271936,0.934647716971931,0.0372579629970287,0.477112391527535,0.229530449176742,0.0644734024972833,0.81714668465802,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB97132","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9713",3,4,"",0.00245231,0.00151768,-4.51782080832412,2.02387194938624,0.0402417514947645,0.477112391527535,0.0436516256056643,0.00279175909674194,0.682531820256561,""
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB96022","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","GGB9602",2,3,"",0.00043615,0.00013031,-2.48962581067887,1.13381089230301,0.0431964112257503,0.477112391527535,0.178052449617538,0.0381573513084954,0.830840551758828,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Faecalimonas2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalimonas",2,5,"",0.00051401,0.00163965,2.89073567711649,1.35350972047668,0.0485046694196766,0.477112391527535,7.41648543813045,1.17923939363933,46.6438422517828,""
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae|g__Intestinibacter2","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinibacter",1,4,"",1.96e-06,0.00016335,2.74288387655519,1.30163101465412,0.0512242640988235,0.477112391527535,6.69407110972509,1.14209850545673,39.2353092206666,""
