Genus	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	B28	B29	B30	B31	B32	B34	B35	B36	B38	B39	B40	B41	B42	B43	B44	B45	B46	B47	B48	B49	B50	B51	B52	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	C13	C14	C15	C16	C18	C19	C20	C21	C22	C23	C24	C26	D27	D28	D29	D30	D31	D32	D33	D34	D35	D36	D37	D38	D40	D41	D42	D44	D45	D46	D47	D48	D49	D50	D51	D52
Unassigned	57.9	78.7	74.6	70.2	62.9	75.3	71.2	95.3	84	74.2	50.2	89.3	90	82.2	64.3	90.3	42.5	27.8	79.3	91.6	31.3	94.9	69.1	72.7	58	89.4	53.8	67.8	64	94.2	16.2	70.3	72.4	88.3	66.2	49.6	94.5	69.6	84.2	49.9	51.4	67.8	6.39	54.9	98.4	54.8	3.13	72.4	79.8	76.1	75.9	70.5	40.2	76.7	83.7	56	41.2	84.5	59.5	93.8	82.5	45.7	64.3	44.7	43.3	41	62.7	40.7	58.2	72.2	50.3	80.9	79.8	93.6	84.3	81.9	89.1	79.4	8.69	32.9	73.4	67.3	66.9	46.8	47.7	64	46.7	66.9	68.7	99.2	61.4	95.4	47.8	64.6	47.5	75.4	65.5
Malassezia	0.557	0.286	0.16	3.84	1.85	0.739	0.143	0.236	0.897	0.03	1.11	0.533	0.633	0.507	2.98	0.2	0.18	13.9	2.75	0.0133	0.677	0.13	0.331	0.344	6.5	9.25	23.4	1.89	0.0167	1.59	0.08	0.0967	8.39	0.27	0.49	0.01	0.246	0.296	2.84	0.327	0.8	0.0766	5.31	0.354	0.103	32.3	0.25	4.27	10.5	0.743	0.497	0.349	0.971	1.41	0.18	2	0.763	0.87	1.05	0.0533	2.27	1.42	0.416	0.163	0.713	0.864	2.21	0.503	1.08	1.7	2.58	0.167	1.62	0.633	1.26	0.873	0.359	0.556	0.407	2.01	3.32	0.223	4.06	0.969	2.21	2.47	4.28	1.15	0.11	0.0133	4.33	0.163	0.846	0.38	0.617	1.43	5.95
Fusarium	1.91	0.00999	0.583	0.02	1.64	1.44	5.68	0.0133	0.237	0.384	1.73	0.0167	0.11	1.92	1.74	0.36	2.4	0.04	0.01	0.00333	0.464	0.652	1.45	0.737	2.66	0.0966	0.333	3.01	5.67	0.297	0.103	0.637	0.311	0.55	0.747	0.00334	0.15	0.0466	0.0533	0.00667	0.387	4.44	0	0.384	0.04	0	0	0.513	0	0.53	0.837	0.253	0.254	0.387	0.84	0.0667	0.19	0.444	0.636	0.177	0	0.15	0.503	0.413	0.0933	0.294	0	0.566	0.257	0.36	0	0.29	0	0.403	0.0866	0	0.466	0.23	0.1	0.751	0	0.02	0	0.493	0.417	0.281	0.253	0	0.764	0.00666	0.547	0.05	0.00666	0.11	0.0834	0	0
Cryptococcus	0.0734	0	0.26	0	0	0.294	0.849	0.0932	0.0167	0.02	0	0.193	0	0.293	0.167	0.22	0	0.00333	0.35	0	0	0.103	0.114	0.157	0	0.0933	0.03	0.574	1.05	0.00333	0.01	0.00333	2.24	0.00667	0	0	0	0.02	0.00333	0	0.0567	0.74	0.0901	0	0	0	0.0167	0.256	0	0	0	0.0333	0.0434	0.263	0	0	0.143	0	0.473	0.0733	0	0.223	0.03	0.04	0.04	0	0.01	0.0366	0	0.443	0	0.147	0.407	0.0733	0.13	0.00333	0.0366	0.253	0.0333	0.0467	0	0.0167	1.35	0.0666	0.32	0	0.00333	0	0.02	0.0267	0	0.0133	2.54	0	0.02	0.287	0.947
Trichosporon	0.387	0.00333	1.55	0.447	0.671	0.157	0.296	0.0533	0.327	0.394	9.79	0.72	0.0267	0.11	0.0834	0.06	0.901	0.866	0.287	2.59	0.751	0.0399	0.124	0.0634	0	0.107	0.00667	0	0.0401	0.0267	0.357	0.0433	1.35	0.01	0.0967	1.23	0.293	0.386	0.0766	0.584	0.527	0.08	0.13	0.891	0.0333	0	0.04	0.613	0	0.523	0.0333	0.13	0.02	0	0.02	0.514	0.00999	0.00667	0.173	0.0566	0.00333	0.127	0.929	0.11	0.05	0.113	0.357	0.15	0	0.21	0.08	0	0.364	0.596	2.05	0.01	0.00666	0.17	0	6.08	0.00333	0.03	0	0.27	0.68	0.595	0	0.147	0.103	0.05	0.684	0	1.61	0.0433	0	0.337	1.82
Cladosporium	0.0934	0.453	1.8	0	0.00334	0.301	0.273	0	0	0.53	1.99	0	0.0367	0.277	0.374	0.0733	2.92	0.107	0	0.203	0	0.14	0.434	0.0801	0.00666	0.00333	0.0133	0.177	0.124	0	0.167	0.143	0	0.01	0	0	0.0999	1.52	0.123	0.00667	0.05	0.103	0.103	0	0.0233	0.2	0.17	0.00999	0.364	1.29	0.583	0.549	0.144	0	0.187	1.31	0.296	0	0.976	0.00999	0.127	0.933	4.76	0.33	0.15	0.153	2.29	0.05	0.417	0	0	0.16	0.31	0.00333	0	0	0.296	0.6	0.273	0.19	0.00333	0.41	0.00333	0.586	0.15	0.484	0.233	1.81	0.0467	0.08	0.494	0.0133	2.2	0.153	0.0367	0.567	0.00667
Candida	0.931	2.62	1.36	1.09	0.407	0.435	0.399	0.676	0.2	0.774	2.21	0.0433	6.25	1.98	0.207	0.13	3.16	0.137	0.00667	0.64	63.3	0.0832	0.377	0.507	0.03	0.03	0.0267	1.48	0.0902	0.147	80.5	0.0133	1.1	0.17	0.874	0.0401	0.44	2.64	0.0366	0.0701	18.8	0.223	2.27	0.0834	0.117	1.52	94.1	0.0266	0.621	7.54	6.36	14.3	39	5.58	0.21	11.7	36.6	5.97	15.1	3.11	4.29	29.9	10.2	45.4	35.8	30.7	5.83	35.1	22.8	10.1	25.7	6.86	4.08	1.62	1.29	8.9	1.93	5.8	85.6	20.2	2.98	4.88	13.6	31.4	21.6	13.1	18.1	9.81	2.3	0.21	7.29	1.41	9.78	21.5	37.9	1.75	7.91
Agaricus	0.257	0	0.00333	0	0	0.522	0	0.00333	0.123	0.584	0	0	0	0	0.0467	0.0466	0.197	0	0.611	0.0133	0	0.0266	0.0267	0.0234	0	0	0	0.354	0	0.0267	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0.00999	0	0.00666	0.00666	0	0	0	0.0366	0.29	1.09	0.00333	0.941	0.363	0	0.16	0	0.00333	0.65	0	0.107	0.22	0.0667	0	0.137	0	0	0.2	0.163	0.44	0.00666	0	0	0.11	0.107	0	0	0	0.283	0	0.0566	0.13	0.481	0	0	0	0	0.807	0	0.12	0.12	0.147	0	0
Rhodotorula	0	0.00333	0.00333	0.0467	3.06	0.134	0.0266	0	0.17	0.0267	0	0.243	0	0	0.0234	0	0.0867	0.00333	0	0.11	0.03	0.00998	0.01	0	0	0	0	0.234	0	0	0	0	0.0602	0	0.0967	0	0	0.02	0.0499	0	0.0467	0.00666	0	0.05	0.0233	0	0.04	0.236	0	0.00333	0.957	0	0.0801	0.213	0	0.174	0.05	0	0	0.00999	0	0.00333	0	0.0533	0.0633	0	0	0.0833	0.21	0.18	0.0567	0	0	0.147	0	0	0.0732	0.0866	0	0.35	0	0.00333	0.117	0.0766	0	0.157	0	0.23	0.0234	0	0.707	0	0	0.00999	0.00334	0	0
Alternaria	3.94	11.5	3.02	1.81	2.03	2.08	1.96	0.439	2.43	5.82	3.57	1.21	0.437	0.94	8.87	0.813	36.6	0.613	2.23	2.29	0.661	0.346	3.21	4	7.56	0.0133	1.01	2.96	1.89	0.544	1.04	2.98	2.68	0.861	3.3	0.0668	1.55	21.6	0.629	0.19	1.29	2.19	1.27	2.01	0.356	1.04	1.45	2.48	3.33	4.56	3.85	5.01	9.25	4.01	3.19	3.39	9.1	1.87	5.83	0.426	1.19	8.11	4.83	1.32	9.38	14.4	13.3	8.05	6.05	1.84	6.34	4.77	1.66	0.616	0.806	3.1	2.11	2.12	0.983	2.81	4.12	1.12	4.57	6.64	8.14	5.53	4.47	0.51	4.34	0.117	3.47	0.387	16.8	5.25	6.54	3.66	3.59
