"","one"
"num.edges",71
"num.pos.edges",0
"num.neg.edges",0
"num.vertices",58
"connectance",0.0429522081064731
"average.degree",2.44827586206897
"average.path.length",3.71394037066882
"diameter",8
"edge.connectivity",0
"clustering.coefficient",0
"no.clusters",3
"centralization.degree",0.220205686630369
"centralization.betweenness",0.414432152049364
"centralization.closeness",1.37673282854604
