"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"Acidocella",4.05873266370052,-1.09195388619531,"Acidocella","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella","bac",2,0.251282051282051,12.5521080368906,2
"Acrobeloides",8.30371100630552,-4.40300000268192,"Acrobeloides","fun","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeloides","fun",0,0,0,0
"Anteholosticha",5.09014228486586,-5.46701708856657,"Anteholosticha","fun","Alveolata","Ciliophora","Spirotrichea","Urostylida","Holostichidae","Anteholosticha","fun",0,0,0,0
"Aquicella",4.09922046400678,2.28769678677423,"Aquicella","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella","bac",1,0.230046948356808,0,1
"Arcopilus",3.51563112373391,7.47298796231402,"Arcopilus","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Arcopilus","fun",5,0.296969696969697,182.245608015173,5
"Arenimonas",3.39918172426628,10.2595137103416,"Arenimonas","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","bac",1,0.230046948356808,0,1
"Armatimonadetes_gp5",2.20936532049527,-4.81277092991777,"Armatimonadetes_gp5","bac","Bacteria","Armatimonadetes","Unassigned","Unassigned","Unassigned","Armatimonadetes_gp5","bac",0,0,0,0
"Arthrobacter",-1.85831553586119,-1.8357440081806,"Arthrobacter","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","bac",0,0,0,0
"Ascobolus",-0.717995262218293,-4.41594102513511,"Ascobolus","fun","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","fun",0,0,0,0
"Aspergillus",2.80881241825263,-7.12631845133359,"Aspergillus","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","fun",0,0,0,0
"Azonexus",-4.00166478540296,-4.2407835953646,"Azonexus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azonexus","bac",0,0,0,0
"Bacillus",6.89000428229588,0.381075793274783,"Bacillus","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","bac",2,0.337931034482759,110.682395141091,2
"Boothiomyces",11.6469123967278,-5.35714783610749,"Boothiomyces","fun","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Terramycetaceae","Boothiomyces","fun",0,0,0,0
"Botryotrichum",7.16611406003171,-6.35205909825075,"Botryotrichum","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","fun",0,0,0,0
"Bourletiella",0.760393473391209,-6.6390152435756,"Bourletiella","fun","Metazoa","Arthropoda","Collembola","Unassigned","Bourletiellidae","Bourletiella","fun",0,0,0,0
"Bradyrhizobium",12.1343351472847,0.311016626983859,"Bradyrhizobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","bac",3,0.714285714285714,7,3
"Bryum",14.6140572480663,-3.54511995107699,"Bryum","fun","Viridiplantae","Bryophyta","Bryopsida","Bryales","Bryaceae","Bryum","fun",0,0,0,0
"Burkholderia",7.23287522290508,3.55414291089917,"Burkholderia","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","bac",2,0.264864864864865,54.9600732600733,2
"Candidatus_Solibacter",7.20372933118121,6.53174592107101,"Candidatus_Solibacter","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Candidatus_Solibacter","bac",1,0.230046948356808,0,1
"Chaetomium",6.51183536039665,-8.05655425832157,"Chaetomium","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","fun",0,0,0,0
"Chlamydomonas",9.36149340234646,-7.84723577700395,"Chlamydomonas","fun","Viridiplantae","Chlorophyta","Unassigned","Unassigned","Unassigned","Chlamydomonas","fun",0,0,0,0
"Chondromyces",-5.85984106595459,-1.41208868311177,"Chondromyces","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Chondromyces","bac",1,0.232227488151659,0,1
"Chryseolinea",4.00265785562903,-9.7828967410111,"Chryseolinea","bac","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unassigned","Chryseolinea","bac",0,0,0,0
"Chrysosporium",11.2595743853351,-1.58192804871326,"Chrysosporium","fun","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Chrysosporium","fun",1,1,0,1
"Coelastrella",-0.996756370093446,-6.89074402708573,"Coelastrella","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrella","fun",0,0,0,0
"Colletotrichum",-3.48481177723601,-7.58092444587164,"Colletotrichum","fun","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","fun",0,0,0,0
"Conlarium",-4.29934300981618,6.742724036962,"Conlarium","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Conlarium","fun",7,0.312101910828025,233.48152065326,7
"Conocybe",9.76053982744473,10.0216668906219,"Conocybe","fun","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","fun",3,0.256544502617801,49.2857142857143,3
"Corynascella",0.0949350588708366,13.6334863981606,"Corynascella","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Corynascella","fun",0,0,0,0
"Crenobacter",-6.57274772850896,7.80739148771447,"Crenobacter","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Crenobacter","bac",1,0.239024390243902,0,1
"Criconemoides",7.95978643300428,14.391693532146,"Criconemoides","fun","Metazoa","Nematoda","Chromadorea","Rhabditida","Criconematidae","Criconemoides","fun",0,0,0,0
"Cupriavidus",15.4879368359508,8.06874873792259,"Cupriavidus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","bac",2,0.316129032258064,38.4857142857143,2
"Cylindrocarpon",0.937041692012125,-8.99157415448935,"Cylindrocarpon","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon","fun",0,0,0,0
"Cyrtohymena",17.2801753418173,5.64845799736381,"Cyrtohymena","fun","Alveolata","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Cyrtohymena","fun",0,0,0,0
"Cystobacter",-8.030634239819,6.17713227838735,"Cystobacter","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Cystobacter","bac",0,0,0,0
"Devosia",14.077652476462,3.9459621193838,"Devosia","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","bac",1,0.454545454545455,0,1
"Dokdonella",-14.6541347272838,-1.69285350569879,"Dokdonella","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella","bac",2,0.312101910828025,4.33562271062271,2
"Dongia",-1.3899521392539,-9.37995249027994,"Dongia","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia","bac",0,0,0,0
"Exophiala",-6.72529952000236,-4.29367025563841,"Exophiala","fun","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","fun",0,0,0,0
"Flavisolibacter",-3.99005774878222,9.63875883677032,"Flavisolibacter","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavisolibacter","bac",4,0.347517730496454,187.451882055143,4
"Flavitalea",7.8052828021931,-9.34511084722684,"Flavitalea","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea","bac",0,0,0,0
"Fusarium",12.0570878368967,-8.24062338582394,"Fusarium","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","fun",0,0,0,0
"Fusicolla",16.802652131653,-2.01615145244479,"Fusicolla","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","fun",0,0,0,0
"Gaiella",-14.4733016062496,2.33008676311604,"Gaiella","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","bac",3,0.342657342657343,68.317972607103,3
"Gamsia",14.7487088824276,-6.92757840962953,"Gamsia","fun","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Gamsia","fun",0,0,0,0
"Geminibasidium",7.04299899544941,-11.4692298571148,"Geminibasidium","fun","Fungi","Basidiomycota","Geminibasidiomycetes","Geminibasidiales","Geminibasidiaceae","Geminibasidium","fun",0,0,0,0
"Gemmata",0.390155079583205,15.1463454218494,"Gemmata","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Gemmata","bac",0,0,0,0
"Gemmatimonas",-0.843347600395163,9.28888865998093,"Gemmatimonas","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","bac",1,0.239024390243902,0,1
"Geobacter",-19.1780003249091,-4.96366101282215,"Geobacter","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","bac",1,0.308176100628931,0,1
"Gibberella",11.9730355380631,12.1908608102023,"Gibberella","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","fun",1,0.215859030837004,0,1
"Gliocladiopsis",-5.56591784609899,-6.05260306290648,"Gliocladiopsis","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gliocladiopsis","fun",0,0,0,0
"Gonostomum",-1.07203215922143,14.6585895763049,"Gonostomum","fun","Alveolata","Ciliophora","Spirotrichea","Sporadotrichida","Trachelostylidae","Gonostomum","fun",0,0,0,0
"Gp1",16.1980154888774,3.17329250841229,"Gp1","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","bac",1,0.454545454545455,0,1
"Gp10",7.01874848795658,15.8968149687371,"Gp10","bac","Bacteria","Acidobacteria","Acidobacteria_Gp10","Unassigned","Unassigned","Gp10","bac",0,0,0,0
"Gp13",4.9691159584984,12.0614974663852,"Gp13","bac","Bacteria","Acidobacteria","Acidobacteria_Gp13","Unassigned","Unassigned","Gp13","bac",3,0.352517985611511,159.393832737311,3
