"Id","Kingdom","Phylum","Class","Order","Family","Genus","Species","Label"
"pH","Ev","Ev","Ev","Ev","Ev","Ev","Ev","pH"
"SOC","Ev","Ev","Ev","Ev","Ev","Ev","Ev","SOC"
"F","Ev","Ev","Ev","Ev","Ev","Ev","Ev","F"
"Cl","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Cl"
"PO4","Ev","Ev","Ev","Ev","Ev","Ev","Ev","PO4"
"SO4","Ev","Ev","Ev","Ev","Ev","Ev","Ev","SO4"
"Cr","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Cr"
"Cu","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Cu"
"Cd","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Cd"
"Pb","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Pb"
"Zn","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Zn"
"As","Ev","Ev","Ev","Ev","Ev","Ev","Ev","As"
"Sb","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Sb"
"Ni","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Ni"
"Th","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Th"
"Tl","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Tl"
"U","Ev","Ev","Ev","Ev","Ev","Ev","Ev","U"
"Mo","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Mo"
"Co","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Co"
"Se","Ev","Ev","Ev","Ev","Ev","Ev","Ev","Se"
"OTU_5","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Unassigned","OTU_5"
"OTU_2","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pelagibacterium","Pelagibacterium_halotolerans","OTU_2"
"OTU_1","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas_alkaliphila","OTU_1"
"OTU_3","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Chelativorans","Unassigned","OTU_3"
"OTU_8","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unassigned","Unassigned","OTU_8"
"OTU_12","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Unassigned","Unassigned","OTU_12"
"OTU_13","Bacteria","Proteobacteria","Betaproteobacteria","Hydrogenophilales","Hydrogenophilaceae","Thiobacillus","Thiobacillus_thioparus","OTU_13"
"OTU_14","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Unassigned","Unassigned","OTU_14"
"OTU_21","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus","Unassigned","OTU_21"
"OTU_20","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_20"
"OTU_22","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_22"
"OTU_23","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","OTU_23"
"OTU_24","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Unassigned","Unassigned","OTU_24"
"OTU_26","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium_manausense","OTU_26"
"OTU_27","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","OTU_27"
"OTU_28","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pluralibacter","Unassigned","OTU_28"
"OTU_35","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_35"
"OTU_32","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_32"
"OTU_38","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_38"
"OTU_39","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Unassigned","Unassigned","OTU_39"
"OTU_40","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bosea","Bosea_lathyri","OTU_40"
"OTU_41","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassigned","Unassigned","OTU_41"
"OTU_43","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_43"
"OTU_47","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium_yuanmingense","OTU_47"
"OTU_49","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_49"
"OTU_52","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","Arthrobacter_psychrochitiniphilus","OTU_52"
"OTU_54","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","OTU_54"
"OTU_53","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_53"
"OTU_56","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","OTU_56"
"OTU_57","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","OTU_57"
"OTU_58","Bacteria","Acidobacteria","Acidobacteria_Gp7","Unassigned","Unassigned","Gp7","Unassigned","OTU_58"
"OTU_59","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_59"
"OTU_64","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Unassigned","OTU_64"
"OTU_63","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis","Methyloversatilis_thermotolerans","OTU_63"
"OTU_69","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","OTU_69"
"OTU_71","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Unassigned","OTU_71"
"OTU_79","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_79"
"OTU_81","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_81"
"OTU_83","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_83"
"OTU_84","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_gandensis","OTU_84"
"OTU_88","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_88"
"OTU_87","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","Unassigned","OTU_87"
"OTU_90","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_90"
"OTU_92","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","OTU_92"
"OTU_93","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","OTU_93"
"OTU_96","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_96"
"OTU_99","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_99"
"OTU_100","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","OTU_100"
"OTU_101","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_brenneri","OTU_101"
"OTU_105","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_105"
"OTU_107","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_107"
"OTU_109","Bacteria","Verrucomicrobia","Subdivision3","Unassigned","Unassigned","Subdivision3_genera_incertae_sedis","Unassigned","OTU_109"
"OTU_110","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Xenophilus","Xenophilus_arseniciresistens","OTU_110"
"OTU_112","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium","Pedomicrobium_americanum","OTU_112"
"OTU_113","Bacteria","Acidobacteria","Acidobacteria_Gp17","Unassigned","Unassigned","Gp17","Unassigned","OTU_113"
"OTU_115","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Aridibacter","Aridibacter_kavangonensis","OTU_115"
"OTU_114","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_114"
"OTU_119","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_119"
"OTU_121","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","OTU_121"
"OTU_122","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_122"
"OTU_125","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","OTU_125"
"OTU_127","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_127"
"OTU_130","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","OTU_130"
"OTU_129","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","OTU_129"
"OTU_131","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Unassigned","Unassigned","OTU_131"
"OTU_133","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","OTU_133"
"OTU_138","Bacteria","Acidobacteria","Acidobacteria_Gp11","Unassigned","Unassigned","Gp11","Unassigned","OTU_138"
"OTU_144","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Ramlibacter","Unassigned","OTU_144"
"OTU_146","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","OTU_146"
"OTU_150","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Unassigned","Unassigned","OTU_150"
"OTU_148","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unassigned","OTU_148"
"OTU_151","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","OTU_151"
"OTU_153","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","OTU_153"
"OTU_155","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","Hyphomicrobium_vulgare","OTU_155"
"OTU_157","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_bereziniae","OTU_157"
