"Source","Target","p_value"
"OTU_228","pH",0.541608069291234
"OTU_131","pH",0.451767464387443
"OTU_341","pH",0.44193322684256
"OTU_116","pH",0.986182723922062
"OTU_157","pH",0.597059123390024
"OTU_706","pH",0.792737538521105
"OTU_390","pH",0.286865762543769
"OTU_454","pH",0.0173090560435849
"OTU_792","pH",0.0330728738092401
"OTU_577","pH",0.482182099378837
"OTU_532","pH",0.301078678877317
"OTU_480","pH",0.158666512454978
"OTU_635","pH",0.232223196503559
"OTU_339","pH",0.02727462534974
"OTU_148","pH",0.0354443129615443
"OTU_559","pH",0.0958353872772063
"OTU_321","pH",0.25226574624586
"OTU_223","pH",0.049310089793257
"OTU_40","pH",0.0458723975534886
"OTU_799","pH",0.557666452525671
"OTU_355","pH",0.360427677841672
"OTU_316","pH",0.220917154906677
"OTU_824","pH",0.0106836853650831
"OTU_403","pH",0.367539276791668
"OTU_561","pH",0.365996828468066
"OTU_993","pH",0.326620758626635
"OTU_1052","pH",0.011069246218871
"OTU_384","pH",0.956864748910929
"OTU_95","pH",0.119484106045188
"OTU_472","pH",0.235621804082659
"OTU_1","SOC",0.938404473780548
"OTU_2","SOC",0.969361146399833
"OTU_3","SOC",0.920795253435467
"OTU_5","SOC",0.98023551878408
"OTU_8","SOC",0.977005764319758
"OTU_20","SOC",0.953718105857296
"OTU_54","SOC",0.892579171093077
"OTU_12","SOC",0.951047905228506
"OTU_14","SOC",0.900775758185318
"OTU_22","SOC",0.681057667119885
"OTU_23","SOC",0.798241432407358
"OTU_27","SOC",0.763226120191892
"OTU_43","SOC",0.886258652398122
"OTU_35","SOC",0.711008903565925
"OTU_57","SOC",0.293443292612295
"OTU_28","SOC",0.903487622566969
"OTU_46","SOC",0.643391430834057
"OTU_26","SOC",0.606294800364105
"OTU_59","SOC",0.497537877893286
"OTU_81","SOC",0.850878415358236
"OTU_119","SOC",0.682989365728219
"OTU_49","SOC",0.750979272490242
"OTU_13","SOC",0.964928086371522
"OTU_42","SOC",0.319421146519379
"OTU_96","SOC",0.495060189805655
"OTU_109","SOC",0.911895769780294
"OTU_37","SOC",0.895364140242021
"OTU_58","SOC",0.968103795843564
"OTU_31","SOC",0.570303932264527
"OTU_296","SOC",0.748645143292726
"OTU_16","SOC",0.679783012237638
"OTU_193","SOC",0.137107427186121
"OTU_90","SOC",0.914790518151612
"OTU_32","SOC",0.403748331095469
"OTU_107","SOC",0.505794691657678
"OTU_47","SOC",0.768319248184904
"OTU_105","SOC",0.495060189805655
"OTU_73","SOC",0.930501329705593
"OTU_56","SOC",0.689337602948786
"OTU_367","SOC",0.238278596361539
"OTU_63","SOC",0.657680437881533
"OTU_138","SOC",0.940567007854759
"OTU_41","SOC",0.714423238754777
"OTU_128","SOC",0.126951554495404
"OTU_191","SOC",0.454733808726988
"OTU_259","SOC",0.344385871831815
"OTU_88","SOC",0.57821802536843
"OTU_200","SOC",0.432496527519554
"OTU_242","SOC",0.618350636042558
"OTU_36","SOC",0.500148100743009
"OTU_194","SOC",0.865469173822866
"OTU_64","SOC",0.968103795843564
"OTU_166","SOC",0.519655442760309
"OTU_62","SOC",0.988762662744366
"OTU_122","SOC",0.703043849492694
"OTU_127","SOC",0.513655212111601
"OTU_226","SOC",0.911895769780294
"OTU_149","SOC",0.569534393601392
"OTU_38","SOC",0.762209100343774
"OTU_241","SOC",0.636547443446755
"OTU_360","SOC",0.978530471804507
"OTU_142","SOC",0.421867193914671
"OTU_292","SOC",0.551026651476514
"OTU_230","SOC",0.547540222964429
"OTU_151","SOC",0.708616859897682
"OTU_914","SOC",0.950118732789689
"OTU_24","SOC",0.902737359429187
"OTU_492","SOC",0.554868016608135
"OTU_132","SOC",0.635059780998898
"OTU_112","SOC",0.52058422693723
"OTU_287","SOC",0.194326797940859
"OTU_334","SOC",0.934075510990666
"OTU_113","SOC",0.798241432407358
"OTU_440","SOC",0.112747984593921
"OTU_39","SOC",0.756154994472274
"OTU_306","SOC",0.77278382934727
"OTU_493","SOC",0.920795253435467
"OTU_545","SOC",0.597397220806481
"OTU_133","SOC",0.85560836220593
"OTU_381","SOC",0.777686865366958
"OTU_486","SOC",0.643282846529756
"OTU_274","SOC",0.316880548227284
"OTU_422","SOC",0.792737538521105
"OTU_581","SOC",0.73374429519726
"OTU_101","SOC",0.746512693434856
"OTU_130","SOC",0.919073834019666
"OTU_115","SOC",0.777686865366958
"OTU_301","SOC",0.900775758185318
"OTU_71","SOC",0.583061916498115
"OTU_66","SOC",0.888203672292946
"OTU_153","SOC",0.136306622064692
"OTU_121","SOC",0.708616859897682
"OTU_266","SOC",0.703043849492694
"OTU_144","SOC",0.242279223392161
"OTU_682","SOC",0.8703225958496
"OTU_481","SOC",0.10558426693961
"OTU_150","SOC",0.76061689293503
"OTU_204","SOC",0.602447760457243
"OTU_354","SOC",0.689337602948786
"OTU_288","SOC",0.740348265597895
"OTU_110","SOC",0.787007419239022
"OTU_69","SOC",0.969361146399833
"OTU_192","SOC",0.842623812290273
"OTU_171","SOC",0.555667990715202
"OTU_162","SOC",0.926957376394625
"OTU_299","SOC",0.637426338598317
"OTU_237","SOC",0.565170405577296
"OTU_74","SOC",0.560253999464334
"OTU_93","SOC",0.703043849492694
"OTU_359","SOC",0.884095454080646
"OTU_309","SOC",0.994548871206564
"OTU_267","SOC",0.89782252109511
"OTU_234","SOC",0.455085441712733
"OTU_179","SOC",0.91741677714194
"OTU_333","SOC",0.953718105857296
"OTU_694","SOC",0.565170405577296
"OTU_217","SOC",0.234592471353229
"OTU_238","SOC",0.681057667119885
"OTU_146","SOC",0.869748212481678
"OTU_387","SOC",0.533994194341456
"OTU_302","SOC",0.831507603014457
"OTU_160","SOC",0.909388140862767
"OTU_99","SOC",0.721872412385617
"OTU_244","SOC",0.505794691657678
"OTU_199","SOC",0.969361146399833
"OTU_198","SOC",0.89157292986813
"OTU_270","SOC",0.911850137240895
"OTU_187","SOC",0.626194438350941
"OTU_247","SOC",0.580941489386081
"OTU_92","SOC",0.6599140512751
"OTU_155","SOC",0.615988410544858
"OTU_21","SOC",1
"OTU_236","SOC",0.690083443793559
"OTU_487","SOC",0.695938800388741
"OTU_622","SOC",0.589210387608234
"OTU_445","SOC",0.933471401488182
"OTU_409","SOC",0.909388140862767
"OTU_169","SOC",0.637162267938723
"OTU_265","SOC",0.600907603057902
"OTU_423","SOC",0.69527725378586
"OTU_87","SOC",0.545825045480472
"OTU_555","SOC",0.649716829651293
"OTU_53","SOC",0.535195569004633
"OTU_65","SOC",0.958385840240543
"OTU_255","SOC",0.845720929501269
"OTU_235","SOC",0.133898333309972
"OTU_243","SOC",0.640498398262287
"OTU_376","SOC",0.473232318654605
"OTU_141","SOC",0.705686646059431
"OTU_188","SOC",0.841063129460439
"OTU_114","SOC",0.882088923621449
"OTU_262","SOC",0.671469054755474
"OTU_147","SOC",0.850878415358236
"OTU_478","SOC",0.749373121000693
"OTU_618","SOC",0.418930811970737
"OTU_356","SOC",0.0620372400669977
"OTU_701","SOC",0.636547443446755
"OTU_100","SOC",0.882167817942329
"OTU_125","SOC",0.630863018837895
"OTU_416","SOC",0.734394120245055
"OTU_312","SOC",0.615988410544858
"OTU_156","SOC",0.936705233080184
"OTU_118","SOC",0.856018277952895
"OTU_175","SOC",0.776199490974605
"OTU_427","SOC",0.862969310349953
"OTU_70","SOC",0.879987814076441
"OTU_544","SOC",0.288107340581156
"OTU_249","SOC",0.936705233080184
"OTU_351","SOC",0.986241877112305
"OTU_902","SOC",0.588817174166257
"OTU_533","SOC",0.55706252546471
"OTU_84","SOC",0.862549559466857
"OTU_633","SOC",0.619551148824276
"OTU_322","SOC",0.938404473780548
"OTU_443","SOC",0.731657059909994
"OTU_917","SOC",0.123220898017316
"OTU_79","SOC",0.721872412385617
"OTU_290","SOC",0.932892704444259
"OTU_770","SOC",0.360552958159111
"OTU_215","SOC",0.802643900214787
"OTU_83","SOC",0.97293639139931
"OTU_311","SOC",0.964928086371522
"OTU_415","SOC",0.74617775796447
"OTU_348","SOC",0.840885584763336
"OTU_232","SOC",0.942587607448671
"OTU_366","SOC",0.297227522931053
"OTU_898","SOC",0.728694732013266
"OTU_741","SOC",0.665592641081036
"OTU_1104","SOC",0.0103357543378132
"OTU_129","SOC",0.484276769542521
"OTU_418","SOC",0.728694732013266
"OTU_566","SOC",0.849879596392673
"OTU_818","SOC",0.797238096019353
"OTU_152","SOC",0.646551986485052
"OTU_52","SOC",0.32147104067437
"OTU_820","SOC",0.643282846529756
"OTU_905","SOC",0.0938847220777477
"OTU_961","SOC",0.514349241580419
"OTU_872","SOC",0.910992637439692
"OTU_214","SOC",0.851622658169436
"OTU_168","SOC",0.850878415358236
"OTU_728","SOC",0.861854776852585
"OTU_520","SOC",0.589210387608234
"OTU_537","SOC",0.410529826396149
"OTU_761","SOC",0.879240633638732
"OTU_289","SOC",0.679358047937235
"OTU_504","SOC",0.749373121000693
"OTU_987","SOC",0.493495981048166
"OTU_212","SOC",0.52496686527316
"OTU_140","SOC",0.961611169275751
"OTU_227","SOC",0.938404473780548
"OTU_426","SOC",0.407152894523429
"OTU_167","SOC",0.892579171093077
"OTU_625","SOC",0.764588162120537
"OTU_1108","SOC",0.0150671202624993
"OTU_1295","SOC",0.837035491840093
"OTU_61","SOC",0.731657059909994
"OTU_408","SOC",0.661808459293505
"OTU_615","SOC",0.699619225810067
"OTU_51","SOC",0.734394120245055
"OTU_256","SOC",0.892579171093077
"OTU_838","SOC",0.25961963400096
"OTU_335","SOC",0.296251038518805
"OTU_628","SOC",0.943012268491562
"OTU_228","SOC",0.799318366406689
"OTU_131","SOC",0.715743847953936
"OTU_341","SOC",0.45394886446572
"OTU_116","SOC",0.871082368216379
"OTU_157","SOC",0.865135768866145
"OTU_706","SOC",0.123301019806632
"OTU_390","SOC",0.600907603057902
"OTU_454","SOC",0.362966335041875
"OTU_792","SOC",0.842623812290273
"OTU_577","SOC",0.913214275963887
"OTU_532","SOC",0.998166875509212
"OTU_480","SOC",0.54160494093235
"OTU_635","SOC",0.556075091394362
"OTU_339","SOC",0.445107857076339
"OTU_148","SOC",0.877363393927409
"OTU_559","SOC",0.394691527671536
"OTU_321","SOC",0.948322603683401
"OTU_223","SOC",0.694419629929917
"OTU_40","SOC",0.832521972899506
"OTU_799","SOC",0.557666452525671
"OTU_355","SOC",0.990658502755891
"OTU_316","SOC",1
"OTU_824","SOC",0.230419742980226
"OTU_403","SOC",0.600425572837871
"OTU_561","SOC",0.806547767044048
"OTU_993","SOC",0.67729239915865
"OTU_1052","SOC",0.325703680498355
"OTU_384","SOC",0.435566207539407
"OTU_95","SOC",0.445107857076339
"OTU_472","SOC",0.803606825983858
"OTU_1","F",0.199548256245105
"OTU_2","F",0.237817212088789
"OTU_3","F",0.45908962245959
"OTU_5","F",0.892579171093077
"OTU_8","F",0.274057546043906
"OTU_20","F",0.495501442602199
"OTU_54","F",0.861854776852585
"OTU_12","F",0.171544782987117
"OTU_14","F",0.607361964645151
"OTU_22","F",0.49457880447816
"OTU_23","F",0.3913020320715
"OTU_27","F",0.911895769780294
"OTU_43","F",0.461679876406296
"OTU_35","F",0.284101947384156
"OTU_57","F",0.312581114166886
"OTU_28","F",0.533994194341456
"OTU_46","F",0.977005764319758
"OTU_26","F",0.811568871079019
"OTU_59","F",0.781237277733023
"OTU_81","F",0.89782252109511
"OTU_119","F",0.743715540020445
"OTU_49","F",0.363915509449335
"OTU_13","F",0.49457880447816
"OTU_42","F",0.610972015624033
"OTU_96","F",0.943012268491562
"OTU_109","F",0.28515327818394
"OTU_37","F",0.780053004027119
"OTU_58","F",0.293443292612295
"OTU_31","F",0.102664119024019
"OTU_296","F",0.900775758185318
"OTU_16","F",0.55302872241123
"OTU_193","F",0.593185493776453
"OTU_90","F",0.404164971436988
"OTU_32","F",0.711994961908067
"OTU_107","F",0.877363393927409
"OTU_47","F",0.415164698915863
"OTU_105","F",0.499118402424846
"OTU_73","F",0.70271189442967
"OTU_56","F",0.333078010421147
"OTU_367","F",0.45908962245959
"OTU_63","F",0.365996828468066
"OTU_138","F",0.514349241580419
"OTU_41","F",0.467869563099359
"OTU_128","F",0.340569021435939
"OTU_191","F",0.969361146399833
"OTU_259","F",0.639546721559372
"OTU_88","F",0.469977732647983
"OTU_200","F",0.720823498264736
"OTU_242","F",0.626243338202521
"OTU_36","F",0.943012268491562
"OTU_194","F",0.511648073658838
"OTU_64","F",0.557908808895727
"OTU_166","F",0.737663447748443
"OTU_62","F",0.752214350219419
"OTU_122","F",0.443328148020051
"OTU_127","F",0.501267867832736
"OTU_226","F",0.933471401488182
"OTU_149","F",0.801814495652381
"OTU_38","F",0.530734946590025
"OTU_241","F",0.877363393927409
"OTU_360","F",0.190270005087043
"OTU_142","F",0.861854776852585
"OTU_292","F",0.919016376082531
"OTU_230","F",0.622411886069594
"OTU_151","F",0.902737359429187
"OTU_914","F",0.912057429489638
"OTU_24","F",0.843618850944028
"OTU_492","F",0.728986268158626
"OTU_132","F",0.221496111675785
"OTU_112","F",0.641654017788353
"OTU_287","F",0.477257434766499
"OTU_334","F",0.310830262334562
"OTU_113","F",0.299458209793912
"OTU_440","F",0.645839948052286
"OTU_39","F",0.909388140862767
"OTU_306","F",0.661808459293505
"OTU_493","F",0.941064182771902
"OTU_545","F",0.900775758185318
"OTU_133","F",0.882088923621449
"OTU_381","F",0.544542069648339
"OTU_486","F",0.587209760736394
"OTU_274","F",0.91533612086867
"OTU_422","F",0.450890183832366
"OTU_581","F",0.861774204266995
"OTU_101","F",0.824912443651405
"OTU_130","F",0.395102103711182
"OTU_115","F",0.990658502755891
"OTU_301","F",0.141606533785176
"OTU_71","F",0.6599140512751
"OTU_66","F",0.42198760977081
"OTU_153","F",0.715743847953936
"OTU_121","F",0.42198760977081
"OTU_266","F",0.833655810480562
"OTU_144","F",0.588817174166257
"OTU_682","F",0.906920573840209
"OTU_481","F",0.900775758185318
"OTU_150","F",0.665014574674361
"OTU_204","F",0.833655810480562
"OTU_354","F",0.555347425396972
"OTU_288","F",0.95372584773367
"OTU_110","F",0.0297043974412577
"OTU_69","F",0.369984694366589
"OTU_192","F",0.518973338443442
"OTU_171","F",0.805250519526797
"OTU_162","F",0.510416083502755
"OTU_299","F",0.890634490942994
"OTU_237","F",0.648879947402682
"OTU_74","F",0.777958221740026
"OTU_93","F",0.986182723922062
"OTU_359","F",0.514808558432553
"OTU_309","F",0.902737359429187
"OTU_267","F",0.298387036256877
"OTU_234","F",0.491580654700445
"OTU_179","F",0.871614639481078
"OTU_333","F",0.345227441226791
"OTU_694","F",0.846234509955107
"OTU_217","F",0.68045599269099
"OTU_238","F",0.900775758185318
"OTU_146","F",0.73374429519726
"OTU_387","F",0.975112473304583
"OTU_302","F",0.523254136048363
"OTU_160","F",0.938404473780548
"OTU_99","F",0.665706465525251
"OTU_244","F",0.994548871206564
"OTU_199","F",0.463140356848282
"OTU_198","F",0.404164971436988
"OTU_270","F",0.831992431111586
"OTU_187","F",0.369816326251121
"OTU_247","F",0.591759160922761
"OTU_92","F",0.302991896326135
"OTU_155","F",0.636547443446755
"OTU_21","F",0.294242106153484
"OTU_236","F",0.641738434178359
"OTU_487","F",0.92572635630519
"OTU_622","F",0.588685879623682
"OTU_445","F",0.632314721351741
"OTU_409","F",0.842623812290273
"OTU_169","F",0.79415352409252
"OTU_265","F",0.846234509955107
"OTU_423","F",0.811783957188082
"OTU_87","F",0.467869563099359
"OTU_555","F",0.91734076923604
"OTU_53","F",0.864160567370689
"OTU_65","F",0.465579313981531
"OTU_255","F",0.449789388072068
"OTU_235","F",0.434054509147731
"OTU_243","F",0.675996521145865
"OTU_376","F",0.845042169698616
"OTU_141","F",0.417827382074817
"OTU_188","F",0.299458209793912
"OTU_114","F",0.948322603683401
"OTU_262","F",0.588657484447556
"OTU_147","F",0.737663447748443
"OTU_478","F",0.680211538448342
"OTU_618","F",0.530734946590025
"OTU_356","F",0.389236489144508
"OTU_701","F",0.922298842847547
"OTU_100","F",0.178186580087769
"OTU_125","F",0.284101947384156
"OTU_416","F",0.463140356848282
"OTU_312","F",0.670122039152805
"OTU_156","F",0.745562051504571
"OTU_118","F",0.204189906077402
"OTU_175","F",0.912057429489638
"OTU_427","F",0.967128801509747
"OTU_70","F",0.607372390183355
"OTU_544","F",0.939074726450271
"OTU_249","F",0.705215514600829
"OTU_351","F",0.276423442478055
"OTU_902","F",0.740348265597895
"OTU_533","F",0.522981445428611
"OTU_84","F",0.610849216949519
"OTU_633","F",0.669059087333026
"OTU_322","F",0.180975552949417
"OTU_443","F",0.853526773337497
"OTU_917","F",0.388493046079504
"OTU_79","F",0.842623812290273
"OTU_290","F",0.521008078809554
"OTU_770","F",0.831034080641106
"OTU_215","F",0.780053004027119
"OTU_83","F",0.29511126007416
"OTU_311","F",0.336729323761043
"OTU_415","F",0.977005764319758
"OTU_348","F",0.598628925938198
"OTU_232","F",0.891085172466264
"OTU_366","F",0.556734197245066
"OTU_898","F",0.895364140242021
"OTU_741","F",0.917348780810017
"OTU_1104","F",0.237357430951872
"OTU_129","F",0.565170405577296
"OTU_418","F",0.174926636631655
"OTU_566","F",0.824912443651405
"OTU_818","F",0.992696689557502
"OTU_152","F",0.174926636631655
"OTU_52","F",0.933471401488182
"OTU_820","F",0.80575531824122
"OTU_905","F",0.353727037493593
"OTU_961","F",0.900775758185318
"OTU_872","F",0.327050323732115
"OTU_214","F",0.666597536261463
"OTU_168","F",0.861854776852585
"OTU_728","F",0.338756352994974
"OTU_520","F",0.745562051504571
"OTU_537","F",0.601906985990334
"OTU_761","F",0.949760297117561
"OTU_289","F",0.404164971436988
"OTU_504","F",0.820346019429124
"OTU_987","F",0.971982573254677
"OTU_212","F",0.453843482182915
"OTU_140","F",0.654506328595423
"OTU_227","F",0.959139370550617
"OTU_426","F",0.435566207539407
"OTU_167","F",0.0606943736446319
"OTU_625","F",0.383480744660325
"OTU_1108","F",0.357822364908557
"OTU_1295","F",0.358914697943523
"OTU_61","F",0.607361964645151
"OTU_408","F",0.397258340584653
"OTU_615","F",0.948319599183205
"OTU_51","F",0.459028283738543
"OTU_256","F",0.631312835879172
"OTU_838","F",0.560563065986604
"OTU_335","F",0.871513273970816
"OTU_628","F",0.906403408547208
"OTU_228","F",0.486027785629195
"OTU_131","F",0.230350408731524
"OTU_341","F",0.906403408547208
"OTU_116","F",0.300909132690313
"OTU_157","F",0.602447760457243
"OTU_706","F",0.961611169275751
"OTU_390","F",0.872708503418522
"OTU_454","F",0.607635760917034
"OTU_792","F",0.780053004027119
"OTU_577","F",0.900775758185318
"OTU_532","F",0.237817212088789
"OTU_480","F",0.17146654145114
"OTU_635","F",0.860058105726811
"OTU_339","F",0.959139370550617
"OTU_148","F",0.954757490667428
"OTU_559","F",0.693981147728055
"OTU_321","F",0.286865762543769
"OTU_223","F",0.938404473780548
"OTU_40","F",0.804397924018226
"OTU_799","F",0.562388103381827
"OTU_355","F",0.964928086371522
"OTU_316","F",0.232590415273793
"OTU_824","F",0.998166875509212
"OTU_403","F",0.544018780257981
"OTU_561","F",0.964928086371522
"OTU_993","F",0.442108567333724
"OTU_1052","F",0.760900513312339
"OTU_384","F",0.634225237363703
"OTU_95","F",0.89782252109511
"OTU_472","F",0.502490487326833
"OTU_1","Cl",0.0564631529157858
"OTU_2","Cl",0.0557987506499205
"OTU_3","Cl",0.0333785002437563
"OTU_5","Cl",0.0146315199031022
"OTU_8","Cl",0.0180374013610714
"OTU_20","Cl",0.232625901477155
"OTU_54","Cl",0.339370978187677
"OTU_12","Cl",0.0469324786131571
