"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_180",3,1,0,3
"ASV_378",3,1,0,3
"ASV_404",3,1,0,3
"ASV_20",4,1,0,4
"ASV_193",4,1,0,4
"ASV_309",4,1,0,4
"ASV_417",4,1,0,4
"ASV_53",3,1,0,3
"ASV_349",3,1,0,3
"ASV_392",3,1,0,3
"ASV_140",2,1,0,2
"ASV_260",2,1,0,2
"ASV_148",2,1,0,2
"ASV_186",2,1,0,2
"ASV_62",6,1,0,6
"ASV_55",6,1,0,6
"ASV_122",6,1,0,6
"ASV_224",6,1,0,6
"ASV_248",6,1,0,6
"ASV_340",6,1,0,6
"ASV_135",4,1,0,4
"ASV_344",4,1,0,4
"ASV_517",4,1,0,4
"ASV_435",4,1,0,4
"ASV_767",2,1,0,2
"ASV_440",2,1,0,2
"ASV_393",2,1,0,2
"ASV_229",2,1,0,2
"ASV_363",1,1,0,1
"ASV_508",1,1,0,1
"ASV_216",5,1,0,5
"ASV_109",5,1,0,5
"ASV_240",5,1,0,5
"ASV_382",5,1,0,5
"ASV_304",5,1,0,5
"ASV_184",1,1,0,1
"ASV_48",3,1,0,3
"ASV_179",3,1,0,3
"ASV_354",3,1,0,3
"ASV_682",1,1,0,1
"ASV_124",4,1,0,4
"ASV_244",4,1,0,4
"ASV_119",4,1,0,4
"ASV_360",4,1,0,4
"ASV_95",5,1,0,5
"ASV_138",5,1,0,5
"ASV_153",5,1,0,5
"ASV_245",5,1,0,5
"ASV_385",5,1,0,5
"ASV_386",1,1,0,1
"ASV_29",2,1,0,2
"ASV_345",2,1,0,2
"ASV_116",1,1,0,1
"ASV_60",2,1,0,2
"ASV_143",2,1,0,2
"ASV_31",4,1,0,4
"ASV_945",4,1,0,4
"ASV_634",4,1,0,4
"ASV_1751",4,1,0,4
"ASV_242",2,1,0,2
"ASV_395",2,1,0,2
"ASV_45",4,1,0,4
"ASV_38",4,1,0,4
"ASV_99",4,1,0,4
"ASV_187",4,1,0,4
"ASV_70",1,1,0,1
"ASV_49",5,1,0,5
"ASV_105",5,1,0,5
"ASV_264",5,1,0,5
"ASV_235",5,1,0,5
"ASV_420",5,1,0,5
"ASV_2250",3,1,0,3
"ASV_351",3,1,0,3
"ASV_457",3,1,0,3
"ASV_347",1,1,0,1
"ASV_221",2,1,0,2
"ASV_376",2,1,0,2
"ASV_77",2,1,0,2
"ASV_271",2,1,0,2
"ASV_261",1,1,0,1
"ASV_52",3,1,0,3
"ASV_165",3,1,0,3
"ASV_230",3,1,0,3
"ASV_128",4,1,0,4
"ASV_294",4,1,0,4
"ASV_390",4,1,0,4
"ASV_515",4,1,0,4
"ASV_92",2,1,0,2
"ASV_607",2,1,0,2
"ASV_185",1,1,0,1
"ASV_175",3,1,0,3
"ASV_113",3,1,0,3
"ASV_236",3,1,0,3
"ASV_71",2,1,0,2
"ASV_556",2,1,0,2
"ASV_125",3,1,0,3
"ASV_189",3,1,0,3
"ASV_338",3,1,0,3
"ASV_1156",1,1,0,1
"ASV_188",1,1,0,1
"ASV_507",2,1,0,2
"ASV_381",2,1,0,2
"ASV_456",1,1,0,1
"ASV_75",2,1,0,2
"ASV_277",2,1,0,2
"ASV_155",2,1,0,2
"ASV_258",2,1,0,2
"ASV_66",5,1,0,5
"ASV_86",5,1,0,5
"ASV_357",5,1,0,5
"ASV_343",5,1,0,5
"ASV_546",5,1,0,5
"ASV_103",2,1,0,2
"ASV_394",2,1,0,2
"ASV_292",3,1,0,3
"ASV_298",3,1,0,3
"ASV_550",3,1,0,3
"ASV_87",5,1,0,5
"ASV_159",5,1,0,5
"ASV_172",5,1,0,5
"ASV_303",5,1,0,5
"ASV_527",5,1,0,5
"ASV_412",2,1,0,2
"ASV_388",2,1,0,2
"ASV_80",3,1,0,3
"ASV_288",3,1,0,3
"ASV_217",3,1,0,3
"ASV_115",5,1,0,5
"ASV_198",5,1,0,5
"ASV_220",5,1,0,5
"ASV_433",5,1,0,5
"ASV_293",5,1,0,5
"ASV_452",1,1,0,1
"ASV_312",1,1,0,1
"ASV_266",3,1,0,3
"ASV_661",3,1,0,3
"ASV_327",3,1,0,3
"ASV_426",1,1,0,1
"ASV_282",2,1,0,2
"ASV_281",2,1,0,2
"ASV_731",1,1,0,1
"ASV_181",3,1,0,3
"ASV_460",3,1,0,3
"ASV_482",3,1,0,3
"ASV_129",4,1,0,4
"ASV_93",4,1,0,4
"ASV_199",4,1,0,4
"ASV_355",4,1,0,4
"ASV_512",1,1,0,1
"ASV_147",3,1,0,3
"ASV_320",3,1,0,3
"ASV_409",3,1,0,3
"ASV_279",1,1,0,1
"ASV_436",1,1,0,1
"ASV_278",2,1,0,2
"ASV_203",2,1,0,2
"ASV_267",1,1,0,1
"ASV_289",1,1,0,1
"ASV_341",1,1,0,1
"ASV_142",7,1,0,7
"ASV_225",7,1,0,7
"ASV_465",7,1,0,7
"ASV_256",7,1,0,7
"ASV_419",7,1,0,7
"ASV_362",7,1,0,7
"ASV_352",7,1,0,7
"ASV_478",1,1,0,1
"ASV_305",1,1,0,1
"ASV_222",1,1,0,1
"ASV_342",2,1,0,2
"ASV_506",2,1,0,2
"ASV_490",2,1,0,2
"ASV_494",2,1,0,2
"ASV_241",1,1,0,1
"ASV_164",3,1,0,3
"ASV_214",3,1,0,3
"ASV_326",3,1,0,3
"ASV_359",2,1,0,2
"ASV_350",2,1,0,2
"ASV_410",1,1,0,1
"ASV_163",4,1,0,4
"ASV_450",4,1,0,4
"ASV_375",4,1,0,4
"ASV_449",4,1,0,4
"ASV_307",1,1,0,1
"ASV_439",1,1,0,1
"ASV_233",1,1,0,1
"ASV_226",4,1,0,4
"ASV_402",4,1,0,4
"ASV_330",4,1,0,4
"ASV_396",4,1,0,4
"ASV_262",3,1,0,3
"ASV_208",3,1,0,3
"ASV_535",3,1,0,3
"ASV_486",1,1,0,1
"ASV_169",3,1,0,3
"ASV_200",3,1,0,3
"ASV_250",3,1,0,3
"ASV_228",2,1,0,2
"ASV_374",2,1,0,2
"ASV_285",2,1,0,2
"ASV_337",2,1,0,2
"ASV_380",1,1,0,1
"ASV_379",1,1,0,1
"ASV_231",1,1,0,1
"ASV_721",1,1,0,1
"ASV_578",1,1,0,1
"ASV_1072",1,1,0,1
"ASV_259",1,1,0,1
"ASV_405",1,1,0,1
"ASV_268",2,1,0,2
"ASV_495",2,1,0,2
"ASV_597",1,1,0,1
"ASV_474",2,1,0,2
"ASV_665",2,1,0,2
"ASV_332",1,1,0,1
"ASV_246",1,1,0,1
"ASV_446",1,1,0,1
"ASV_481",1,1,0,1
"ASV_205",2,1,0,2
"ASV_389",2,1,0,2
"ASV_295",1,1,0,1
"ASV_356",1,1,0,1
"ASV_1982",1,1,0,1
"ASV_1843",1,1,0,1
"ASV_387",2,1,0,2
"ASV_361",2,1,0,2
"ASV_842",1,1,0,1
"ASV_477",1,1,0,1
"ASV_411",2,1,0,2
"ASV_611",2,1,0,2
"ASV_698",1,1,0,1
"ASV_112",2,1,0,2
"ASV_286",2,1,0,2
"ASV_458",1,1,0,1
"ASV_373",1,1,0,1
"ASV_1234",1,1,0,1
"ASV_407",1,1,0,1
"ASV_493",1,1,0,1
"ASV_333",1,1,0,1
"ASV_400",2,1,0,2
"ASV_421",2,1,0,2
"ASV_313",1,1,0,1
"ASV_453",1,1,0,1
"ASV_2",3,1,0,3
"ASV_1",4,1,0,4
"ASV_6",3,1,0,3
"ASV_3",2,1,0,2
"ASV_10",2,1,0,2
"ASV_7",6,1,0,6
"ASV_9",4,1,0,4
"ASV_17",2,1,0,2
"ASV_15",2,1,0,2
"ASV_11",1,1,0,1
"ASV_14",1,1,0,1
"ASV_13",5,1,0,5
"ASV_24",1,1,0,1
"ASV_19",3,1,0,3
"ASV_23",1,1,0,1
"ASV_16",4,1,0,4
"ASV_25",5,1,0,5
"ASV_12",1,1,0,1
"ASV_18",2,1,0,2
"ASV_22",1,1,0,1
"ASV_39",2,1,0,2
"ASV_69",4,1,0,4
"ASV_44",2,1,0,2
"ASV_36",4,1,0,4
"ASV_30",1,1,0,1
"ASV_21",5,1,0,5
"ASV_42",3,1,0,3
"ASV_51",1,1,0,1
"ASV_35",2,1,0,2
"ASV_33",2,1,0,2
"ASV_54",1,1,0,1
"ASV_56",3,1,0,3
"ASV_32",4,1,0,4
"ASV_166",2,1,0,2
"ASV_73",1,1,0,1
"ASV_63",3,1,0,3
"ASV_88",2,1,0,2
"ASV_59",3,1,0,3
"ASV_34",1,1,0,1
"ASV_79",1,1,0,1
"ASV_46",2,1,0,2
"ASV_85",1,1,0,1
"ASV_61",2,1,0,2
"ASV_84",2,1,0,2
"ASV_96",5,1,0,5
"ASV_65",2,1,0,2
"ASV_74",3,1,0,3
"ASV_43",5,1,0,5
"ASV_68",2,1,0,2
"ASV_94",3,1,0,3
"ASV_97",5,1,0,5
"ASV_141",1,1,0,1
"ASV_114",1,1,0,1
"ASV_78",3,1,0,3
"ASV_102",1,1,0,1
"ASV_76",2,1,0,2
"ASV_107",1,1,0,1
"ASV_110",3,1,0,3
"ASV_123",4,1,0,4
"ASV_118",1,1,0,1
"ASV_90",3,1,0,3
"ASV_108",1,1,0,1
"ASV_101",1,1,0,1
"ASV_133",2,1,0,2
"ASV_130",1,1,0,1
"ASV_167",1,1,0,1
"ASV_127",1,1,0,1
"ASV_89",7,1,0,7
"ASV_176",1,1,0,1
"ASV_218",1,1,0,1
"ASV_322",1,1,0,1
"ASV_151",2,1,0,2
"ASV_157",2,1,0,2
"ASV_162",1,1,0,1
"ASV_126",3,1,0,3
"ASV_117",2,1,0,2
"ASV_145",1,1,0,1
"ASV_190",4,1,0,4
"ASV_211",1,1,0,1
"ASV_251",1,1,0,1
"ASV_232",1,1,0,1
"ASV_192",4,1,0,4
"ASV_150",3,1,0,3
"ASV_136",1,1,0,1
"ASV_742",3,1,0,3
"ASV_111",2,1,0,2
"ASV_237",2,1,0,2
"ASV_207",1,1,0,1
"ASV_257",1,1,0,1
"ASV_178",1,1,0,1
"ASV_152",1,1,0,1
"ASV_170",1,1,0,1
"ASV_301",1,1,0,1
"ASV_212",1,1,0,1
"ASV_391",1,1,0,1
"ASV_146",2,1,0,2
"ASV_339",1,1,0,1
"ASV_194",2,1,0,2
"ASV_210",1,1,0,1
"ASV_252",1,1,0,1
"ASV_239",1,1,0,1
"ASV_306",1,1,0,1
"ASV_324",2,1,0,2
"ASV_276",1,1,0,1
"ASV_273",1,1,0,1
"ASV_432",1,1,0,1
"ASV_315",1,1,0,1
"ASV_265",2,1,0,2
"ASV_290",1,1,0,1
"ASV_353",1,1,0,1
"ASV_441",2,1,0,2
"ASV_367",1,1,0,1
"ASV_283",2,1,0,2
"ASV_297",1,1,0,1
"ASV_255",1,1,0,1
"ASV_705",1,1,0,1
"ASV_593",1,1,0,1
"ASV_444",1,1,0,1
"ASV_371",1,1,0,1
"ASV_644",2,1,0,2
"ASV_573",1,1,0,1
"ASV_464",1,1,0,1
