source,target,correlation,direct,cor
ASV_360,ASV_124,1,undirected,+
ASV_199,ASV_93,-1,undirected,-
ASV_355,ASV_93,-1,undirected,-
ASV_163,ASV_190,-1,undirected,-
ASV_450,ASV_190,1,undirected,+
ASV_375,ASV_190,1,undirected,+
ASV_449,ASV_190,-1,undirected,-
ASV_344,ASV_135,-1,undirected,-
ASV_517,ASV_135,1,undirected,+
ASV_435,ASV_135,1,undirected,+
ASV_226,ASV_192,-1,undirected,-
ASV_402,ASV_192,1,undirected,+
ASV_330,ASV_192,1,undirected,+
ASV_396,ASV_192,-1,undirected,-
ASV_119,ASV_244,1,undirected,+
ASV_360,ASV_244,1,undirected,+
ASV_360,ASV_119,1,undirected,+
ASV_294,ASV_128,1,undirected,+
ASV_390,ASV_128,1,undirected,+
ASV_515,ASV_128,1,undirected,+
ASV_450,ASV_163,-1,undirected,-
ASV_375,ASV_163,-1,undirected,-
ASV_449,ASV_163,1,undirected,+
ASV_309,ASV_193,1,undirected,+
ASV_417,ASV_193,1,undirected,+
ASV_402,ASV_226,-1,undirected,-
ASV_330,ASV_226,-1,undirected,-
ASV_396,ASV_226,1,undirected,+
ASV_517,ASV_344,-1,undirected,-
ASV_435,ASV_344,-1,undirected,-
ASV_355,ASV_199,1,undirected,+
ASV_435,ASV_517,1,undirected,+
ASV_330,ASV_402,1,undirected,+
ASV_396,ASV_402,-1,undirected,-
ASV_396,ASV_330,-1,undirected,-
ASV_417,ASV_309,1,undirected,+
ASV_390,ASV_294,1,undirected,+
ASV_515,ASV_294,1,undirected,+
ASV_375,ASV_450,1,undirected,+
ASV_449,ASV_450,-1,undirected,-
ASV_515,ASV_390,1,undirected,+
ASV_634,ASV_945,1,undirected,+
ASV_1751,ASV_945,-1,undirected,-
ASV_449,ASV_375,-1,undirected,-
ASV_1751,ASV_634,-1,undirected,-
ASV_53,ASV_6,-1,undirected,-
ASV_349,ASV_6,-1,undirected,-
ASV_392,ASV_6,1,undirected,+
ASV_48,ASV_19,-1,undirected,-
ASV_179,ASV_19,-1,undirected,-
ASV_354,ASV_19,1,undirected,+
ASV_2250,ASV_42,-1,undirected,-
ASV_351,ASV_42,-1,undirected,-
ASV_457,ASV_42,1,undirected,+
ASV_52,ASV_56,-1,undirected,-
ASV_165,ASV_56,-1,undirected,-
ASV_230,ASV_56,1,undirected,+
ASV_165,ASV_52,1,undirected,+
ASV_230,ASV_52,-1,undirected,-
ASV_175,ASV_63,1,undirected,+
ASV_113,ASV_63,-1,undirected,-
ASV_236,ASV_63,-1,undirected,-
ASV_179,ASV_48,1,undirected,+
ASV_354,ASV_48,-1,undirected,-
ASV_125,ASV_59,1,undirected,+
ASV_189,ASV_59,-1,undirected,-
ASV_338,ASV_59,-1,undirected,-
ASV_349,ASV_53,1,undirected,+
ASV_392,ASV_53,-1,undirected,-
ASV_292,ASV_74,1,undirected,+
ASV_298,ASV_74,1,undirected,+
ASV_550,ASV_74,1,undirected,+
ASV_80,ASV_94,1,undirected,+
ASV_288,ASV_94,-1,undirected,-
ASV_217,ASV_94,1,undirected,+
ASV_266,ASV_78,1,undirected,+
ASV_661,ASV_78,-1,undirected,-
ASV_327,ASV_78,1,undirected,+
ASV_288,ASV_80,-1,undirected,-
