"","KO","Means","SD"
"num.edges(L)","395","395","0"
"num.pos.edges","240","0","0"
"num.neg.edges","155","0","0"
"num.vertices(n)","374","374","0"
"Connectance(edge_density)","0.00566300124729395","0.00566300124729395","0"
"average.degree(Average K)","2.11229946524064","2.11229946524064","0"
"average.path.length","1","7.16244452762193","0.329939157995464"
"diameter","1","17.33","1.55735465946378"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","1","0.00592162838609192","0.00576692825005755"
"no.clusters","137","53.9","5.30389603323002"
"centralization.degree","0.00774182448997147","0.0141493311923843","0.00249569727491582"
"centralization.betweenness","0","0.0883417335731895","0.0190455579421171"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","0.427591718395717","-0.00198881913461043","0.0386236529311288"
"the.number.of.keystone.nodes","Not.calculated","0","0"
