source,target,correlation,direct,cor
ASV_27,ASV_20,-1,undirected,-
ASV_148,ASV_20,-1,undirected,-
ASV_348,ASV_20,-1,undirected,-
ASV_321,ASV_20,-1,undirected,-
ASV_406,ASV_20,-1,undirected,-
ASV_148,ASV_27,1,undirected,+
ASV_348,ASV_27,1,undirected,+
ASV_321,ASV_27,1,undirected,+
ASV_406,ASV_27,1,undirected,+
ASV_53,ASV_44,-1,undirected,-
ASV_289,ASV_44,-1,undirected,-
ASV_484,ASV_44,-1,undirected,-
ASV_343,ASV_44,-1,undirected,-
ASV_728,ASV_44,-1,undirected,-
ASV_289,ASV_53,1,undirected,+
ASV_484,ASV_53,1,undirected,+
ASV_343,ASV_53,1,undirected,+
ASV_728,ASV_53,1,undirected,+
ASV_348,ASV_148,1,undirected,+
ASV_321,ASV_148,1,undirected,+
ASV_406,ASV_148,1,undirected,+
ASV_484,ASV_289,1,undirected,+
ASV_343,ASV_289,1,undirected,+
ASV_728,ASV_289,1,undirected,+
ASV_343,ASV_484,1,undirected,+
ASV_728,ASV_484,1,undirected,+
ASV_321,ASV_348,1,undirected,+
ASV_406,ASV_348,1,undirected,+
ASV_728,ASV_343,1,undirected,+
ASV_406,ASV_321,1,undirected,+
ASV_179,ASV_11,-1,undirected,-
ASV_198,ASV_11,1,undirected,+
ASV_553,ASV_11,1,undirected,+
ASV_539,ASV_11,1,undirected,+
ASV_114,ASV_28,-1,undirected,-
ASV_241,ASV_28,-1,undirected,-
ASV_479,ASV_28,-1,undirected,-
ASV_523,ASV_28,-1,undirected,-
ASV_259,ASV_21,-1,undirected,-
ASV_240,ASV_21,-1,undirected,-
ASV_218,ASV_21,-1,undirected,-
ASV_592,ASV_21,1,undirected,+
ASV_57,ASV_26,1,undirected,+
ASV_64,ASV_26,-1,undirected,-
ASV_1591,ASV_26,-1,undirected,-
ASV_244,ASV_26,1,undirected,+
ASV_126,ASV_36,-1,undirected,-
ASV_431,ASV_36,1,undirected,+
ASV_330,ASV_36,-1,undirected,-
ASV_380,ASV_36,-1,undirected,-
ASV_64,ASV_57,-1,undirected,-
ASV_1591,ASV_57,-1,undirected,-
ASV_244,ASV_57,1,undirected,+
ASV_1591,ASV_64,1,undirected,+
ASV_244,ASV_64,-1,undirected,-
ASV_241,ASV_114,1,undirected,+
ASV_479,ASV_114,1,undirected,+
ASV_523,ASV_114,1,undirected,+
ASV_431,ASV_126,-1,undirected,-
ASV_330,ASV_126,1,undirected,+
ASV_380,ASV_126,1,undirected,+
ASV_212,ASV_43,1,undirected,+
ASV_302,ASV_43,1,undirected,+
ASV_300,ASV_43,1,undirected,+
ASV_529,ASV_43,1,undirected,+
ASV_244,ASV_1591,-1,undirected,-
ASV_198,ASV_179,-1,undirected,-
ASV_553,ASV_179,-1,undirected,-
ASV_539,ASV_179,-1,undirected,-
ASV_240,ASV_259,1,undirected,+
