"","KO","Means","SD"
"num.edges(L)","469","469","0"
"num.pos.edges","276","0","0"
"num.neg.edges","193","0","0"
"num.vertices(n)","366","366","0"
"Connectance(edge_density)","0.00702148364398533","0.00702148364398533","0"
"average.degree(Average K)","2.56284153005464","2.56284153005464","0"
"average.path.length","1","6.02315789154882","0.164161002131715"
"diameter","1","14.2","1.32573593055923"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","1","0.00647674415652068","0.00467007003970483"
"no.clusters","122","31.67","5.35611611132356"
"centralization.degree","0.0121565985477955","0.0160196122464256","0.00289041784460687"
"centralization.betweenness","0","0.0755274994746875","0.0197148286518021"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","0.688794551770324","0.0012063133041225","0.0456248505897121"
"the.number.of.keystone.nodes","Not.calculated","0","0"
