"","ID","group","degree"
"481","ASV_548",12,0
"482","ASV_404",11,0
"483","ASV_206",10,0
"484","ASV_382",11,0
"485","ASV_361",11,0
"486","ASV_395",11,0
"487","ASV_501",9,0
"488","ASV_424",11,0
"489","ASV_469",8,0
"490","ASV_618",7,0
"491","ASV_429",6,0
"492","ASV_450",11,0
"493","ASV_577",11,0
"494","ASV_1039",5,0
"495","ASV_616",4,0
"496","ASV_862",3,0
"497","ASV_449",2,0
"498","ASV_510",11,0
"499","ASV_432",1,0
"500","ASV_1",11,0
