"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_670",1,1,0,1
"ASV_86",2,1,0,2
"ASV_418",2,1,0,2
"ASV_39",3,1,0,3
"ASV_657",3,1,0,3
"ASV_336",3,1,0,3
"ASV_106",1,1,0,1
"ASV_23",2,1,0,2
"ASV_56",2,1,0,2
"ASV_237",3,1,0,3
"ASV_425",3,1,0,3
"ASV_355",3,1,0,3
"ASV_120",1,1,0,1
"ASV_102",3,1,0,3
"ASV_153",3,1,0,3
"ASV_604",3,1,0,3
"ASV_467",1,1,0,1
"ASV_33",6,1,0,6
"ASV_27",6,1,0,6
"ASV_37",6,1,0,6
"ASV_297",6,1,0,6
"ASV_192",6,1,0,6
"ASV_238",6,1,0,6
"ASV_122",3,1,0,3
"ASV_224",3,1,0,3
"ASV_541",3,1,0,3
"ASV_72",1,1,0,1
"ASV_279",3,1,0,3
"ASV_521",3,1,0,3
"ASV_601",3,1,0,3
"ASV_215",4,1,0,4
"ASV_1591",4,1,0,4
"ASV_185",4,1,0,4
"ASV_526",4,1,0,4
"ASV_105",1,1,0,1
"ASV_302",1,1,0,1
"ASV_32",4,1,0,4
"ASV_95",4,1,0,4
"ASV_156",4,1,0,4
"ASV_525",4,1,0,4
"ASV_207",2,1,0,2
"ASV_581",2,1,0,2
"ASV_112",2,1,0,2
"ASV_288",2,1,0,2
"ASV_110",1,1,0,1
"ASV_92",3,1,0,3
"ASV_97",3,1,0,3
"ASV_318",3,1,0,3
"ASV_388",1,1,0,1
"ASV_115",2,1,0,2
"ASV_257",2,1,0,2
"ASV_230",1,1,0,1
"ASV_147",1,1,0,1
"ASV_90",2,1,0,2
"ASV_179",2,1,0,2
"ASV_174",1,1,0,1
"ASV_85",1,1,0,1
"ASV_129",2,1,0,2
"ASV_386",2,1,0,2
"ASV_83",2,1,0,2
"ASV_234",2,1,0,2
"ASV_327",3,1,0,3
"ASV_281",3,1,0,3
"ASV_438",3,1,0,3
"ASV_559",1,1,0,1
"ASV_377",2,1,0,2
"ASV_503",2,1,0,2
"ASV_340",1,1,0,1
"ASV_374",1,1,0,1
"ASV_214",2,1,0,2
"ASV_259",2,1,0,2
"ASV_128",5,1,0,5
"ASV_170",5,1,0,5
"ASV_255",5,1,0,5
"ASV_916",5,1,0,5
"ASV_218",5,1,0,5
"ASV_401",1,1,0,1
"ASV_416",2,1,0,2
"ASV_862",2,1,0,2
"ASV_317",1,1,0,1
"ASV_385",1,1,0,1
"ASV_333",2,1,0,2
"ASV_363",2,1,0,2
"ASV_217",6,1,0,6
"ASV_283",6,1,0,6
"ASV_337",6,1,0,6
"ASV_301",6,1,0,6
"ASV_1246",6,1,0,6
"ASV_566",6,1,0,6
"ASV_632",1,1,0,1
"ASV_184",1,1,0,1
"ASV_222",1,1,0,1
"ASV_347",2,1,0,2
"ASV_998",2,1,0,2
"ASV_341",1,1,0,1
"ASV_544",3,1,0,3
"ASV_225",3,1,0,3
"ASV_535",3,1,0,3
"ASV_228",1,1,0,1
"ASV_94",2,1,0,2
"ASV_437",2,1,0,2
"ASV_99",5,1,0,5
"ASV_227",5,1,0,5
"ASV_208",5,1,0,5
"ASV_308",5,1,0,5
"ASV_312",5,1,0,5
"ASV_96",2,1,0,2
"ASV_393",2,1,0,2
"ASV_124",2,1,0,2
"ASV_423",2,1,0,2
"ASV_190",2,1,0,2
"ASV_486",2,1,0,2
"ASV_136",1,1,0,1
"ASV_181",4,1,0,4
"ASV_252",4,1,0,4
"ASV_262",4,1,0,4
"ASV_436",4,1,0,4
"ASV_158",2,1,0,2
"ASV_212",2,1,0,2
"ASV_123",2,1,0,2
"ASV_242",2,1,0,2
"ASV_286",1,1,0,1
