"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_249",2,1,0,2
"ASV_574",2,1,0,2
"ASV_180",2,1,0,2
"ASV_352",2,1,0,2
"ASV_248",1,1,0,1
"ASV_764",1,1,0,1
"ASV_116",2,1,0,2
"ASV_402",2,1,0,2
"ASV_104",1,1,0,1
"ASV_209",1,1,0,1
"ASV_370",2,1,0,2
"ASV_546",2,1,0,2
"ASV_588",1,1,0,1
"ASV_621",1,1,0,1
"ASV_351",4,1,0,4
"ASV_221",4,1,0,4
"ASV_348",4,1,0,4
"ASV_349",4,1,0,4
"ASV_134",1,1,0,1
"ASV_300",4,1,0,4
"ASV_1145",4,1,0,4
"ASV_558",4,1,0,4
"ASV_1113",4,1,0,4
"ASV_328",2,1,0,2
"ASV_354",2,1,0,2
"ASV_256",2,1,0,2
"ASV_506",2,1,0,2
"ASV_381",1,1,0,1
"ASV_553",1,1,0,1
"ASV_577",1,1,0,1
"ASV_321",3,1,0,3
"ASV_829",3,1,0,3
"ASV_373",3,1,0,3
"ASV_204",2,1,0,2
"ASV_420",2,1,0,2
"ASV_280",1,1,0,1
"ASV_210",1,1,0,1
"ASV_606",1,1,0,1
"ASV_664",1,1,0,1
"ASV_502",1,1,0,1
"ASV_293",2,1,0,2
"ASV_173",2,1,0,2
"ASV_304",1,1,0,1
"ASV_1118",4,1,0,4
"ASV_343",4,1,0,4
"ASV_358",4,1,0,4
"ASV_803",4,1,0,4
"ASV_536",1,1,0,1
"ASV_306",1,1,0,1
"ASV_245",1,1,0,1
"ASV_612",1,1,0,1
"ASV_319",1,1,0,1
"ASV_198",1,1,0,1
"ASV_487",1,1,0,1
"ASV_513",1,1,0,1
"ASV_430",1,1,0,1
"ASV_540",1,1,0,1
"ASV_243",1,1,0,1
"ASV_1038",1,1,0,1
"ASV_345",2,1,0,2
"ASV_815",2,1,0,2
"ASV_441",1,1,0,1
"ASV_285",1,1,0,1
"ASV_284",2,1,0,2
"ASV_389",2,1,0,2
"ASV_362",1,1,0,1
"ASV_220",1,1,0,1
"ASV_329",1,1,0,1
"ASV_305",3,1,0,3
"ASV_396",3,1,0,3
"ASV_448",3,1,0,3
"ASV_356",1,1,0,1
"ASV_261",2,1,0,2
"ASV_414",2,1,0,2
"ASV_264",1,1,0,1
"ASV_346",1,1,0,1
"ASV_229",1,1,0,1
"ASV_2907",1,1,0,1
"ASV_485",2,1,0,2
"ASV_397",2,1,0,2
"ASV_468",2,1,0,2
"ASV_413",2,1,0,2
"ASV_417",2,1,0,2
"ASV_801",2,1,0,2
"ASV_387",3,1,0,3
"ASV_480",3,1,0,3
"ASV_429",3,1,0,3
"ASV_372",2,1,0,2
"ASV_291",2,1,0,2
"ASV_648",2,1,0,2
"ASV_697",2,1,0,2
"ASV_455",2,1,0,2
"ASV_614",2,1,0,2
"ASV_359",1,1,0,1
"ASV_395",1,1,0,1
"ASV_452",1,1,0,1
"ASV_505",1,1,0,1
"ASV_394",1,1,0,1
"ASV_556",1,1,0,1
"ASV_456",1,1,0,1
"ASV_339",2,1,0,2
"ASV_475",2,1,0,2
"ASV_353",2,1,0,2
"ASV_445",2,1,0,2
"ASV_569",1,1,0,1
"ASV_316",1,1,0,1
"ASV_491",1,1,0,1
"ASV_2360",1,1,0,1
"ASV_542",1,1,0,1
"ASV_390",1,1,0,1
"ASV_1",1,1,0,1
"ASV_2",2,1,0,2
"ASV_3",3,1,0,3
"ASV_8",1,1,0,1
"ASV_4",2,1,0,2
"ASV_12",3,1,0,3
"ASV_11",1,1,0,1
"ASV_15",3,1,0,3
"ASV_6",1,1,0,1
"ASV_16",6,1,0,6
"ASV_14",3,1,0,3
"ASV_10",1,1,0,1
"ASV_18",3,1,0,3
"ASV_19",4,1,0,4
"ASV_28",1,1,0,1
"ASV_67",1,1,0,1
"ASV_22",4,1,0,4
"ASV_21",2,1,0,2
"ASV_30",2,1,0,2
"ASV_25",1,1,0,1
"ASV_46",3,1,0,3
"ASV_35",1,1,0,1
"ASV_51",2,1,0,2
"ASV_36",1,1,0,1
"ASV_47",1,1,0,1
"ASV_40",2,1,0,2
"ASV_24",1,1,0,1
"ASV_166",1,1,0,1
"ASV_42",2,1,0,2
"ASV_38",2,1,0,2
"ASV_66",3,1,0,3
"ASV_54",1,1,0,1
"ASV_49",2,1,0,2
"ASV_55",1,1,0,1
"ASV_65",1,1,0,1
"ASV_77",2,1,0,2
"ASV_45",5,1,0,5
"ASV_80",1,1,0,1
"ASV_91",2,1,0,2
"ASV_61",1,1,0,1
"ASV_68",1,1,0,1
"ASV_172",2,1,0,2
"ASV_101",6,1,0,6
"ASV_74",1,1,0,1
"ASV_44",1,1,0,1
"ASV_41",1,1,0,1
"ASV_117",2,1,0,2
"ASV_75",1,1,0,1
"ASV_161",3,1,0,3
"ASV_71",1,1,0,1
"ASV_70",2,1,0,2
"ASV_50",5,1,0,5
"ASV_109",2,1,0,2
"ASV_63",2,1,0,2
"ASV_60",2,1,0,2
"ASV_84",1,1,0,1
"ASV_121",4,1,0,4
"ASV_64",2,1,0,2
"ASV_76",2,1,0,2
"ASV_113",1,1,0,1
"ASV_111",2,1,0,2
"ASV_126",2,1,0,2
"ASV_164",1,1,0,1
"ASV_88",1,1,0,1
"ASV_183",2,1,0,2
"ASV_168",1,1,0,1
"ASV_135",1,1,0,1
"ASV_107",2,1,0,2
"ASV_142",1,1,0,1
"ASV_114",1,1,0,1
"ASV_162",4,1,0,4
"ASV_73",1,1,0,1
"ASV_98",4,1,0,4
"ASV_103",2,1,0,2
"ASV_133",2,1,0,2
"ASV_159",1,1,0,1
"ASV_151",1,1,0,1
"ASV_148",1,1,0,1
"ASV_154",3,1,0,3
"ASV_165",2,1,0,2
"ASV_226",1,1,0,1
"ASV_197",1,1,0,1
"ASV_231",1,1,0,1
"ASV_157",1,1,0,1
"ASV_178",1,1,0,1
"ASV_186",2,1,0,2
"ASV_137",1,1,0,1
"ASV_1156",4,1,0,4
"ASV_240",1,1,0,1
"ASV_169",1,1,0,1
"ASV_271",1,1,0,1
"ASV_294",1,1,0,1
"ASV_146",1,1,0,1
"ASV_140",1,1,0,1
"ASV_376",1,1,0,1
"ASV_216",1,1,0,1
"ASV_310",1,1,0,1
"ASV_236",1,1,0,1
"ASV_132",1,1,0,1
"ASV_568",1,1,0,1
"ASV_149",2,1,0,2
"ASV_199",1,1,0,1
"ASV_266",1,1,0,1
"ASV_534",2,1,0,2
"ASV_265",1,1,0,1
"ASV_235",1,1,0,1
"ASV_335",1,1,0,1
"ASV_241",3,1,0,3
"ASV_421",1,1,0,1
"ASV_189",2,1,0,2
"ASV_188",1,1,0,1
"ASV_325",1,1,0,1
"ASV_454",1,1,0,1
"ASV_244",1,1,0,1
"ASV_342",2,1,0,2
"ASV_205",2,1,0,2
"ASV_273",2,1,0,2
"ASV_258",3,1,0,3
"ASV_334",2,1,0,2
"ASV_382",2,1,0,2
"ASV_250",2,1,0,2
"ASV_295",1,1,0,1
"ASV_141",1,1,0,1
"ASV_404",1,1,0,1
"ASV_324",1,1,0,1
"ASV_270",1,1,0,1
"ASV_424",1,1,0,1
"ASV_313",1,1,0,1
"ASV_398",2,1,0,2
"ASV_269",2,1,0,2
"ASV_323",1,1,0,1
"ASV_378",1,1,0,1
"ASV_309",1,1,0,1
"ASV_435",1,1,0,1
"ASV_282",1,1,0,1
"ASV_634",1,1,0,1
