"","KO","Means","SD"
"num.edges(L)","389","389","0"
"num.pos.edges","256","0","0"
"num.neg.edges","133","0","0"
"num.vertices(n)","368","368","0"
"Connectance(edge_density)","0.00576057339177823","0.00576057339177823","0"
"average.degree(Average K)","2.11413043478261","2.11413043478261","0"
"average.path.length","1","7.15336021457494","0.306221111716121"
"diameter","1","17.6","1.88025358272589"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","1","0.00560025315872932","0.00553135978532212"
"no.clusters","136","51.8","4.99494694160959"
"centralization.degree","0.0105882004501836","0.0147026418670774","0.00296203856710366"
"centralization.betweenness","0","0.0942595441262521","0.021571114567505"
"centralization.closeness","0","NaN",NA
"RM(relative.modularity)","0.489254640952649","0.0065287389255206","0.0418457632278283"
"the.number.of.keystone.nodes","Not.calculated","0","0"
