unifrac	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.180	0.156	0.110	0.192	0.0852	0.180	0.224	0.179	0.140	0.125	0.162	0.170	0.122	0.146	0.145	0.147	0.143
KO2	0.180	0	0.202	0.192	0.333	0.217	0.185	0.163	0.212	0.206	0.149	0.174	0.155	0.221	0.139	0.158	0.174	0.151
KO3	0.156	0.202	0	0.137	0.205	0.154	0.245	0.208	0.181	0.176	0.157	0.218	0.171	0.184	0.181	0.174	0.132	0.145
KO4	0.110	0.192	0.137	0	0.179	0.106	0.225	0.229	0.206	0.183	0.145	0.211	0.166	0.145	0.164	0.152	0.132	0.151
KO5	0.192	0.333	0.205	0.179	0	0.164	0.342	0.334	0.294	0.255	0.260	0.313	0.282	0.206	0.293	0.280	0.236	0.259
KO6	0.0852	0.217	0.154	0.106	0.164	0	0.223	0.270	0.229	0.185	0.166	0.209	0.216	0.160	0.202	0.192	0.174	0.191
OE1	0.180	0.185	0.245	0.225	0.342	0.223	0	0.176	0.190	0.167	0.139	0.0911	0.222	0.241	0.136	0.183	0.225	0.161
OE2	0.224	0.163	0.208	0.229	0.334	0.270	0.176	0	0.163	0.160	0.150	0.155	0.153	0.218	0.142	0.173	0.167	0.136
OE3	0.179	0.212	0.181	0.206	0.294	0.229	0.190	0.163	0	0.109	0.137	0.173	0.141	0.165	0.134	0.129	0.150	0.126
OE4	0.140	0.206	0.176	0.183	0.255	0.185	0.167	0.160	0.109	0	0.133	0.149	0.136	0.149	0.132	0.131	0.131	0.122
OE5	0.125	0.149	0.157	0.145	0.260	0.166	0.139	0.150	0.137	0.133	0	0.107	0.139	0.167	0.0805	0.100	0.115	0.0769
OE6	0.162	0.174	0.218	0.211	0.313	0.209	0.0911	0.155	0.173	0.149	0.107	0	0.202	0.220	0.126	0.160	0.185	0.136
WT1	0.170	0.155	0.171	0.166	0.282	0.216	0.222	0.153	0.141	0.136	0.139	0.202	0	0.124	0.114	0.117	0.0955	0.110
WT2	0.122	0.221	0.184	0.145	0.206	0.160	0.241	0.218	0.165	0.149	0.167	0.220	0.124	0	0.161	0.141	0.122	0.143
WT3	0.146	0.139	0.181	0.164	0.293	0.202	0.136	0.142	0.134	0.132	0.0805	0.126	0.114	0.161	0	0.0914	0.129	0.0663
WT4	0.145	0.158	0.174	0.152	0.280	0.192	0.183	0.173	0.129	0.131	0.100	0.160	0.117	0.141	0.0914	0	0.114	0.0965
WT5	0.147	0.174	0.132	0.132	0.236	0.174	0.225	0.167	0.150	0.131	0.115	0.185	0.0955	0.122	0.129	0.114	0	0.0982
WT6	0.143	0.151	0.145	0.151	0.259	0.191	0.161	0.136	0.126	0.122	0.0769	0.136	0.110	0.143	0.0663	0.0965	0.0982	0
