#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1	1064	1731	648	1166	878	939	1245	1568	1263	935	1191	1013	2005	2123	1549	1751	1237	1351
ASV_2	1847	1092	1914	1888	2377	1572	628	474	1130	1228	907	634	1100	1202	734	959	1281	1024
ASV_3	549	410	722	757	998	731	592	442	972	1013	804	673	885	1496	893	1062	1019	645
ASV_4	1381	372	453	641	1052	433	507	562	414	600	634	428	954	1208	477	492	947	803
ASV_6	848	599	680	742	1216	893	241	244	333	375	361	351	478	443	406	463	433	436
ASV_8	486	455	511	369	150	287	333	519	1469	756	480	516	548	624	479	886	394	427
ASV_7	209	112	996	308	1066	257	129	1170	772	498	183	220	692	770	482	176	500	708
ASV_9	322	716	292	376	221	483	286	423	582	382	526	397	506	264	375	365	629	439
ASV_10	354	314	557	638	844	583	194	170	251	277	392	277	279	487	216	232	443	231
ASV_11	306	295	264	298	461	314	465	362	226	403	331	186	356	407	445	355	279	337
ASV_13	160	157	305	295	435	315	168	502	432	286	473	187	322	240	373	246	492	449
ASV_15	312	367	368	279	298	326	365	290	264	247	390	365	250	234	268	312	313	323
ASV_14	288	280	296	312	371	315	242	178	274	291	328	250	315	431	361	420	268	278
ASV_12	32	101	489	255	155	189	190	703	640	450	359	122	238	255	214	173	408	502
ASV_16	223	219	425	224	117	185	157	232	548	276	216	179	358	234	212	267	687	304
ASV_17	421	263	283	359	359	506	123	108	177	211	218	183	283	247	237	263	233	233
ASV_18	223	297	155	220	146	187	218	178	192	346	268	195	381	424	194	255	426	242
ASV_19	202	632	106	137	115	225	187	218	92	155	381	220	281	99	508	96	145	136
ASV_20	185	385	65	221	131	143	69	113	42	178	111	106	215	254	91	118	1342	103
ASV_33	202	160	125	122	74	157	263	171	174	176	224	261	191	171	290	219	220	260
ASV_28	216	251	43	339	104	146	127	232	127	213	210	128	306	261	171	212	163	168
ASV_25	111	108	947	46	25	57	254	144	72	171	164	120	124	22	249	216	175	325
ASV_21	141	322	173	98	79	112	163	186	145	143	186	158	178	276	180	254	316	191
ASV_22	187	186	250	202	186	186	253	149	134	161	177	216	128	151	197	137	134	181
ASV_24	170	138	400	401	279	228	102	62	142	96	126	158	99	190	106	195	104	95
ASV_23	118	382	416	78	167	253	74	75	66	129	163	69	136	201	105	412	125	103
ASV_26	161	160	101	333	53	25	218	260	289	86	181	126	315	63	147	75	7	534
ASV_31	171	148	140	238	46	225	173	186	214	185	212	131	216	153	182	161	232	120
ASV_29	110	102	271	163	312	202	105	174	86	115	164	67	154	192	91	159	284	173
ASV_27	182	213	169	101	138	166	256	156	130	137	183	208	148	156	197	159	95	194
ASV_30	166	98	143	168	169	252	131	106	196	280	134	100	163	166	179	153	122	150
ASV_32	172	138	115	118	103	130	214	139	138	156	173	195	164	180	212	132	120	194
ASV_34	90	198	77	171	18	58	163	121	130	176	167	99	260	295	206	191	215	119
ASV_35	144	128	177	165	133	117	117	83	157	151	170	145	149	180	178	164	174	198
ASV_36	189	58	82	206	157	309	63	35	257	173	91	92	209	271	100	128	146	91
