	Species01	Species02	Species03	Species04	Species05	Species06	Species07	Species08	Species09	Species10	Species11	Species12	Species13	Species14	Species15	Species16	Species17	Species18	Species19	Species20	Species21	Species22	Species23	Species24	Species25	Species26	Species27	Species28	Species29	Species30	Species31	Species32	Species33	Species34	Species35	Species36
Species01	1	0.1366	0.1224	0.1627	-0.0979	-0.0647	-0.0381	-0.0359	-0.011	-0.0678	-0.0685	0.01	-0.0704	0.15	0.1378	-0.0602	0.0678	-0.0514	0.0252	0.0853	-0.0883	-0.0387	0.0164	-0.0563	-0.016	-0.0412	0.0241	0.0456	0.0213	-0.0478	-0.0019	-0.0503	0.0832	-0.0796	-0.0305	-0.0589
Species02	0.1366	1	0.1936	0.3252	-0.1099	-0.1131	-0.0756	-0.1395	0.1816	-0.1451	0.0017	0.0357	-0.1269	0.1265	0.1647	-0.139	0.1736	0.0319	0.0538	0.2439	-0.0266	0.0256	0.0665	-0.0448	-0.062	-0.1305	0.0845	-0.1121	-0.1409	-0.0826	0.0088	-0.0744	0.0701	-0.0836	-0.0196	0.1003
Species03	0.1224	0.1936	1	0.2458	-0.1991	-0.205	0.0868	-0.1712	0.0425	-0.1324	-0.0531	0.0388	-0.1195	0.1194	0.1638	-0.1226	0.1155	-0.113	0.0494	0.0847	-0.1153	-0.0899	-0.0195	-0.0713	-0.0727	-0.0546	-0.0317	0.0607	0.047	0.0117	0.1297	0.0358	0.0955	-0.1481	-0.1431	-0.0468
Species04	0.1627	0.3252	0.2458	1	-0.1089	-0.1173	-0.0336	-0.0948	0.0991	-0.0973	0.0053	0.1353	-0.1042	0.1617	0.2043	-0.0419	0.1399	-0.0522	0.0351	0.1132	-0.0714	-0.0341	0.0034	-0.1128	-0.0401	-0.1152	-0.0019	0.0231	-0.0145	-0.0508	0.039	0.034	-0.1583	-0.1094	-0.0739	0.0117
Species05	-0.0979	-0.1099	-0.1991	-0.1089	1	0.1295	-0.1468	0.0749	-0.1062	0.1073	0.1555	-0.1128	0.1507	-0.1732	-0.1616	0.3304	-0.1388	0.1389	-0.0662	-0.1181	0.0496	0.2542	-0.0654	0.0393	0.0912	0.0748	0.167	-0.0617	-0.0439	0.0758	-0.1731	0.0396	0.0011	0.1846	0.1709	0.1074
Species06	-0.0647	-0.1131	-0.205	-0.1173	0.1295	1	-0.0053	0.1651	0.0686	0.1489	0.0795	-0.0327	0.1647	-0.122	-0.0943	0.2153	-0.1023	0.1045	-0.0656	-0.121	0.0827	0.024	-0.0593	-0.0193	0.0304	0.0322	-0.0967	0.0267	0.0341	0.0263	-0.0755	-0.0714	-0.0825	0.2104	0.0823	-0.0808
Species07	-0.0381	-0.0756	0.0868	-0.0336	-0.1468	-0.0053	1	0.0044	0.1052	0.0228	-0.135	0.0579	-0.0223	0.0582	0.0745	-0.1617	-0.0383	-0.0648	0.0658	-0.0504	0.0686	-0.1923	0.0736	-0.0052	-0.0673	-0.0297	-0.1993	0.2415	0.2547	0.0655	0.2393	0.003	-0.0651	-0.0695	-0.1031	-0.1076
Species08	-0.0359	-0.1395	-0.1712	-0.0948	0.0749	0.1651	0.0044	1	-0.0885	0.2295	0.092	0.001	0.1073	-0.096	-0.1277	0.1754	-0.1211	0.116	-0.0095	-0.1377	-0.0205	0.0432	0.0062	-0.0006	0.0511	-0.0108	-0.076	0.0361	0.1201	0.0469	-0.1294	0.04	-0.0481	0.1231	0.0168	-0.0455
Species09	-0.011	0.1816	0.0425	0.0991	-0.1062	0.0686	0.1052	-0.0885	1	-0.0693	-0.1051	0.0854	-0.0545	-0.0253	0.1625	-0.087	0.1301	-0.0747	0.0114	0.0339	0.0034	-0.1478	0.0162	0.0518	-0.0667	0.0724	-0.0228	0.0644	-0.0324	-0.0859	0.087	-0.1422	-0.0583	-0.0404	-0.0301	-0.0299
Species10	-0.0678	-0.1451	-0.1324	-0.0973	0.1073	0.1489	0.0228	0.2295	-0.0693	1	0.0645	-0.0391	0.156	-0.106	-0.1153	0.2198	-0.1275	0.1328	-0.0861	-0.1473	0.0579	0.0292	0.0406	-0.0543	0.093	0.0359	-0.1051	-0.0196	0.1063	0.0229	-0.1407	0.004	-0.0489	0.1715	0.0449	-0.0752
