Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Actinobacteria	25.4	40.3	28	28.1	17.2	23.5	28.1	34.6	32.7	27.3	29.8	28.8	34.7	29.4	31.6	33.9	33.2	31.1	25.1
Alphaproteobacteria	17.4	15.9	21	18.1	20.2	19.8	17.8	15	12	13.7	17.7	16.8	11.6	13.3	14.5	15.1	14.9	15.2	17.5
Unassigned	7.77	7.57	4.91	6.09	5.39	7.03	9.02	7.72	6.42	8.15	7.66	7.81	7.46	6.37	9.16	7.05	6.67	7.56	13.0
Betaproteobacteria	27.1	18.7	24	26.6	34.4	30.5	16.4	14.2	20.2	20.8	19.4	17.5	20.8	23.8	20	20.3	21.8	20.2	9.8
Gammaproteobacteria	12.6	7.76	9.53	10.4	12.7	9.82	12.3	11	11.3	13.3	13.1	13.1	11.3	14.9	11.9	12.2	12.8	12.8	9.6
Deltaproteobacteria	3.59	3.16	2.65	3.06	2.9	4.14	4.29	2.82	3.58	3.56	3.68	4.02	3.24	3.79	3.61	3.46	3.1	3.45	8.4
Bacilli	1.53	1.31	1.4	3.19	0.69	1.56	4.96	2.65	2.26	3.22	1.71	4.77	0.85	0.423	1.07	0.98	0.6	0.983	4.2
Cytophagia	1.01	0.6	0.297	0.413	0.44	0.183	1.48	1.04	1.5	2.13	1.17	0.86	1.01	1.15	1.51	1.47	0.763	0.997	2.1
Chloroflexia	0.847	1.23	0.447	0.953	0.967	0.577	0.75	1.94	0.79	1.2	1.42	1.2	3.33	0.677	1.03	1.29	1.58	1.46	1.5
Flavobacteriia	1.51	1.76	6.9	2.34	4.41	1.89	1.55	6.48	6.38	4.53	2.08	1.87	3.78	4.17	2.66	1.96	3.41	4.44	1.3
Planctomycetia	0.0333	0.23	0.16	0.0333	0.0667	0.0833	0.47	0.877	0.44	0.177	0.283	0.59	0.227	0.163	0.313	0.2	0.15	0.16	1.2
Sphingobacteriia	0.313	0.173	0.163	0.223	0.173	0.16	0.723	0.383	0.74	0.693	0.47	0.42	0.5	0.763	0.49	0.643	0.353	0.367	1.1
Acidobacteria_Gp10	0.243	0.187	0.17	0.14	0.137	0.243	0.353	0.227	0.377	0.147	0.28	0.347	0.163	0.14	0.637	0.25	0.0767	0.233	1.0
Subdivision3	0.173	0.133	0.05	0.0633	0.0367	0.11	0.24	0.127	0.19	0.187	0.163	0.24	0.123	0.153	0.247	0.11	0.0967	0.173	0.9
Clostridia	0.08	0.6	0.0667	0.0433	0.0167	0.0233	0.143	0.0433	0.213	0.0467	0.07	0.14	0.0667	0.0267	0.0533	0.0367	0.0333	0.2	0.5
Spirochaetia	0.07	0.0433	0.12	0.103	0.153	0.06	0.14	0.117	0.147	0.21	0.157	0.133	0.113	0.2	0.21	0.22	0.0767	0.17	0.4
Acidobacteria_Gp17	0.0233	0.0567	0.02	0.00667	0.0133	0.03	0.233	0.107	0.0833	0.03	0.123	0.2	0.117	0.0867	0.127	0.0933	0.0367	0.0433	0.3
Nitrospira	0.0867	0.0867	0.03	0.0533	0.0433	0.0767	0.13	0.0633	0.103	0.0867	0.123	0.107	0.0767	0.0567	0.0733	0.28	0.09	0.117	0.3
Opitutae	0.0133	0.0233	0.0333	0.0167	0.03	0.03	0.107	0.0767	0.1	0.0733	0.147	0.223	0.12	0.08	0.183	0.0967	0.05	0.0667	0.3
Acidobacteria_Gp6	0.05	0.06	0.03	0.0167	0.00333	0.0267	0.3	0.16	0.117	0.0567	0.18	0.387	0.167	0.05	0.187	0.12	0.0733	0.0467	0.3
Chlamydiia	0.0367	0.0233	0.05	0.02	0.01	0.04	0.0667	0.07	0.0667	0.0867	0.0133	0.0433	0.0333	0.0433	0.143	0.0467	0.00333	0.107	0.3
Spartobacteria	0.0167	0.0467	0.0167	0.00667	0.0167	0.0467	0.163	0.0433	0.08	0.0233	0.08	0.153	0.0533	0.0367	0.0833	0.0567	0.0133	0.03	0.2
Acidobacteria_Gp3	0.03	0.0433	0.02	0.0167	0.00333	0.0267	0.05	0.01	0.02	0.05	0.05	0.0167	0.0133	0.0167	0.0167	0.01	0.02	0.0267	0.2
Verrucomicrobiae	0.00333	0.0167	0.0267	0.00333	0.02	0.00667	0.0633	0.07	0.0567	0.0333	0.08	0.103	0.0467	0.07	0.0267	0.0433	0.0333	0.0167	0.2
Acidobacteria_Gp25	0.0167	0.00667	0	0.00667	0	0.00667	0.01	0.01	0.0133	0.0167	0.0267	0.0233	0.02	0.00667	0.00333	0.00333	0.00333	0.01	0.1
