Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Unassigned	40	40.6	34.2	36.1	35.5	40.8	41.9	39.3	35.6	36.3	38.5	40.1	38.8	37.5	42.7	38.4	35.3	40.7	51.7
Nocardioides	1.68	2.35	2.38	1.92	1.58	2.11	1.65	2.81	1.88	1.49	2.29	1.89	1.59	1.35	1.99	1.91	1.72	1.68	2.5
Steroidobacter	2.1	1.92	1.7	1.73	0.88	1.68	3.09	2.08	2.2	2.15	2.61	2.63	1.75	2.57	2.74	2.77	1.97	2.64	1.7
Gaiella	0.36	0.623	0.38	0.463	0.297	0.463	0.477	0.74	0.477	0.383	0.57	0.667	0.543	0.41	0.543	0.403	0.433	0.407	1.6
Paenibacillus	0.317	0.29	0.173	2.37	0.143	0.563	1.6	0.927	0.383	1.18	0.23	0.627	0.293	0.1	0.27	0.183	0.143	0.15	1.6
Bacillus	0.937	0.77	0.473	0.49	0.38	0.807	2.89	1.32	1.59	1.85	0.927	3.54	0.443	0.217	0.593	0.413	0.297	0.6	1.4
Ohtaekwangia	0.737	0.463	0.187	0.237	0.36	0.0967	0.89	0.617	0.857	1.6	0.733	0.527	0.633	0.66	0.953	1.05	0.457	0.55	1.3
Streptomyces	3.06	2.82	3.25	2.26	1.08	2.06	2.32	3.72	8.34	4.76	3.03	3.24	3.88	3.4	3.13	6.18	4.33	3.3	1.3
Solirubrobacter	0.357	0.377	0.2	0.223	0.157	0.473	0.78	0.403	0.303	0.327	0.38	0.613	0.21	0.183	0.263	0.177	0.34	0.273	1.2
Flavobacterium	1.43	1.71	6.83	2.32	4.36	1.87	1.42	6.31	6.22	4.36	1.98	1.76	3.67	3.95	2.5	1.5	3.27	4.31	1.1
Sphingomonas	1.17	1.04	2	2.08	1.61	1.54	0.89	0.59	0.883	0.747	0.877	1.2	0.557	1.08	0.683	1.17	0.78	0.767	1.1
Gp10	0.243	0.187	0.17	0.14	0.137	0.243	0.353	0.227	0.377	0.147	0.28	0.347	0.163	0.14	0.637	0.25	0.0767	0.233	1.0
Mesorhizobium	0.46	0.437	0.483	0.57	0.51	0.657	0.49	0.43	0.4	0.43	0.6	0.39	0.397	0.43	0.46	0.677	0.563	0.477	0.9
Subdivision3_genera_incertae_sedis	0.163	0.127	0.05	0.0633	0.0367	0.103	0.233	0.127	0.187	0.187	0.163	0.24	0.12	0.147	0.243	0.103	0.0933	0.17	0.9
Lysobacter	0.83	0.753	1.02	1.17	1.02	0.963	0.733	0.82	1.02	0.713	1.24	1.1	0.77	1.21	0.78	1.43	1.21	1.45	0.8
Devosia	1.41	1.06	1.67	1.35	2.66	1.8	0.78	1.42	0.643	0.967	1.06	0.867	0.703	0.773	0.9	0.867	1.04	1.13	0.8
Pedomicrobium	0.403	0.46	0.363	0.357	0.153	0.213	0.597	0.297	0.297	0.32	0.38	0.463	0.297	0.257	0.31	0.22	0.12	0.383	0.7
Actinoplanes	2.12	3.06	1.67	2.16	1.09	2.66	1.94	2.67	3.85	2.39	2.77	2.06	2.71	1.51	2.16	2.16	2.95	2.43	0.7
Rhizobium	1.7	1.24	2.41	2.42	3.03	2.2	0.953	0.987	1.08	1.42	1.77	1.4	1.15	1.81	1.1	1.2	1.84	1.21	0.6
Mycobacterium	0.41	0.46	0.42	0.263	0.13	0.167	0.337	0.367	0.29	0.253	0.21	0.343	0.307	0.173	0.517	0.23	0.223	0.25	0.6
Bdellovibrio	0.147	0.123	0.143	0.22	0.313	0.147	0.157	0.133	0.153	0.16	0.147	0.09	0.13	0.18	0.163	0.16	0.103	0.147	0.6
Hyphomicrobium	0.507	0.483	0.747	0.337	0.45	0.777	0.55	0.41	0.203	0.283	0.413	0.473	0.227	0.27	0.3	0.303	0.293	0.31	0.6
Agromyces	0.643	1.23	0.793	0.803	0.46	0.557	0.757	1.06	0.773	0.71	0.783	0.697	0.633	0.667	0.873	0.827	0.64	0.853	0.5
Aquabacterium	0.797	0.573	0.563	0.623	1.76	0.803	0.773	0.727	0.543	0.62	0.783	0.573	0.587	0.547	0.897	0.693	0.627	0.613	0.5
Microvirga	0.19	0.18	0.0567	0.0667	0.0967	0.0967	0.183	0.137	0.12	0.113	0.113	0.293	0.0867	0.0833	0.09	0.0967	0.0933	0.12	0.5
Dongia	0.45	0.55	0.333	0.277	0.183	0.34	0.97	0.607	0.477	0.49	0.49	0.643	0.43	0.397	0.587	0.493	0.293	0.497	0.5
Pseudonocardia	0.263	0.453	0.56	0.323	0.167	0.26	0.397	0.407	0.29	0.297	0.347	0.35	0.327	0.313	0.317	0.483	0.277	0.433	0.4
Labilithrix	0.0667	0.133	0.1	0.09	0.0467	0.0567	0.113	0.0533	0.0933	0.08	0.0933	0.117	0.0667	0.0767	0.123	0.0833	0.09	0.113	0.4
Massilia	1.15	0.803	0.91	0.863	0.99	1.67	0.47	0.32	0.683	0.427	0.623	0.437	0.517	0.537	0.65	0.397	1.09	0.66	0.4
Conexibacter	0.1	0.213	0.0933	0.11	0.05	0.187	0.227	0.233	0.0967	0.08	0.1	0.13	0.137	0.0767	0.1	0.1	0.127	0.09	0.4
Arenimonas	0.12	0.08	0.147	0.123	0.297	0.137	0.12	0.09	0.0967	0.103	0.3	0.16	0.0833	0.08	0.107	0.143	0.19	0.173	0.4
Brevundimonas	0.17	0.123	0.19	0.223	0.337	0.16	0.123	0.197	0.04	0.12	0.103	0.09	0.05	0.0567	0.153	0.12	0.16	0.0767	0.4
Ramlibacter	0.193	0.113	0.203	0.127	0.11	0.137	0.203	0.193	0.117	0.127	0.123	0.2	0.0667	0.08	0.117	0.123	0.107	0.12	0.4
Peredibacter	0.1	0.11	0.207	0.197	0.557	0.183	0.15	0.18	0.143	0.237	0.163	0.13	0.227	0.487	0.157	0.103	0.2	0.113	0.4
Bradyrhizobium	2	2.39	2	1.5	1.87	2.08	2.47	1.86	1.53	1.64	2.29	2.19	1.68	1.53	1.91	1.86	1.68	1.89	0.4
Gp17	0.0233	0.0567	0.02	0.00667	0.0133	0.03	0.233	0.107	0.0833	0.03	0.123	0.2	0.117	0.0867	0.127	0.0933	0.0367	0.0433	0.3
Oscillochloris	0.1	0.173	0.04	0.107	0.06	0.0567	0.0633	0.0733	0.0867	0.0867	0.08	0.0533	0.143	0.0667	0.11	0.113	0.06	0.13	0.3
Ferrovibrio	0.0967	0.117	0.0933	0.0633	0.107	0.09	0.113	0.0867	0.0733	0.0733	0.09	0.0933	0.13	0.117	0.137	0.177	0.07	0.0733	0.3
Phenylobacterium	0.907	0.777	0.707	0.567	0.81	0.873	0.647	0.38	0.383	0.477	0.707	0.53	0.557	0.7	0.513	0.47	0.53	0.6	0.3
Nitrospira	0.0867	0.0867	0.03	0.0533	0.0433	0.0767	0.13	0.0633	0.103	0.0867	0.123	0.107	0.0767	0.0567	0.0733	0.28	0.09	0.117	0.3
Nannocystis	0.0567	0.03	0.0233	0.0167	0.0367	0.04	0.0667	0.0567	0.0467	0.05	0.0433	0.08	0.0733	0.06	0.0867	0.0333	0.0867	0.07	0.3
Lentzea	2.45	5.38	2.72	2.01	2.3	2.29	2.34	2.4	1.87	2.36	3.3	2.63	3.82	2.86	3.49	3.28	2.73	2.48	0.3
Opitutus	0.0133	0.0233	0.0333	0.0167	0.03	0.03	0.107	0.0767	0.1	0.0733	0.147	0.223	0.12	0.08	0.183	0.0967	0.05	0.0667	0.3
Blastococcus	0.0567	0.163	0.107	0.0567	0.0267	0.0767	0.0933	0.153	0.0767	0.0633	0.13	0.26	0.0667	0.07	0.09	0.0833	0.113	0.07	0.3
Blastopirellula	0.00333	0.0767	0.0567	0.00667	0.0167	0.02	0.18	0.29	0.18	0.0467	0.1	0.24	0.0633	0.0433	0.0833	0.0667	0.0367	0.0433	0.3
Herpetosiphon	0.383	0.463	0.177	0.43	0.523	0.223	0.25	1.09	0.107	0.557	0.98	0.643	2.54	0.18	0.397	0.423	1.23	0.877	0.3
Arthrobacter	0.0367	0.1	0.03	0.0333	0.0267	0.0333	0.0433	0.113	0.0633	0.07	0.1	0.06	0.05	0.0667	0.06	0.0733	0.103	0.0567	0.3
Altererythrobacter	0.16	0.153	0.23	0.237	0.29	0.233	0.157	0.143	0.09	0.14	0.21	0.1	0.0667	0.177	0.173	0.183	0.21	0.213	0.3
Brevibacillus	0.0233	0.00667	0.55	0.01	0.00333	0.00333	0.02	0.0267	0.0133	0.00333	0.0133	0.02	0.00333	0.00333	0.0167	0.01	0.01	0.00667	0.3
