Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Sphingobacteriaceae	0.09	0.07	0.0767	0.127	0.117	0.06	0.1	0.0367	0.0967	0.12	0.11	0.0967	0.117	0.24	0.0967	0.0733	0.1	0.0967	0.3
Kineosporiaceae	0.477	0.9	0.34	0.667	0.103	0.273	0.75	0.633	0.553	0.767	0.633	0.593	1.08	1.09	0.783	0.727	0.923	0.56	0.2
Enterobacteriaceae	0	0	0.00667	0.0133	0	0	0.727	0	0	0.107	0	0.137	0	0.00333	0	0	0.00333	0.00667	0.2
Planococcaceae	0.0567	0.0433	0.03	0.05	0.04	0.0233	0.07	0.0267	0.03	0.04	0.0767	0.25	0.0333	0.0267	0.0333	0.0567	0.03	0.06	0.2
Parachlamydiaceae	0.0267	0.0167	0.0367	0.0133	0.00333	0.00333	0.0333	0.04	0.0233	0.0167	0.00667	0.0267	0.0333	0.03	0.0267	0.0233	0.00333	0.0333	0.2
Geobacteraceae	0.0633	0.0333	0.0267	0.05	0.0167	0.0533	0.0933	0.0533	0.0733	0.03	0.08	0.0567	0.0533	0.0833	0.0667	0.0333	0.04	0.0667	0.2
Myxococcaceae	0.0567	0.0833	0.0133	0.0133	0.0333	0.0633	0.0367	0.0433	0.05	0.0233	0.04	0.0767	0.03	0.0167	0.06	0.0133	0.02	0.02	0.2
Rubrobacteraceae	0.0333	0.107	0.0333	0.0433	0.0167	0.04	0.08	0.0867	0.08	0.0467	0.04	0.113	0.07	0.0367	0.0533	0.05	0.0733	0.05	0.2
Acidimicrobineae_incertae_sedis	0.03	0.0267	0.02	0.0133	0.0167	0.0433	0.05	0.0233	0.04	0.0267	0.0333	0.0533	0.03	0.0333	0.0233	0.0233	0.0233	0.03	0.2
Peptostreptococcaceae	0.0267	0.0333	0.0567	0.01	0.0133	0.0133	0.0367	0.02	0.0167	0.03	0.0267	0.0667	0.03	0.0233	0.0267	0.03	0.0233	0.0133	0.2
Rhizobiales_incertae_sedis	0.0233	0.02	0.0233	0.0233	0.0867	0.0233	0.04	0.0233	0.0333	0.02	0.06	0.0367	0.03	0.00333	0.0533	0.01	0.0133	0.0367	0.2
Acidimicrobiaceae	0.133	0.153	0.0967	0.113	0.0933	0.133	0.253	0.117	0.11	0.14	0.177	0.247	0.103	0.143	0.1	0.11	0.08	0.13	0.2
Verrucomicrobiaceae	0.00333	0.0167	0.0267	0.00333	0.02	0.00667	0.0633	0.07	0.0567	0.0333	0.08	0.103	0.0467	0.07	0.0267	0.0433	0.0333	0.0167	0.2
Bacillaceae_2	0.0167	0.0133	0.00667	0.06	0.0133	0.01	0.19	0.02	0.0633	0.0167	0.0267	0.0333	0.0133	0	0.00667	0.01	0	0.0233	0.2
Cellulomonadaceae	0.08	0.0667	0.02	0.0167	0.01	0.0367	0.143	0.127	0.0933	0.0833	0.13	0.12	0.183	0.0167	0.127	0.0333	0.06	0.11	0.2
Chloroflexaceae	0.147	0.2	0.0867	0.16	0.177	0.13	0.127	0.19	0.147	0.273	0.167	0.153	0.23	0.15	0.193	0.173	0.13	0.213	0.2
Alcaligenaceae	0.04	0	0.0267	0.00333	0.0233	0.0133	0.0867	0.13	0.00667	0.277	0.0233	0.153	0.01	0.00333	0.00667	0.0233	0	0.0233	0.1
Alicyclobacillaceae	0.0267	0.00333	0.00333	0.00667	0.00667	0.03	0.04	0.0267	0.00667	0.02	0.287	0.03	0.00667	0.0133	0.00667	0.07	0	0.00333	0.1
Clostridiaceae_1	0.00333	0.423	0.00667	0.00667	0.00333	0	0.0633	0.00333	0.16	0.00667	0.02	0.0167	0.00667	0	0.01	0.00333	0.00333	0.0933	0.1
