Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Unassigned	13.6	13.4	9.24	10.3	8.76	13	17	13.9	12.7	14.1	13.6	15.9	12.9	11.4	16.1	13	10.9	13.5	28.0
Actinomycetales	23.3	37	25.9	25.9	15.7	21	23.9	30.6	30.1	24.7	26.8	24.6	31.9	27.2	28.7	31.7	30.5	28.5	16.0
Rhizobiales	12.4	11.3	15.2	13	14.8	14.2	12.6	10.9	8.58	9.85	12.9	11.9	8.48	9.38	10.4	10.2	10.9	10.9	9.8
Burkholderiales	25.6	17.3	22.7	25.5	33.2	28.6	15	13	18.8	19.1	18.1	16.2	19.5	22.5	18.2	19	20.7	18.8	7.5
Xanthomonadales	4.83	3.99	4.32	4.62	3.81	4.88	5.65	4.4	4.75	4.49	6.17	5.85	3.82	5.08	5.56	5.78	4.69	6.07	5.9
Myxococcales	1.57	1.25	1.35	1.55	1.18	1.31	2.05	1.14	1.7	1.55	1.83	1.77	1.44	1.55	1.67	1.49	1.53	1.47	4.3
Bacillales	1.53	1.31	1.4	3.19	0.69	1.56	4.96	2.65	2.26	3.22	1.71	4.77	0.85	0.423	1.07	0.98	0.6	0.983	4.2
Solirubrobacterales	0.747	0.947	0.557	0.627	0.443	0.97	1.48	1.04	0.637	0.687	0.783	1.29	0.617	0.49	0.647	0.473	0.897	0.693	2.8
Sphingomonadales	2	1.95	3.45	2.9	3.21	2.78	1.69	1.65	1.33	1.61	2	1.98	1.16	1.72	1.44	2.23	1.93	1.73	2.5
Cytophagales	1.01	0.6	0.297	0.413	0.44	0.183	1.48	1.04	1.5	2.13	1.17	0.86	1.01	1.15	1.51	1.47	0.763	0.997	2.1
Gaiellales	0.36	0.623	0.38	0.463	0.297	0.463	0.477	0.74	0.477	0.383	0.57	0.667	0.543	0.41	0.543	0.403	0.433	0.407	1.6
Caulobacterales	1.6	1.31	1.31	1.23	1.5	1.61	1.37	1.1	0.87	1.01	1.44	1.19	0.953	1.26	1.1	1.15	1.16	1.27	1.5
Rhodospirillales	0.783	0.907	0.607	0.55	0.297	0.74	1.45	0.82	0.797	0.8	0.787	1.08	0.653	0.557	0.987	0.947	0.49	0.793	1.5
Acidimicrobiales	0.333	0.48	0.457	0.313	0.263	0.37	0.767	0.603	0.43	0.513	0.56	0.643	0.477	0.463	0.507	0.433	0.427	0.427	1.3
Flavobacteriales	1.51	1.76	6.9	2.34	4.41	1.89	1.55	6.48	6.38	4.53	2.08	1.87	3.78	4.17	2.66	1.96	3.41	4.44	1.3
Planctomycetales	0.0333	0.23	0.16	0.0333	0.0667	0.0833	0.47	0.877	0.44	0.177	0.283	0.59	0.227	0.163	0.313	0.2	0.15	0.16	1.2
Bdellovibrionales	0.25	0.237	0.363	0.44	0.93	0.357	0.327	0.323	0.32	0.41	0.313	0.233	0.373	0.69	0.34	0.287	0.33	0.277	1.1
Sphingobacteriales	0.313	0.173	0.163	0.223	0.173	0.16	0.723	0.383	0.74	0.693	0.47	0.42	0.5	0.763	0.49	0.643	0.353	0.367	1.1
Pseudomonadales	6.66	2.74	4.16	4.93	8.16	4.14	4.43	5.55	5.46	7.74	5.84	5.63	6.57	8.97	5.13	5.28	7.43	5.49	0.7
Chloroflexales	0.247	0.373	0.127	0.267	0.237	0.187	0.197	0.28	0.233	0.363	0.27	0.213	0.373	0.217	0.303	0.327	0.19	0.343	0.5
Sneathiellales	0.13	0.137	0.0967	0.0667	0.14	0.107	0.133	0.0867	0.08	0.0867	0.1	0.133	0.15	0.133	0.17	0.217	0.11	0.0967	0.5
Desulfuromonadales	0.137	0.07	0.0633	0.123	0.0367	0.0833	0.23	0.177	0.163	0.127	0.197	0.18	0.117	0.137	0.163	0.11	0.0933	0.187	0.5
Methylophilales	0.233	0.34	0.153	0.16	0.423	0.51	0.167	0.387	0.197	0.217	0.263	0.157	0.297	0.383	0.537	0.327	0.28	0.253	0.4
Clostridiales	0.0633	0.6	0.0667	0.04	0.0167	0.02	0.13	0.04	0.203	0.0433	0.0633	0.123	0.0533	0.0267	0.0467	0.0333	0.0267	0.2	0.4
Spirochaetales	0.07	0.0433	0.12	0.103	0.153	0.06	0.14	0.117	0.147	0.21	0.157	0.133	0.113	0.2	0.21	0.22	0.0767	0.17	0.4
Herpetosiphonales	0.383	0.463	0.177	0.43	0.523	0.223	0.25	1.09	0.107	0.557	0.98	0.643	2.54	0.18	0.397	0.423	1.23	0.877	0.3
Nitrospirales	0.0867	0.0867	0.03	0.0533	0.0433	0.0767	0.13	0.0633	0.103	0.0867	0.123	0.107	0.0767	0.0567	0.0733	0.28	0.09	0.117	0.3
