Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae	49	25	22	21	12	18	128	73	159	144	98	62	105	160	105	123	72	69
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae	25	20	23	38	45	20	18	8	30	31	20	19	38	85	19	20	25	34
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned	17	6	18	19	10	13	12	12	19	29	18	18	20	13	15	18	19	20
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned	1	1	6	0	33	4	0	10	1	0	11	0	2	0	2	0	0	5
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae	4	2	0	0	2	9	10	9	11	16	3	3	0	4	41	6	0	23
Bacteria|Chloroflexi|Caldilineae|Caldilineales|Caldilineaceae	1	8	1	0	0	4	6	15	8	1	8	6	5	5	11	4	2	2
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae	47	73	32	55	75	44	39	69	53	90	53	48	93	55	67	57	45	77
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Oscillochloridaceae	19	38	9	21	18	15	11	6	15	12	11	7	25	13	22	26	7	27
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales|Herpetosiphonaceae	122	142	63	153	204	73	79	357	21	169	309	183	934	62	127	146	439	304
Bacteria|Chloroflexi|Chloroflexia|Unassigned|Unassigned	57	120	50	88	62	52	83	148	128	80	53	92	120	84	98	171	46	81
Bacteria|Chloroflexi|Unassigned|Unassigned|Unassigned	201	224	60	167	130	133	161	185	146	138	139	149	203	95	227	156	77	118
Bacteria|Firmicutes|Bacilli|Bacillales|Alicyclobacillaceae	4	2	0	1	2	2	10	6	1	0	87	8	1	5	2	14	0	1
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_1	289	265	164	167	143	234	872	381	501	558	281	1028	126	71	181	137	93	198
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae_2	5	1	0	0	2	3	45	4	18	7	5	7	1	0	1	2	0	10
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae_1	93	85	87	861	40	168	356	310	101	275	66	180	87	32	85	58	50	47
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae_2	4	9	12	5	2	14	6	21	2	3	3	5	2	0	4	3	2	5
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae	7	6	1	9	6	5	4	3	3	6	13	58	9	4	5	8	5	9
Bacteria|Firmicutes|Bacilli|Bacillales|Thermoactinomycetaceae_2	16	29	11	27	4	4	8	45	27	10	18	26	6	2	16	16	10	21
Bacteria|Firmicutes|Bacilli|Bacillales|Unassigned	2	2	13	5	1	3	0	4	7	6	2	7	0	1	1	5	1	7
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae_1	0	149	0	0	1	0	0	1	23	2	0	2	0	0	1	0	0	22
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae	1	2	7	4	3	1	8	2	4	5	3	15	1	5	2	2	4	3
Bacteria|Ignavibacteriae|Ignavibacteria|Ignavibacteriales|Ignavibacteriaceae	2	3	0	3	0	12	2	2	0	29	0	0	0	0	2	0	1	7
Bacteria|Nitrospirae|Nitrospira|Nitrospirales|Nitrospiraceae	18	18	11	14	9	14	25	14	21	13	32	25	18	17	21	27	20	24
Bacteria|Planctomycetes|Planctomycetia|Planctomycetales|Planctomycetaceae	6	38	21	8	9	17	70	110	72	27	59	75	40	32	48	37	28	31
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae	389	353	396	380	479	463	265	250	205	219	370	248	265	374	266	292	328	317
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Hyphomonadaceae	75	82	71	62	52	78	131	73	77	81	89	102	78	84	107	85	68	133
