OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6
ASV_251	2.417	9.569	3.38037084544613e-08	5.56713764127432e-05	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia_namucuonensis	0.106	0.024	0.125	0.067	0.119	0.095	0.065	0.167	0.028	0.012	0.032	0.018	0.033	0.022
ASV_201	3.008	9.929	5.33462058953555e-08	5.56713764127432e-05	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.144	0.022	0.25	0.07	0.065	0.098	0.274	0.107	0.022	0.012	0.029	0.034	0.024	0.009
ASV_2907	-3.205	7.853	6.58438869553926e-08	5.56713764127432e-05	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea	0.003	0.035	0	0	0.003	0.003	0.005	0.005	0.031	0.031	0.038	0.022	0.03	0.06
ASV_1191	-5.413	7.063	8.46069550345641e-08	5.56713764127432e-05	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned	0	0.017	0	0	0	0	0	0	0.028	0.024	0.023	0.009	0.006	0.009
ASV_141	2.274	10.501	6.01703118440284e-07	0.000316736521546965	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia_namucuonensis	0.206	0.051	0.259	0.159	0.195	0.207	0.194	0.221	0.016	0.058	0.047	0.102	0.052	0.032
ASV_175	3.099	10.181	9.62632534607395e-07	0.000362210280320787	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Unassigned	0.174	0.024	0.262	0.059	0.132	0.095	0.267	0.23	0.016	0.012	0.047	0.037	0.033	0
ASV_920	3.041	7.608	9.63325213619115e-07	0.000362210280320787	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.022	0.003	0.027	0.017	0.01	0.027	0.028	0.025	0	0	0.003	0.003	0.003	0.009
ASV_2904	-4.906	6.79	1.26357447411247e-06	0.000415716001983004	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unassigned	Unassigned	Gp17	Unassigned	0	0.012	0	0	0	0	0	0	0.006	0.009	0.009	0.006	0.015	0.025
ASV_1993	-5.519	7.124	1.89419516168448e-06	0.000553946851728173	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Archangium	Archangium_gephyra	0	0.018	0	0	0	0	0	0	0.006	0.018	0	0.018	0.04	0.025
ASV_41	1.909	12.322	2.37397179924533e-06	0.00062482937756137	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.707	0.236	0.722	0.414	0.423	0.872	0.774	1.036	0.181	0.134	0.278	0.197	0.322	0.304
ASV_1850	-3.674	7.529	3.65502601150479e-06	0.000806082950878469	Depleted	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus_terrae	0.001	0.027	0	0.003	0.003	0.003	0	0	0.028	0.012	0.015	0.006	0.043	0.06
ASV_73	2.022	11.486	3.90402122258232e-06	0.000806082950878469	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.401	0.123	0.433	0.213	0.299	0.626	0.295	0.541	0.091	0.046	0.149	0.12	0.164	0.168
ASV_6	1.681	14.279	3.98141275129943e-06	0.000806082950878469	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	2.642	1.038	2.713	1.902	2.152	2.387	3.891	2.805	0.794	0.809	1.088	1.182	1.216	1.136
ASV_112	-2.018	10.316	6.6454479137402e-06	0.00124934420778316	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niastella	Unassigned	0.044	0.212	0.085	0.045	0.036	0.042	0.026	0.03	0.228	0.131	0.304	0.314	0.189	0.104
ASV_67	-2.26	11.765	7.46845682174854e-06	0.00131046522365614	Depleted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_chlororaphis_subsp._piscium	0.103	0.63	0.094	0.092	0.101	0.09	0.153	0.087	0.4	0.384	0.234	1.327	0.292	1.145
ASV_302	-1.944	8.952	1.21416301800915e-05	0.00199729816462505	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Unassigned	0.016	0.077	0.027	0.017	0.003	0.019	0.021	0.011	0.075	0.079	0.091	0.062	0.088	0.066
ASV_998	-2.668	7.987	1.34683082547845e-05	0.00208521101921134	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned	0.005	0.04	0.003	0.006	0	0.005	0.003	0.011	0.063	0.027	0.018	0.018	0.03	0.082
ASV_172	-1.922	10.398	1.48967017560213e-05	0.00217822883454712	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned	0.05	0.236	0.094	0.073	0.018	0.037	0.028	0.052	0.309	0.153	0.152	0.234	0.116	0.452
ASV_1024	-4.359	7.656	1.6446796835587e-05	0.00227831417217183	Depleted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	Aquabacterium_commune	0.001	0.03	0.006	0	0	0	0	0	0.028	0.021	0.015	0.071	0.043	0
ASV_120	1.562	10.647	1.91237055040697e-05	0.0024899801206297	Enriched	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Aeromicrobium	Aeromicrobium_ginsengisoli	0.205	0.087	0.14	0.227	0.273	0.207	0.15	0.235	0.069	0.079	0.105	0.077	0.085	0.104
ASV_247	-2.123	9.023	1.98668626645987e-05	0.0024899801206297	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niastella	Unassigned	0.016	0.082	0.04	0.02	0.016	0.011	0.003	0.008	0.081	0.055	0.111	0.099	0.091	0.057
ASV_2604	-2.903	7.074	2.25844511887597e-05	0.00270192161494616	Depleted	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.015	0.003	0.003	0	0	0.003	0	0.016	0.024	0.012	0.015	0.009	0.016
ASV_432	2.412	8.662	2.41982061388964e-05	0.00276090846283217	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.053	0.012	0.085	0.02	0.034	0.061	0.047	0.071	0	0.009	0.009	0.025	0.015	0.013
ASV_1008	2.989	7.584	2.682117676328e-05	0.00276090846283217	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Paraherbaspirillum	Paraherbaspirillum_soli	0.021	0.003	0.027	0.006	0.013	0.04	0.028	0.014	0.003	0.006	0.006	0.003	0	0
ASV_2181	4.36	6.519	2.7946485731728e-05	0.00276090846283217	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.007	0	0.012	0.008	0	0.008	0.003	0.008	0	0	0	0	0	0
ASV_187	1.877	10.023	2.81047227611013e-05	0.00276090846283217	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.137	0.047	0.149	0.067	0.109	0.175	0.116	0.208	0.025	0.024	0.041	0.043	0.058	0.092
ASV_1462	-3.094	6.915	2.83223892463787e-05	0.00276090846283217	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Unassigned	0.001	0.013	0.003	0	0	0	0.003	0	0.013	0.009	0.018	0.006	0.015	0.016
ASV_1277	2.867	7.51	3.21562829639085e-05	0.00285312092983331	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned	0.02	0.003	0.012	0.014	0.018	0.016	0.016	0.044	0	0	0	0.009	0.003	0.006
ASV_43	-1.817	12.497	3.22429991026815e-05	0.00285312092983331	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Bacillus_megaterium	0.239	1.032	0.442	0.344	0.106	0.148	0.116	0.276	1.666	0.595	0.89	0.887	0.417	1.74
ASV_1017	4.088	7.37	3.25203753400453e-05	0.00285312092983331	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Unassigned	0.018	0.001	0	0.008	0.042	0.021	0.026	0.008	0	0	0	0	0.003	0.003
ASV_1447	-2.978	7.33	3.44727894669005e-05	0.00292685102828652	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Ohtaekwangia_kribbensis	0.002	0.021	0.006	0	0	0.003	0	0.003	0.041	0.024	0.015	0.006	0.027	0.013
ASV_338	3.064	9.241	4.99277446653013e-05	0.00410655699872103	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Paraherbaspirillum	Paraherbaspirillum_soli	0.084	0.013	0.119	0.011	0.042	0.021	0.23	0.079	0.013	0	0.018	0.022	0.006	0.019
ASV_951	-3.014	7.337	5.56958755230482e-05	0.00444216801141402	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned	0.002	0.021	0.003	0.006	0	0	0	0.003	0.022	0.049	0.015	0.006	0.018	0.016
ASV_2720	-4.327	6.534	6.30391358227993e-05	0.0048799707495767	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.008	0	0	0	0	0	0	0.013	0.009	0.006	0.006	0.012	0
ASV_460	2.17	8.745	6.52965619486669e-05	0.00491030145853975	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.052	0.015	0.024	0.034	0.044	0.085	0.093	0.033	0.016	0.012	0.012	0.015	0.024	0.009
ASV_60	1.443	11.587	7.34329926752175e-05	0.00536876768669924	Enriched	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned	0.385	0.18	0.363	0.288	0.348	0.371	0.572	0.366	0.175	0.137	0.199	0.209	0.167	0.19
ASV_658	-1.649	10.458	7.78718622676597e-05	0.00553942544563461	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	Unassigned	0.061	0.227	0.125	0.076	0.039	0.066	0.026	0.033	0.306	0.223	0.263	0.231	0.201	0.136
ASV_2234	-3.137	7.434	8.9327740165471e-05	0.0061438491265503	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.024	0	0.003	0.008	0	0	0	0.038	0.034	0.012	0.003	0.015	0.044
ASV_565	-2.029	8.132	9.10372780909809e-05	0.0061438491265503	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Unassigned	0.008	0.04	0.015	0.014	0.008	0.005	0.003	0.003	0.063	0.037	0.038	0.025	0.055	0.025
ASV_2902	-1.831	8.538	0.000121018950622684	0.00796304695097262	Depleted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.013	0.055	0.03	0.014	0.003	0.013	0.005	0.011	0.075	0.052	0.038	0.065	0.04	0.063
ASV_24	1.64	12.708	0.000126679649082488	0.00798276393633633	Enriched	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unassigned	0.862	0.36	0.54	0.445	1.29	1.31	0.88	0.705	0.325	0.195	0.442	0.299	0.398	0.5
ASV_849	-5.502	7.98	0.000127384530898984	0.00798276393633633	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Paenibacillus	Paenibacillus_terrae	0	0.045	0	0.003	0	0	0	0	0.181	0.009	0	0.077	0	0.003
ASV_1136	-2.521	7.402	0.000139990381925174	0.00856871360993156	Depleted	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0.003	0.021	0.006	0.003	0	0.008	0	0	0.025	0.018	0.032	0.006	0.024	0.022
ASV_970	-2.509	7.392	0.000148500505208955	0.00888303022068114	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Unassigned	Unassigned	0.003	0.022	0.009	0.003	0.003	0	0	0.003	0.044	0.021	0.02	0.018	0.006	0.019
