OTUID	logFC	logCPM	PValue	FDR	level	Kingdom	Phylum	Class	Order	Family	Genus	Species	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6
ASV_2907	-3.205	7.853	6.58438869553926e-08	5.56713764127432e-05	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	Blastopirellula_cremea	0.003	0.035	0	0	0.003	0.003	0.005	0.005	0.031	0.031	0.038	0.022	0.03	0.06
ASV_1191	-5.413	7.063	8.46069550345641e-08	5.56713764127432e-05	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Unassigned	Unassigned	Unassigned	0	0.017	0	0	0	0	0	0	0.028	0.024	0.023	0.009	0.006	0.009
ASV_2904	-4.906	6.79	1.26357447411247e-06	0.000415716001983004	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp17	Unassigned	Unassigned	Gp17	Unassigned	0	0.012	0	0	0	0	0	0	0.006	0.009	0.009	0.006	0.015	0.025
ASV_1993	-5.519	7.124	1.89419516168448e-06	0.000553946851728173	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Cystobacteraceae	Archangium	Archangium_gephyra	0	0.018	0	0	0	0	0	0	0.006	0.018	0	0.018	0.04	0.025
ASV_1850	-3.674	7.529	3.65502601150479e-06	0.000806082950878469	Depleted	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus_terrae	0.001	0.027	0	0.003	0.003	0.003	0	0	0.028	0.012	0.015	0.006	0.043	0.06
ASV_112	-2.018	10.316	6.6454479137402e-06	0.00124934420778316	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niastella	Unassigned	0.044	0.212	0.085	0.045	0.036	0.042	0.026	0.03	0.228	0.131	0.304	0.314	0.189	0.104
ASV_67	-2.26	11.765	7.46845682174854e-06	0.00131046522365614	Depleted	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_chlororaphis_subsp._piscium	0.103	0.63	0.094	0.092	0.101	0.09	0.153	0.087	0.4	0.384	0.234	1.327	0.292	1.145
ASV_302	-1.944	8.952	1.21416301800915e-05	0.00199729816462505	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Unassigned	0.016	0.077	0.027	0.017	0.003	0.019	0.021	0.011	0.075	0.079	0.091	0.062	0.088	0.066
ASV_998	-2.668	7.987	1.34683082547845e-05	0.00208521101921134	Depleted	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned	0.005	0.04	0.003	0.006	0	0.005	0.003	0.011	0.063	0.027	0.018	0.018	0.03	0.082
ASV_172	-1.922	10.398	1.48967017560213e-05	0.00217822883454712	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Unassigned	0.05	0.236	0.094	0.073	0.018	0.037	0.028	0.052	0.309	0.153	0.152	0.234	0.116	0.452
ASV_1024	-4.359	7.656	1.6446796835587e-05	0.00227831417217183	Depleted	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_incertae_sedis	Aquabacterium	Aquabacterium_commune	0.001	0.03	0.006	0	0	0	0	0	0.028	0.021	0.015	0.071	0.043	0
ASV_247	-2.123	9.023	1.98668626645987e-05	0.0024899801206297	Depleted	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Niastella	Unassigned	0.016	0.082	0.04	0.02	0.016	0.011	0.003	0.008	0.081	0.055	0.111	0.099	0.091	0.057
ASV_2604	-2.903	7.074	2.25844511887597e-05	0.00270192161494616	Depleted	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.001	0.015	0.003	0.003	0	0	0.003	0	0.016	0.024	0.012	0.015	0.009	0.016
ASV_1462	-3.094	6.915	2.83223892463787e-05	0.00276090846283217	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Unassigned	0.001	0.013	0.003	0	0	0	0.003	0	0.013	0.009	0.018	0.006	0.015	0.016
ASV_43	-1.817	12.497	3.22429991026815e-05	0.00285312092983331	Depleted	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Bacillus	Bacillus_megaterium	0.239	1.032	0.442	0.344	0.106	0.148	0.116	0.276	1.666	0.595	0.89	0.887	0.417	1.74
ASV_1447	-2.978	7.33	3.44727894669005e-05	0.00292685102828652	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Ohtaekwangia	Ohtaekwangia_kribbensis	0.002	0.021	0.006	0	0	0.003	0	0.003	0.041	0.024	0.015	0.006	0.027	0.013
ASV_951	-3.014	7.337	5.56958755230482e-05	0.00444216801141402	Depleted	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Unassigned	Unassigned	0.002	0.021	0.003	0.006	0	0	0	0.003	0.022	0.049	0.015	0.006	0.018	0.016
ASV_2720	-4.327	6.534	6.30391358227993e-05	0.0048799707495767	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0.008	0	0	0	0	0	0	0.013	0.009	0.006	0.006	0.012	0
ASV_658	-1.649	10.458	7.78718622676597e-05	0.00553942544563461	Depleted	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Unassigned	Unassigned	Unassigned	0.061	0.227	0.125	0.076	0.039	0.066	0.026	0.033	0.306	0.223	0.263	0.231	0.201	0.136
ASV_2234	-3.137	7.434	8.9327740165471e-05	0.0061438491265503	Depleted	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0.002	0.024	0	0.003	0.008	0	0	0	0.038	0.034	0.012	0.003	0.015	0.044
ASV_565	-2.029	8.132	9.10372780909809e-05	0.0061438491265503	Depleted	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	Unassigned	0.008	0.04	0.015	0.014	0.008	0.005	0.003	0.003	0.063	0.037	0.038	0.025	0.055	0.025
ASV_2902	-1.831	8.538	0.000121018950622684	0.00796304695097262	Depleted	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Unassigned	Unassigned	Unassigned	0.013	0.055	0.03	0.014	0.003	0.013	0.005	0.011	0.075	0.052	0.038	0.065	0.04	0.063
