Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned|Unassigned|Gp10|Unassigned	25	26	19	33	43	28	63	26	83	22	48	40	37	19	185	57	13	28
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned|Unassigned|Gp17|Unassigned	3	9	6	2	2	5	26	13	11	5	27	26	18	16	20	21	5	9
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned|Unassigned|Gp3|Unassigned	6	9	4	3	1	8	11	4	5	4	8	2	1	3	5	1	2	5
Bacteria|Acidobacteria|Acidobacteria_Gp5|Unassigned|Unassigned|Gp5|Unassigned	4	3	1	1	1	4	6	1	5	7	4	5	1	4	6	5	2	4
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned|Unassigned|Gp6|Unassigned	14	22	9	6	3	14	90	46	36	17	56	111	60	19	59	36	21	18
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Acidimicrobiaceae|Ilumatobacter|Ilumatobacter_fluminis	24	30	17	23	16	29	45	25	28	31	41	46	29	36	23	31	22	27
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Acidimicrobiaceae|Ilumatobacter|Unassigned	19	21	17	22	17	18	35	13	16	17	17	30	10	9	21	8	10	20
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Iamiaceae|Aquihabitans|Aquihabitans_daechungensis	4	21	14	11	4	4	17	21	11	18	12	8	21	14	22	9	12	16
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Iamiaceae|Iamia|Iamia_majanohamensis	8	24	52	14	15	17	15	33	17	19	10	17	20	13	28	20	13	20
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Unassigned|Unassigned|Unassigned	25	28	40	29	25	26	69	45	31	47	49	42	36	50	46	44	54	43
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Cellulomonadaceae|Cellulomonas|Cellulomonas_hominis	5	2	3	0	3	0	2	7	8	8	5	16	53	1	3	0	4	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Cellulomonadaceae|Cellulomonas|Cellulomonas_humilata	9	10	1	5	0	5	32	9	7	8	11	9	6	6	34	3	14	28
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Cellulomonadaceae|Cellulomonas|Unassigned	9	12	2	2	1	3	8	18	10	9	19	10	4	0	9	4	3	10
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Cryptosporangiaceae|Cryptosporangium|Cryptosporangium_minutisporangium	2	0	1	0	0	19	4	4	3	2	2	9	1	0	4	3	12	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Geodermatophilaceae|Blastococcus|Unassigned	15	43	35	13	9	22	22	42	22	18	37	70	25	18	30	25	25	22
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Geodermatophilaceae|Geodermatophilus|Geodermatophilus_ruber	5	7	1	4	3	2	4	11	4	3	4	8	3	2	4	6	12	4
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Glycomycetaceae|Glycomyces|Unassigned	20	40	13	11	6	25	8	2	24	5	3	8	10	12	12	37	29	8
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Intrasporangiaceae|Intrasporangium|Intrasporangium_oryzae	5	17	18	4	4	6	3	6	8	4	2	3	8	8	8	10	1	9
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Intrasporangiaceae|Unassigned|Unassigned	16	22	12	16	13	17	22	21	16	16	16	18	12	11	24	17	12	27
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Kineosporiaceae|Kineosporia|Kineosporia_rhamnosa	94	226	96	202	20	70	164	124	139	182	172	99	294	362	234	228	257	136
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Kineosporiaceae|Unassigned|Unassigned	52	78	41	38	26	27	66	67	41	65	31	80	94	49	46	35	87	59
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Microbacteriaceae|Agromyces|Agromyces_subbeticus	5	4	8	6	2	4	7	5	3	7	7	3	4	3	4	4	7	9
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Microbacteriaceae|Agromyces|Unassigned	190	394	310	284	179	195	224	340	250	216	239	217	220	226	288	285	216	296
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Microbacteriaceae|Cryobacterium|Cryobacterium_arcticum	3	0	2	0	0	3	4	6	17	0	34	3	2	3	2	4	5	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Microbacteriaceae|Microbacterium|Microbacterium_aerolatum	38	2	8	11	8	12	10	8	6	13	6	25	7	3	9	9	11	15
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Microbacteriaceae|Microbacterium|Microbacterium_arthrosphaerae	8	4	2	6	8	7	10	3	6	7	7	15	1	1	15	9	10	13
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Microbacteriaceae|Microbacterium|Microbacterium_fluvii	7	3	1	3	3	6	6	3	2	4	5	3	4	5	7	3	3	11
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae|Arthrobacter|Unassigned	6	17	6	8	4	3	5	25	14	11	13	5	5	3	8	14	17	3
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae|Unassigned|Unassigned	18	14	16	8	9	10	18	49	31	26	30	37	17	7	23	53	11	29
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Actinoplanes|Actinoplanes_capillaceus	8	19	4	0	7	3	26	29	29	10	15	3	9	5	5	14	11	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Actinoplanes|Actinoplanes_xinjiangensis	41	24	54	24	34	53	27	126	165	84	58	21	45	49	53	59	11	33
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Actinoplanes|Unassigned	642	1061	567	791	367	893	553	725	1114	673	845	611	936	530	740	706	1075	815
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Catellatospora|Catellatospora_bangladeshensis	17	40	31	37	8	22	31	51	33	24	29	26	33	25	38	22	18	49
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Catellatospora|Catellatospora_chokoriensis	18	47	21	26	12	18	35	40	17	47	22	32	21	16	30	12	14	27
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Catelliglobosispora|Catelliglobosispora_koreensis	6	4	10	8	2	5	3	4	6	6	3	1	4	0	2	8	3	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Couchioplanes|Couchioplanes_caeruleus_subsp._azureus	43	70	6	1	0	7	14	4	9	10	7	13	11	5	3	0	3	4
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Dactylosporangium|Unassigned	31	91	26	36	12	35	69	51	50	45	40	54	48	46	82	69	53	155
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Micromonospora|Unassigned	41	59	153	28	21	23	48	61	40	39	55	38	38	44	49	32	51	39
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Phytohabitans|Phytohabitans_houttuyneae	3	1	1	0	5	1	6	11	2	0	0	1	2	1	2	16	0	14
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Phytohabitans|Unassigned	3	1	6	0	0	1	1	21	4	5	1	3	2	7	9	2	0	16
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Rhizocola|Rhizocola_hellebori	12	17	2	14	7	16	13	23	24	5	13	22	17	17	52	14	4	14
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Unassigned|Unassigned	499	937	740	426	310	399	555	707	616	406	475	532	604	626	682	545	605	706
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Verrucosispora|Unassigned	10	28	8	3	7	12	8	21	18	13	10	15	8	11	21	11	6	16
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Verrucosispora|Verrucosispora_andamanensis	20	46	71	24	21	19	33	32	46	29	43	29	43	59	41	37	40	43
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Virgisporangium|Virgisporangium_aliadipatigenens	9	32	13	25	41	30	14	33	31	18	13	25	23	9	27	13	6	22
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Mycobacteriaceae|Mycobacterium|Mycobacterium_canariasense	13	12	24	2	2	6	3	1	0	2	2	4	3	2	1	14	3	4
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Mycobacteriaceae|Mycobacterium|Unassigned	111	131	108	88	39	47	80	90	79	69	54	82	82	37	164	63	66	59
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardiaceae|Nocardia|Unassigned	28	36	67	3	14	20	11	46	11	28	16	16	65	10	45	39	11	31
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Aeromicrobium|Aeromicrobium_ginsengisoli	46	81	105	78	58	86	22	26	36	25	28	33	26	29	50	54	36	25
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Aeromicrobium|Aeromicrobium_panaciterrae	30	30	55	14	30	24	5	11	6	12	20	8	7	10	23	17	9	13
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Aeromicrobium|Unassigned	32	65	128	57	43	42	23	57	38	38	50	59	45	35	45	47	34	48
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Kribbella|Kribbella_catacumbae	145	369	198	119	101	140	164	195	156	154	192	158	214	317	199	291	374	219
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Marmoricola|Unassigned	5	8	8	8	5	5	6	10	3	3	2	1	5	2	5	13	6	6
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae|Nocardioides|Nocardioides_albus	46	78	55	25	35	133	21	80	28	73	62	90	18	15	42	120	29	36
