Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned	1	1	6	0	33	4	0	10	1	0	11	0	2	0	2	0	0	5
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales	4	2	0	0	2	9	10	9	11	16	3	3	0	4	41	6	0	23
Bacteria|Chloroflexi|Caldilineae|Caldilineales	1	8	1	0	0	4	6	15	8	1	8	6	5	5	11	4	2	2
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales	66	111	41	76	93	59	50	75	68	102	64	55	118	68	89	83	52	104
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales	122	142	63	153	204	73	79	357	21	169	309	183	934	62	127	146	439	304
Bacteria|Chloroflexi|Chloroflexia|Unassigned	57	120	50	88	62	52	83	148	128	80	53	92	120	84	98	171	46	81
Bacteria|Chloroflexi|Unassigned|Unassigned	201	224	60	167	130	133	161	185	146	138	139	149	203	95	227	156	77	118
Bacteria|Firmicutes|Bacilli|Bacillales	420	399	288	1075	200	433	1301	774	660	865	475	1319	232	115	295	243	161	298
Bacteria|Firmicutes|Clostridia|Clostridiales	1	195	7	4	4	1	8	3	27	7	3	17	1	5	3	2	4	58
Bacteria|Ignavibacteriae|Ignavibacteria|Ignavibacteriales	2	3	0	3	0	12	2	2	0	29	0	0	0	0	2	0	1	7
Bacteria|Nitrospirae|Nitrospira|Nitrospirales	18	18	11	14	9	14	25	14	21	13	32	25	18	17	21	27	20	24
Bacteria|Planctomycetes|Planctomycetia|Planctomycetales	6	38	21	8	9	17	70	110	72	27	59	75	40	32	48	37	28	31
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales	464	435	467	442	531	541	396	323	282	300	459	350	343	458	373	377	396	450
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales	3743	3789	5567	4678	5557	4863	3678	3367	2744	2986	3987	3472	2899	3447	3520	3478	3825	3790
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodobacterales	5	5	1	2	1	9	5	4	4	5	6	6	6	1	2	1	6	2
