Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10	0.0762078951379363	0.072715068799642	0.04932502596054	0.0875053033517183	0.111312451462594	0.0765613037296292	0.196918075829088	0.079331177152621	0.242860486891386	0.0677339901477833	0.145976522109361	0.126526222559625	0.0999567754484547	0.0501689902830587	0.512777870170187	0.156834690732996	0.0352026862357497	0.0764546869453622
Bacteria|Acidobacteria|Acidobacteria_Gp17	0.00914494741655236	0.0251706007383376	0.0155763239875389	0.00530335171828596	0.00517732332384157	0.0136716613802909	0.0812677773262901	0.0396655885763105	0.032186329588015	0.0153940886699507	0.0821117936865154	0.0822420446637566	0.0486276204884374	0.042247570764681	0.055435445423804	0.0577812018489985	0.0135394947060576	0.0245747208038664
Bacteria|Acidobacteria|Acidobacteria_Gp3	0.0182898948331047	0.0251706007383376	0.0103842159916926	0.00795502757742893	0.00258866166192079	0.0218746582084655	0.0343825211765074	0.0122047964850186	0.0146301498127341	0.0123152709359606	0.0243294203515601	0.00632631112798127	0.00270153447157986	0.00792141951837769	0.013858861355951	0.00275148580233326	0.00541579788242303	0.0136526226688147
Bacteria|Acidobacteria|Acidobacteria_Gp5	0.0121932632220698	0.00839020024611254	0.00259605399792316	0.00265167585914298	0.00258866166192079	0.0109373291042327	0.0187541024599131	0.00305119912125465	0.0146301498127341	0.021551724137931	0.0121647101757801	0.0158157778199532	0.00270153447157986	0.0105618926911703	0.0166306336271412	0.0137574290116663	0.00541579788242303	0.0109220981350517
Bacteria|Acidobacteria|Acidobacteria_Gp6	0.0426764212772443	0.0615281351381586	0.0233644859813084	0.0159100551548579	0.00776598498576236	0.0382806518648146	0.281311536898697	0.140355159577714	0.105337078651685	0.0523399014778325	0.170305942460921	0.351110267602961	0.162092068294791	0.0501689902830587	0.163534564000222	0.0990534888839974	0.0568658777654418	0.0491494416077328
Bacteria|Actinobacteria|Actinobacteria	23.670172229843	37.9125181787672	26.521287642783	26.7421510394569	16.3008024851152	21.9430165153669	25.3117869533961	31.4975285287118	30.5711610486891	25.5541871921182	27.7750745088498	26.1751122920225	32.7912254160363	27.991656104774	29.4001884805144	32.0520581113801	31.3087275582875	29.0036315976299
Bacteria|Actinobacteria|Unassigned	0.0182898948331047	0.0699183353842712	0.0674974039460021	0.0822019516334323	0.0207092932953663	0.0902329651099202	0.100021879786203	0.0976383718801489	0.06437265917603	0.0738916256157636	0.0699470835107354	0.104384133611691	0.037821482602118	0.0554499366286439	0.041576584067853	0.0687871450583315	0.0460342820005957	0.0709936378778363
Bacteria|Armatimonadetes|Unassigned	0.0060966316110349	0.00279673341537085	0.00259605399792316	0.00530335171828596	0	0.0109373291042327	0.0062513674866377	0.0213583938487826	0.00585205992509363	0.0153940886699507	0.0182470652636701	0.00632631112798127	0.00540306894315971	0.0237642585551331	0.0110870890847608	0.0165089148139996	0.0189552925884806	0.0136526226688147
Bacteria|Bacteroidetes|Cytophagia	0.868770004572474	0.522989148674348	0.275181723779855	0.3208527789563	0.411597204245405	0.1503882751832	1.06585815647173	0.811618966253738	1.2435627340824	1.92733990147783	0.92147679581534	0.616815334978174	0.875297168791874	0.908322771440642	1.21957979932369	1.1996478098173	0.549703485065937	0.772738443054911
Bacteria|Bacteroidetes|Flavobacteriia	1.42966011278768	1.6304955811612	6.74195223260644	2.28044123886296	4.30494434377427	1.84840861861533	1.48782546181977	6.25190699945078	6.29096441947565	4.37192118226601	1.95547716075665	1.80616182703865	3.68219148476335	3.91582171525137	2.62209656854593	1.82148360114462	3.30634460721926	4.33880348414931
Bacteria|Bacteroidetes|Sphingobacteriia	0.225575369608291	0.125853003691688	0.116822429906542	0.156448875689436	0.147553714729485	0.103904626490211	0.456349826524552	0.247147128821627	0.553019662921348	0.538793103448276	0.358858950185512	0.256215600683242	0.38631942943592	0.646915927334178	0.343699761627585	0.393462469733656	0.262666197297517	0.281244026977582
Bacteria|Bacteroidetes|Unassigned	0.0518213686937967	0.0167804004922251	0.0467289719626168	0.0503818413237166	0.0258866166192079	0.0355463195887564	0.0375082049198262	0.0366143894550558	0.0555945692883895	0.0892857142857143	0.0547411957910103	0.0569368001518315	0.0540306894315971	0.0343261512463033	0.041576584067853	0.0495267444419987	0.0514500798830188	0.0546104906752587
Bacteria|Candidatus_Saccharibacteria|Unassigned	0.00304831580551745	0.00279673341537085	0.0155763239875389	0	0.085425834843386	0.0109373291042327	0	0.0305119912125465	0.00292602996254682	0	0.0334529529833952	0	0.00540306894315971	0	0.0055435445423804	0	0	0.0136526226688147
Bacteria|Chlamydiae|Chlamydiia	0.0121932632220698	0.00559346683074169	0	0	0.00517732332384157	0.0246089904845237	0.0312568374331885	0.0274607920912919	0.032186329588015	0.0492610837438424	0.00912353263183505	0.00948946669197191	0	0.0105618926911703	0.113642663118798	0.0165089148139996	0	0.0628020642765475
Bacteria|Chloroflexi|Caldilineae	0.00304831580551745	0.0223738673229668	0.00259605399792316	0	0	0.0109373291042327	0.0187541024599131	0.0457679868188198	0.0234082397003745	0.00307881773399015	0.0243294203515601	0.0189789333839438	0.0135076723578993	0.0132023658639628	0.0304894949830922	0.011005943209333	0.00541579788242303	0.00546104906752587
Bacteria|Chloroflexi|Chloroflexia	0.746837372351776	1.04318156393333	0.399792315680166	0.840581247348324	0.929329536629563	0.503117138794706	0.662644953583596	1.7696954903277	0.634948501872659	1.08066502463054	1.29554163372058	1.04384133611691	3.16619840069159	0.565061258977609	0.870336493153723	1.1005943209333	1.45414173143058	1.33522649701008
Bacteria|Chloroflexi|Unassigned	0.612711476909008	0.62646828504307	0.155763239875389	0.442829868476877	0.336526016049702	0.363666192715739	0.503235082674335	0.564471837432111	0.427200374531835	0.42487684729064	0.422723678608357	0.471310179034605	0.548411497730711	0.250844951415294	0.629192305560175	0.429231785163989	0.208508218473287	0.322201894984026
Bacteria|Firmicutes|Bacilli	1.28029263831733	1.11589663273297	0.747663551401869	2.8505515485787	0.517732332384157	1.18396587553319	4.06651455005782	2.3616281198511	1.9311797752809	2.66317733990148	1.44455933337388	4.17220218890365	0.626755997406527	0.303654414871145	0.817672820001109	0.668611049966982	0.435971729535054	0.813696311061355
Bacteria|Firmicutes|Clostridia	0.00304831580551745	0.545363015997315	0.0181723779854621	0.0106067034365719	0.0103546466476831	0.00273433227605819	0.0250054699465508	0.00915359736376396	0.0790028089887641	0.021551724137931	0.00912353263183505	0.0537736445878408	0.00270153447157986	0.0132023658639628	0.0083153168135706	0.00550297160466652	0.0108315957648461	0.15837042295825
Bacteria|Ignavibacteriae|Ignavibacteria	0.0060966316110349	0.00839020024611254	0	0.00795502757742893	0	0.0328119873126982	0.0062513674866377	0.00610239824250931	0	0.0892857142857143	0	0	0	0	0.0055435445423804	0	0.00270789894121151	0.0191136717363405
Bacteria|Nitrospirae|Nitrospira	0.0548696844993141	0.0503412014766752	0.0285565939771547	0.0371234620280017	0.0232979549572871	0.0382806518648146	0.0781420935829713	0.0427167876975651	0.0614466292134831	0.0400246305418719	0.0973176814062405	0.0790788890997659	0.0486276204884374	0.0448880439374736	0.0582072176949942	0.074290116662998	0.0541579788242303	0.0655325888103105
Bacteria|Planctomycetes|Planctomycetia	0.0182898948331047	0.106275869784092	0.0545171339563863	0.0212134068731438	0.0232979549572871	0.0464836486929892	0.21879786203232	0.335631903338012	0.210674157303371	0.083128078817734	0.179429475092756	0.237236667299298	0.108061378863194	0.0844951415293621	0.13304506901713	0.101804974686331	0.0758211703539224	0.084646260546651
Bacteria|Proteobacteria|Alphaproteobacteria	15.5890870294162	14.4199574896521	19.5404984423676	16.9017819261773	19.1690396065234	18.0602646833643	15.7596974338136	13.5595288948557	10.9140917602996	12.4476600985222	16.1030350951889	15.0218257733915	10.5819105251783	12.4603929024081	13.0106990409668	13.5923398635263	13.7642503181781	13.9202140731234
Bacteria|Proteobacteria|Betaproteobacteria	26.456332876086	17.9885893276653	23.4241952232606	26.02089520577	33.8829924928812	29.5608662364651	15.6596755540274	13.754805638616	19.7097378277154	20.1354679802956	18.8248889970196	16.881761245018	20.2507023989626	23.2889733840304	19.0947391762293	19.8629760070438	21.0891169541553	19.5396335636076
Bacteria|Proteobacteria|Deltaproteobacteria	2.78616064624295	2.67088041167916	2.10539979231568	2.52704709376326	2.48770385710588	3.53549163294324	3.13506079454881	2.06261060596815	2.69194756554307	2.82635467980296	2.79180098534152	3.03662934143101	2.40166414523449	3.0180608365019	2.78285936027496	2.58364516839093	2.45335644073763	2.70048876389154
Bacteria|Proteobacteria|Gammaproteobacteria	12.0195092211553	7.04497147331916	8.81360332294912	9.80324565125159	12.0864612995082	9.32954172591053	11.3962429281405	10.3923842069933	10.7297518726592	12.4599753694581	12.4232102670154	12.0864174100082	10.6494488869678	14.2400718208703	11.0843173124896	11.4461809377064	12.4752904221614	12.0498047674958
Bacteria|Proteobacteria|Unassigned	4.19448254839201	4.12238505425663	3.41381100726895	3.28277471361901	3.31089826559669	4.60461555288199	4.97296283562029	3.4783669982303	3.13963014981273	4.53817733990148	4.23940149625935	4.2892389447713	4.01988329371083	4.23003802281369	5.46039137424469	4.18776139115122	4.01310623087546	4.74019059061246
