Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned|Unassigned|Gp10	25	26	19	33	43	28	63	26	83	22	48	40	37	19	185	57	13	28
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned|Unassigned|Gp17	3	9	6	2	2	5	26	13	11	5	27	26	18	16	20	21	5	9
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned|Unassigned|Gp3	6	9	4	3	1	8	11	4	5	4	8	2	1	3	5	1	2	5
Bacteria|Acidobacteria|Acidobacteria_Gp5|Unassigned|Unassigned|Gp5	4	3	1	1	1	4	6	1	5	7	4	5	1	4	6	5	2	4
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned|Unassigned|Gp6	14	22	9	6	3	14	90	46	36	17	56	111	60	19	59	36	21	18
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Acidimicrobiaceae|Ilumatobacter	43	51	34	45	33	47	80	38	44	48	58	76	39	45	44	39	32	47
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Iamiaceae|Aquihabitans	4	21	14	11	4	4	17	21	11	18	12	8	21	14	22	9	12	16
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Iamiaceae|Iamia	8	24	52	14	15	17	15	33	17	19	10	17	20	13	28	20	13	20
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Unassigned|Unassigned	25	28	40	29	25	26	69	45	31	47	49	42	36	50	46	44	54	43
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Cellulomonadaceae|Cellulomonas	23	24	6	7	4	8	42	34	25	25	35	35	63	7	46	7	21	39
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Cryptosporangiaceae|Cryptosporangium	2	0	1	0	0	19	4	4	3	2	2	9	1	0	4	3	12	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Geodermatophilaceae|Blastococcus	15	43	35	13	9	22	22	42	22	18	37	70	25	18	30	25	25	22
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Geodermatophilaceae|Geodermatophilus	5	7	1	4	3	2	4	11	4	3	4	8	3	2	4	6	12	4
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Glycomycetaceae|Glycomyces	20	40	13	11	6	25	8	2	24	5	3	8	10	12	12	37	29	8
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Intrasporangiaceae|Intrasporangium	5	17	18	4	4	6	3	6	8	4	2	3	8	8	8	10	1	9
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Intrasporangiaceae|Unassigned	16	22	12	16	13	17	22	21	16	16	16	18	12	11	24	17	12	27
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Kineosporiaceae|Kineosporia	94	226	96	202	20	70	164	124	139	182	172	99	294	362	234	228	257	136
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Kineosporiaceae|Unassigned	52	78	41	38	26	27	66	67	41	65	31	80	94	49	46	35	87	59
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Microbacteriaceae|Agromyces	195	398	318	290	181	199	231	345	253	223	246	220	224	229	292	289	223	305
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Microbacteriaceae|Cryobacterium	3	0	2	0	0	3	4	6	17	0	34	3	2	3	2	4	5	2
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Microbacteriaceae|Microbacterium	53	9	11	20	19	25	26	14	14	24	18	43	12	9	31	21	24	39
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae|Arthrobacter	6	17	6	8	4	3	5	25	14	11	13	5	5	3	8	14	17	3
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae|Unassigned	18	14	16	8	9	10	18	49	31	26	30	37	17	7	23	53	11	29
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Actinoplanes	691	1104	625	815	408	949	606	880	1308	767	918	635	990	584	798	779	1097	849
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Catellatospora	35	87	52	63	20	40	66	91	50	71	51	58	54	41	68	34	32	76
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae|Catelliglobosispora	6	4	10	8	2	5	3	4	6	6	3	1	4	0	2	8	3	2
