"","gFC"
"K00003",-0.137570631672796
"K00004",0.0334324191540236
"K00005",0.140312869242625
"K00006",0
"K00007",0
"K00008",-1.20795807119182
"K00009",0.638448982861016
"K00010",0.726588752119387
"K00011",-0.278975478167298
"K00012",-0.0887708259656422
"K00013",-0.0950427266887606
"K00014",0
"K00015",-0.264157953383124
"K00016",-0.0105908802232397
"K00017",1.02568055561194
"K00018",2.16511455110195
"K00019",0
"K00020",0
