unifrac_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.0605	0.0892	0.0695	0.0995	0.0669	0.0707	0.0662	0.0668	0.0631	0.0631	0.067	0.0739	0.0798	0.0677	0.0704	0.0739	0.0528
KO2	0.0605	0	0.0861	0.0796	0.106	0.0759	0.0715	0.0577	0.0688	0.0656	0.0612	0.0654	0.0642	0.078	0.0656	0.07	0.0736	0.061
KO3	0.0892	0.0861	0	0.0812	0.0864	0.0768	0.108	0.104	0.110	0.102	0.0937	0.105	0.112	0.0955	0.0973	0.0979	0.0885	0.0857
KO4	0.0695	0.0796	0.0812	0	0.075	0.0632	0.0915	0.0945	0.0908	0.0842	0.0835	0.0895	0.0925	0.0781	0.0879	0.0854	0.0827	0.0745
KO5	0.0995	0.106	0.0864	0.075	0	0.0772	0.121	0.120	0.118	0.110	0.0993	0.119	0.114	0.0989	0.111	0.103	0.107	0.0972
KO6	0.0669	0.0759	0.0768	0.0632	0.0772	0	0.0896	0.0862	0.0927	0.0864	0.0797	0.0916	0.0902	0.0828	0.0871	0.0845	0.0781	0.0742
OE1	0.0707	0.0715	0.108	0.0915	0.121	0.0896	0	0.0478	0.0509	0.0438	0.0473	0.0396	0.0628	0.0635	0.054	0.0556	0.0755	0.0551
OE2	0.0662	0.0577	0.104	0.0945	0.120	0.0862	0.0478	0	0.0516	0.0495	0.0508	0.0446	0.0581	0.0761	0.0524	0.0605	0.077	0.0598
OE3	0.0668	0.0688	0.110	0.0908	0.118	0.0927	0.0509	0.0516	0	0.0417	0.0564	0.0509	0.0554	0.07	0.0526	0.0593	0.0779	0.0547
OE4	0.0631	0.0656	0.102	0.0842	0.110	0.0864	0.0438	0.0495	0.0417	0	0.0471	0.0462	0.0573	0.0587	0.0504	0.0513	0.0714	0.0507
OE5	0.0631	0.0612	0.0937	0.0835	0.0993	0.0797	0.0473	0.0508	0.0564	0.0471	0	0.0501	0.0526	0.0619	0.0484	0.0468	0.0665	0.0505
OE6	0.067	0.0654	0.105	0.0895	0.119	0.0916	0.0396	0.0446	0.0509	0.0462	0.0501	0	0.0615	0.0712	0.0495	0.0597	0.0773	0.0584
WT1	0.0739	0.0642	0.112	0.0925	0.114	0.0902	0.0628	0.0581	0.0554	0.0573	0.0526	0.0615	0	0.0649	0.055	0.0602	0.0719	0.0613
WT2	0.0798	0.078	0.0955	0.0781	0.0989	0.0828	0.0635	0.0761	0.07	0.0587	0.0619	0.0712	0.0649	0	0.0617	0.0541	0.0635	0.0609
WT3	0.0677	0.0656	0.0973	0.0879	0.111	0.0871	0.054	0.0524	0.0526	0.0504	0.0484	0.0495	0.055	0.0617	0	0.0498	0.0621	0.0526
WT4	0.0704	0.07	0.0979	0.0854	0.103	0.0845	0.0556	0.0605	0.0593	0.0513	0.0468	0.0597	0.0602	0.0541	0.0498	0	0.0634	0.049
WT5	0.0739	0.0736	0.0885	0.0827	0.107	0.0781	0.0755	0.077	0.0779	0.0714	0.0665	0.0773	0.0719	0.0635	0.0621	0.0634	0	0.0631
WT6	0.0528	0.061	0.0857	0.0745	0.0972	0.0742	0.0551	0.0598	0.0547	0.0507	0.0505	0.0584	0.0613	0.0609	0.0526	0.049	0.0631	0
