Pathway	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Healthy11	Healthy12	Healthy13	Healthy14	Healthy15	Healthy16	Healthy17	Healthy18	Healthy19	Healthy20	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10	Patients11	Patients12	Patients13	Patients14	Patients15	Patients16	Patients17	Patients18	Patients19	Patients20
Pathway01	31740.7472	37503.72704	12706.65002	35263.08946	25019.33681	28724.89745	10519.48265	5695.765705	44930.53325	25161.02437	23966.16878	24173.23108	36978.68756	33835.56104	17558.25255	18648.58963	38112.67911	45308.92515	38172.69209	27845.3736	41236.54295	30386.1172	24336.07648	29241.69541	19534.28708	27720.72123	35789.68205	19691.22873	53979.17545	15581.12007	16068.94658	33712.66957	22671.83557	43132.12763	27004.2453	16509.08181	31214.95413	38761.98912	15622.06604	23432.46834
Pathway02	0	0	12706.65002	35263.08946	25019.33681	28724.89745	10519.48265	5695.765705	44930.53325	25161.02437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway03	1245.418649	715.1162473	809.4294092	4314.321292	238.7334707	413.5164129	341.9725369	305.7853029	802.102984	638.4231622	275.4819861	513.1686155	2429.161646	2530.341039	454.4019483	185.2953215	597.5007631	6226.224035	1572.09819	334.6430813	1374.197077	1346.903806	839.3921493	260.2964909	1138.091603	1488.976981	464.6761586	650.3667709	2978.055109	806.2268897	419.979128	1765.508576	2231.739896	858.6190705	1998.423145	554.04608	3374.579315	132.0446172	304.6021721	551.3946797
Pathway04	10837.27634	14117.23005	5172.054823	12055.65275	10145.96831	12793.16184	5943.390239	4664.425186	18751.47737	11325.57547	10011.52523	11880.2628	20365.37993	15096.50348	12554.34292	10051.99679	17415.59211	28200.56804	15574.51261	12796.9201	16939.42579	19722.36277	10119.86805	11532.55603	11402.4594	17622.64609	15604.34331	12652.83427	40208.2521	6571.855311	8553.85917	19846.81944	12770.23173	19998.19515	9613.39627	8175.698662	13236.7738	13797.45557	8341.348597	9906.634361
Pathway05	1832.725556	1740.398527	1041.8054	2794.386713	1639.407066	2554.257897	1153.853551	2267.379195	2863.400105	1512.237935	1533.973878	1824.61041	2025.454661	3469.687984	4543.007923	2944.259953	3368.649083	3732.245128	2331.420039	2041.506971	2783.933996	8445.208575	4347.315543	2070.876019	5103.350792	4505.518926	3291.820826	3561.819666	21209.89556	3398.978112	2556.197247	16833.56501	7002.569856	4910.091145	1453.84671	3000.899654	4695.025714	1732.968268	1941.722164	1892.316062
Pathway06	2239.641888	2835.380767	1132.781527	2448.876554	1832.774171	2648.369782	730.5205612	378.3604117	3476.404981	2527.500381	2098.929112	1448.949678	1895.458483	3294.237987	1524.293116	943.8592959	2611.069093	3562.97357	3441.504598	3547.084541	3587.189166	1694.425917	1618.360809	1728.496834	1485.640373	3671.094217	2161.068785	848.095015	8374.516821	2551.50511	196.9766192	2299.340177	2559.731378	4079.389842	1647.756871	1222.329121	1053.445978	2777.551606	286.1281155	1590.351263
Pathway07	0	0	1512.237935	1533.973878	1824.61041	2025.454661	3469.687984	4543.007923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.959321021	0	0	0	0	12.11345915	2.449632235	0	0	0	0	0	0	0	0	0	0	0
Pathway08	0	0	0	0	0	0	9344.172237	42425.327	36933.60932	20207.35157	28858.06435	55597.96974	65780.79307	0	0	0	0	0	0	0	0	0	1.321364868	0	0	0	0	6.72323275	4.694835681	0	0	0	0	0	0	0	0	0	0	0
Pathway09	27768.3268	33565.42863	11196.04922	31447.77529	22201.15959	28321.77997	9029.501418	4558.897873	38849.02349	23014.75797	21800.26822	18163.08545	30247.74346	31652.87641	15056.7476	15626.36386	34611.07448	44558.05902	33921.54311	27390.18745	38468.78172	33042.37748	16047.37432	24147.37022	19775.36583	22063.91318	33959.1339	18315.97376	79979.34755	16348.67366	10415.87755	43572.60182	21696.37934	39713.45716	21960.24311	14890.08986	35525.3549	35618.22522	12875.1086	16598.08784
Pathway10	0	0	0	0	0	0	413.5164129	341.9725369	305.7853029	802.102984	638.4231622	275.4819861	513.1686155	2429.161646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway11	22757.60089	26247.88648	11125.71365	25772.18211	18765.97578	22378.82553	6444.19348	3804.880709	31548.70902	21953.52853	15932.42419	13697.20435	24342.99088	25555.97302	14421.02952	11146.34007	25281.34712	48740.86108	29403.08983	24374.8922	33636.13475	22125.52734	14060.78667	17876.27514	17959.64315	20715.54712	26463.5206	22038.14891	42011.15999	10409.70973	9959.303431	22796.14252	17381.51587	34738.43236	17942.73163	9290.230094	34672.70363	25027.06262	13119.24357	15430.10721
Pathway12	27189.19236	26899.45921	21645.1215	46711.53198	27201.87578	32002.70727	14814.40415	9344.172237	42425.327	36933.60932	20207.35157	28858.06435	55597.96974	65780.79307	47174.00279	23445.58702	42222.19991	238186.9141	45593.32837	38896.39059	44778.55238	65719.70742	47345.13403	17642.24138	31875.09533	70990.61468	42163.75281	45715.053	286580.7762	48690.31568	20990.96003	224979.3883	76169.89846	61303.81317	29031.29401	30007.14511	67982.62204	22155.56168	13001.56833	41752.90803
Pathway13	0	0	0	0	0	0	0	0	25772.18211	18765.97578	22378.82553	6444.19348	3804.880709	31548.70902	0	0	0	0	0	0	0	0	1.321364868	0	0	0	0	0	5.223397219	0	0	0	0	0	0	0	0	0	0	0
Pathway14	3520.414172	6361.020515	1697.182237	6144.00836	4563.300104	4541.127955	703.9780831	518.1145623	8126.308035	3593.638103	2473.383217	3005.607129	5057.829649	3108.21772	1517.835351	3337.670652	6323.070905	1745.904066	4006.5916	4220.728851	5631.375954	6744.780001	1652.57681	3593.6948	1704.697947	1095.499295	6171.591906	1549.755028	4714.72627	1673.6522	438.3649985	3119.491924	2207.094311	4491.427187	2672.447715	1924.301511	2328.86901	4019.256601	1690.423415	2019.242653
Pathway15	1305.812793	1900.482487	650.3423853	721.0033083	1641.02469	1790.761491	803.6725509	382.7960985	2178.387085	2125.074987	1775.429047	1596.106678	1480.825886	1832.612833	1439.471673	1685.99359	2232.190054	3728.179141	1910.999722	2214.332584	1951.986083	1344.565473	2137.233767	1865.203208	1480.323579	1102.165161	2413.403683	1173.352126	5134.248036	525.7477857	977.7734579	4844.814307	818.6217618	3359.837128	811.1542134	572.5282158	981.8202231	3132.697761	5644.427488	1866.627309
Pathway16	0	1790.761491	803.6725509	382.7960985	2178.387085	2125.074987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.321364868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway17	0	0	0	0	0	0	0	3593.638103	2473.383217	3005.607129	5057.829649	3108.21772	1517.835351	0	0	0	0	0	0	0	0	0	8.573417524	0	0	0	0	57.49510731	2.978193773	0	0	0	0	0	0	0	0	0	0	0.637910195
Pathway18	1199.951838	723.9659398	780.6064623	2242.295381	890.222722	582.422609	635.3598525	225.8699315	1057.607463	588.045698	531.9210918	710.7976534	1552.393969	957.9954416	639.9196758	237.7561134	793.1478431	1239.963928	1491.546489	593.2672785	1400.909985	484.0871412	591.5251716	1020.880801	1937.751321	1655.097344	1150.152654	2636.435699	2015.158512	457.7190799	2244.334674	999.1185569	1334.360273	2194.986971	1442.911409	733.4089837	6315.978009	1183.065981	2088.771822	1068.362662
Pathway19	0	0	1697.182237	6144.00836	4563.300104	4541.127955	703.9780831	518.1145623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.43823583	0	0	0	0	26.53511481	7.426195394	0	0	0	0	0	0	0	0	0	0	0
Pathway20	0	0	0	0	0	0	0	0	0	0	0	1697.182237	6144.00836	4563.300104	4541.127955	703.9780831	518.1145623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway21	4.835392475	12.16177417	0	61.24476334	0	0	25.17868473	11.50627615	0	0	0	2.169678924	0	202.6264968	265.3122062	2.713757209	47.67248312	44.84492446	0	16.87316502	0	90.6227579	0	32.14596003	27.71667352	357.0574641	93.65647593	12.76144988	1002.000681	208.3164867	11.53937236	150.6084813	118.4135421	91.13520328	28.03004115	139.530675	35.16481433	7.961519761	0	256.315644
Pathway22	31740.7472	37503.72704	12706.65002	35263.08946	25019.33681	28724.89745	10519.48265	5695.765705	44930.53325	25161.02437	23966.16878	24173.23108	36978.68756	33835.56104	17558.25255	18648.58963	38112.67911	45308.92515	38172.69209	27845.3736	41236.54295	30386.1172	24336.07648	29241.69541	19534.28708	27720.72123	35789.68205	19691.22873	53979.17545	15581.12007	16068.94658	33712.66957	22671.83557	43132.12763	27004.2453	16509.08181	31214.95413	38761.98912	15622.06604	23432.46834
Pathway23	0	2125.074987	1775.429047	1596.106678	1480.825886	1832.612833	1439.471673	0	0	0	0	0	0	0	0	0	0	0	0	0	5.619686646	0	4.238825402	0	0	0	0	53.71581581	0	8.700449877	0	0	0	0	0	0	1.811358883	0	0	0
Pathway24	0	0	0	0	0	0	0	2125.074987	1775.429047	1596.106678	1480.825886	1832.612833	1439.471673	0	0	0	0	0	0	0	0	0	2.116870962	0	0	0	0	28.19707847	2.731359713	0	0	0	0	0	0	0	0	0	0	0
Pathway25	0	0	0	2125.074987	1775.429047	1596.106678	1480.825886	1832.612833	1439.471673	0	0	0	0	0	0	0	0	0	0	0	0	0	1.321364868	0	0	0	0	19.95381851	0	0	0	0	0	0	0	0	0	0	0	0
Pathway26	0	0	0	0	0	0	2125.074987	1775.429047	1596.106678	1480.825886	1832.612833	1439.471673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pathway27	932.0684704	236.5837156	125.1643043	359.1262828	191.972982	660.954095	660.5914799	1137.819019	696.358062	944.8366488	310.7544342	549.1074147	798.3234753	740.3787028	1017.316179	1195.678091	687.5290143	2659.277073	1264.246074	842.0391986	666.913473	507.3157342	1005.382367	281.079193	363.6384039	1179.956871	796.8376872	1243.380086	2927.026338	754.1878757	416.0335691	1362.091019	1081.473673	836.5741208	1219.413422	312.5281279	533.4816425	800.0132124	426.9805464	1197.017158
Pathway28	1428.486647	671.1480626	834.6863059	6394.161463	418.0256709	1314.928283	330.8900368	316.0002425	1903.801489	1690.960817	169.7917592	1148.430818	1935.934755	4967.992379	3588.713094	1189.23577	1523.597866	3715.157811	973.5368666	1103.245892	1756.811174	17622.14666	6095.708572	209.9162061	4431.214392	3682.527246	1799.941037	1109.694461	36220.53696	4584.535695	700.6625993	22266.37365	4454.202592	3716.45173	1761.376644	3349.204592	4898.675991	247.1459792	67.11516676	4222.588008
Pathway29	53196.2596	64073.16572	22265.90228	60454.83106	43119.1715	52306.00728	17024.80019	11088.49857	84356.4664	46805.30287	42534.12136	44289.50773	60412.54968	53114.27394	29848.48349	36143.72464	75085.83503	78523.18946	66155.34742	50682.715	74482.77814	48509.39539	31307.98877	44103.82842	34158.38344	41674.1638	60439.48577	33680.47362	72736.7229	25568.77557	19842.11629	48917.02262	36122.53357	73667.78249	43440.98947	25927.43326	42804.49757	67617.60415	23998.06684	36204.74459
Pathway30	34049.06629	37620.0552	14929.41998	34763.39324	24424.7592	32167.65933	11036.89564	6508.924539	51675.60154	29165.85571	22937.07415	23836.98639	45076.57611	39724.18785	20833.33627	18113.0059	37779.05211	94161.17757	47179.52508	31961.68318	43451.56534	32756.21103	26220.09076	28896.33653	20582.53383	29907.1819	33144.4432	23687.48858	69254.13794	26798.17897	13290.44322	47253.93763	37020.65512	41860.42853	34867.29113	16682.18602	38431.8829	34758.83259	19638.98927	26839.14228
