bug_name,sig_gene_n,gene_ind,gene_num
Bacteroides caccae,779,pos_gene_n,773
Bacteroides cellulosilyticus,398,pos_gene_n,393
Bacteroides dorei,113,pos_gene_n,101
Bacteroides uniformis,322,pos_gene_n,309
Bacteroides vulgatus,203,pos_gene_n,194
Blautia wexlerae,80,pos_gene_n,16
Dorea longicatena,501,pos_gene_n,435
Escherichia coli,1439,pos_gene_n,1337
Eubacterium rectale,398,pos_gene_n,28
Fusicatenibacter saccharivorans,77,pos_gene_n,19
Klebsiella pneumoniae,77,pos_gene_n,42
Parabacteroides distasonis,335,pos_gene_n,328
Roseburia faecis,108,pos_gene_n,7
Roseburia intestinalis,54,pos_gene_n,15
Roseburia inulinivorans,156,pos_gene_n,46
Bacteroides caccae,779,neg_gene_n,6
Bacteroides cellulosilyticus,398,neg_gene_n,5
Bacteroides dorei,113,neg_gene_n,12
Bacteroides uniformis,322,neg_gene_n,13
Bacteroides vulgatus,203,neg_gene_n,9
Blautia wexlerae,80,neg_gene_n,64
Dorea longicatena,501,neg_gene_n,66
Escherichia coli,1439,neg_gene_n,102
Eubacterium rectale,398,neg_gene_n,370
Fusicatenibacter saccharivorans,77,neg_gene_n,58
Klebsiella pneumoniae,77,neg_gene_n,35
Parabacteroides distasonis,335,neg_gene_n,7
Roseburia faecis,108,neg_gene_n,101
Roseburia intestinalis,54,neg_gene_n,39
Roseburia inulinivorans,156,neg_gene_n,110
