ID,prevalence,Group
KeioHC_116__k141_37261,0.15,L
IF_128__180950,0.25,L
IF_116__7488,0.3,L
S_6G16__142574,0.116667,L
IF_151__k141_20070,0.45,L
KeioHC_108__6527,0.1,L
IF_101__195555,0.0666667,L
KWS_10661__291155,0.116667,L
IF_022__47804,0.7,L
IF_086-2__208,0.116667,L
KeioHC_10__85049,0.0333333,L
KeioHC_2__k141_56974,0,L
IF_093__k141_58947,0.216667,L
IF_117__k141_17366,0.55,L
IF_025__192666,0.0333333,L
S_7G20__70316,0.05,L
KWS_10651__133973,0.183333,L
KWS_10993__k141_73804,0.05,L
IF_076__6273,0,L
IF_104__41181,0.0166667,L
IF_064__228209,0.683333,L
IF_022__k141_19245,0.0666667,L
KWS_11007__49707,0.0333333,L
S_7G50__40159,0.416667,L
IF_175re__35631,0.05,L
KWS_10993__61282,0.633333,L
KWS_10632__18940,0.483333,L
IF_091__k141_92153,0.05,L
IF_016__15221,0.15,L
IF_086__k141_22175,0.233333,L
KWS_10643__3405,0.0666667,L
IF_081__26676,0.05,L
KWS_10563__18116,0.0666667,L
IF_027__64554,0.05,L
KWS_10648__52645,0.0666667,L
IF_050__55627,0.183333,L
KWS_10656__154704,0.0333333,L
IF_188__k141_75620,0,L
IF_167__902,0.8,L
IF_042-2__23896,0.25,L
IF_151__k141_60414,0,L
KeioHC_124__45258,0.0333333,L
IF_079__9214,0.1,L
KeioHC_I2__55056,0.683333,L
IF_013__27616,0.1,L
KWS_10641__58423,0.316667,L
KWS_10661__k141_99648,0.0333333,L
IF_093__77784,0.0833333,L
IF_079__48882,0.316667,L
IF_183__k141_60104,0.05,L
IF_165__259901,0.15,L
IF_099__80344,0.0333333,L
IF_111__4985,0.4,L
IF_076__103876,0.116667,L
KWS_10912__20489,0.1,L
KWS_10452__73328,0,L
S_6G7__43019,0,L
IF_082__12394,0.0833333,L
IF_099__743,0.733333,L
S_6G2__5785,0.966667,L
KeioHC_126__k141_7566,0,L
KeioHC_5__22198,0.0166667,L
KeioHC_9__68782,0.15,L
IF_071-2__k141_30602,0.05,L
KWS_10548__9636,0.0833333,L
KWS_10480__12445,0.0166667,L
KeioHC_124__k141_1120,0.483333,L
KWS_10481__5958,0.266667,L
IF_003-2__k141_48768,0.633333,L
S_7G46__2015,0.0666667,L
IF_047-2__11524,0.85,L
IF_065__1169,0.0833333,L
KWS_10903__91467,0.0166667,L
IF_093__k141_48708,0.716667,L
KWS_10461__4055,0.0666667,L
IF_049__18909,0.0166667,L
KWS_10473__1696,0.2,L
KWS_10993__278951,0.1,L
S_7G28__6905,0.116667,L
KWS_10461__40659,0.25,L
KWS_10656__17554,0.266667,L
IF_065-2__5387,0.316667,L
S_7G20__k141_60857,0.166667,L
KeioHC_9__k141_145866,0.466667,L
S_6G5__125739,0.533333,L
KWS_10638__114186,0.05,L
S_7G49__1206,0.1,L
KWS_10540__4677,0.666667,L
IF_005__284063,0.0666667,L
KWS_10641__50324,0.0333333,L
IF_166__5696,0.133333,L
IF_042-2__18586,0.333333,L
IF_065-2__53229,0.0333333,L
KWS_10468__67163,0.0333333,L
